"","city","sample_type_name","min","max","mean","median"
"1","Accra","Open Drain Water",4.69897000433602,9.57978359661681,6.60109271463902,6.66275783168157
"2","Accra","Raw Produce",1.39794000867204,6,3.47238010364448,2.95424250943932
"3","Accra","Municipal Drinking Water",-0.301029995663981,3.30102999566398,0.433768194066124,0
"4","Accra","Ocean",1.95424250943932,6.30102999566398,4.66004632675491,4.68180598994607
"5","Accra","Floodwater",2,6.30102999566398,5.10043897964649,5.62545384985043
"6","Accra","Public Latrine",-0.154901959985743,4.44715803134222,0.788145522694815,-0.154901959985743
"7","Accra","Soil",0,3.84509804001426,2.10049097614467,2.24540047600543
"8","Accra","Bathing Water",-0.301029995663981,1.65321251377534,0.159788571868662,-0.301029995663981
"9","Accra","Street Food",1.95038919755496,6.55244918888292,3.1403353608515,2.28695021578755
"10","Atlanta","Raw Produce",1.39794000867204,1.39794000867204,1.39794000867204,1.39794000867204
"11","Atlanta","Municipal Drinking Water",-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
"12","Atlanta","Floodwater",4.5817221599491,6.11384311893749,5.57672610564575,5.56276854301652
"13","Atlanta","Public Latrine",-0.154901959985743,-0.154901959985743,-0.154901959985743,-0.154901959985743
"14","Atlanta","Soil",0,0,0,0
"15","Dakar","Open Drain Water",-0.301029995663981,5.30102999566398,4.50737365702595,4.7481880270062
"16","Dakar","Raw Produce",2.39794000867204,6,3.18041324933548,2.39794000867204
"17","Dakar","Municipal Drinking Water",-0.301029995663981,0,-0.298019695707341,-0.301029995663981
"18","Dakar","Soil",1,5.60205999132796,2.47731639471789,2
"19","Dakar","Street Food",2.67024585307412,3.8318697742805,2.78486899874805,2.7041505168398
"20","Dhaka","Open Drain Water",4.69897000433602,8.71365851620836,6.95316481873542,7.08080680433436
"21","Dhaka","Raw Produce",1.39794000867204,6.05728564441822,3.12739501361641,2.8178957571618
"22","Dhaka","Municipal Drinking Water",-0.301029995663981,4.76297849086774,1.21981344651843,0.895098585006856
"23","Dhaka","Surface Water",1.30102999566398,7.38374357583531,4.86070667790695,4.96127867908504
"24","Dhaka","Floodwater",2.69897000433602,8.08037391670131,5.63433980961921,5.73311698144206
"25","Dhaka","Public Latrine",-0.154901959985743,2.79856778326766,0.199700260481938,-0.154901959985743
"26","Dhaka","Soil",0,5.08856131179122,2.26220065678563,2.52646851246948
"27","Dhaka","Bathing Water",-0.301029995663981,4.38374357583531,1.37221626916163,1.30054630474695
"28","Dhaka","Street Food",0.687974620034556,6.44341640950792,3.77545609601504,3.56402901639683
"29","Dhaka","Other Drinking Water",-0.301029995663981,3.83676704739421,0.525902501316554,0
"30","Kampala","Open Drain Water",4.13033376849501,8.30102999566398,6.19413820009151,6.30102999566398
"31","Kampala","Raw Produce",1.39794000867204,4.96848294855393,2.96880454634615,3.17609125905568
"32","Kampala","Municipal Drinking Water",-0.301029995663981,1.11394335230684,-0.23536072941657,-0.301029995663981
"33","Kampala","Surface Water",2.30102999566398,4.94448267215017,3.48482787759354,3.52309583825257
"34","Kampala","Floodwater",1.69897000433602,7.16286299332193,5.44809258384768,5.63158123248111
"35","Kampala","Public Latrine",-0.154901959985743,3.52633927738984,0.835290086055853,0.845098040014257
"36","Kampala","Soil",0,3.50514997831991,1.36563388126717,1.42130461980528
"37","Kampala","Street Food",1.53781909507327,5.55892446439478,2.72714516417049,2.1846914308176
"38","Kampala","Other Drinking Water",-0.301029995663981,3.39794000867204,1.30335065152451,1.30639192835987
"39","Kumasi","Open Drain Water",4.69897000433602,8.30102999566398,6.77411551906173,6.82929185770353
"40","Kumasi","Raw Produce",1.39794000867204,5.5854607295085,3.46801201932306,3.58804562952784
"41","Kumasi","Municipal Drinking Water",-0.301029995663981,3.22010808804005,0.305221499876315,0
"42","Kumasi","Surface Water",1.47712125471966,3.04921802267018,2.3761330895726,2.60205999132796
"43","Kumasi","Floodwater",2.60205999132796,6.30102999566398,5.02213645864045,5.12601062625088
"44","Kumasi","Public Latrine",-0.154901959985743,4.05461305455689,1.15143291828039,1.02022204918134
"45","Kumasi","Soil",0,4.60205999132796,2.25426842092298,2.36131696126691
"46","Kumasi","Bathing Water",-0.301029995663981,3.13353890837022,1.66460712561609,1.94694327069783
"47","Kumasi","Street Food",1.32170196950074,4.33863973518174,2.27595160524904,2.14698027737549
"48","Lusaka","Open Drain Water",2,6.73559889969818,4.72610089248958,4.69897000433602
"49","Lusaka","Raw Produce",1.39794000867204,5.49741346468621,2.14048763952849,1.69897000433602
"50","Lusaka","Municipal Drinking Water",-0.301029995663981,2.27009628142033,0.0323045348900939,-0.301029995663981
"51","Lusaka","Surface Water",1.61278385671974,5.38374357583531,3.46522979962405,3.46691937854222
"52","Lusaka","Floodwater",1.69897000433602,4.97050184304062,3.6443250410806,3.67272607568791
"53","Lusaka","Public Latrine",-0.154901959985743,2.28221413306234,0.087073156860957,-0.154901959985743
"54","Lusaka","Soil",0,4.14749082079331,0.633214330238088,0
"55","Lusaka","Street Food",0.698970004336019,1.99158045717434,1.43508059376081,1.52795195834394
"56","Lusaka","Other Drinking Water",-0.301029995663981,3.86153441085904,1.34299561922787,1.43579084569737
"57","Maputo","Open Drain Water",0.698970004336019,6.30102999566398,3.61888035917704,3.19897000433602
"58","Maputo","Raw Produce",2.39794000867204,7,4.30007932290115,3.77815125038364
"59","Maputo","Municipal Drinking Water",-0.301029995663981,2.77085201164214,0.420203195250838,-0.301029995663981
"60","Maputo","Floodwater",0.698970004336019,6.30102999566398,3.95729023162137,5.1901056208558
