"","citylabel","min","max"
"1","Vellore 14",2014-03-06,2014-03-24
"2","Accra 16",2016-03-21,2016-07-22
"3","Dhaka 17",2017-06-10,2017-06-16
"4","Lusaka 18",2018-04-04,2018-04-04
"5","Accra 18",2018-09-26,2018-10-05
"6","Kumasi 18",2018-10-11,2018-10-29
"7","Kampala 18",2018-12-03,2018-12-12
"8","Lusaka 19",2019-10-12,2019-11-02
"9","Dakar 19",2019-11-14,2019-11-27
