"","citylabel","min","max"
"1","Vellore 14",NA,NA
"2","Maputo 15",NA,NA
"3","Accra 16",NA,NA
"4","Maputo 16",NA,NA
"5","Siem Reap 16",NA,NA
"6","Atlanta 16",NA,NA
"7","Dhaka 17",NA,NA
"8","Lusaka 18",NA,NA
"9","Accra 18",NA,NA
"10","Kumasi 18",NA,NA
"11","Kampala 18",NA,NA
"12","Lusaka 19",NA,NA
"13","Dakar 19",NA,NA
