"","citylabel","min","max"
"1","Vellore 14",2014-03-04,2014-03-21
"2","Accra 16",2016-03-23,2016-07-19
"3","Dhaka 17",2017-06-26,2017-11-22
"4","Lusaka 18",2018-03-28,2018-04-03
"5","Accra 18",2018-09-26,2018-10-05
"6","Kumasi 18",2018-08-26,2018-10-26
"7","Kampala 18",2018-11-16,2018-11-26
"8","Lusaka 19",2019-10-11,2019-10-28
"9","Dakar 19",2019-11-14,2019-11-27
