sample_type_name,sample_id,neighb_id,neighborhood,age,pop,p,r,n.response,mu,sigma,n.sample,exposure,dose,popDose,deployment_id,country,city,citylabel,date,pathway,neighb_pop,neighb_pop_label,perDose
Raw Produce,2,104,Steung Thumey,Adults,a,0.847875423,89.37393505,86,3.965026811,1.722467955,10,1,1195105057,1195105057,1,Cambodia,Siem Reap,Siem Reap 16,8/1/2016,Raw Produce,Siem Reap 104 Adults,Siem Reap 104,9.077402093
Raw Produce,2,104,Steung Thumey,Children,c,0.830573371,31.30744142,83,3.965026811,1.722467955,10,0.997,359364801.6,359364801.6,1,Cambodia,Siem Reap,Siem Reap 16,8/1/2016,Raw Produce,Siem Reap 104 Children,Siem Reap 104,8.555395407
Floodwater,6,105,Veal/ Trapangses,Adults,a,0.292233888,7.724492358,99,4.909627171,1.542792734,10,1,355070.7607,355070.7607,1,Cambodia,Siem Reap,Siem Reap 16,8/1/2016,Floodwater,Siem Reap 105 Adults,Siem Reap 105,0.010846277
Floodwater,6,105,Veal/ Trapangses,Children,c,0.13723405,2.958270958,72,4.909627171,1.542792734,10,0.996,21124654.18,21124654.18,1,Cambodia,Siem Reap,Siem Reap 16,8/1/2016,Floodwater,Siem Reap 105 Children,Siem Reap 105,1.076064918
Raw Produce,2,105,Veal/ Trapangses,Adults,a,0.924893907,79.10176957,99,5.510927799,1.116929174,3,1,275989757.5,275989757.5,1,Cambodia,Siem Reap,Siem Reap 16,8/1/2016,Raw Produce,Siem Reap 105 Adults,Siem Reap 105,8.430605064
Raw Produce,2,105,Veal/ Trapangses,Children,c,0.917524793,101.8303199,72,5.510927799,1.116929174,3,1,139993005.1,139993005.1,1,Cambodia,Siem Reap,Siem Reap 16,8/1/2016,Raw Produce,Siem Reap 105 Children,Siem Reap 105,7.131078226
Bathing Water,9,201,Kalshi,Adults,a,0.870516231,90.94051206,256,2.154009325,1.091775573,10,1,7178.558163,7178.558163,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Bathing Water,Dhaka 201 Adults,Dhaka 201,2.10E-05
Bathing Water,9,201,Kalshi,Children,c,0.596990344,16.11530408,237,2.154009325,1.091775573,10,1,15205.7479,15205.7479,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Bathing Water,Dhaka 201 Children,Dhaka 201,0.000588602
Open Drain Water,1,201,Kalshi,Adults,a,0.011823699,0.538957259,259,6.645317895,0.973109768,9,0.919,1440014.486,1440014.486,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Open Drain Water,Dhaka 201 Adults,Dhaka 201,0.004211335
Open Drain Water,1,201,Kalshi,Children,c,0.031593683,0.857118635,239,6.645317895,0.973109768,9,0.952,15318261.22,15318261.22,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Open Drain Water,Dhaka 201 Children,Dhaka 201,0.592957789
Municipal Drinking Water,3,201,Kalshi,Adults,a,0.001810339,0.159237906,511,0.218294525,0.788100129,10,0.64,1231.017764,1231.017764,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Municipal Drinking Water,Dhaka 201 Adults,Dhaka 201,3.60E-06
Municipal Drinking Water,3,201,Kalshi,Children,c,0.002608632,0.191203603,474,0.218294525,0.788100129,10,0.688,612.1792411,612.1792411,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Municipal Drinking Water,Dhaka 201 Children,Dhaka 201,2.37E-05
Floodwater,6,201,Kalshi,Adults,a,0.047295247,0.602714142,506,5.668676907,0.757744413,8,0.822,62775.47084,62775.47084,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Floodwater,Dhaka 201 Adults,Dhaka 201,0.000183587
Floodwater,6,201,Kalshi,Children,c,0.077406075,1.079715809,479,5.668676907,0.757744413,8,0.931,1230868.637,1230868.637,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Floodwater,Dhaka 201 Children,Dhaka 201,0.047645952
Public Latrine,7,201,Kalshi,Adults,a,0.032155526,0.679692624,252,0.048867759,0.757805258,10,0.931,18.52594156,18.52594156,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Public Latrine,Dhaka 201 Adults,Dhaka 201,5.42E-08
Public Latrine,7,201,Kalshi,Children,c,0.03392008,0.683358469,239,0.048867759,0.757805258,10,0.885,11.30384081,11.30384081,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Public Latrine,Dhaka 201 Children,Dhaka 201,4.38E-07
Raw Produce,2,201,Kalshi,Adults,a,0.097918949,1.057544499,255,2.484814867,1.540775572,9,0.916,828507.9169,828507.9169,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Raw Produce,Dhaka 201 Adults,Dhaka 201,0.002422979
Raw Produce,2,201,Kalshi,Children,c,0.129419921,1.363477297,237,2.484814867,1.540775572,9,0.944,1162825.09,1162825.09,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Raw Produce,Dhaka 201 Children,Dhaka 201,0.045012041
Surface Water,5,201,Kalshi,Adults,a,0.013694333,0.151111939,261,5.046519152,0.883139659,10,0.474,277721.1954,277721.1954,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Surface Water,Dhaka 201 Adults,Dhaka 201,0.000812198
Surface Water,5,201,Kalshi,Children,c,0.022233528,0.201520228,238,5.046519152,0.883139659,10,0.542,1281171.997,1281171.997,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Surface Water,Dhaka 201 Children,Dhaka 201,0.049593156
Street Food,10,201,Kalshi,Adults,a,0.077215977,0.540829916,255,3.156409039,2.26878391,8,0.736,3249973073,3249973073,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Street Food,Dhaka 201 Adults,Dhaka 201,9.504574645
Street Food,10,201,Kalshi,Children,c,0.142476372,1.601400211,238,3.156409039,2.26878391,8,0.959,196262458,196262458,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Street Food,Dhaka 201 Children,Dhaka 201,7.597164688
Bathing Water,9,202,Badda,Adults,a,0.933385492,162.9667776,250,0.788394844,1.117419627,10,1,521.1126283,521.1126283,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Bathing Water,Dhaka 202 Adults,Dhaka 202,1.27E-05
Bathing Water,9,202,Badda,Children,c,0.666419273,22.07033856,213,0.788394844,1.117419627,10,1,602.5901448,602.5901448,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Bathing Water,Dhaka 202 Children,Dhaka 202,1.86E-05
Open Drain Water,1,202,Badda,Adults,a,0.009065565,0.338108439,252,6.856064901,1.251112078,10,0.805,10447459.61,10447459.61,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Open Drain Water,Dhaka 202 Adults,Dhaka 202,0.253720535
Open Drain Water,1,202,Badda,Children,c,0.004844156,0.300206338,214,6.856064901,1.251112078,10,0.789,75488195.25,75488195.25,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Open Drain Water,Dhaka 202 Children,Dhaka 202,2.333821333
Municipal Drinking Water,3,202,Badda,Adults,a,0.007761372,0.235367465,500,0.144672553,0.910155297,10,0.669,1705.191071,1705.191071,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Municipal Drinking Water,Dhaka 202 Adults,Dhaka 202,4.14E-05
Municipal Drinking Water,3,202,Badda,Children,c,0.001537896,0.135286338,428,0.144672553,0.910155297,10,0.599,586.6015668,586.6015668,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Municipal Drinking Water,Dhaka 202 Children,Dhaka 202,1.81E-05
Floodwater,6,202,Badda,Adults,a,0.025390187,0.475966916,500,5.884376068,0.469915202,10,0.839,59195.33786,59195.33786,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Floodwater,Dhaka 202 Adults,Dhaka 202,0.001437581
Floodwater,6,202,Badda,Children,c,0.087129733,1.050347437,428,5.884376068,0.469915202,10,0.916,669791.1348,669791.1348,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Floodwater,Dhaka 202 Children,Dhaka 202,0.020707514
Public Latrine,7,202,Badda,Adults,a,0.014673145,0.524963803,249,0.264744166,0.763492692,10,0.893,40.5991739,40.5991739,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Public Latrine,Dhaka 202 Adults,Dhaka 202,9.86E-07
Public Latrine,7,202,Badda,Children,c,0.018739271,0.532017381,214,0.264744166,0.763492692,10,0.903,51.9969006,51.9969006,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Public Latrine,Dhaka 202 Children,Dhaka 202,1.61E-06
Raw Produce,2,202,Badda,Adults,a,0.066115962,0.743122488,249,3.429096503,1.758776547,8,0.874,272481614.1,272481614.1,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Raw Produce,Dhaka 202 Adults,Dhaka 202,6.617319753
Raw Produce,2,202,Badda,Children,c,0.117448281,1.070833787,214,3.429096503,1.758776547,8,0.909,31560565.65,31560565.65,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Raw Produce,Dhaka 202 Children,Dhaka 202,0.975738275
Surface Water,5,202,Badda,Adults,a,0.013974368,0.269665665,253,5.536647604,1.054989242,10,0.666,3696701.811,3696701.811,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Surface Water,Dhaka 202 Adults,Dhaka 202,0.089775811
Surface Water,5,202,Badda,Children,c,0.002564303,0.188690915,214,5.536647604,1.054989242,10,0.662,135643148,135643148,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Surface Water,Dhaka 202 Children,Dhaka 202,4.193594396
Street Food,10,202,Badda,Adults,a,0.044493746,0.370089588,249,4.277595998,1.382747846,10,0.687,65229844.66,65229844.66,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Street Food,Dhaka 202 Adults,Dhaka 202,1.584131616
Street Food,10,202,Badda,Children,c,0.158101709,1.37953513,214,4.277595998,1.382747846,10,0.918,29500395.94,29500395.94,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Street Food,Dhaka 202 Children,Dhaka 202,0.912045296
Bathing Water,9,203,Gabtoli,Adults,a,0.8845114,101.9629845,233,0.330217466,1.020611962,10,1,100.8993463,100.8993463,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Bathing Water,Dhaka 203 Adults,Dhaka 203,4.09E-07
Bathing Water,9,203,Gabtoli,Children,c,0.66367358,27.53569942,191,0.330217466,1.020611962,10,1,171.7123385,171.7123385,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Bathing Water,Dhaka 203 Children,Dhaka 203,7.48E-07
Open Drain Water,1,203,Gabtoli,Adults,a,0.012470561,0.424935432,234,6.764596824,1.221135334,10,0.871,2558938.497,2558938.497,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Open Drain Water,Dhaka 203 Adults,Dhaka 203,0.010369703
Open Drain Water,1,203,Gabtoli,Children,c,0.01653087,0.538395967,195,6.764596824,1.221135334,10,0.889,33569163.05,33569163.05,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Open Drain Water,Dhaka 203 Children,Dhaka 203,0.146180461
Municipal Drinking Water,3,203,Gabtoli,Adults,a,0.000409926,0.134381804,447,0.142058921,0.774371701,10,0.641,945.8438842,945.8438842,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Municipal Drinking Water,Dhaka 203 Adults,Dhaka 203,3.83E-06
Municipal Drinking Water,3,203,Gabtoli,Children,c,0.000238611,0.12070406,371,0.142058921,0.774371701,10,0.638,516.1207738,516.1207738,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Municipal Drinking Water,Dhaka 203 Children,Dhaka 203,2.25E-06
Floodwater,6,203,Gabtoli,Adults,a,0.030349762,0.665042168,467,5.21341885,1.947404445,10,0.883,41516102.89,41516102.89,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Floodwater,Dhaka 203 Adults,Dhaka 203,0.168237598
Floodwater,6,203,Gabtoli,Children,c,0.076583191,1.235734463,383,5.21341885,1.947404445,10,0.953,708366020.5,708366020.5,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Floodwater,Dhaka 203 Children,Dhaka 203,3.084654543
Public Latrine,7,203,Gabtoli,Adults,a,0.067631576,1.438553182,232,0.047276159,0.745997515,10,0.981,20.2573953,20.2573953,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Public Latrine,Dhaka 203 Adults,Dhaka 203,8.21E-08
Public Latrine,7,203,Gabtoli,Children,c,0.27079914,5.225882174,191,0.047276159,0.745997515,10,0.996,9.796656592,9.796656592,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Public Latrine,Dhaka 203 Children,Dhaka 203,4.27E-08
Raw Produce,2,203,Gabtoli,Adults,a,0.061599229,0.70886921,233,3.309532565,2.026673347,9,0.87,1431628258,1431628258,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Raw Produce,Dhaka 203 Adults,Dhaka 203,5.801452503
Raw Produce,2,203,Gabtoli,Children,c,0.122727916,1.484766125,191,3.309532565,2.026673347,9,0.958,183207411.4,183207411.4,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Raw Produce,Dhaka 203 Children,Dhaka 203,0.797795995
Surface Water,5,203,Gabtoli,Adults,a,0.005125988,0.21504991,234,5.771794785,1.554064805,10,0.691,260897208,260897208,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Surface Water,Dhaka 203 Adults,Dhaka 203,1.057245659
Surface Water,5,203,Gabtoli,Children,c,0.011086023,0.250380998,194,5.771794785,1.554064805,10,0.678,512358784.2,512358784.2,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Surface Water,Dhaka 203 Children,Dhaka 203,2.231120361
Street Food,10,203,Gabtoli,Adults,a,0.049840865,0.634865807,233,3.804087268,1.973406218,9,0.852,574095459,574095459,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Street Food,Dhaka 203 Adults,Dhaka 203,2.32643322
