"UID","dply_num","lab_date","sample_type","col_sample_type_alt","sampleid","mf","neighborhood","neighb_UID","ec_conc"
"01_02_1270",1,"2016-09-09",2,"","1270",TRUE,"1",101,1100
"01_02_1271",1,"2016-09-09",2,"","1271",TRUE,"1",101,240
"01_02_1272",1,"2016-09-09",2,"","1272",TRUE,"1",101,2e+05
"01_02_1273",1,"2016-09-13",2,"","1273",TRUE,"1",101,8750
"01_02_1274",1,"2016-09-13",2,"","1274",TRUE,"1",101,145
"01_02_1275",1,"2016-09-13",2,"","1275",TRUE,"1",101,69000
"01_02_1276",1,"2016-09-13",2,"","1276",TRUE,"1",101,42000
"01_02_1277",1,"2016-09-16",2,"","1277",TRUE,"1",101,
"01_02_1278",1,"2016-09-16",2,"","1278",TRUE,"1",101,
"01_02_1279",1,"2016-09-16",2,"","1279",TRUE,"1",101,2555
"01_02_1280",1,"2016-10-05",2,"","1280",TRUE,"2",102,
"01_02_1281",1,"2016-10-05",2,"","1281",TRUE,"2",102,2700
"01_02_1282",1,"2016-10-05",2,"","1282",TRUE,"2",102,60
"01_02_1283",1,"2016-10-07",2,"","1283",TRUE,"2",102,
"01_02_1284",1,"2016-10-07",2,"","1284",TRUE,"2",102,130
"01_02_1285",1,"2016-10-07",2,"","1285",TRUE,"2",102,12750
"01_02_1286",1,"2016-10-13",2,"","1286",TRUE,"2",102,330
"01_02_1287",1,"2016-10-13",2,"","1287",TRUE,"2",102,150
"01_02_1288",1,"2016-10-13",2,"","1288",TRUE,"2",102,150
"01_02_1289",1,"2016-10-13",2,"","1289",TRUE,"2",102,2400
"01_02_1290",1,"2016-10-14",2,"","1290",TRUE,"4",104,5
"01_02_1291",1,"2016-10-14",2,"","1291",TRUE,"4",104,12800
"01_02_1292",1,"2016-10-14",2,"","1292",TRUE,"4",104,13650
"01_02_1293",1,"2016-10-20",2,"","1293",TRUE,"4",104,20
"01_02_1294",1,"2016-10-20",2,"","1294",TRUE,"4",104,156000
"01_02_1295",1,"2016-10-20",2,"","1295",TRUE,"4",104,600
"01_02_1296",1,"2016-10-20",2,"","1296",TRUE,"4",104,4600
"01_02_1297",1,"2016-10-21",2,"","1297",TRUE,"4",104,7700
"01_02_1298",1,"2016-10-21",2,"","1298",TRUE,"4",104,42000
"01_02_1299",1,"2016-10-21",2,"","1299",TRUE,"4",104,170
"01_02_1300",1,"2016-11-16",2,"","1300",TRUE,"5",105,48000
"01_02_1301",1,"2016-11-16",2,"","1301",TRUE,"5",105,56000
"01_02_1302",1,"2016-11-16",2,"","1302",TRUE,"5",105,108000
"01_03_1000",1,"2016-09-08",3,"Well Water","1000",TRUE,"1",101,29
"01_03_1001",1,"2016-09-08",3,"Well Water","1001",TRUE,"1",101,0.5
"01_03_1002",1,"2016-09-09",3,"Well Water","1002",TRUE,"1",101,0.5
"01_03_1003",1,"2016-09-09",3,"Well Water","1003",TRUE,"1",101,1
"01_03_1004",1,"2016-09-13",3,"Well Water","1004",TRUE,"1",101,145
"01_03_1005",1,"2016-09-13",3,"Well Water","1005",TRUE,"1",101,0.5
"01_03_1006",1,"2016-09-14",3,"Well Water","1006",TRUE,"1",101,0.5
"01_03_1007",1,"2016-09-15",3,"Well Water","1007",TRUE,"1",101,15
"01_03_1008",1,"2016-09-15",3,"Well Water","1008",TRUE,"1",101,0.5
"01_03_1009",1,"2016-09-16",3,"Well Water","1009",TRUE,"1",101,4
"01_03_1010",1,"2016-09-23",3,"Well Water","1010",TRUE,"2",102,0.5
"01_03_1011",1,"2016-09-23",3,"Well Water","1011",TRUE,"2",102,0.5
"01_03_1012",1,"2016-10-05",3,"Well Water","1012",TRUE,"2",102,1
