Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,93,24,30,NA,38,32,51,11,65,7,33,40,43,7,31,47,35,48,43,92,52,61,70,60,56,39,65,67,36,33,101,31,29,17,52,47,46,45,52,46,34,21,59,44,21,23,38,58,66,52,60,24,7,65,52,22,49,31,25,38,43,76,91,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,8,15,12,16,22,7,10,15,8,13,5,6,7,8,8,23,13,26,24,18,18,23,14,32,30,39,50,79,44,14,30,29,49,36,36,12,2,33,29,24,38,6,6,3,9,6,7,4,1,3,5,10,24,33,32,21,12,14,9,24,36,34,10,13,80,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,4,6,6,NA,9,10,NA,6,12,6,5,NA,1,NA,1,19,14,39,26,21,17,18,31,37,6,16,11,36,10,8,7,11,4,9,7,16,18,17,9,7,23,18,15,5,38,14,19,16,23,23,14,14,16,17,12,11,4,2,15,21,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,2,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,4,2,2,16,10,NA,6,6,16,23,12,3,3,7,1,3,NA,4,7,17,6,8,2,2,3,5,1,1,2,2,3,6,2,4,0,1,0,3,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,7,5,8,6,8,8,NA,1,NA,3,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,2,1,7,1,5,1,1,1,1,2,1,1,1,NA,NA,NA,2,0,0,0,0,4,5,1,2,1,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,12,5,15,2,NA,17,24,24,50,32,10,8,12,19,17,11,15,16,25,17,23,18,10,5,7,15,2,1,3,6,6,13,17,12,3,7,12,NA,5,17,17,6,4,1,7,22,16,14,3,3,9,20,7,16,9,24,25,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,NA,3,2,4,NA,6,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,14,13,NA,7,NA,NA,5,4,3,3,NA,NA,5,4,3,5,NA,2,7,NA,NA,NA,NA,NA,NA,4,5,2,1,NA,0,1,0,1,0,1,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3,1,4,NA,2,NA,NA,NA,2,NA,1,0,1,0,3,3,0,1,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,5,3,3,3,NA,NA,NA,2,NA,2,4,1,3,2,5,5,4,2,6,5,3,4,3,2,7,3,2,2,1,NA,1,1,2,3,4,8,5,3,2,1,NA,5,1,NA,NA,1,1,NA,NA,NA,0,0,0,2,1,0,4,4,2,5,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
