SampleID,CompoundID,ec_dd,ec_th,ev_lat,ev_long,ev_way,neighbor,dis_lat,ev_notes,source_bw,source_other,stored,covered,ec_sd,ec_st,ec_isd,ec_ist,ec_ied,ec_iet,ec_dil1,ec_dil2,ec_ecnt1,ec_ecnt2,tc_ecnt1,tc_ecnt2,ec_blank,tc_blank,collectr,operator,sp_type,sp_area,ec_dil3,ec_ecnt3,tc_ecnt3,dis_com,weight,feces_3m,fd_type,fd_num,lat_type,lat_other,n_stall,Vis_fec,HW_stat
ACO3031,3031,5/3/2016,1/0/1900,25.94342,32.57977,033-43,2,11.9,,3,,1,0,5/3/2016,3:30:00 PM,5/3/2016,6:10:00 PM,5/4/2016,6:10:00 PM,1,2,42,7,999,999,0,0,Gizela/Eloisa,Mario Amos,1,0,,,,,,,,,,,,,
ACO3032,3032,5/10/2016,1/0/1900,25.94332,32.58118,062-29,2,16,A amostra da agua de beber e a mesma da agua do banho.,3,,1,1,5/10/2016,11:42:00 AM,5/10/2016,4:05:00 PM,5/11/2016,4:05:00 PM,1,2,18,6,999,999,0,0,Anabela/Sumeya,Salma/Mario,1,0,,,,,,,,,,,,,
ACO3033,3033,5/11/2016,1/0/1900,25.94157,32.58826,066-29,2,7,,3,,1,0,5/11/2016,11:00:00 AM,5/11/2016,4:00:00 PM,5/12/2016,4:00:00 PM,1,2,999,999,999,999,0,0,Gizela/Eloisa,J/Salma,1,0,,,,,,,,,,,,,
ACO3034,3034,5/9/2016,1/0/1900,25.94716,32.55196,046-43,2,18.9,,3,,1,1,5/9/2016,12:10:00 PM,5/10/2016,4:05:00 PM,5/11/2016,4:05:00 PM,1,2,999,13,999,999,0,0,Eloisa/Gizela,Mario Amos/Salma,1,0,,,,,,,,,,,,,
ACO3036,3036,5/11/2016,1/0/1900,25.94165,32.58835,52-43,2,16.4,,3,,1,0,5/11/2016,11:00:00 AM,5/11/2016,4:00:00 PM,5/12/2016,4:00:00 PM,1,2,999,999,999,999,0,0,Sumeya/Anabela,J/Salma,1,0,,,,,,,,,,,,,
ACO3037,3037,5/5/2016,1/0/1900,25.945,32.57927,51-29,2,15.05,A agua de banho e armazenada no mesmo lugar que a agua de beber,3,,1,0,5/5/2016,1:30:00 PM,5/5/2016,5:30:00 PM,5/6/2016,5:30:00 PM,1,2,0,0,999,86,0,0,Anabela/Sumeya,Laurinda/J,1,0,,,,,,,,,,,,,
ACO3039,3039,5/3/2016,1/0/1900,25.94148,32.58819,031-43,2,10.5,,3,,1,0,5/3/2016,3:30:00 PM,5/3/2016,6:10:00 PM,5/4/2016,6:10:00 PM,1,2,10,2,999,999,0,0,Sumeya/gizela,Mario Amos,1,0,,,,,,,,,,,,,
DCO3001,3001,5/5/2016,1/0/1900,25.94451,32.57955,038-43,2,58.5,,,,,,5/5/2016,1:30:00 PM,5/5/2016,5:30:00 PM,5/6/2016,5:30:00 PM,2,4,999,24,999,999,0,0,Eloisa/Gizela,Laurinda/J,2,0,6,1,10,,,,,,,,,,
DCO3030,3030,5/9/2016,1/0/1900,25.94335,32.58104,59-29,2,4.1,,,,,,5/9/2016,12:10:00 PM,5/9/2016,4:05:00 PM,5/10/2016,4:05:00 PM,3,5,999,999,999,999,0,0,Sumeya/Anabela,Mario Amos/Salma,2,0,7,83,80,,,,,,,,,,
DCO3031,3031,5/3/2016,1/0/1900,25.94342,32.57977,033-43,2,5.8,,,,,,5/3/2016,3:30:00 PM,5/3/2016,6:10:00 PM,5/4/2016,6:10:00 PM,3,5,999,4,999,999,0,0,Sumeya/Anabela,Mario Amos,2,0,6,0,999,,,,,,,,,,
DCO3032,3032,5/10/2016,1/0/1900,25.94332,32.58118,62-29,2,1.9,,,,,,5/10/2016,11:42:00 AM,5/10/2016,4:05:00 PM,5/11/2016,4:05:00 PM,3,5,999,27,999,999,,,Anabela/Sumeya,Salma/Mario,2,0,7,1,17,,,,,,,,,,
DCO3034,3034,5/9/2016,1/0/1900,25.94716,32.55196,046-43,2,8.3,,,,,,5/9/2016,12:10:00 PM,5/10/2016,4:05:00 PM,5/11/2016,4:05:00 PM,3,5,999,51,999,999,0,0,Eloisa/Gizela,Mario Amos/Salma,2,0,7,0,75,,,,,,,,,,
DCO3037,3037,5/5/2016,1/0/1900,25.945,32.57927,51-29,2,0.7,,,,,,5/5/2016,1:30:00 PM,5/5/2016,5:30:00 PM,5/6/2016,5:30:00 PM,2,4,999,5,999,999,0,0,Anabela/Sumeya,Laurinda/J,2,0,6,0,8,,,,,,,,,,
DPO3037,3037,5/5/2016,1/0/1900,25.94511,32.57919,52-29,2,,,,,,,5/5/2016,1:30:00 PM,5/5/2016,5:30:00 PM,5/6/2016,5:30:00 PM,3,5,999,14,999,999,0,0,Anabela/Sumeya,Laurinda/J,2,1,7,0,19,5,,,,,,,,,
CCO2029,2029,5/19/2016,1/0/1900,25.9441,32.56049,072-43,1,8.6,,,,,,5/19/2016,12:25:00 PM,5/19/2016,5:15:00 PM,5/20/2016,5:15:00 PM,3,5,999,999,999,999,,,Eloisa/Gizela,Mario Amos/J,3,0,7,14,999,,,,,,,,,,
