HouseholdID,CompoundID,MapSanHHID,dd,th,neighbor,lat,long,hh_q1,A_od,C_od,A_cf_rs,C_cf_rs,has_l,A_use_l,C_use_l,hh_q9,no_la_a,no_la_b,no_la_c,no_la_d,no_la_e,A_drink_MW,C_drink_MW,A_raw_P,C_raw_P,W_treat,collectr,group
33,3031,01,4/28/2016,10:09:00 AM,2,25.94345,32.57972,0,3,,1,,1,2,,6,0,0,1,0,0,1,,3,,0,Sumeya Branco,0
34,2042,01,5/12/2016,10:16:00 AM,1,25.94208,32.58847,1,4,4,1,1,,2,,3,1,0,0,0,0,1,1,3,3,0,Gizela Dalila,0
35,2042,03,5/22/2016,4:10:00 PM,1,25.94208,32.58847,0,4,,1,,1,2,,3,0,1,0,0,0,1,,3,,0,Eloisa Mula,0
36,2042,02,5/22/2016,3:07:00 PM,1,25.94208,32.58847,1,4,4,1,1,,2,,3,0,0,1,0,0,1,1,2,2,0,Gizela Dalila,0
37,2042,04,5/12/2016,9:55:00 AM,1,25.94208,32.58847,1,4,4,1,1,,2,,3,0,1,0,0,0,1,1,3,3,0,Gizela Dalila,0
38,2035,03,5/12/2016,10:00:00 AM,1,25.94493,32.55373,0,4,,2,,,2,,5,1,1,0,0,0,1,,2,,0,Sumeya Branco,0
39,2035,04,5/12/2016,10:06:00 AM,1,25.94493,32.55373,1,4,4,1,1,,2,,5,1,0,0,0,0,1,1,3,3,0,Anabela Mondlane,0
40,2035,02,5/12/2016,10:15:00 AM,1,25.94493,32.55373,0,,,1,,,2,,5,1,0,0,0,0,1,,3,,0,Anabela Mondlane,0
41,2035,03,5/22/2016,3:50:00 PM,1,25.94493,32.55373,1,4,4,1,1,,2,,6,0,1,0,0,0,1,1,3,3,1,Anabela Mondlane,0
42,2035,02,5/22/2016,3:49:00 PM,1,25.94493,32.55373,0,4,,1,,,2,,5,0,1,1,0,0,1,,3,,0,Sumeya Branco,0
43,2034,04,5/13/2016,10:11:00 AM,1,25.94372,32.55788,0,4,,1,,,3,,,0,1,1,0,0,1,,3,,0,Sumeya Branco,0
44,2034,01,5/13/2016,10:02:00 AM,1,25.94372,32.55788,1,4,4,1,1,,3,,4,1,1,0,0,0,1,1,3,3,0,Sumeya Branco,0
45,2034,04,5/13/2016,10:08:00 AM,1,25.94372,32.55788,1,4,4,1,1,,2,,4,0,0,1,0,0,1,1,3,3,0,Anabela Mondlane,0
46,2034,04,5/13/2016,10:00:00 AM,1,25.94372,32.55788,1,4,4,1,1,,2,,4,0,1,0,0,0,1,1,3,3,0,Anabela Mondlane,0
47,2043,01,5/13/2016,10:20:00 AM,1,25.94532,32.55682,1,4,4,1,1,,1,,4,0,0,1,0,0,1,1,3,3,0,Gizela Brito,0
48,2043,02,5/13/2016,10:26:00 AM,1,25.94532,32.55682,1,4,4,1,1,,2,,4,0,1,1,0,0,2,1,3,3,0,Eloisa Mula,0
49,2043,05,5/22/2016,3:22:00 PM,1,25.94532,32.55682,0,4,,1,,,2,,4,0,0,1,0,0,3,,1,,0,Eloisa Mula,0
