start_dt,subscriberid,simserial,deviceid,col_id,col_id_val,col_start,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_gps_device,col_gps_device_id,col_gps_device_wp,col_gps_device_lat,col_gps_device_lon,col_neighborhood,col_sample_type,col_pa_group,col_pa_prox,col_pa_type,col_pa_type_other,col_pa_latrine_distance,col_bw_group,col_bw_type,col_bw_type_other,col_bw_container,col_bw_container_lid,col_f_group,col_f_latrine_distance,col_p_group,col_p_type,col_p_num,col_ws_group,col_ws_container,col_ws_container_lid,col_b_group,col_b_source,col_b_source_other,col_b_container,col_b_container_lid,col_ww_group,col_ww_source,col_ww_source_other,col_ww_container,col_ww_container_lid,col_i_group,col_i_container,col_i_container_lid,col_s_group,col_s_type,col_s_type_other,col_d_group,col_d_water_level,col_d_water_flow,col_d_size,col_d_lining,col_d_prompt,col_d_feces,col_d_animals,col_d_schools,col_d_urban_ag,col_d_public_latrines,col_d_hh_latrines,col_d_businesses,col_d_hh,col_d_hh_num,col_close,col_enum,col_notes,end_dt,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index
2016-11-16T08:59:34.524+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwa507,Dwa507,2016-11-16T08:59:00.000+07,13.3854427 103.85049277 7.0 5.0,13.3854427,103.8504928,7,5,0,,,,,5,23,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls","Take sample directly from tube, operate by pump  and hand, red, depth 6m",2016-11-16T09:14:33.779+07,uuid:e8499eb5-9b3a-4521-acd2-7fcb44fc6169,1947,e8499eb5-9b3a-4521-acd2-7fcb44fc6169,2016-11-16T02:29:11,293,,-1
2016-11-17T08:50:46.034+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwa508,Dwa508,2016-11-17T08:51:00.000+07,13.38433561 103.85504054 -6.0 5.0,13.38433561,103.8550405,-6,5,0,,,,,5,23,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls","Take sample directly from tube, operate only pump, red, depth 30m",2016-11-17T08:52:38.317+07,uuid:0cb4f292-2b4c-4cfb-acc5-3fd66e57f3af,1968,0cb4f292-2b4c-4cfb-acc5-3fd66e57f3af,2016-11-17T02:44:12,300,,-1
2016-11-17T09:05:30.563+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwa509,Dwa509,2016-11-17T09:05:00.000+07,13.38561924 103.85324743 6.0 5.0,13.38561924,103.8532474,6,5,0,,,,,5,23,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls","Take sample from tube directly, red, only operate by hand",2016-11-17T09:06:59.985+07,uuid:dae71608-50c9-4d58-bc6d-295e6e4244c5,1972,dae71608-50c9-4d58-bc6d-295e6e4244c5,2016-11-17T02:44:20,304,,-1
2016-11-17T09:23:59.028+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwa510,Dwa510,2016-11-17T09:24:00.000+07,13.38452183 103.85062786 3.0 5.0,13.38452183,103.8506279,3,5,0,,,,,5,23,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls","Take sample from tube directly, depth 30m, no red",2016-11-17T09:25:26.159+07,uuid:eaf79afb-b751-4618-aa74-7e9fd53aa479,1976,eaf79afb-b751-4618-aa74-7e9fd53aa479,2016-11-17T02:44:28,308,,-1
2016-09-06T11:13:18.664+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb109,Dwb109,2016-09-06T11:13:00.000+07,13.35686236 103.88516845 -8.0 5.0,13.35686236,103.8851685,-8,5,0,,,,,1,22,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Water from manufacturer from tube,2016-09-06T11:16:37.216+07,uuid:dbaea6bd-8ab6-48a9-a72a-9b220f313f36,937,dbaea6bd-8ab6-48a9-a72a-9b220f313f36,2016-09-06T05:09:40,26,,-1
2016-09-06T11:16:41.540+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb110,Dwb110,2016-09-06T11:16:00.000+07,13.35690227 103.88517721 1.0 5.0,13.35690227,103.8851772,1,5,0,,,,,1,22,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Water from manufacturer from tube,2016-09-06T11:17:54.742+07,uuid:58a43528-9edf-42b6-a2f7-640ed8d0234c,938,58a43528-9edf-42b6-a2f7-640ed8d0234c,2016-09-06T05:09:42,27,,-1
2016-09-07T10:24:42.720+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb111,Dwb111,2016-09-07T10:24:00.000+07,13.35680216 103.88667078 7.0 4.0,13.35680216,103.8866708,7,4,0,,,,,1,22,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy blue bottle water along the ring road from store,2016-09-07T10:26:06.515+07,uuid:7e6f7d9c-c5f1-4156-bb8d-44b4abe24f2b,968,7e6f7d9c-c5f1-4156-bb8d-44b4abe24f2b,2016-09-07T03:41:32,41,,-1
2016-09-07T10:26:10.961+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb112,Dwb112,2016-09-07T10:26:00.000+07,13.35671641 103.88672279 2.0 5.0,13.35671641,103.8867228,2,5,0,,,,,1,22,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy blue bottle water from the small store along the ring road,2016-09-07T10:27:13.204+07,uuid:133d6929-310a-4881-a81a-5832029e004b,969,133d6929-310a-4881-a81a-5832029e004b,2016-09-07T03:41:35,42,,-1
2016-09-08T08:31:04.996+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb113,Dwb113,2016-09-08T08:31:00.000+07,13.35659253 103.88678281 -1.0 5.0,13.35659253,103.8867828,-1,5,0,,,,,1,22,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy water from store along the ring road,2016-09-08T08:33:25.733+07,uuid:816a7d8b-205c-47e4-953c-ffb94a51aed1,978,816a7d8b-205c-47e4-953c-ffb94a51aed1,2016-09-08T02:12:53,45,,-1
2016-09-12T09:22:19.651+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb114,Dwb114,2016-09-12T09:22:00.000+07,13.35663885 103.88536542 -43.0 5.0,13.35663885,103.8853654,-43,5,0,,,,,1,22,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy water from manufacturer by tube,2016-09-12T09:24:02.989+07,uuid:d5258556-32ab-408d-b123-32d375981996,1037,d5258556-32ab-408d-b123-32d375981996,2016-09-12T02:50:13,8,,-1
2016-09-12T09:24:06.255+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb115,Dwb115,2016-09-12T09:24:00.000+07,13.35669429 103.88516204 -5.0 5.0,13.35669429,103.885162,-5,5,0,,,,,1,22,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy water from manufacturer by tube,2016-09-12T09:25:21.067+07,uuid:a5032d47-1004-4d96-a629-d0ed05b1d4ba,1038,a5032d47-1004-4d96-a629-d0ed05b1d4ba,2016-09-12T02:51:18,53,,-1
2016-09-14T08:39:14.518+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb116,Dwb116,2016-09-14T08:39:00.000+07,13.35708315 103.88700822 16.0 5.0,13.35708315,103.8870082,16,5,0,,,,,1,22,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy the water along the ring road at small store.,2016-09-14T08:40:47.980+07,uuid:f697a61f-53c1-486a-ac29-458a66c25d6c,1072,f697a61f-53c1-486a-ac29-458a66c25d6c,2016-09-14T02:57:19,19,,-1
2016-09-14T08:40:50.440+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb117,Dwb117,2016-09-14T08:41:00.000+07,13.35719456 103.88705095 25.0 5.0,13.35719456,103.887051,25,5,0,,,,,1,22,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy water along the ring road at the small store.,2016-09-14T08:42:07.249+07,uuid:b0599d1b-ea6c-43f3-80e6-90569998016d,1073,b0599d1b-ea6c-43f3-80e6-90569998016d,2016-09-14T02:57:22,20,,-1
2016-09-15T09:07:08.035+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb118,Dwb118,2016-09-15T09:07:00.000+07,13.35676918 103.88669274 -15.0 5.0,13.35676918,103.8866927,-15,5,0,,,,,1,22,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy water along the ring road at the small store.,2016-09-15T09:08:14.208+07,uuid:4fe6f6bb-b4b3-4b66-92b7-55d9c4d3bdd7,1096,4fe6f6bb-b4b3-4b66-92b7-55d9c4d3bdd7,2016-09-15T02:31:12,57,,-1
2016-09-22T10:00:50.534+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb201,Dwb201,2016-09-22T10:01:00.000+07,13.37640264 103.85764188 5.0 5.0,13.37640264,103.8576419,5,5,0,,,,,2,22,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy water from small store along internal road,2016-09-22T10:02:21.571+07,uuid:389034be-7ffc-46c5-813e-dd5bd95e7811,1148,389034be-7ffc-46c5-813e-dd5bd95e7811,2016-09-22T03:27:09,80,,-1
2016-09-22T10:02:24.060+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb202,Dwb202,2016-09-22T10:02:00.000+07,13.37636982 103.85760392 1.0 5.0,13.37636982,103.8576039,1,5,0,,,,,2,22,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy water from small store along internal road,2016-09-22T10:03:18.286+07,uuid:419d0e8b-e52e-439f-9614-a1c4dcd17b50,1149,419d0e8b-e52e-439f-9614-a1c4dcd17b50,2016-09-22T03:27:12,81,,-1
2016-09-22T10:07:47.622+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb203,Dwb203,2016-09-22T10:08:00.000+07,13.37802303 103.85896869 -26.0 5.0,13.37802303,103.8589687,-26,5,0,,,,,2,22,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy water along the kralanh road from store,2016-09-22T10:09:22.409+07,uuid:25c103f2-bc07-4858-b76b-3339d93ec1f3,1150,25c103f2-bc07-4858-b76b-3339d93ec1f3,2016-09-22T03:27:17,82,,-1
2016-09-22T10:16:50.510+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb204,Dwb204,2016-09-22T10:17:00.000+07,13.37787737 103.85884051 14.0 5.0,13.37787737,103.8588405,14,5,0,,,,,2,22,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy water along kralanh road at  store,2016-09-22T10:18:10.339+07,uuid:25577448-cb29-4584-94d4-62122f4ac057,1152,25577448-cb29-4584-94d4-62122f4ac057,2016-09-22T03:27:21,84,,-1
2016-10-04T09:03:24.288+07,4.56062E+14,8.98551E+18,3.59125E+14,Dwb205,Dwb205,2016-10-04T09:03:00.000+07,13.37627386 103.85755073 -19.0 5.0,13.37627386,103.8575507,-19,5,0,,,,,2,22,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ksc, ls",Buy the water from small store,2016-10-04T09:04:41.773+07,uuid:2b9ef087-20b5-477a-aab9-315d3a54d073,1215,2b9ef087-20b5-477a-aab9-315d3a54d073,2016-10-04T03:15:14,89,,-1
