start_dt,subscriberid,simserial,deviceid,lab_id,lab_id_val,lab_processing,lab_neighborhood,lab_sample_type,lab_incubator_placed,lab_incubator_removed,lab_ws_cl_free,lab_ws_cl_total,lab_p_weight,lab_pa_weight,lab_1_note,lab_1_group,lab_1_dil_tested,lab_1_volume,lab_1_dil,lab_1_ecoli_reading,lab_1_ecoli,lab_2_group,lab_2_dil_tested,lab_2_volume,lab_2_dil,lab_2_ecoli_reading,lab_2_ecoli,lab_3_dilution_performed,lab_3_group,lab_3_dil_tested,lab_3_volume,lab_3_dil,lab_3_ecoli_reading,lab_3_ecoli,lab_closing_group,lab_enum,lab_notes,end_dt,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index,Cube or Hygiene Ice
2016-10-12T16:08:06.676+07,4.56E+14,8.99E+18,3.58E+14,DWA301,DWA301,2016-10-11T10:30:00.000+07,4,23,2016-10-11T11:30:00.000+07,2016-10-12T12:00:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,"St, Mm","Pt1: 13 Coliform
Pt2: 5 Coliform",2016-10-12T16:09:56.808+07,uuid:799d320e-350b-4fbd-8991-e61bd5ab84da,1363,799d320e-350b-4fbd-8991-e61bd5ab84da,2016-10-12T09:23:15,138,,-1,
2016-10-12T16:10:02.415+07,4.56E+14,8.99E+18,3.58E+14,DWA302,DWA302,2016-10-11T10:30:00.000+07,4,23,2016-10-11T11:30:00.000+07,2016-10-12T12:00:00.000+07,,,,,,,7,100,700,3,125,,7,10,70,3,19,0,,,,,,,,"St, Mm","Pt1: TNTC Coliform
Pt2: 24 Coliform",2016-10-12T16:11:22.165+07,uuid:c576ba46-927f-4ef3-ba61-4c501aaf91b1,1364,c576ba46-927f-4ef3-ba61-4c501aaf91b1,2016-10-12T09:23:17,139,,-1,
2016-10-14T15:30:40.806+07,4.56E+14,8.99E+18,3.58E+14,DWA303,DWA303,2016-10-13T14:00:00.000+07,4,23,2016-10-13T15:30:00.000+07,2016-10-14T15:00:00.000+07,,,,,,,7,100,700,2,,,7,10,70,1,,0,,,,,,,,St,"Pt1: TNTC Coliform
Pt2: TNTC Coliform",2016-10-14T15:32:04.101+07,uuid:743305a9-6cd9-42a5-b782-699307d5840d,1417,743305a9-6cd9-42a5-b782-699307d5840d,2016-10-14T08:44:13,165,,-1,
2016-10-14T15:32:11.830+07,4.56E+14,8.99E+18,3.58E+14,DWA304,DWA304,2016-10-13T14:00:00.000+07,4,23,2016-10-13T15:30:00.000+07,2016-10-14T15:00:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,St,"Pt1: 0 Coliform
Pt2: 0 Coliform",2016-10-14T15:33:29.599+07,uuid:3a494b85-da7e-40aa-96b7-513f3be0081a,1418,3a494b85-da7e-40aa-96b7-513f3be0081a,2016-10-14T08:44:15,166,,-1,
2016-10-20T09:08:23.114+07,4.56E+14,8.99E+18,3.58E+14,DWA305,DWA305,2016-10-18T15:00:00.000+07,4,23,2016-10-18T16:00:00.000+07,2016-10-19T16:00:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,"St, Mm","Pt1: 0 Coliform
Pt2: 0 Coliform",2016-10-20T09:09:55.736+07,uuid:cb8fccdb-8fa4-4eed-bdac-cc258f1f199b,1499,cb8fccdb-8fa4-4eed-bdac-cc258f1f199b,2016-10-20T02:14:05,179,,-1,
2016-10-20T09:10:02.366+07,4.56E+14,8.99E+18,3.58E+14,DWA306,DWA306,2016-10-18T15:00:00.000+07,4,23,2016-10-18T16:00:00.000+07,2016-10-19T16:00:00.000+07,,,,,,,7,100,700,3,1,,7,10,70,3,0,0,,,,,,,,"St, Mm","Pt1: 87 Coliform
Pt2: 9 Coliform",2016-10-20T09:11:05.721+07,uuid:830dee28-3f8d-4dd4-b1e4-542520f52835,1500,830dee28-3f8d-4dd4-b1e4-542520f52835,2016-10-20T02:14:07,180,,-1,
2016-10-20T09:11:12.639+07,4.56E+14,8.99E+18,3.58E+14,DWA307,DWA307,2016-10-18T15:00:00.000+07,4,23,2016-10-18T16:00:00.000+07,2016-10-19T16:00:00.000+07,,,,,,,7,100,700,2,,,7,10,70,1,,0,,,,,,,,"St, Mm","Pt1: TNTC Coliform
Pt2: TNTC Coliform",2016-10-20T09:12:13.293+07,uuid:c4be1bef-9ce7-4eb8-a842-4afb2beb3681,1501,c4be1bef-9ce7-4eb8-a842-4afb2beb3681,2016-10-20T02:14:09,181,,-1,
2016-10-20T16:27:44.735+07,4.56E+14,8.99E+18,3.58E+14,DWA308,DWA308,2016-10-19T14:00:00.000+07,4,23,2016-10-19T15:00:00.000+07,2016-10-20T16:00:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,St,"Pt1: 7 Coliform
Pt2: 2 Coliform",2016-10-20T16:29:12.587+07,uuid:f2691f31-6552-4e4a-a393-3472fc4870fb,1518,f2691f31-6552-4e4a-a393-3472fc4870fb,2016-10-20T09:31:21,189,,-1,
2016-10-20T16:29:17.876+07,4.56E+14,8.99E+18,3.58E+14,DWA309,DWA309,2016-10-19T14:00:00.000+07,4,23,2016-10-19T15:00:00.000+07,2016-10-20T16:00:00.000+07,,,,,,,7,100,700,3,1,,7,10,70,3,0,0,,,,,,,,St,"Pt1: 24 Coliform
Pt2: 3 Coliform",2016-10-20T16:30:27.668+07,uuid:cdfb76f5-fcdb-4894-a713-7d63f77359ea,1519,cdfb76f5-fcdb-4894-a713-7d63f77359ea,2016-10-20T09:31:23,190,,-1,
2016-10-21T15:48:32.009+07,4.56E+14,8.99E+18,3.58E+14,DWA310,DWA310,2016-10-20T14:00:00.000+07,4,23,2016-10-20T16:00:00.000+07,2016-10-21T15:00:00.000+07,,,,,,,7,100,700,3,1,,7,10,70,3,0,0,,,,,,,,St,"Pt1: 177 Coliform
Pt2: 34 Coliform",2016-10-21T15:49:47.006+07,uuid:5781b3e0-88c6-4b60-b19a-abc7906ddfd5,1533,5781b3e0-88c6-4b60-b19a-abc7906ddfd5,2016-10-21T08:52:07,198,,-1,
2016-10-26T14:14:42.372+07,4.56E+14,8.99E+18,3.58E+14,DWA401,DWA401,2016-10-25T10:30:00.000+07,3,23,2016-10-25T11:00:00.000+07,2016-10-26T11:30:00.000+07,,,,,,,7,100,700,3,40,,7,10,70,3,7,0,,,,,,,,"St, Mm","Pt1: 1 Coliform
Pt2: 1 Coliform",2016-10-26T14:16:33.336+07,uuid:856ad8b7-0888-4934-a812-63989af2c739,1610,856ad8b7-0888-4934-a812-63989af2c739,2016-10-26T07:18:27,205,,-1,
2016-10-26T14:16:49.294+07,4.56E+14,8.99E+18,3.58E+14,DWA402,DWA402,2016-10-25T10:30:00.000+07,3,23,2016-10-25T11:00:00.000+07,2016-10-26T11:30:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,"St, Mm","Pt1: 2 Coliform
Pt2: 0 Coliform",2016-10-26T14:17:58.393+07,uuid:0994a854-6ecd-443f-9ee5-18fa672ce7b1,1611,0994a854-6ecd-443f-9ee5-18fa672ce7b1,2016-10-26T07:18:29,206,,-1,
2016-10-27T14:53:39.324+07,4.56E+14,8.99E+18,3.58E+14,DWA403,DWA403,2016-10-26T10:00:00.000+07,3,23,2016-10-26T11:30:00.000+07,2016-10-27T11:20:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,"Mm,st","Pt1: 2 Coliform
Pt2: 0 Coliform",2016-10-27T14:56:04.363+07,uuid:dbb42a61-9c38-4199-956f-1966894e3cba,1643,dbb42a61-9c38-4199-956f-1966894e3cba,2016-10-27T08:41:54,217,,-1,
2016-10-27T14:56:23.128+07,4.56E+14,8.99E+18,3.58E+14,DWA404,DWA404,2016-10-26T10:00:00.000+07,3,23,2016-10-26T11:30:00.000+07,2016-10-27T11:20:00.000+07,,,,,,,7,100,700,3,1,,7,10,70,3,0,0,,,,,,,,"Mm,st","Pt1: 140 Coliform
Pt2: 35 Coliform",2016-10-27T14:58:02.644+07,uuid:38d206a0-055d-4fbe-ba37-1f95aefa4a23,1644,38d206a0-055d-4fbe-ba37-1f95aefa4a23,2016-10-27T08:41:55,218,,-1,
2016-10-28T15:50:14.622+07,4.56E+14,8.99E+18,3.58E+14,DWA405,DWA405,2016-10-27T15:00:00.000+07,3,23,2016-10-27T15:20:00.000+07,2016-10-28T15:00:00.000+07,,,,,,,7,100,700,3,7,,7,10,70,3,0,0,,,,,,,,"Mm,st","Pt1: TNTC Coliform
Pt2: 101 Coliform",2016-10-28T15:52:19.234+07,uuid:3260cca5-c97b-4b74-87c3-9ae41473e0fe,1671,3260cca5-c97b-4b74-87c3-9ae41473e0fe,2016-10-28T09:04:39,226,,-1,
2016-10-28T15:52:27.411+07,4.56E+14,8.99E+18,3.58E+14,DWA406,DWA406,2016-10-27T15:00:00.000+07,3,23,2016-10-27T15:20:00.000+07,2016-10-28T15:00:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,"Mm,st","Pt1: 0 Coliform
Pt2: 0 Coliform",2016-10-28T15:53:50.055+07,uuid:80b2942f-daff-4916-b65c-d9c62b851043,1672,80b2942f-daff-4916-b65c-d9c62b851043,2016-10-28T09:04:41,227,,-1,
2016-11-01T11:16:53.512+07,4.56E+14,8.99E+18,3.58E+14,DWA407,DWA407,2016-10-31T10:15:00.000+07,3,23,2016-10-31T11:00:00.000+07,2016-11-01T11:00:00.000+07,,,,,,,7,100,700,3,49,,7,10,70,3,4,0,,,,,,,,"St, Mm","Pt1: TNTC Coliform
Pt2: TNTC Coliform",2016-11-01T11:18:17.849+07,uuid:e44e52a9-9e2b-42ca-a06d-e536bdfd9efb,1731,e44e52a9-9e2b-42ca-a06d-e536bdfd9efb,2016-11-01T04:25:04,245,,-1,
2016-11-01T11:18:23.350+07,4.56E+14,8.99E+18,3.58E+14,DWA408,DWA408,2016-10-31T10:15:00.000+07,3,23,2016-10-31T11:00:00.000+07,2016-11-01T11:00:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,"St, Mm","Pt1: 5 Coliform
Pt2: 1 Coliform",2016-11-01T11:19:35.650+07,uuid:ef79c866-bef2-418c-b55d-99dca6fd9373,1732,ef79c866-bef2-418c-b55d-99dca6fd9373,2016-11-01T04:25:07,246,,-1,
2016-11-01T11:19:40.775+07,4.56E+14,8.99E+18,3.58E+14,DWA409,DWA409,2016-10-31T10:15:00.000+07,3,23,2016-10-31T11:00:00.000+07,2016-11-01T11:00:00.000+07,,,,,,,7,100,700,3,40,,7,10,70,3,13,0,,,,,,,,"St, Mm","Pt1: TNTC Coliform
Pt2: TNTC Coliform",2016-11-01T11:20:38.107+07,uuid:66fef1b8-135c-49b6-9d46-41ce7c3cf087,1733,66fef1b8-135c-49b6-9d46-41ce7c3cf087,2016-11-01T04:25:09,247,,-1,
2016-11-02T15:48:46.086+07,4.56E+14,8.99E+18,3.58E+14,DWA410,DWA410,2016-11-01T14:15:00.000+07,3,23,2016-11-01T14:55:00.000+07,2016-11-02T15:00:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,"Mm,st","Pt1: 0 Coliform
Pt2: 0 Coliform",2016-11-02T15:50:21.140+07,uuid:816dea15-6b28-4c92-97d4-7bb7e5560958,1748,816dea15-6b28-4c92-97d4-7bb7e5560958,2016-11-02T09:24:44,258,,-1,
2016-11-08T15:11:39.270+07,4.56E+14,8.99E+18,3.58E+14,DWA501,DWA501,2016-11-07T14:00:00.000+07,5,23,2016-11-07T15:30:00.000+07,2016-11-08T15:00:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,"Mm,st","Pt1: 86 Coliform
Pt2: 24 Coliform",2016-11-08T15:14:34.424+07,uuid:a24d60eb-1067-4b9c-86ae-283ef2748380,1883,a24d60eb-1067-4b9c-86ae-283ef2748380,2016-11-08T08:16:21,264,,-1,
2016-11-08T15:14:39.246+07,4.56E+14,8.99E+18,3.58E+14,DWA502,DWA502,2016-11-07T14:00:00.000+07,5,23,2016-11-07T15:30:00.000+07,2016-11-08T15:00:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,"Mm,st","Pt1: 0 Coliform
Pt2: 0 Coliform",2016-11-08T15:16:04.136+07,uuid:0fe6ec36-eb39-4169-9a3c-3f13ce4662c3,1884,0fe6ec36-eb39-4169-9a3c-3f13ce4662c3,2016-11-08T08:16:24,265,,-1,
2016-11-16T11:49:45.859+07,4.56E+14,8.99E+18,3.58E+14,DWA503,DWA503,2016-11-08T10:00:00.000+07,5,23,2016-11-08T11:30:00.000+07,2016-11-09T13:15:00.000+07,,,,,,,7,100,700,3,0,,7,10,70,3,0,0,,,,,,,,"St, Mm","Pt1: 0 Coliform
Pt2: 0 Coliform",2016-11-16T11:50:53.486+07,uuid:88e82bff-2ec2-4f11-b8fa-db48632a20e3,1954,88e82bff-2ec2-4f11-b8fa-db48632a20e3,2016-11-16T05:33:31,279,,-1,
2016-11-16T11:51:04.266+07,4.56E+14,8.99E+18,3.58E+14,DWA504,DWA504,2016-11-08T10:00:00.000+07,5,23,2016-11-08T11:30:00.000+07,2016-11-09T13:15:00.000+07,,,,,,,7,100,700,1,,,7,10,70,3,71,0,,,,,,,,"St, Mm","Pt1: TNTC Coliform
Pt3: TNTC Coliform",2016-11-16T11:52:11.462+07,uuid:1548531a-43fe-48fe-9a0b-fff8ee9702d0,1955,1548531a-43fe-48fe-9a0b-fff8ee9702d0,2016-11-16T05:33:34,280,,-1,
2016-11-17T16:15:21.956+07,4.56E+14,8.99E+18,3.58E+14,DWA505,DWA505,2016-11-16T10:30:00.000+07,5,23,2016-11-16T11:30:00.000+07,2016-11-17T14:00:00.000+07,,,,,,,7,100,700,1,,,7,10,70,3,56,0,,,,,,,,"Mm,st","Pt1: 0 Coliform
Pt2: 0 Coliform",2016-11-17T16:17:16.034+07,uuid:d5552766-c73a-428e-a14a-4013d895b023,1984,d5552766-c73a-428e-a14a-4013d895b023,2016-11-17T09:57:27,294,,-1,
2016-11-17T16:17:31.924+07,4.56E+14,8.99E+18,3.58E+14,DWA506,DWA506,2016-11-16T10:30:00.000+07,5,23,2016-11-17T11:30:00.000+07,2016-11-17T14:00:00.000+07,,,,,,,7,100,700,3,55,,7,10,70,3,6,0,,,,,,,,"Mm,st","Pt1: TNTC Coliform
Pt2: 53 Coliform",2016-11-17T16:18:59.833+07,uuid:524052df-4166-411f-9a73-74a6ef962656,1985,524052df-4166-411f-9a73-74a6ef962656,2016-11-17T09:57:29,295,,-1,
2016-11-17T16:25:12.422+07,4.56E+14,8.99E+18,3.58E+14,DWA507,DWA507,2016-11-16T10:30:00.000+07,5,23,2016-11-16T11:30:00.000+07,2016-11-17T14:00:00.000+07,,,,,,,7,100,700,3,3,,7,10,70,3,0,0,,,,,,,,"Mm,st","Pt1: 92 Coliform
Pt2: 19 Coliform",2016-11-17T16:26:30.616+07,uuid:6516c3fd-7c60-425b-8eed-716fea9c6f64,1986,6516c3fd-7c60-425b-8eed-716fea9c6f64,2016-11-17T09:57:31,296,,-1,
