lab_start_dt,lab_sample_type,lab_id,lab_id_val,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_p_weight,lab_sf_weight,lab_pa_weight,lab_1_group/lab_1_dil_tested,lab_1_group/lab_1_volume,lab_1_ecoli_reading_membrane,lab_1_ecoli_membrane,lab_2_group/lab_2_dil_tested,lab_2_group/lab_2_volume,lab_2_ecoli_reading_membrane,lab_2_ecoli_membrane,lab_3_dilution_performed,lab_3_group/lab_3_dil_tested,lab_3_group/lab_3_volume,lab_3_ecoli_reading_membrane,lab_3_ecoli_membrane,lab_notes,lab_enum,lab_photo,lab_end_dt,col_start_dt,col_end_dt,meta/instanceID,_uuid,_submission_time,_tags,_notes
2018-10-22T16:10:31.616Z,3,1003,1003,2018-10-08T13:00:00.000Z,2018-10-08T14:30:00.000Z,2018-10-09T14:30:00.000Z,n/a,n/a,n/a,7,100,3,0,7,10,3,0,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-22T16:11:50.711Z,2018-10-22T16:10:31.618Z,2018-10-22T16:11:50.711Z,uuid:9e9966e9-bc12-4e4f-b99e-ae5b5df4e9cc,9e9966e9-bc12-4e4f-b99e-ae5b5df4e9cc,2018-10-22T16:44:10,,
2018-10-22T16:13:59.977Z,3,1002,1002,2018-10-08T13:00:00.000Z,2018-10-08T14:30:00.000Z,2018-10-09T14:30:00.000Z,n/a,n/a,n/a,7,100,3,0,7,10,3,0,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-22T16:15:40.300Z,2018-10-22T16:13:59.978Z,2018-10-22T16:15:40.300Z,uuid:1bdd038b-0e56-45d1-b85b-3539a98e5495,1bdd038b-0e56-45d1-b85b-3539a98e5495,2018-10-22T16:44:14,,
2018-10-22T16:15:54.721Z,6,7004,7004,2018-10-09T11:00:00.000Z,2018-10-09T15:00:00.000Z,2018-10-10T15:00:00.000Z,n/a,n/a,n/a,7,1,1,n/a,6,1,1,n/a,1,5,1,3,27,n/a,BB,0,2018-10-22T16:18:03.795Z,2018-10-22T16:15:54.722Z,2018-10-22T16:18:03.795Z,uuid:b00ff595-0d68-4e72-937e-7d1a5c8d6456,b00ff595-0d68-4e72-937e-7d1a5c8d6456,2018-10-22T16:44:16,,
2018-10-22T16:18:12.001Z,6,7003,7003,2018-10-09T11:00:00.000Z,2018-10-09T15:00:00.000Z,2018-10-10T15:00:00.000Z,n/a,n/a,n/a,7,1,1,n/a,6,1,1,n/a,1,5,1,3,81,n/a,BB,0,2018-10-22T16:21:02.608Z,2018-10-22T16:18:12.001Z,2018-10-22T16:21:02.608Z,uuid:ef9d0e14-5f54-4411-a52d-a2a85a82a017,ef9d0e14-5f54-4411-a52d-a2a85a82a017,2018-10-22T16:44:21,,
2018-10-22T16:21:27.415Z,6,7002,7002,2018-10-09T11:00:00.000Z,2018-10-09T15:00:00.000Z,2018-10-10T15:00:00.000Z,n/a,n/a,n/a,7,1,3,100,6,1,3,4,1,5,1,3,0,n/a,BB,0,2018-10-22T16:23:12.774Z,2018-10-22T16:21:27.415Z,2018-10-22T16:23:12.774Z,uuid:216a78d5-0eaf-4f86-9ad0-f6858e974710,216a78d5-0eaf-4f86-9ad0-f6858e974710,2018-10-22T16:44:26,,
2018-10-22T16:23:32.642Z,6,7001,7001,2018-10-09T11:00:00.000Z,2018-10-09T15:00:00.000Z,2018-10-10T15:00:00.000Z,n/a,n/a,n/a,7,1,3,76,6,1,3,8,1,5,1,3,0,n/a,BB,0,2018-10-22T16:25:00.281Z,2018-10-22T16:23:32.642Z,2018-10-22T16:25:00.281Z,uuid:f0a141d7-3871-4abd-b30d-1246423c4987,f0a141d7-3871-4abd-b30d-1246423c4987,2018-10-22T16:44:29,,
2018-10-22T16:26:51.576Z,2,2008,2008,2018-10-09T11:00:00.000Z,2018-10-09T15:00:00.000Z,2018-10-10T15:00:00.000Z,78.22,n/a,n/a,7,10,3,19,7,1,3,0,1,6,1,3,0,n/a,BB,0,2018-10-22T16:28:43.275Z,2018-10-22T16:26:51.577Z,2018-10-22T16:28:43.275Z,uuid:622e0bf0-2f75-4fa3-bb1c-2ec30cf1f777,622e0bf0-2f75-4fa3-bb1c-2ec30cf1f777,2018-10-22T16:44:34,,
2018-10-22T16:28:50.697Z,2,2010,2010,2018-10-09T11:00:00.000Z,2018-10-09T15:00:00.000Z,2018-10-10T15:00:00.000Z,230.85,n/a,n/a,7,10,3,0,7,1,3,0,1,6,1,3,0,n/a,BB,0,2018-10-22T16:42:05.869Z,2018-10-22T16:28:50.697Z,2018-10-22T16:42:05.869Z,uuid:91d2dfc4-8bce-41f4-8d64-3f44894933a5,91d2dfc4-8bce-41f4-8d64-3f44894933a5,2018-10-22T16:44:38,,
2018-10-24T10:23:05.646Z,3,1009,1009,2018-10-09T11:00:00.000Z,2018-10-09T15:00:00.000Z,2018-10-10T15:00:00.000Z,n/a,n/a,n/a,7,100,3,5,7,10,3,0,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-24T10:25:22.722Z,2018-10-24T10:23:05.647Z,2018-10-24T10:25:22.722Z,uuid:5dd0c4d2-02cc-4139-90da-fff703b2b864,5dd0c4d2-02cc-4139-90da-fff703b2b864,2018-10-25T15:41:13,,
2018-10-24T10:25:31.688Z,7,3008,3008,2018-10-09T11:00:00.000Z,2018-10-09T15:00:00.000Z,2018-10-10T15:00:00.000Z,n/a,n/a,n/a,7,10,3,0,6,1,3,0,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-24T10:27:16.496Z,2018-10-24T10:25:31.688Z,2018-10-24T10:27:16.496Z,uuid:3e155deb-0254-420b-a265-5d610e5e3a38,3e155deb-0254-420b-a265-5d610e5e3a38,2018-10-25T15:41:15,,
