col_start_dt,subscriberid,simserial,deviceid,col_end_dt,col_neighborhood,col_sample_type,col_id,col_id_val,col_start,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_weather,col_rainyest,col_rainweek,col_rainmon,col_pa_prox,col_pa_type,col_pa_type_other,col_pa_latrine_distance,col_bw_type,col_bw_type_other,col_bw_container,col_bw_container_lid,col_bw_cl_id,col_bw_cl_free,col_bw_cl_total,col_f_latrine_distance,col_p_type,col_p_type_other,col_p_num,col_dw_type,col_dw_type_other,col_dw_container,col_dw_container_lid,col_dw_id,col_dw_cl_free,col_dw_cl_total,col_l_toilet_type,col_l_toilet_type_other,col_l_toilet_stalls,col_l_toilet_feces,col_l_toilet_users,col_l_toilet_hw,col_s_type,col_s_type_other,col_d_water_level,col_d_water_flow,col_d_size,col_d_lining,col_d_lining_oth,col_d_feces,col_d_animals,col_d_schools,col_d_urban_ag,col_d_public_latrines,col_d_hh_latrines,col_d_shops,col_d_hh,col_d_hh_num,col_sf_type,col_sf_type_other,col_o_type,col_o_type_other,col_notes,col_enum,col_photo,__version__,meta/instanceID,_uuid,_submission_time,_tags,_notes
2017-11-03T09:58:48.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ozZzUPMAuhgmwzed,2017-11-03T10:00:43.000-04:00,7,9,1142,1142,2017-04-19T09:22:00.000-04:00,23.70310425 90.42805985 -40.23763721 0,23.70310425,90.42805985,-40.23763721,0,1,0,1,n/a,n/a,n/a,n/a,n/a,88,WASA water stored in reserve,1,0,1,0,0.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,N/A,"4,8",1,v9wkYGvi6LZk5JFVS8i29h,uuid:5d4154e6-4860-42b5-8463-7bf226fc2bdd,5d4154e6-4860-42b5-8463-7bf226fc2bdd,2017-11-03T14:00:49,,
2017-11-03T10:00:43.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ozZzUPMAuhgmwzed,2017-11-03T10:02:08.000-04:00,7,9,1143,1143,2017-04-19T10:37:00.000-04:00,23.69918605 90.43046176 -40.92441991 0,23.69918605,90.43046176,-40.92441991,0,1,0,1,n/a,n/a,n/a,n/a,n/a,3,n/a,0,n/a,1,0.1,0.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,WASA by piped to tubewell,"4,8",1,v9wkYGvi6LZk5JFVS8i29h,uuid:1f0302b4-149f-402a-96e6-3892432e2c57,1f0302b4-149f-402a-96e6-3892432e2c57,2017-11-03T14:02:15,,
2017-11-03T10:02:09.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ozZzUPMAuhgmwzed,2017-11-03T10:03:36.000-04:00,7,9,1179,1179,2017-04-20T10:00:00.000-04:00,23.69414661 90.43203619 -38.59756355 0,23.69414661,90.43203619,-38.59756355,0,1,1,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,0,n/a,1,0.1,0.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"WASA piped to tubewell, near Latrine","4,8",1,v9wkYGvi6LZk5JFVS8i29h,uuid:3a039bcd-59fc-42dc-9317-a5b2795ee3b2,3a039bcd-59fc-42dc-9317-a5b2795ee3b2,2017-11-03T14:03:43,,
2017-11-03T10:03:37.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ozZzUPMAuhgmwzed,2017-11-03T10:04:56.000-04:00,7,9,1180,1180,2017-04-20T10:31:00.000-04:00,23.69563239 90.43175435 -39.17133364 0,23.69563239,90.43175435,-39.17133364,0,1,1,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,0,n/a,1,0,0.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,WASA piped to tubewell and closer Latrine,"4,8",1,v9wkYGvi6LZk5JFVS8i29h,uuid:5fc58ae0-21b2-4f1a-923e-e32a88f473f2,5fc58ae0-21b2-4f1a-923e-e32a88f473f2,2017-11-03T14:05:01,,
2017-11-03T10:04:57.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ozZzUPMAuhgmwzed,2017-11-03T10:07:46.000-04:00,7,10,1113,1113,2017-04-17T11:11:00.000-04:00,23.70878505 90.42485182 -30.99041496 0,23.70878505,90.42485182,-30.99041496,0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,N/A,"4,8",1,v9wkYGvi6LZk5JFVS8i29h,uuid:81792963-51e0-4d8f-8ea2-babd6b1832a9,81792963-51e0-4d8f-8ea2-babd6b1832a9,2017-11-03T14:07:52,,
2017-11-03T10:07:47.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ozZzUPMAuhgmwzed,2017-11-03T10:08:58.000-04:00,7,10,1114,1114,2017-04-17T11:20:00.000-04:00,23.70855289 90.42532539 -40.88943536 0,23.70855289,90.42532539,-40.88943536,0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,N/A,"4,8",1,v9wkYGvi6LZk5JFVS8i29h,uuid:b3686dea-cd38-4144-bf8f-0114e5432369,b3686dea-cd38-4144-bf8f-0114e5432369,2017-11-03T14:09:05,,
2017-11-03T10:08:59.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ozZzUPMAuhgmwzed,2017-11-03T10:10:02.000-04:00,7,10,1120,1120,2017-04-18T08:49:00.000-04:00,23.70737672 90.42603631 -44.19075691 0,23.70737672,90.42603631,-44.19075691,0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,N/A,"4,8",1,v9wkYGvi6LZk5JFVS8i29h,uuid:dfcf051d-526b-4fc5-8dfa-a984def4f699,dfcf051d-526b-4fc5-8dfa-a984def4f699,2017-11-03T14:10:09,,
2017-11-03T10:10:03.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ozZzUPMAuhgmwzed,2017-11-03T10:11:02.000-04:00,7,10,1121,1121,2017-04-18T10:00:00.000-04:00,23.70517911 90.42711982 -42.13384572 0,23.70517911,90.42711982,-42.13384572,0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,N/A,"4,8",1,v9wkYGvi6LZk5JFVS8i29h,uuid:e2c9cc25-9ea0-446e-b309-8582ecb53036,e2c9cc25-9ea0-446e-b309-8582ecb53036,2017-11-03T14:11:09,,
2017-11-03T10:11:03.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ozZzUPMAuhgmwzed,2017-11-03T10:11:59.000-04:00,7,10,1122,1122,2017-04-18T11:02:00.000-04:00,23.70398745 90.42785227 -47.67326815 0,23.70398745,90.42785227,-47.67326815,0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,N/A,"4,8",1,v9wkYGvi6LZk5JFVS8i29h,uuid:a7627dc0-bc00-4db7-a441-4abb9cb373df,a7627dc0-bc00-4db7-a441-4abb9cb373df,2017-11-03T14:12:06,,
2017-11-03T10:12:01.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ozZzUPMAuhgmwzed,2017-11-03T10:13:13.000-04:00,7,10,1144,1144,2017-04-19T11:16:00.000-04:00,23.69608045 90.43213707 -47.24667862 0,23.69608045,90.43213707,-47.24667862,0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,N/A,"4,8",1,v9wkYGvi6LZk5JFVS8i29h,uuid:eac54612-a522-483e-8c8a-8cf6faf6a35a,eac54612-a522-483e-8c8a-8cf6faf6a35a,2017-11-03T14:13:20,,
2017-11-03T10:13:14.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ozZzUPMAuhgmwzed,2017-11-03T10:14:13.000-04:00,7,10,1145,1145,2017-04-19T10:14:00.000-04:00,23.70131413 90.42911785 -41.46672808 0,23.70131413,90.42911785,-41.46672808,0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,N/A,"4,8",1,v9wkYGvi6LZk5JFVS8i29h,uuid:00e2659b-4158-4f91-80be-1756ef2afcab,00e2659b-4158-4f91-80be-1756ef2afcab,2017-11-03T14:14:20,,
2017-11-03T10:14:15.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ozZzUPMAuhgmwzed,2017-11-03T10:15:31.000-04:00,7,10,1146,1146,2017-04-19T09:44:00.000-04:00,23.70202142 90.4288419 -42.58124317 0,23.70202142,90.4288419,-42.58124317,0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,Near by railway station,"4,8",1,v9wkYGvi6LZk5JFVS8i29h,uuid:d00590ea-afa8-4533-860b-98c6c8c925be,d00590ea-afa8-4533-860b-98c6c8c925be,2017-11-03T14:15:38,,
2017-11-03T10:15:33.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ozZzUPMAuhgmwzed,2017-11-03T10:16:33.000-04:00,7,10,1175,1175,2017-04-20T11:02:00.000-04:00,23.69694967 90.43157521 -36.40304614 0,23.69694967,90.43157521,-36.40304614,0,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,"Open place,dirty","4,8",1,v9wkYGvi6LZk5JFVS8i29h,uuid:2209f783-7fca-43e5-8def-759d983587a7,2209f783-7fca-43e5-8def-759d983587a7,2017-11-03T14:16:41,,
2017-11-03T10:16:35.000-04:00,subscriberid not found,simserial not found,enketo.sanipath.org:ozZzUPMAuhgmwzed,2017-11-03T10:17:35.000-04:00,7,10,1176,1176,2017-04-20T10:17:00.000-04:00,23.69465586 90.43231642 -34.93589939 0,23.69465586,90.43231642,-34.93589939,0,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,"Trash, children eating","4,8",1,v9wkYGvi6LZk5JFVS8i29h,uuid:ac9380e6-bb17-4d2a-af9c-2afea3730218,ac9380e6-bb17-4d2a-af9c-2afea3730218,2017-11-03T14:17:42,,
