lab_start_dt,subscriberid,simserial,deviceid,lab_end_dt,lab_ward,lab_neighborhood,lab_sample_type,lab_sample_type_fp,lab_sample_type_co,lab_id,lab_id_val,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_sw_type,lab_wg5_note,lab_1_wg5_note,lab_1_wg5_dil_tested,lab_1_wg5_volume,lab_1_wg5_plaque_reading_mst,lab_1_wg5_plaque_mst,lab_2_wg5_dil_tested,lab_2_wg5_volume,lab_2_wg5_plaque_reading_mst,lab_2_wg5_plaque_mst,lab_3_wg5_dilution_performed,lab_3_wg5_dil_tested,lab_3_wg5_volume,lab_3_wg5_plaque_reading_mst,lab_3_wg5_plaque_mst,lab_gb124_note,lab_1_gb124_note,lab_1_gb124_dil_tested,lab_1_gb124_volume,lab_1_gb124_plaque_reading_mst,lab_1_gb124_plaque_mst,lab_2_gb124_dil_tested,lab_2_gb124_volume,lab_2_gb124_plaque_reading_mst,lab_2_gb124_plaque_mst,lab_3_gb124_dilution_performed,lab_3_gb124_dil_tested,lab_3_gb124_volume,lab_3_gb124_plaque_reading_mst,lab_3_gb124_plaque_mst,lab_enrichment,lab_enr_inc_placed,lab_enr_inc_removed,lab_wg5_enr_note,lab_1_wg5_enr_enr_note,lab_1_wg5_enr_dil_tested,lab_1_wg5_enr_volume,lab_1_wg5_enr_plaque_reading_mst,lab_1_wg5_enr_plaque_mst,lab_2_wg5_enr_dil_tested,lab_2_wg5_enr_volume,lab_2_wg5_enr_plaque_reading_mst,lab_2_wg5_enr_plaque_mst,lab_3_wg5_enr_dilution_performed,lab_3_wg5_enr_dil_tested,lab_3_wg5_enr_volume,lab_3_wg5_enr_plaque_reading_mst,lab_3_wg5_enr_plaque_mst,lab_gb124_enr_enr_note,lab_1_gb124_enr_note,lab_1_gb124_enr_dil_tested,lab_1_gb124_enr_volume,lab_1_gb124_enr_plaque_reading_mst,lab_1_gb124_enr_plaque_mst,lab_2_gb124_enr_dil_tested,lab_2_gb124_enr_volume,lab_2_gb124_enr_plaque_reading_mst,lab_2_gb124_enr_plaque_mst,lab_3_gb124_enr_dilution_performed,lab_3_gb124_enr_dil_tested,lab_3_gb124_enr_volume,lab_3_gb124_enr_plaque_reading_mst,lab_3_gb124_enr_plaque_mst,lab_closing,lab_notes,lab_enum,lab_photo,__version__,_id,_uuid,_submission_time,_index
2020-02-18T12:32:04.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020-02-18T12:33:41.000+06:30,58,2,14,143,NA,FPc2003,FPc2003,2020-02-14T14:30:00.000+06:30,2020-02-14T15:30:00.000+06:30,2020-02-15T11:00:00.000+06:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2020-02-14T15:30:00.000+06:30,2020-02-15T11:00:00.000+06:30,NA,NA,7,1000,3,0,7,100,3,0,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,NA,NA,"2,7",1,vVxprsBZWx2CVdrnPGfyUR,8040,f4465432-bf00-41aa-bc44-16b82cb23c70,2020-02-18T06:59:44,517
2020-02-18T12:33:43.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020-02-18T12:35:20.000+06:30,58,2,15,NA,151,COa2007,COa2007,2020-02-14T14:30:00.000+06:30,2020-02-14T15:30:00.000+06:30,2020-02-15T11:00:00.000+06:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2020-02-14T15:30:00.000+06:30,2020-02-15T11:00:00.000+06:30,NA,NA,7,1000,3,110,7,100,3,14,0,NA,NA,NA,NA,NA,NA,7,5000,3,1,7,1000,3,1,1,7,100,3,0,NA,NA,"2,7",1,vVxprsBZWx2CVdrnPGfyUR,8041,6123308f-ff1e-405e-b3b2-431e71b79215,2020-02-18T07:01:23,518
2020-02-18T12:35:22.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020-02-18T12:37:03.000+06:30,58,2,15,NA,152,COb2019,COb2019,2020-02-14T14:30:00.000+06:30,2020-02-14T15:30:00.000+06:30,2020-02-15T11:00:00.000+06:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2020-02-14T15:30:00.000+06:30,2020-02-15T11:00:00.000+06:30,NA,NA,7,1000,3,0,7,100,3,0,0,NA,NA,NA,NA,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,NA,NA,"2,7",1,vVxprsBZWx2CVdrnPGfyUR,8042,307e3c08-6949-4dc2-aa07-de5979adb4dc,2020-02-18T07:03:07,519
2020-02-24T11:54:31.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020-02-24T11:56:09.000+06:30,33,1,97,NA,NA,SL1001ae,SL1001,2020-02-14T15:30:00.000+06:30,2020-02-18T14:00:00.000+06:30,2020-02-19T11:00:00.000+06:30,NA,NA,NA,10,1000,3,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1581033600,1,vVxprsBZWx2CVdrnPGfyUR,8244,68ff3db9-0de3-4edb-897a-569e204a92d9,2020-02-24T06:22:06,520
2020-02-24T11:56:09.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020-02-24T11:57:11.000+06:30,33,1,97,NA,NA,B124-21ac,B124-21,2020-02-14T15:30:00.000+06:30,2020-02-18T14:00:00.000+06:30,2020-02-19T11:00:00.000+06:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1000,3,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1581033600,1,vVxprsBZWx2CVdrnPGfyUR,8245,868ff929-658b-4845-abf3-2230cff6fe8d,2020-02-24T06:23:07,521
2020-02-24T11:57:11.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020-02-24T12:06:12.000+06:30,59,1,11,NA,NA,PLc1200,PLc1200,2020-02-17T14:30:00.000+06:30,2020-02-18T14:00:00.000+06:30,2020-02-19T11:00:00.000+06:30,4,NA,NA,7,1000,4,NA,7,100,3,25,1,4,1000,3,1,NA,NA,7,5000,4,NA,7,1000,4,NA,1,7,100,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WG5 1:10^4 - 0 vol. 1ml.; WG5 Undiluted 1ml is clear with some plaque.,1581033600,1,vVxprsBZWx2CVdrnPGfyUR,8246,507a0591-605b-4150-bd9c-6d2ca4102c76,2020-02-24T06:32:12,522
2020-02-24T12:06:13.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020-02-24T12:07:51.000+06:30,59,1,11,NA,NA,PLc1201,PLc1201,2020-02-17T14:30:00.000+06:30,2020-02-18T14:00:00.000+06:30,2020-02-19T11:00:00.000+06:30,4,NA,NA,7,1000,1,NA,7,100,1,NA,1,4,1000,3,9,NA,NA,7,5000,1,NA,7,1000,1,NA,1,7,100,3,90,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WG5 1:10^4 - 1 vol. 1ml.,1581033600,1,vVxprsBZWx2CVdrnPGfyUR,8247,b5204925-1e92-4189-b43f-4a87d627a1c3,2020-02-24T06:33:49,523
2020-02-24T12:07:52.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020-02-24T12:09:21.000+06:30,59,1,11,NA,NA,PLc1202,PLc1202,2020-02-17T14:30:00.000+06:30,2020-02-18T14:00:00.000+06:30,2020-02-19T11:00:00.000+06:30,4,NA,NA,7,1000,1,NA,7,100,3,37,1,4,1000,3,0,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WG5 1:10^4 - 0 vol. 1ml.,1581033600,1,vVxprsBZWx2CVdrnPGfyUR,8248,1a8ee58e-07f2-4aa7-8236-3eac1d12f20a,2020-02-24T06:35:17,524
2020-02-24T12:09:22.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020-02-24T12:10:52.000+06:30,59,1,11,NA,NA,PLc1203,PLc1203,2020-02-17T14:30:00.000+06:30,2020-02-18T14:00:00.000+06:30,2020-02-19T11:00:00.000+06:30,4,NA,NA,7,1000,1,NA,7,100,3,166,1,4,1000,3,0,NA,NA,7,5000,3,1,7,1000,3,0,1,7,100,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WG5 1:10^4 - 0 vol. 1ml.,1581033600,1,vVxprsBZWx2CVdrnPGfyUR,8249,c8f67368-18f6-4d55-ab51-0835a1f7a0f1,2020-02-24T06:36:49,525
2020-02-24T12:10:53.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020-02-24T12:12:30.000+06:30,59,1,11,NA,NA,PLc1199,PLc1199,2020-02-17T14:30:00.000+06:30,2020-02-18T14:00:00.000+06:30,2020-02-19T11:00:00.000+06:30,4,NA,NA,7,1000,1,NA,7,100,3,85,1,4,1000,3,4,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WG5 1:10^4 - 1 vol. 1ml.,1581033600,1,vVxprsBZWx2CVdrnPGfyUR,8250,d06dc367-faab-44d8-93f5-134dc0b48fb4,2020-02-24T06:38:28,526
2020-02-24T12:12:31.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020-02-24T12:14:09.000+06:30,58,2,8,NA,NA,SL2003,SL2003,2020-02-18T13:00:00.000+06:30,2020-02-18T14:00:00.000+06:30,2020-02-19T11:00:00.000+06:30,NA,NA,NA,7,1000,3,8,7,100,3,0,0,NA,NA,NA,NA,NA,NA,7,5000,3,1,7,1000,3,0,1,7,100,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1581033600,1,vVxprsBZWx2CVdrnPGfyUR,8251,0cc18ff8-ac2a-4ac5-98cc-5dc8fa4b8625,2020-02-24T06:40:06,527
2020-02-24T12:14:10.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020-02-24T12:15:43.000+06:30,57,1,16,NA,NA,UF1023,UF1023,2020-02-18T13:00:00.000+06:30,2020-02-18T14:00:00.000+06:30,2020-02-19T11:00:00.000+06:30,NA,NA,NA,7,1000,1,NA,7,100,1,NA,1,4,1000,3,5,NA,NA,7,5000,4,NA,7,1000,1,NA,1,7,100,3,239,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WG5 1:10^4 - 0 vol. 1ml.,1581033600,1,vVxprsBZWx2CVdrnPGfyUR,8252,98b0b76e-e7cf-4c71-b3f0-4c4a0242729a,2020-02-24T06:41:40,528
2020-02-24T12:15:43.000+06:30,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2020-02-24T12:17:11.000+06:30,58,1,5,NA,NA,SW2002,SW2002,2020-02-18T13:00:00.000+06:30,2020-02-18T14:00:00.000+06:30,2020-02-19T11:00:00.000+06:30,NA,NA,NA,7,1000,1,NA,7,100,3,16,0,NA,NA,NA,NA,NA,NA,7,5000,3,1,7,1000,3,0,1,7,100,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1581033600,1,vVxprsBZWx2CVdrnPGfyUR,8253,ef177565-0377-46ec-aa8b-40700ddea148,2020-02-24T06:43:08,529
