"response_id","neighborhood_id","number_participant","number_male","number_female","c_c_y","c_d_a_0","c_d_a_1","c_d_a_2","c_d_a_3","c_d_c_0","c_d_c_1","c_d_c_2","c_d_c_3","c_d_c_na","c_dw_a_0","c_dw_a_1","c_dw_a_2","c_dw_a_3","c_dw_a_na","c_dw_c_0","c_dw_c_1","c_dw_c_2","c_dw_c_3","c_dw_c_na","c_dw_e_wt_0","c_dw_e_wt_1","c_f_a_0","c_f_a_1","c_f_a_2","c_f_a_3","c_f_c_0","c_f_c_1","c_f_c_2","c_f_c_3","c_f_c_na","c_l_a_0","c_l_a_1","c_l_a_2","c_l_a_3","c_l_c_0","c_l_c_1","c_l_c_2","c_l_c_3","c_l_c_na","c_neighborhood_y","c_p_a_0","c_p_a_1","c_p_a_2","c_p_a_3","c_p_c_0","c_p_c_1","c_p_c_2","c_p_c_3","c_p_c_na","c_participant_female","c_participant_female_obs_end","c_participant_male","c_participant_male_obs_end","c_pl_a_tf_0","c_pl_a_tf_1","c_pl_a_th_0","c_pl_a_th_1","c_pl_a_tu_0","c_pl_a_tu_1","c_pl_a_tw_0","c_pl_a_tw_1","response_date","GPS_latitude","GPS_longitude"
57,1,18,0,18,"9","4","2","2","10","1","2","3","5","5","0","0","0","14","3","0","0","3","11","2","17","1","9","1","1","6","1","0","0","5","9","8","0","1","8","4","0","0","5","8","0","8","1","3","5","3","2","1","4","7","0","0","0","0","16","2","12","6","12","6","13","5",2014-03-06,"12.91137","79.14134"
58,1,18,0,18,"4","7","2","0","8","0","1","0","2","1","1","3","0","10","4","0","0","1","3","0","13","5","3","4","3","8","0","1","0","3","0","10","1","0","6","0","1","0","3","0","0","4","3","4","7","0","2","1","1","0","0","0","0","0","18","0","9","9","9","9","9","9",2014-03-07,"12.91137","79.14134"
59,1,12,12,0,"3","6","1","1","3","0","0","0","1","2","2","1","0","0","8","0","0","1","1","1","9","3","4","1","1","5","0","0","0","0","3","4","1","2","5","0","1","0","1","1","0","8","2","1","1","0","0","0","0","3","0","0","0","0","11","1","8","4","7","5","9","3",2014-03-06,"12.91137","79.14134"
60,1,16,16,0,"5","8","2","1","5","3","0","0","1","1","1","1","0","11","3","0","0","0","4","1","10","6","4","2","0","10","1","0","1","0","3","6","3","3","4","0","1","0","2","2","0","11","2","2","1","2","0","0","1","2","0","2","0","12","16","0","7","9","7","9","7","9",2014-03-07,"12.91137","79.14134"
113,2,14,0,14,"4","4","7","0","3","0","1","0","0","3","0","0","1","11","1","2","0","0","2","0","2","12","6","6","1","0","0","0","1","0","3","6","0","0","9","0","2","1","0","1","0","2","5","5","2","1","0","1","0","2","0","0","0","0","12","2","6","8","7","7","6","8",2014-03-11,"12.90126","79.12366"
114,2,12,0,12,"3","10","0","0","2","0","1","0","2","0","0","1","0","7","4","0","0","0","3","0","10","2","6","3","0","3","0","2","1","0","0","8","1","0","3","2","0","0","1","0","0","10","1","0","1","1","0","1","0","1","0","0","0","0","10","2","2","10","2","10","2","10",2014-03-20,"None","None"
115,2,14,14,0,"6","9","1","1","2","3","2","0","1","0","2","5","0","7","0","2","1","1","2","0","4","10","2","2","5","5","2","1","0","2","1","7","5","0","2","0","2","1","3","0","0","4","8","2","0","3","2","0","0","1","0","0","0","0","12","2","2","12","2","12","2","12",2014-03-11,"12.90129","79.12373"
216,2,13,13,0,"4","3","5","0","3","0","0","0","1","3","1","1","2","5","2","1","1","0","2","0","11","2","2","3","2","4","0","2","0","1","1","4","6","1","1","0","0","0","2","1","0","8","1","3","0","2","0","0","0","2","0","0","0","0","9","4","1","12","1","12","1","12",2014-03-24,"12.90129","79.12373"
