"response_id","neighborhood_id","number_participant","number_male","number_female","s_d_a_0","s_d_a_1","s_d_a_2","s_d_a_3","s_d_a_na","s_d_c_0","s_d_c_1","s_d_c_2","s_d_c_3","s_dw_a_0","s_dw_a_1","s_dw_a_2","s_dw_a_3","s_dw_a_na","s_dw_c_0","s_dw_c_1","s_dw_c_2","s_dw_c_3","s_dw_c_na","s_dw_e_wt_0","s_dw_e_wt_1","s_f_a_0","s_f_a_1","s_f_a_2","s_f_a_3","s_f_a_na","s_f_c_0","s_f_c_1","s_f_c_2","s_f_c_3","s_l_a_0","s_l_a_1","s_l_a_2","s_l_a_3","s_l_a_na","s_l_c_0","s_l_c_1","s_l_c_2","s_l_c_3","s_neighborhood_y","s_p_a_0","s_p_a_1","s_p_a_2","s_p_a_3","s_p_a_na","s_p_c_0","s_p_c_1","s_p_c_2","s_p_c_3","s_participant_female","s_participant_female_obs_end","s_participant_male","s_participant_male_obs_end","s_pl_a_tf_0","s_pl_a_tf_1","s_pl_a_th_0","s_pl_a_th_1","s_pl_a_tu_0","s_pl_a_tu_1","s_pl_a_tw_0","s_pl_a_tw_1","response_date","GPS_latitude","GPS_longitude"
61,1,22,13,9,"10","2","0","1","9","11","9","1","1","2","1","0","19","0","3","0","0","19","0","22","0","6","9","4","1","1","6","9","3","4","5","12","0","0","5","9","7","1","5","22","4","1","4","7","6","10","4","2","6","9","9","13","0","21","1","9","13","9","13","9","13",2014-03-04,12.91347,79.13968
106,2,20,20,0,"11","7","1","0","1","6","9","4","1","2","1","1","14","2","4","2","4","10","0","8","12","4","6","1","5","4","1","5","1","13","13","1","0","0","6","17","3","0","0","0","18","0","0","0","2","15","1","1","3","0","0","0","0","20","0","0","20","0","20","0","20",2014-03-19,12.9023,79.12531
107,1,19,0,9,"2","2","3","0","12","6","7","6","6","3","1","1","8","6","4","1","2","12","0","6","13","1","3","0","4","11","1","15","1","2","3","6","3","0","7","8","8","2","1","0","1","0","6","4","8","2","10","3","4","9","0","10","0","18","1","6","13","6","13","6","13",2014-03-14,12.91347,79.13968
108,2,16,6,10,"5","3","6","1","1","3","6","4","3","2","3","0","5","6","2","2","3","5","4","5","11","2","5","2","1","6","1","6","7","2","3","4","5","2","2","4","6","4","2","0","3","4","2","1","6","5","5","3","3","10","0","6","0","15","1","8","12","4","12","4","12",2014-03-21,12.89944,79.12555
109,2,22,0,22,"12","0","0","2","8","13","6","1","2","0","2","3","13","4","0","1","3","17","1","5","17","8","4","1","2","7","5","13","1","3","10","1","16","0","5","11","4","5","2","0","8","0","4","1","9","14","3","4","1","0","0","0","0","22","0","0","22","0","22","0","22",2014-03-19,12.9023,79.12531
110,2,13,9,4,"9","0","0","0","4","12","0","1","0","4","0","2","5","2","3","0","3","7","0","6","7","8","0","0","0","5","10","3","0","0","6","1","0","0","6","5","6","0","2","0","5","2","0","2","4","9","2","2","0","0","0","9","0","13","0","3","10","3","10","3","10",2014-03-21,12.89944,79.12555
111,1,19,9,10,"2","1","0","0","16","15","4","0","0","1","0","0","15","3","1","0","0","16","2","3","16","8","1","0","0","10","10","7","2","0","10","2","0","0","7","14","4","1","0","0","11","0","1","1","6","17","0","0","2","10","0","0","0","18","1","5","14","5","14","5","14",2014-03-07,12.91396,79.1385
112,1,20,12,8,"7","9","2","0","2","6","10","1","3","0","0","4","15","1","0","3","2","15","0","8","14","8","6","1","4","1","6","8","2","4","3","5","4","3","5","2","4","7","7","0","3","2","2","7","6","5","3","4","8","8","0","12","0","20","0","13","7","13","7","13","7",2014-03-14,12.91347,79.13968
