"SampleID","CompoundID","ec_dd","ec_th","ev_way","ev_notes","ec_sd","ec_st","ec_isd","ec_ist","ec_ied","ec_iet","ec_dil1","ec_dil2","ec_ecnt1","ec_ecnt2","tc_ecnt1","tc_ecnt2","ec_blank","tc_blank","collectr","operator","sp_area","ec_dil3","ec_ecnt3","tc_ecnt3","dis_com","weight","lat_other","col_UID"
"ACO3036",3036,"5/11/2016","1/0/1900","52-43","",2016-05-11,"11:00:00",2016-05-11,"16:00:00",2016-05-12,"16:00:00",1,2,999,999,999,999,0,0,"Sumeya/Anabela","J/Salma",0,,,,,,"","08_09_1022"
"ACO3037",3037,"5/5/2016","1/0/1900","51-29","A agua de banho e armazenada no mesmo lugar que a agua de beber",2016-05-05,"13:30:00",2016-05-05,"17:30:00",2016-05-06,"17:30:00",1,2,0,0,999,86,0,0,"Anabela/Sumeya","Laurinda/J",0,,,,,,"","08_09_1023"
"ACO3039",3039,"5/3/2016","1/0/1900","031-43","",2016-05-03,"15:30:00",2016-05-03,"18:10:00",2016-05-04,"18:10:00",1,2,10,2,999,999,0,0,"Sumeya/gizela","Mario Amos",0,,,,,,"","08_09_1024"
"DCO3001",3001,"5/5/2016","1/0/1900","038-43","",2016-05-05,"13:30:00",2016-05-05,"17:30:00",2016-05-06,"17:30:00",2,4,999,24,999,999,0,0,"Eloisa/Gizela","Laurinda/J",0,6,1,10,,,"","08_01_1025"
"DCO3030",3030,"5/9/2016","1/0/1900","59-29","",2016-05-09,"12:10:00",2016-05-09,"16:05:00",2016-05-10,"16:05:00",3,5,999,999,999,999,0,0,"Sumeya/Anabela","Mario Amos/Salma",0,7,83,80,,,"","08_01_1026"
"DCO3031",3031,"5/3/2016","1/0/1900","033-43","",2016-05-03,"15:30:00",2016-05-03,"18:10:00",2016-05-04,"18:10:00",3,5,999,4,999,999,0,0,"Sumeya/Anabela","Mario Amos",0,6,0,999,,,"","08_01_1027"
"DCO3032",3032,"5/10/2016","1/0/1900","62-29","",2016-05-10,"11:42:00",2016-05-10,"16:05:00",2016-05-11,"16:05:00",3,5,999,27,999,999,,,"Anabela/Sumeya","Salma/Mario",0,7,1,17,,,"","08_01_1028"
"DCO3034",3034,"5/9/2016","1/0/1900","046-43","",2016-05-09,"12:10:00",2016-05-10,"16:05:00",2016-05-11,"16:05:00",3,5,999,51,999,999,0,0,"Eloisa/Gizela","Mario Amos/Salma",0,7,0,75,,,"","08_01_1029"
"DCO3037",3037,"5/5/2016","1/0/1900","51-29","",2016-05-05,"13:30:00",2016-05-05,"17:30:00",2016-05-06,"17:30:00",2,4,999,5,999,999,0,0,"Anabela/Sumeya","Laurinda/J",0,6,0,8,,,"","08_01_1030"
"DPO3037",3037,"5/5/2016","1/0/1900","52-29","",2016-05-05,"13:30:00",2016-05-05,"17:30:00",2016-05-06,"17:30:00",3,5,999,14,999,999,0,0,"Anabela/Sumeya","Laurinda/J",1,7,0,19,5,,"","08_01_1031"
"CCO2029",2029,"5/19/2016","1/0/1900","072-43","",2016-05-19,"12:25:00",2016-05-19,"17:15:00",2016-05-20,"17:15:00",3,5,999,999,999,999,,,"Eloisa/Gizela","Mario Amos/J",0,7,14,999,,,"","08_06_1032"
"CCO2032",2032,"5/16/2016","1/0/1900","075-29","",2016-05-16,"11:45:00",2016-05-16,"16:25:00",2016-05-17,"16:25:00",3,5,999,169,999,999,0,0,"Anabela/Sumeya","Mario Amos/Laurinda",0,7,2,999,,,"","08_06_1033"
"CCO2038",2038,"5/18/2016","1/0/1900","83-29","",2016-05-18,"12:10:00",2016-05-18,"17:49:00",2016-05-19,"17:49:00",3,5,998,998,998,998,0,0,"Sumeya/Anabela","Salma/J",0,7,999,999,,,"","08_06_1034"
"CCO2044",2044,"5/23/2016","1/0/1900","090-29","",2016-05-23,"11:40:00",2016-05-23,"15:50:00",2016-05-24,"15:50:00",3,5,999,10,999,999,0,0,"Isabela/Sumeya","J/Mario Amos",0,7,1,999,,,"","08_06_1035"
"CCO3030",3030,"5/9/2016","1/0/1900","59-29","",2016-05-09,"12:10:00",2016-05-10,"16:05:00",2016-05-11,"16:05:00",3,5,999,82,999,999,0,0,"Sumeya/Anabela","Mario Amos/Salma",0,7,7,999,,,"","08_06_1036"
"CCO3034",3034,"5/9/2016","1/0/1900","046-43","",2016-05-09,"12:10:00",2016-05-10,"16:05:00",2016-05-11,"16:05:00",3,5,49,2,999,80,0,0,"Eloisa/Gizela","Mario Amos/Salma",0,7,0,13,,,"","08_06_1037"
