"meta.instanceID","X_tags","X_notes","lab_UID"
"uuid:aa1ae1ee-859e-4b2f-a2a8-e10cfc8c4089",,,"09_03_1001"
"uuid:9f7296e4-bfdf-410f-bf2e-9517c84256d7",,,"09_03_1003"
"uuid:04addb34-4898-4553-8cc8-cc1d3f5622d1",,,"09_03_1004"
"uuid:6215764e-8259-4e91-b6e6-391c170eb4f0",,,"09_03_1005"
"uuid:858a845b-aa1f-4bd5-a3bc-b38a46225d77",,,"09_03_1006"
"uuid:07ab6f51-9b68-44b2-abce-2806e7f9da52",,,"09_03_1007"
"uuid:f803ad69-86d0-41b9-bd7b-bcf65a1e4ac8",,,"09_03_1008"
"uuid:b51b1cb3-59a5-4504-8bf2-d0976f809dfe",,,"09_03_1009"
"uuid:20787f9f-7865-421e-8c58-aa6d7dc471fd",,,"09_03_1010"
"uuid:2bfa9be8-aa1b-4db1-a0cd-eae8c7dbb8f4",,,"09_03_1011"
"uuid:75ea2719-2f8f-4653-b09d-b07c5580d93f",,,"09_03_1012"
"uuid:0b305c92-833b-4760-9127-9e170868ef28",,,"09_03_1013"
"uuid:8ddcae36-5b90-442a-acd3-51e996922384",,,"09_03_1014"
"uuid:47bf1067-3d9b-41cd-a47a-06b3421e247e",,,"09_03_1015"
"uuid:c0f4565f-86b9-4672-b57c-66c0963ea6f9",,,"09_03_1016"
"uuid:19e6c266-d441-43a1-8d6d-cd7411d6066b",,,"09_03_1017"
"uuid:9c9369c2-a6bb-4573-b293-72407992aa61",,,"09_03_1018"
"uuid:60f1baf8-1764-4491-a3ae-8d58e23b4b04",,,"09_03_1019"
"uuid:0d8c2604-1e00-4c34-8d2a-5d7418e7bc6f",,,"09_03_1020"
"uuid:aa3cb8ab-114b-48bb-923d-518501c47a6c",,,"09_03_1021"
"uuid:00a7c4b2-960e-45e0-872f-e0893566b81a",,,"09_03_1022"
"uuid:d97c8e27-b2e1-4cff-b71f-be018e0e2585",,,"09_03_1023"
"uuid:5dce3aa3-9f49-4735-80fc-9a92616a6ee8",,,"09_03_1024"
"uuid:be6c7892-08b1-4a87-8084-fda35f094c20",,,"09_03_1025"
