"SampleID","CompoundID","ec_dd","ec_th","ev_lat","ev_long","ev_way","neighbor","dis_lat","ev_notes","source_bw","source_other","stored","covered","ec_sd","ec_st","ec_isd","ec_ist","ec_ied","ec_iet","tc_ecnt1","tc_ecnt2","ec_blank","tc_blank","collectr","operator","sp_area","tc_ecnt3","dis_com","weight","feces_3m","fd_type","fd_num","lat_type","lat_other","n_stall","Vis_fec","HW_stat","lab_UID"
"ACO3031",3031,"5/3/2016","1/0/1900",25.94342,32.57977,"033-43",2,11.9,"",3,,1,0,2016-05-03,"15:30:00",2016-05-03,"18:10:00",2016-05-04,"18:10:00",999,999,0,0,"Gizela/Eloisa","Mario Amos",0,,,,,"",,,"",,,,"08_09_1018"
"ACO3032",3032,"5/10/2016","1/0/1900",25.94332,32.58118,"062-29",2,16,"A amostra da agua de beber e a mesma da agua do banho.",3,,1,1,2016-05-10,"11:42:00",2016-05-10,"16:05:00",2016-05-11,"16:05:00",999,999,0,0,"Anabela/Sumeya","Salma/Mario",0,,,,,"",,,"",,,,"08_09_1019"
"ACO3033",3033,"5/11/2016","1/0/1900",25.94157,32.58826,"066-29",2,7,"",3,,1,0,2016-05-11,"11:00:00",2016-05-11,"16:00:00",2016-05-12,"16:00:00",999,999,0,0,"Gizela/Eloisa","J/Salma",0,,,,,"",,,"",,,,"08_09_1020"
"ACO3034",3034,"5/9/2016","1/0/1900",25.94716,32.55196,"046-43",2,18.9,"",3,,1,1,2016-05-09,"12:10:00",2016-05-10,"16:05:00",2016-05-11,"16:05:00",999,999,0,0,"Eloisa/Gizela","Mario Amos/Salma",0,,,,,"",,,"",,,,"08_09_1021"
"ACO3036",3036,"5/11/2016","1/0/1900",25.94165,32.58835,"52-43",2,16.4,"",3,,1,0,2016-05-11,"11:00:00",2016-05-11,"16:00:00",2016-05-12,"16:00:00",999,999,0,0,"Sumeya/Anabela","J/Salma",0,,,,,"",,,"",,,,"08_09_1022"
"ACO3037",3037,"5/5/2016","1/0/1900",25.945,32.57927,"51-29",2,15.05,"A agua de banho e armazenada no mesmo lugar que a agua de beber",3,,1,0,2016-05-05,"13:30:00",2016-05-05,"17:30:00",2016-05-06,"17:30:00",999,86,0,0,"Anabela/Sumeya","Laurinda/J",0,,,,,"",,,"",,,,"08_09_1023"
"ACO3039",3039,"5/3/2016","1/0/1900",25.94148,32.58819,"031-43",2,10.5,"",3,,1,0,2016-05-03,"15:30:00",2016-05-03,"18:10:00",2016-05-04,"18:10:00",999,999,0,0,"Sumeya/gizela","Mario Amos",0,,,,,"",,,"",,,,"08_09_1024"
"DCO3001",3001,"5/5/2016","1/0/1900",25.94451,32.57955,"038-43",2,58.5,"",,,,,2016-05-05,"13:30:00",2016-05-05,"17:30:00",2016-05-06,"17:30:00",999,999,0,0,"Eloisa/Gizela","Laurinda/J",0,10,,,,"",,,"",,,,"08_01_1025"
"DCO3030",3030,"5/9/2016","1/0/1900",25.94335,32.58104,"59-29",2,4.1,"",,,,,2016-05-09,"12:10:00",2016-05-09,"16:05:00",2016-05-10,"16:05:00",999,999,0,0,"Sumeya/Anabela","Mario Amos/Salma",0,80,,,,"",,,"",,,,"08_01_1026"
"DCO3031",3031,"5/3/2016","1/0/1900",25.94342,32.57977,"033-43",2,5.8,"",,,,,2016-05-03,"15:30:00",2016-05-03,"18:10:00",2016-05-04,"18:10:00",999,999,0,0,"Sumeya/Anabela","Mario Amos",0,999,,,,"",,,"",,,,"08_01_1027"
