"h_id_val","h_gps_device","h_gps_device_id","h_gps_device_wp","h_gps_device_lat","h_gps_device_lon","h_s_additional_info","h_d_additional_info","h_f_additional_info","h_m_a_prim","h_m_a_prim_other","h_m_a_sec","h_m_a_sec_other","h_m_a_sec_num","h_m_a_sec_num_other","h_m_c_prim","h_m_c_prim_other","h_m_c_sec","h_m_c_sec_other","h_m_c_sec_num","h_m_c_sec_num_other","h_m_additional_info","h_t_additional_info","h_p_additional_info","h_latrine_type","h_latrine_type_other","h_th_additional_info","h_pd","h_pd_additional_info","meta.instanceID","X_parent_table_name","X_parent_index","h_id_old","h_f_weekly","h_UID"
"4066a",0,,,,,"","Don't have open drains","",3,"",2,"",3,"",3,"",3,"",3,"","Boiling water","","Cucumber latuice cabbage water Lyly egg plant",4,,"",,"","uuid:29340f7e-ad72-49d1-b6af-c2e3bd9dcf45",,-1,"4066a",0,"01_1286"
"4067a",0,,,,,"","Don't have open drains","Rainy season",3,"",3,"",3,"",,"",,"",,"","Never boiling","","Latuice cucumber morning glory cabbage",,,"",,"","uuid:b6418d5a-6344-4cce-9322-5ec16ad319a5",,-1,"4067a",0,"01_1287"
"4068a",0,,,,,"","Don't have open drains","Rainy season",3,"",2,"",3,"",3,"",2,"",3,"","Boiling water","","Morning glory water Lyly egg plant cucumber",,,"",,"","uuid:96b2fb44-4172-4572-bd51-e1f469041485",,-1,"4068a",0,"01_1288"
"4069a",0,,,,,"","","Rainy season",2,"",3,"",3,"",2,"",3,"",3,"","Bottle water 20l","","Cabbage Cucumber Long been eggplant vegetables",,,"",,"","uuid:64ee97b5-5351-461f-860c-814eaa20a227",,-1,"4069a",0,"01_1289"
"4070a",0,,,,,"","","Rainy season",3,"",2,"",3,"",,"",,"",,"","Boiling water","","Long been eggplant Cucumber latuice cabbage",4,,"",,"","uuid:b5ec49b0-ad74-4d23-b791-8b6237f5c158",,-1,"4070a",0,"01_1290"
"4071a",0,,,,,"","","",3,"",3,"",1,"",,"",,"",,"","Big bottle water 20l","","Cucumber latuice cabbage eggplant vegetables",4,,"",,"","uuid:e7abcd34-4b01-4ed4-baa7-3b9afcd86ec9",,-1,"4071a",0,"01_1291"
"4031a",0,,,,,"","","",3,"",2,"",3,"",3,"",2,"",3,"","Raining boil","","Water lyly latuce cucumber",4,,"",,"","uuid:15e40109-5153-4086-b7b8-6a0ad1f2bd39",,-1,"4031a",0,"01_1292"
"4032a",0,,,,,"","","",3,"",3,"",1,"",,"",,"",,"","","","Cucumber eggplant morning glory",4,,"",,"","uuid:773498c1-e9e1-4c3e-bc81-d1ad0d7dba2a",,-1,"4032a",0,"01_1293"
"4034a",0,,,,,"","In front of house","Rainy season",3,"",2,"",3,"",3,"",2,"",3,"","Filer and boil","","Eggplant cucumber latuce morning glory",4,,"",,"","uuid:cac7edb9-a03a-4ebc-8067-a90bfe4278b2",,-1,"4034a",0,"01_1294"
"4036a",0,,,,,"","Don't have open drain","Rain season",3,"",3,"",1,"",3,"",3,"",1,"","Bottle water","","Cucumber latuce eggplant",4,,"",,"","uuid:83a9a60d-8737-468d-8725-6d2ce5cb3b32",,-1,"4036a",0,"01_1295"
"4038",0,,,,,"","","",3,"",3,"",3,"",3,"",3,"",3,"","Small bottle water","","Cucumber tomato latuce carot",4,,"",,"","uuid:b93eff0a-8781-4ae2-882d-14545b9b38c5",,-1,"4038",0,"01_1296"
"4039a",0,,,,,"","","",3,"",3,"",3,"",3,"",3,"",3,"","Small bottle water","","Cucumber tomato morning glory water lyly latuce",4,,"",,"","uuid:002cc180-1fe5-4b82-8d78-7cf688dc8883",,-1,"4039a",0,"01_1297"
"4040a",0,,,,,"","","",3,"",5,"N/a",6,"N/a",,"",,"",,"","","","Cucumber eggplant long bean",4,,"",,"","uuid:b21b254c-94d7-4248-9010-e60559a86482",,-1,"4040a",0,"01_1298"
"4041a",0,,,,,"","","",3,"",5,"N/a",1,"",,"",,"",,"","","","Cucumber morning glory long bean",4,,"",,"","uuid:04eb6f45-2d50-4b2a-960e-85173769dfe3",,-1,"4041a",0,"01_1299"
"4042a",0,,,,,"","","",3,"",3,"",3,"",3,"",3,"",3,"","Small bottle water","","Cucumber latuce long bean",4,,"",,"","uuid:1c8f7258-a8dc-4042-9e68-803942aa8769",,-1,"4042a",0,"01_1300"
"4054",0,,,,,"","Don't have open drain","",3,"",2,"",3,"",,"",,"",,"","Boil bottle water","","Cucumber latuce eggplant",4,,"",,"","uuid:b39289d2-8c1b-4578-9c61-861398c62728",,-1,"4054",0,"01_1301"
"4055a",0,,,,,"","Don't have open drain","Rain season",3,"",3,"",1,"",,"",,"",,"","","","Cucumber latuce Long been tomato",4,,"",,"","uuid:619d59cb-3bc0-4180-9a27-65e0bc883c17",,-1,"4055a",0,"01_1302"
"4056a",0,,,,,"","","",3,"",3,"",3,"",3,"",3,"",3,"","Small bottle water","","Cucumber latuce",4,,"",,"","uuid:558e1909-86d1-4442-a820-02860db53dbc",,-1,"4056a",0,"01_1303"
"4057a",0,,,,,"","","Rain water",3,"",3,"",1,"",,"",,"",,"","Bottles water","","Cucumber latuce long been",4,,"",,"","uuid:9082662e-d7b4-404a-8884-d561145744a4",,-1,"4057a",0,"01_1304"
"4058a",0,,,,,"","Don't have open drain","Rain season",2,"",3,"",3,"",2,"",3,"",3,"","Bottle water 20l","","Cucumber latuce long been cabbage",4,,"",,"","uuid:5abdb997-54ce-4015-a296-1980794deebd",,-1,"4058a",0,"01_1305"
"1",0,,,,,"","Don't have open drains","Rainy season",3,"",5,"Na",6,"Na",3,"",5,"Na",6,"Na","","","Cucumber morning glory latuice",4,,"",,"","uuid:c29209ef-0db9-4145-91ed-8618b6cea633",,-1,"1",0,"01_1306"
"3",0,,,,,"","","",3,"",5,"Na",6,"Na",3,"",5,"Na",6,"Na","","","Don't don't want",4,,"",,"","uuid:8886d387-b135-45e7-8d05-7693037cfa10",,-1,"3",0,"01_1307"
"2",0,,,,,"","Don't have open drains","",3,"",2,"",3,"",3,"",2,"",3,"","Filter","","Cucumber latuice cabbage carrot",4,,"",,"","uuid:b1cb4226-62f7-4569-8a44-7d86c46f3f84",,-1,"2",0,"01_1308"
"4",0,,,,,"","","Rainy season",3,"",5,"Na",6,"Na",,"",,"",,"","","","",4,,"",,"","uuid:c460923d-fc67-49b3-940d-6e74fb977c9f",,-1,"4",0,"01_1309"
"9",0,,,,,"","Don't have open drains","",3,"",3,"",3,"",3,"",3,"",3,"","Bottle water 20l","Boil","Cucumber latuce water Lyly long been",4,,"",,"","uuid:1f99f07a-3b3f-4c66-883e-7edcc2425ac9",,-1,"9",0,"01_1310"
"12",0,,,,,"","","",3,"",3,"",3,"",3,"",3,"",3,"","","","Cucumber morning glory latuce",4,,"",,"","uuid:7258fdfe-670c-41e9-9f44-402f1d11735c",,-1,"12",0,"01_1311"
"13",0,,,,,"","","",2,"",3,"",3,"",2,"",3,"",3,"","","Boiling","Morning glory latuice morning glory",4,,"",,"","uuid:6bae6109-8cfb-4808-a30c-3fed458c4f72",,-1,"13",0,"01_1312"
"16",0,,,,,"","","",2,"",3,"",3,"",2,"",3,"",3,"","Small bottle water 500ml","Filter","Cucumber latuice cabbage water Lyly long been",4,,"",,"","uuid:3685f530-110b-4ae1-bbea-835cd192efe3",,-1,"16",0,"01_1313"
"17",0,,,,,"","","",2,"",3,"",3,"",,"",,"",,"","Small bottle water","Filter","Cucumber morning glory latuice long been vegetables",5,,"",,"","uuid:ba061f8b-1001-494c-b83b-4c60958af8bb",,-1,"17",0,"01_1314"
"19",0,,,,,"","","",2,"",2,"",3,"",2,"",2,"",3,"","Raining","Boil","Morning glory latuce Cucumber",4,,"",,"","uuid:1bc575a9-e07d-46ce-a685-0fc49cdb1d5b",,-1,"19",0,"01_1315"
"25",0,,,,,"","","",2,"",5,"Na",6,"Na",2,"",5,"Na",6,"Na","","Boiling water","Cucumber latuice long been",4,,"",,"","uuid:d3a3d54b-dec7-4e8e-b67a-1936d4cdd9d1",,-1,"25",0,"01_1316"
"26",0,,,,,"","Don't have open drains","Rainy season",2,"",3,"",3,"",2,"",3,"",3,"","Small bottle water","","",4,,"",,"","uuid:0327f52c-6ad9-43b7-b595-da46501e52d2",,-1,"26",0,"01_1317"
"27",0,,,,,"","","",3,"",3,"",1,"",,"",,"",,"","Vital","","Cucumber",4,,"",,"","uuid:eb4f6d6d-f173-4d37-917e-eba200e27555",,-1,"27",0,"01_1318"
"28",0,,,,,"","","",3,"",3,"",3,"",,"",,"",,"","Small bottle water","","Long been Cucumber",4,,"",,"","uuid:27f8db44-22e0-4e4a-abe6-b512236e89b8",,-1,"28",0,"01_1319"
"30",0,,,,,"","","",3,"",3,"",3,"",,"",,"",,"","Small bottle water 500ml","","They don't like vegetables",4,,"",,"","uuid:be718839-2ad0-4f04-a51a-60621b88c17e",,-1,"30",0,"01_1320"
"35",0,,,,,"","Don't have open drains","Rainy season",3,"",2,"",3,"",3,"",2,"",3,"","V
Boiling water","","Cucumber morning glory",4,,"",,"","uuid:2dc74a87-c155-4b05-9e97-b9ebf7354f8b",,-1,"35",0,"01_1321"
"37",0,,,,,"","","Rainy season",3,"",2,"",3,"",3,"",2,"",3,"","Boiling water","","Eggplant Cucumber morning glory latuice",4,,"",,"","uuid:02df26e9-3cf2-4cc1-86ff-d068f3d6e2f6",,-1,"37",0,"01_1322"
"39",0,,,,,"","","Rainy season",3,"",2,"",3,"",3,"",2,"",3,"","","","Cucumber morning glory",4,,"",,"","uuid:dd39f702-bfd4-4f64-9c4e-e65875451f9f",,-1,"39",0,"01_1323"
"5",0,,,,,"","","",3,"",5,"Na",6,"Na",3,"",5,"Na",6,"Na","","","Cucumber carrot latuce eggplant",4,,"",,"","uuid:1d7baef0-7d4d-4d8f-854c-a8006706497c",,-1,"5",0,"01_1324"
"6",0,,,,,"","","",3,"",5,"Na",6,"Na",3,"",5,"Na",6,"Na","","","",4,,"",,"","uuid:180e3689-8ad3-4647-a88f-54cb0a45f0a7",,-1,"6",0,"01_1325"
"7",0,,,,,"","","",3,"",4,"",6,"Na",,"",,"",,"","","","Cucumber eggplant long been",,,"",,"","uuid:f123d436-55dd-468a-84a9-5569be5f89de",,-1,"7",0,"01_1326"
"8",0,,,,,"","","",3,"",3,"",3,"",3,"",2,"",3,"","","","Cabbage Cucumber latuce eggplant",,,"",,"","uuid:b12c9ee9-c965-4787-bf11-c6b3345a4c82",,-1,"8",0,"01_1327"
"10",0,,,,,"","","",3,"",2,"",3,"",3,"",2,"",3,"","","","Long been latuce eggplant cucumber",4,,"",,"","uuid:0987185f-58a0-4013-8728-b43e0888e4ea",,-1,"10",0,"01_1328"
"11",0,,,,,"","","",3,"",5,"Na",6,"Na",3,"",5,"Na",6,"Na","","","Latuce cucumber carot morning glory tomato",4,,"",,"","uuid:ee7b38cd-ac14-4057-979d-56c2547172fe",,-1,"11",0,"01_1329"
"14",0,,,,,"","","",3,"",3,"",1,"",,"",,"",,"","","","Cucumber eggplant morning glory cabbage",5,,"",,"","uuid:a6e99851-05de-40f8-b827-c0b05427952b",,-1,"14",0,"01_1330"
"15",0,,,,,"","","Rainy season",2,"",3,"",3,"",2,"",3,"",3,"","Small bottle water","Filter","Long been tomato latuce carot cucumber",5,,"",,"","uuid:a0b6d521-f9b7-4ae1-9635-b80b2c29b717",,-1,"15",0,"01_1331"
"18",0,,,,,"","","",3,"",2,"",3,"",3,"",2,"",3,"","","Boil","Cabbage Cucumber eggplant morning glory",4,,"",,"","uuid:562a82d2-ce92-462c-a903-eb3df0e91452",,-1,"18",0,"01_1332"
"20",0,,,,,"","","Rain season",3,"",3,"",3,"",,"",,"",,"","Small bottle water","","Cabbage Cucumber eggplant morning glory",5,,"",,"","uuid:9a446988-c7fb-482a-b6bb-190e0d14343c",,-1,"20",0,"01_1333"
"52",0,,,,,"","","",2,"",3,"",3,"",,"",,"",,"","","","",4,,"",,"","uuid:8d12298c-fa2b-401f-b1a1-6b5434700fea",,-1,"52",0,"01_1334"
"21",0,,,,,"","","",2,"",3,"",3,"",2,"",3,"",3,"","Small bottle water 500ml","","Latuce cucumber carot morning glory eggplant",5,,"",,"","uuid:7c6e19ac-76f4-447b-8f28-172f148e6ba7",,-1,"21",0,"01_1335"
"22",0,,,,,"","","",3,"",3,"",1,"",,"",,"",,"","Small bottle water 500ml","","",5,,"",,"","uuid:9ef147a0-3507-467b-8206-6d12f0aa17b5",,-1,"22",0,"01_1336"
"23",0,,,,,"","","",3,"",2,"",3,"",3,"",2,"",3,"","Filter","Filter","Cucumber eggplant morning glory cabbage",4,,"",,"","uuid:4e8d6ac8-d73a-43b6-8842-6d07182c3e0e",,-1,"23",0,"01_1337"
"24",0,,,,,"","","",2,"",3,"",3,"",2,"",3,"",3,"","","Filter","Papayas latuce eggplant cucumber water Lyly",4,,"",,"","uuid:201ee7c8-4a95-4751-a010-88c98d77f99c",,-1,"24",0,"01_1338"
"29",0,,,,,"","","",2,"",5,"N/a",1,"",2,"",5,"N/a",1,"","Filter and boil","","Cucumber latuce long been cabbage",4,,"",,"","uuid:551cd3ec-0b22-4ec9-88ac-bf37ea18789d",,-1,"29",0,"01_1339"
"31",0,,,,,"","","",2,"",3,"",3,"",2,"",3,"",3,"","Small bottle water","Boil","Latuce cucumber cabbage long bean",4,,"",,"","uuid:2688386f-1a3d-4076-9644-27ddfabddb06",,-1,"31",0,"01_1340"
"32",0,,,,,"","","",3,"",2,"",3,"",3,"",2,"",3,"","Boil","Boil","Latuce cucumber cabbage",4,,"",,"","uuid:f3df4aa9-b949-4e74-b83c-f4ae93ded29f",,-1,"32",0,"01_1341"
"33",0,,,,,"","","",3,"",3,"",3,"",3,"",3,"",3,"","Small bottle water","","Cucumber latuce long been",4,,"",,"","uuid:0c6717f1-d7a0-4435-bfee-e9e2e57db4a4",,-1,"33",0,"01_1342"
"34",0,,,,,"","","",2,"",3,"",3,"",2,"",3,"",3,"","Bottle water 20l","Boil","Cucumber latuce eggplant",4,,"",,"","uuid:14e9c24d-cb6d-427b-994a-7e4121f98efd",,-1,"34",0,"01_1343"
"36",0,,,,,"","","",3,"",5,"N/a",1,"",3,"",5,"N/a",1,"","Bottle water 20l","Boil","",4,,"",,"","uuid:c1543f3f-0180-46e1-9f96-2f390d9ea03f",,-1,"36",0,"01_1344"
"38",0,,,,,"","","",3,"",3,"",3,"",3,"",3,"",3,"","Small bottle water","Boil","Cucumber latuce long been tomato",4,,"",,"","uuid:029ba81a-1374-403b-b947-bbb8308d6c3d",,-1,"38",0,"01_1345"
"40",0,,,,,"","","Rainy season",3,"",3,"",1,"",3,"",3,"",1,"","","","Cucumber latuce eggplant",4,,"",,"","uuid:09c7611d-dde4-45f5-854c-3f83ce8ebe32",,-1,"40",0,"01_1346"
"41",0,,,,,"","","",2,"",3,"",3,"",2,"",3,"",3,"","","Boil","Cucumber latuce water lyly long bean",7,,"",,"","uuid:19a0bdaa-cf6c-4c9d-a848-0b83f4ee8676",,-1,"41",0,"01_1347"
"42",0,,,,,"","","",3,"",2,"",3,"",3,"",2,"",3,"","","","Cucumber eggplant",4,,"",,"","uuid:ac7e10f7-1a34-483c-82b7-456b8a8fc812",,-1,"42",0,"01_1348"
"44",0,,,,,"","","",2,"",3,"",3,"",,"",,"",,"","Small bottle water","","Cucumber eggplant morning glory",4,,"",,"","uuid:5540d706-ed96-45ed-b3dd-3759f0a4484a",,-1,"44",0,"01_1349"
"47",0,,,,,"","","",3,"",3,"",3,"",3,"",3,"",3,"","Small bottle water","Filter","Cucumber latuce eggplant",4,,"",,"","uuid:0e926215-cb71-4879-8b62-4cc0fec9bc13",,-1,"47",0,"01_1350"
"50",0,,,,,"","Don't have open drain","",2,"",3,"",3,"",2,"",3,"",3,"","Raining","Boil","Cucumber morning glory water lyly latuce eggplant",4,,"",,"","uuid:16afef4a-4493-4b44-b79b-661790ccadcb",,-1,"50",0,"01_1351"
"43",0,,,,,"","","",2,"",5,"Na",6,"Na",2,"",5,"Na",6,"Na","","","Cucumber morning glory latuice",4,,"",,"","uuid:c405e0ef-9650-4c3e-820b-4a48e1c86b91",,-1,"43",0,"01_1352"
"45",0,,,,,"","","",2,"",3,"",3,"",2,"",3,"",3,"","Small bottle water","","Cucumber latuice cabbage",4,,"",,"","uuid:54c249f4-0c47-4461-b5b3-69fdb6651e83",,-1,"45",0,"01_1353"
"46",0,,,,,"","","Rainy season",3,"",2,"",3,"",3,"",2,"",3,"","","","Cabbage Cucumber Long been",4,,"",,"","uuid:118fcccb-55a1-4097-ab42-725988148932",,-1,"46",0,"01_1354"
"48",0,,,,,"","","",3,"",2,"",3,"",3,"",2,"",3,"","Boiling water","","Cucumber latuice cabbage water Lyly",4,,"",,"","uuid:39d78e0a-fb56-4367-8ae3-1a340e52ad73",,-1,"48",0,"01_1355"
"49",0,,,,,"","","",2,"",3,"",3,"",2,"",3,"",3,"","","Boiling and filter","Cucumber morning glory latuice long been vegetables",4,,"",,"","uuid:0618c42a-1e5b-4280-9c62-cdff74a91b76",,-1,"49",0,"01_1356"
"51",0,,,,,"","Don't have open drains","",3,"",3,"",3,"",3,"",3,"",3,"","Small bottle water","","Cucumber latuice cabbage long been",5,,"",,"","uuid:a55a13e2-119e-4658-8acf-cae5dc4a7fa6",,-1,"51",0,"01_1357"
"53",0,,,,,"","","",2,"",5,"N/a",1,"",,"",,"",,"","Well water","Boil","Cucumber long been",,,"",,"","uuid:cdf1fd26-aa92-41b4-a473-ba079ebaf2e5",,-1,"53",0,"01_1358"
"54",0,,,,,"","","Rainy season",2,"",2,"",3,"",2,"",2,"",3,"","Filter and boil","","Latuice cucumber tomato cabbage",5,,"",,"","uuid:49231824-c65a-4f07-82bf-58498e5398b5",,-1,"54",0,"01_1359"
"55",0,,,,,"","","Rainy season",3,"",2,"",3,"",3,"",2,"",3,"","","Boil","Latuice cucumber morning glory tomato Long been",5,,"",,"","uuid:334a3168-18aa-4cf1-8cc6-77bc5c330b07",,-1,"55",0,"01_1360"
"56",0,,,,,"","","Rainy season",2,"",1,"",3,"",3,"",1,"",3,"","","Filter","Cucumber",5,,"",,"","uuid:fc3f8b57-194d-41de-92ac-d565264d5f1a",,-1,"56",0,"01_1361"
"59",0,,,,,"","","",2,"",3,"",3,"",2,"",3,"",3,"","Small bottle water","Filter","Cucumber latuice cabbage Long Been",5,,"",,"","uuid:4d5bdaef-34a7-4ca9-baa3-5067b0ded8ea",,-1,"59",0,"01_1362"
"60",0,,,,,"","Infront of their house","Rainy season",2,"",3,"",3,"",2,"",3,"",3,"","Boil","","Cucumber latuice cabbage long been",4,,"",,"","uuid:8042bfc7-4d4c-49e0-8fe9-6321ca7bdd8d",,-1,"60",0,"01_1363"
"61",0,,,,,"","","Rainy season",3,"",2,"",3,"",3,"",2,"",3,"","","Filter","Cabbage Cucumber latuice",5,,"",,"","uuid:1bb31727-f55a-4a04-9945-5f383cb2ca53",,-1,"61",0,"01_1364"
"57",0,,,,,"","","Rain season",2,"",2,"",3,"",,"",,"",,"","","","Latuce cucumber water Lyly",5,,"",,"Us","uuid:9388f8ac-8bb1-42e5-92db-74fad36e8d2b",,-1,"57",0,"01_1365"
"58",0,,,,,"","","Rainy season",3,"",3,"",3,"",,"",,"",,"","Small bottle water","","Cucumber",4,,"",,"","uuid:c1c82e26-ee47-4b03-903e-3d1bb807335a",,-1,"58",0,"01_1366"
"62",0,,,,,"","","Rainy season",3,"",2,"",3,"",,"",,"",,"","","","Cucumber eggplant morning glory latuce",4,,"",,"","uuid:27c0aa58-cf7d-4998-b7d5-978349f26b0e",,-1,"62",0,"01_1367"
"63",0,,,,,"","Child when they go to school","",2,"",5,"Na",6,"Na",2,"",5,"Na",6,"Na","","Boil","Cucumber cabbage",4,,"",,"","uuid:181c0e60-b797-4342-b95b-9c40d06e6397",,-1,"63",0,"01_1368"
"64",0,,,,,"","","",2,"",5,"Na",6,"Na",2,"",3,"",3,"","","","Cucumber eggplant morning glory long been",4,,"",,"","uuid:de7605e5-78e9-4ce1-99d7-98da963dd754",,-1,"64",0,"01_1369"
"65",0,,,,,"","","Rainy season",2,"",2,"",3,"",2,"",2,"",3,"","Boil water","","Cucumber morning glory latuice cabbage",4,,"",,"","uuid:ddf475ac-1cb8-4a57-ba0d-e5ddd9fc3f7c",,-1,"65",0,"01_1370"
"66",0,,,,,"","","",3,"",3,"",1,"",3,"",3,"",3,"","","","Cucumber latuice cabbage",4,,"",,"","uuid:48c92129-ed59-4ab2-b4b3-0efacde9fedf",,-1,"66",0,"01_1371"
"67",0,,,,,"","","",2,"",3,"",3,"",,"",,"",,"","Bottle water 20l","Well water boil","Cucumber latuce",4,,"",,"","uuid:9881cb92-795c-4969-ab53-79ee69a671e3",,-1,"67",0,"01_1372"
"73",0,,,,,"","","Rainy",3,"",2,"",3,"",3,"",2,"",3,"","","","Morning glory eggplant",4,,"",,"","uuid:ea4c2218-edc9-4959-ba6c-db9e4dc202e2",,-1,"73",0,"01_1373"
"74",0,,,,,"","","",3,"",5,"Na",6,"Na",,"",,"",,"","","","Long been eggplant vegetables Cucumber water Lyly",4,,"",,"","uuid:eb84fef9-dc93-4c50-872c-eecd9a12fd4c",,-1,"74",0,"01_1374"
"69",0,,,,,"","Front of their house","",2,"",2,"",1,"",2,"",2,"",3,"","Billing water","","Cucumber eggplant morning glory cabbage",4,,"",,"","uuid:14b0e818-f15a-4318-89ec-841dc9f2ecbd",,-1,"69",0,"01_1375"
"70",0,,,,,"","","",3,"",2,"",3,"",,"",,"",,"","","Filter","Cucumber eggplant papayas",4,,"",,"","uuid:e35eb011-3be2-4c6c-b108-45f362064276",,-1,"70",0,"01_1376"
"71",0,,,,,"","","",2,"",2,"",3,"",2,"",2,"",3,"","Boiling water","","Eggplant cucumber long been cabbage",4,,"",,"","uuid:a7b9856b-1470-40b8-9138-dce8de3d6ecf",,-1,"71",0,"01_1377"
"72",0,,,,,"","","",3,"",2,"",3,"",,"",,"",,"","Well water boil","Boil","Cucumber long bean latuce eggplant",4,,"",,"","uuid:696bf251-f283-48c2-a180-d3442ba5a7ad",,-1,"72",0,"01_1378"
"76",0,,,,,"","","",3,"",2,"",3,"",3,"",2,"",3,"","Well water","Boiling","Cucumber morning glory latuce long been water Lyly",4,,"",,"","uuid:c9c4d261-2203-4acc-8289-390ac961f320",,-1,"76",0,"01_1379"
"79",0,,,,,"","","",3,"",5,"N/a",1,"",,"",,"",,"","Bottle water 20l","","",4,,"",,"","uuid:95f94d13-3f29-4a6b-9293-ea762ac4bddf",,-1,"79",0,"01_1380"
"81",0,,,,,"","","",3,"",2,"",3,"",,"",,"",,"","Well water","Boil","Morning glory cucumber cabbage latuce",5,,"",,"","uuid:47955b50-c952-4e1c-94d1-b7a74d52dd94",,-1,"81",0,"01_1381"
"83",0,,,,,"","","",3,"",5,"N/a",1,"",,"",,"",,"","","","Cucumber latuce long been",5,,"",,"","uuid:ba9835ea-d818-43ea-9a5c-3b8e46f3eb23",,-1,"83",0,"01_1382"
"87",0,,,,,"","","",3,"",2,"",3,"",,"",,"",,"","Well water boil","Boil","Cucumber latuce long been eggplant",4,,"",,"","uuid:8c01649e-de9f-4bab-9751-990a8a3c8360",,-1,"87",0,"01_1383"
"89",0,,,,,"","","",2,"",3,"",3,"",,"",,"",,"","Small bottle water","Boiling","Cucumber latuce long been",4,,"",,"","uuid:4c07a857-e8d7-4e98-b322-0dd3684ae818",,-1,"89",0,"01_1384"
"90",0,,,,,"","","Raining",2,"",3,"",3,"",2,"",3,"",3,"","Small bottle water","Filter","Cucumber morning glory latuce long been",4,,"",,"","uuid:f1dff374-3a1d-4551-8cf5-4d233cf25786",,-1,"90",0,"01_1385"
"97",0,,,,,"","","",2,"",3,"",3,"",3,"",3,"",3,"","Small bottle water","","",4,,"",,"Vs,kl","uuid:0c335a6a-1c0f-4523-912b-9ec4a7e7932f",,-1,"97",0,"01_1386"
"98",0,,,,,"","","",3,"",5,"Na",6,"Na",3,"",5,"Na",6,"Na","","Filter","Cucumber morning glory latuice cabbage long been",4,,"",,"","uuid:f4e79a6c-7487-4413-abc1-4f9a003d8731",,-1,"98",0,"01_1387"
"99",0,,,,,"","","",3,"",2,"",3,"",3,"",2,"",3,"","","","Cucumber latuice long been vegetables",4,,"",,"","uuid:9df15f54-85ce-4096-a95b-450d5523b570",,-1,"99",0,"01_1388"
"100",0,,,,,"","","",2,"",3,"",3,"",2,"",3,"",3,"","Oral Small bottle water","","Cucumber latuice morning glory cabbage",5,,"",,"","uuid:08b09d3d-d89c-4f25-ac8c-e2c2eadf87f0",,-1,"100",0,"01_1389"
"91",0,,,,,"","","Rainy season",2,"",2,"",3,"",,"",,"",,"","Boil and filter","","Morning glory latuice cabbage long been",5,,"",,"","uuid:952d3acc-b582-412e-86ef-b00b7dfadef5",,-1,"91",0,"01_1390"
"92",0,,,,,"","","Rainy season",3,"",3,"",3,"",3,"",3,"",3,"","Big bottle water","","Latuice cucumber tomato",4,,"",,"","uuid:f10dafc5-0589-4ca5-9a72-17bc89f3c750",,-1,"92",0,"01_1391"
"93",0,,,,,"","","Rainy season",3,"",5,"Na",1,"",3,"",5,"Na",1,"","","","Cucumber morning Glory water Lyly",4,,"",,"","uuid:2bdc794c-627a-40a1-a2ae-dea41fe2d527",,-1,"93",0,"01_1392"
"94",0,,,,,"","","Rainy season",3,"",2,"",3,"",3,"",2,"",3,"","Raining","","Cucumber cabbage latuce",4,,"",,"","uuid:6445542c-5acf-407f-b3d5-2009f95b40d9",,-1,"94",0,"01_1393"
"95",0,,,,,"","","",3,"",5,"Na",1,"",3,"",5,"Na",1,"","","Filter","Cucumber morning glory Long Been",5,,"",,"","uuid:2d95086c-d180-42e4-9abe-50417bb11227",,-1,"95",0,"01_1394"
"96",0,,,,,"","","",3,"",3,"",3,"",3,"",3,"",3,"","Small bottle water","Boiling","",5,,"",,"","uuid:ebd5aeeb-130b-4717-a669-051f2f37a581",,-1,"96",0,"01_1395"
"97",0,,,,,"","","",3,"",3,"",3,"",3,"",3,"",3,"","Small bottle water","","Cucumber morning glory latuce",4,,"",,"","uuid:42b3deaf-f414-459c-864e-ad80959d5578",,-1,"97",0,"01_1396"
"98",0,,,,,"","","",3,"",3,"",3,"",3,"",3,"",3,"","Small bottle water","Boil","Cucumber morning glory latuce",4,,"",,"","uuid:771dc4d0-dae8-41d1-862a-b18549fd487f",,-1,"98",0,"01_1397"
"99",0,,,,,"","","",2,"",3,"",3,"",2,"",3,"",3,"","Small bottle water","Filter","Cucumber latuce long been",4,,"",,"","uuid:f4fd3970-8d47-49d9-b5c5-0d546496cde6",,-1,"99",0,"01_1398"
"100",0,,,,,"","","",3,"",5,"Na",1,"",3,"",5,"Na",1,"","Bottle water 20l","","Cucumber morning glory latuce",4,,"",,"","uuid:6a9a809e-fe44-44ad-a8a3-0293b81e7d03",,-1,"100",0,"01_1399"
"75",0,,,,,"","","",3,"",5,"N/a",1,"",,"",,"",,"","","","Cucumber cabbage carrot latuce long been morning glory",4,,"",,"","uuid:bd69bdff-2298-4197-83c0-630d25314d77",,-1,"75",0,"01_1400"
"3023",0,,,,,"","","",3,"",5,"Rain water",6,"3 time in this raining season",3,"",5,"Only bottle water",6,"N.a","Bottle water than filter","","Children eat only meat, morning glory, latus, cucumber",4,,"",,"","uuid:8be9ce44-8409-4948-a947-b166da622ba3",,-1,"3023",0,"01_1401"
"77",0,,,,,"","","",3,"",5,"Na",6,"Na",3,"",5,"Na",6,"Na","","","Long been Cucumber eggplant",4,,"",,"","uuid:beb2ae01-28ed-4f71-90fa-0604a14676f7",,-1,"77",0,"01_1402"
"78",0,,,,,"","","",3,"",2,"",3,"",3,"",2,"",3,"","","","",4,,"",,"","uuid:da8f916d-4a3c-4c93-bce1-475f8220264e",,-1,"78",0,"01_1403"
