"h_id_val","h_gps_device","h_gps_device_id","h_gps_device_wp","h_gps_device_lat","h_gps_device_lon","h_s_additional_info","h_d_additional_info","h_f_additional_info","h_m_a_prim","h_m_a_prim_other","h_m_a_sec","h_m_a_sec_other","h_m_a_sec_num","h_m_a_sec_num_other","h_m_c_prim","h_m_c_prim_other","h_m_c_sec","h_m_c_sec_other","h_m_c_sec_num","h_m_c_sec_num_other","h_m_additional_info","h_t_additional_info","h_p_additional_info","h_latrine_type","h_latrine_type_other","h_th_additional_info","h_pd","h_pd_additional_info","meta.instanceID","X_parent_table_name","X_parent_index","h_id_old","h_f_weekly","h_UID"
"4009",0,,,,,"","","Rainy season (street flood)",3,"",5,"Small water 0.5L",3,"",3,"",5,"Small water 0.5L",3,"","Bottle water 20L","","Cucumber, cabac, latuce, eggplant.....",4,,"",,"Rent house","uuid:a8d66166-dae4-4392-be53-d93474cb8b1d",,-1,"4009",0,"01_1218"
"4010",0,,,,,"","","Rainy season (street flood)",3,"",5,"Small water 0.5L",3,"",3,"",5,"Small bottle water 0.5L",3,"","Bottle water 20L","","Cucumber, long bean, cabac...",4,,"",,"","uuid:31618df3-f8e7-44e7-8165-e4e3f71af32d",,-1,"4010",0,"01_1219"
"4004a",0,,,,,"","","",2,"",2,"",1,"",2,"",3,"",3,"","Small bottle 500 ml","Filter","Cucumber long been morning glory tomato",5,,"",,"","uuid:62c1742c-2c69-410b-add3-aca1faeb9320",,-1,"4004a",0,"01_1220"
"4005a",0,,,,,"","","",3,"",2,"",3,"",3,"",2,"",3,"","Boil","Boil","Vegetable morning glory water Lyly egg plant latuice",4,,"",,"","uuid:9db3aa5f-2198-4d49-8bde-7423595d0aff",,-1,"4005a",0,"01_1221"
"4006a",0,,,,,"","Every day","Everyday",2,"",5,"Boil",1,"",2,"",3,"",3,"","When child go to School time","Filter","Cucumber egg Lyly latuice",4,,"",,"","uuid:feb17804-86b9-4784-bdd4-a6d2c2779950",,-1,"4006a",0,"01_1222"
"496A",0,,,,,"","","",2,"",3,"",3,"",2,"",3,"",3,"","","Filter boil","Cucumber morning glory latuice long been",4,,"",,"","uuid:d752526e-beb6-4c14-b8d3-3f19e97cd8cf",,-1,"496A",0,"01_1223"
"496b",0,,,,,"","Not open drains","Rainy season",2,"",3,"",3,"",2,"",3,"",3,"","Well water treat","Filter","Long been Cucumber latuice",4,,"",,"","uuid:ca18a715-aed8-4563-ac5e-b2e24cd8e666",,-1,"496b",0,"01_1224"
"496c",0,,,,,"","Do not have drains","",2,"",3,"",3,"",,"",,"",,"","Boil","Boil","Cucumber Long been latuice morning glory",4,,"",,"","uuid:544a4652-6b1d-48fc-afc8-441b9f6f5fd9",,-1,"496c",0,"01_1225"
"4031",0,,,,,"Go to fishing","Take something","Rainy season",3,"",5,"Small bottle 0.5L",3,"",3,"",5,"Small bottle 0.5L",3,"","Bottle water 20L","","Cucumber, long bean, eggplant,   cabac, latuce....",4,,"Flood when have big rain",,"","uuid:8e2ca506-4ead-49ca-820f-c099715671f9",,-1,"4031",0,"01_1226"
"4057",0,,,,,"","","",3,"",5,"Small water 0.5",3,"",3,"",5,"Small water 0.5L",3,"","Bottle water 20L","","Latuce, eggplant, cabac, long bean.......",4,,"",,"","uuid:305f3a72-6a3f-400f-90c1-4d737ff11041",,-1,"4057",0,"01_1227"
