"h_sex","h_bw_source","h_bw_source_other","meta.instanceID","X_tags","X_notes","h_UID"
1,1,,"uuid:40fd7a1f-948c-40f8-bb8e-59d9abda2571",,,"09_1067"
1,1,,"uuid:9fa8b56a-d90f-4d19-9a2d-857230846c20",,,"09_1068"
1,1,,"uuid:3eba99af-2ee9-44e9-8b68-8859697e15cb",,,"09_1069"
1,1,,"uuid:1170906a-f5c7-4e67-bd65-226701176786",,,"09_1070"
1,1,,"uuid:b64a63e1-e827-47b0-9a43-11b6fc9d0aec",,,"09_1071"
1,1,,"uuid:27e489c4-6142-4c50-ace5-e554164f37b1",,,"09_1072"
1,1,,"uuid:9f92edfa-3342-46b2-9738-192fa187a6a8",,,"09_1073"
1,1,,"uuid:fce9f046-f99b-4310-926b-b811cc5afb1e",,,"09_1074"
2,1,,"uuid:4904e137-d3e5-494e-a944-badb9ab59f0b",,,"09_1075"
1,1,,"uuid:f52cb33c-5705-4deb-b4c5-49bc8873a290",,,"09_1076"
2,1,,"uuid:4db7a26d-bc98-4bd5-93b2-3cd5c641f163",,,"09_1077"
2,1,,"uuid:de70c1e9-8ba0-462c-bb2b-7438b4782e37",,,"09_1078"
2,1,,"uuid:9e3f1ef7-4a73-4fdd-b665-065732f1ae97",,,"09_1079"
1,2,,"uuid:49694422-cdc4-46df-af24-18bca802dfb9",,,"09_1080"
1,2,,"uuid:28f52c95-da7c-4600-afdb-2db43368c6ea",,,"09_1081"
2,2,,"uuid:3d1663ca-874c-4886-8d4e-bb0d947fc615",,,"09_1082"
1,2,,"uuid:21cdb20a-f214-47d1-b202-167511b28293",,,"09_1083"
2,2,,"uuid:50f06d35-70f1-4fbd-9ffc-f32ad1f34d1e",,,"09_1084"
1,2,,"uuid:02ab7f38-a177-4d08-9a9b-9bff9ea881aa",,,"09_1085"
1,2,,"uuid:1a6f1bd3-18f7-4cd4-938f-391d59d473c6",,,"09_1086"
1,2,,"uuid:b3ba4752-624f-444e-8702-3c08667ab57e",,,"09_1087"
1,2,,"uuid:e04d473f-1a5d-4069-926c-0f24a3a076ac",,,"09_1088"
1,2,,"uuid:77024a4c-f26d-460b-86aa-1a1c9231d5cf",,,"09_1089"
1,2,,"uuid:c53a50ca-ac46-45f0-bfad-93798fd12680",,,"09_1090"
1,2,,"uuid:8ea16f9c-8053-4f79-9f9c-b67feca6a9b6",,,"09_1091"
1,2,,"uuid:760f1f0d-5995-4a04-9703-0942c4721cf9",,,"09_1092"
1,2,,"uuid:bbdb1a1a-f32b-44d0-94bd-9b158c5d1e08",,,"09_1093"
1,2,,"uuid:a39ad2ca-0488-47fd-b125-6ac8f6647835",,,"09_1094"
1,1,,"uuid:402f2b82-942c-4292-83af-7a6221a62f92",,,"09_1095"
1,1,,"uuid:a116879a-2a36-4242-817b-e3c820b7bc6a",,,"09_1096"
1,1,,"uuid:56c9270e-4195-4ddd-badc-ccbd9f9ed317",,,"09_1097"
1,1,,"uuid:caaf2490-ffad-4755-a322-37dc27d653ea",,,"09_1098"
1,1,,"uuid:91f262a7-2b52-4206-ae76-313bfdbffb18",,,"09_1099"
1,1,,"uuid:d4c6421c-01b0-4b3c-b0f9-4d030256b5a5",,,"09_1100"
1,1,,"uuid:161ef26a-b2e6-461a-96d8-d679e9b1295b",,,"09_1101"
1,1,,"uuid:dbfdac05-61e4-4da8-b29c-f21edb9864d1",,,"09_1102"
2,1,,"uuid:99ce5051-0802-4e02-be4d-70ec1c16c6cf",,,"09_1103"
1,1,,"uuid:6396c0e2-ba16-4287-b720-e5c70b5a5bb8",,,"09_1104"
1,1,,"uuid:0245a8ea-9640-4e07-be35-b1ec32c38ec8",,,"09_1105"
1,1,,"uuid:5ad0bcfd-0965-492a-8660-e9648385339e",,,"09_1106"
1,1,,"uuid:192faf1d-4178-4c90-bce2-af3084b8c9e2",,,"09_1107"
1,1,,"uuid:092acea8-ede9-432f-a184-0cbe88c28eb7",,,"09_1108"
1,1,,"uuid:569e5125-ebae-49f9-b794-7b9447d38a24",,,"09_1109"
1,2,,"uuid:416d60fc-e80c-4211-b930-7c267cae7524",,,"09_1110"
1,1,,"uuid:f86ec075-9654-462c-b29b-935f34031159",,,"09_1111"
1,2,,"uuid:1077bab9-f71a-47dd-8736-ec8361fa3fce",,,"09_1112"
2,1,,"uuid:09bb81e8-3904-4751-82cb-dde91d3529d9",,,"09_1113"
1,2,,"uuid:225d0abd-bb25-47ba-a460-b7c8057bdff9",,,"09_1114"
1,2,,"uuid:b01ef83b-1df4-4003-9dec-556220a93724",,,"09_1115"
2,1,,"uuid:1a5885df-3ea3-4b0d-b55c-ce61cc79bd16",,,"09_1116"
1,1,,"uuid:75c15649-8017-485b-adb9-38b5d35ed1b0",,,"09_1117"
1,2,,"uuid:c0cab312-8f05-48b4-b6f1-f7a42dbf0911",,,"09_1118"
1,2,,"uuid:798c86c2-ee32-478f-9552-928f830c6be5",,,"09_1119"
1,2,,"uuid:e1786de9-a950-45dc-9cc8-19deb608c5b4",,,"09_1120"
1,2,,"uuid:1202a995-27c4-4d6c-b830-ec39d2845238",,,"09_1121"
1,2,,"uuid:868d339f-5237-4010-b4c4-51e52faebf0c",,,"09_1122"
1,2,,"uuid:68e7cbb5-b424-440a-9d54-196fe7e1c45b",,,"09_1123"
1,2,,"uuid:6f88f642-b033-478e-a078-a18d251ac0a0",,,"09_1124"
1,2,,"uuid:9941181a-3bf5-449c-b6a5-d4191c306de1",,,"09_1125"
1,2,,"uuid:19147262-7d53-4b61-9342-4e180e93d270",,,"09_1126"
