"number","formid","form.hh_dd","form.neighbor","X_h_location_latitude","X_h_location_longitude","X_h_location_altitude","X_h_location_precision","form.hh_gps_device","form.hh_gps_id","form.hh_waypoint","form.hh_q17d","form.hh_q17d_other","form.hh_q18","username","caseid","case_name","h_f_weekly","h_UID"
439,"d44a3ea2-8e2e-4766-a83e-c2f56568fe43","2016-07-01 09:06:00","Ringway","5.56810881","-0.18681356","64.0","5.0","Yes","SP1",4135,7,,"1","maggrey",,,0,"03_0439"
440,"d62ede0f-8893-4970-9839-651908cd1442","2016-03-23 10:28:00","Shiabu","5.5312193","-0.2532508","0.0","1560.0","Yes","0513",513,1,,"3","test",,,0,"03_0440"
441,"d5f3196b-4a54-4d87-905d-ced47515a860","2016-04-22 09:05:00","Shiabu","5.60823039","-0.20591046","25.0","41.0","Yes","SP7",1,6,,"2 3","test_2",,,0,"03_0441"
442,"d8c9ea6d-9d97-432a-b2ce-7981c352f9ee","2016-07-06 09:27:00","Ringway","5.56394952","-0.18533285","49.0","5.0","Yes","SP10",71313,7,,"2 3","famponsah",,,0,"03_0442"
443,"d92630dd-e807-4aa5-9e08-04435f53071c","2016-06-20 11:37:00","Adabraka","5.557588651893975","-0.2139876401611951","45.52","4.0","Yes","sp8",32237,7,,"2","maggrey",,,0,"03_0443"
444,"d903191a-c043-46f1-8780-54d1911f67a3","2016-07-06 09:19:00","Ringway","5.5638837","-0.1856764","0.0","40.5","Yes","sp4",12314,7,,"2 3","ethel",,,0,"03_0444"
445,"dab67127-bf93-4998-b103-3570276eebe2","2016-04-27 12:08:00","Chorkor","5.52936722","-0.25073498","37.0","3.0","Yes","sp7",1217,7,,"2","ethel",,,0,"03_0445"
446,"09652bb7-aaad-44a6-bf3a-3d5e3f71c083","2016-03-23 10:31:00","Shiabu","5.52937718","-0.25401936","15.0","8.0","Yes","069",69,1,,"1","test",,,0,"03_0446"
447,"0a060001-d3fe-4afc-b460-7168af16996c","2016-06-17 11:39:00","Adabraka","5.56113667","-0.21514463","38.0","5.0","Yes","sp3",12206,7,,"1","iselby",,,0,"03_0447"
448,"044e2e29-eae5-45e5-bb59-51e6f7cdc5e9","2016-03-24 11:34:00","Shiabu","5.53513129","-0.25709084","30.0","4.0","Yes","0323",323,2,,"3","test",,,0,"03_0448"
449,"0a19154e-6110-4989-8983-a5e0296ae794","2016-07-13 10:55:00","Kokomlemle","5.57875593","-0.20611773","55.0","8.0","Yes","SP1",41410,7,,"3","maggrey",,,0,"03_0449"
450,"0eaed809-d42f-4d36-ad20-9f6c83a53709","2016-07-20 10:57:00","Kokomlemle","5.57745087","-0.21291148","58.0","11.0","Yes","SP10",71423,7,,"1","famponsah",,,0,"03_0450"
451,"0f218ff1-bf13-4851-b304-d96b34755c5b","2016-06-20 11:01:00","Adabraka","5.557822044975909","-0.21351185229378536","33.81","4.0","Yes","sp8",32235,7,,"2","maggrey",,,0,"03_0451"
452,"1012ce48-7b58-41d8-8af9-0e093af73833","2016-07-08 10:33:00","Ringway","5.55328392","-0.18642573","45.0","25.0","Yes","SP4",51303,7,,"3","ethel",,,0,"03_0452"
453,"102b9c3c-1c27-46cc-8857-98e0a0d3a346","2016-04-27 12:25:00","Chorkor","5.52923017","-0.24022954","47.0","5.0","Yes","SP10",7117,7,,"2 3","famponsah",,,0,"03_0453"
454,"10800199-c6c5-4c86-be2b-b5d1ff74336b","2016-03-22 10:37:00","Shiabu",,,,,"No",,,3,,"2","test",,,0,"03_0454"
