"col_gps_device","col_gps_device_id","col_gps_device_wp","col_gps_device_lat","col_gps_device_lon","col_ws_group","col_ws_container","col_ws_container_lid","col_b_group","col_b_source","col_b_source_other","col_b_container","col_b_container_lid","col_ww_group","col_ww_source","col_ww_source_other","col_ww_container","col_ww_container_lid","col_i_group","col_i_container","col_i_container_lid","meta.instanceID","X_parent_table_name","X_parent_index","col_p_type_ch","col_UID"
0,,,,,,,,,,"",,,,1,,0,,,,,"uuid:7b7858eb-6039-44c2-934f-8b7a0e15e24a",,-1,"","01_33_1042"
0,,,,,,,,,,"",,,,2,,0,,,,,"uuid:6214b056-ea13-4db8-ae58-f5308036d683",,-1,"","01_33_1043"
0,,,,,,,,,,"",,,,1,,0,,,,,"uuid:7de5f39e-5ca8-477e-8fa8-9899be3cb74b",,-1,"","01_33_1044"
0,,,,,,,,,,"",,,,2,,0,,,,,"uuid:61781608-5a67-4317-b73c-2a9c2158e248",,-1,"","01_33_1045"
0,,,,,,,,,,"",,,,1,,0,,,,,"uuid:e8499eb5-9b3a-4521-acd2-7fcb44fc6169",,-1,"","01_33_1046"
0,,,,,,,,,,"",,,,1,,0,,,,,"uuid:0cb4f292-2b4c-4cfb-acc5-3fd66e57f3af",,-1,"","01_33_1047"
0,,,,,,,,,,"",,,,1,,0,,,,,"uuid:dae71608-50c9-4d58-bc6d-295e6e4244c5",,-1,"","01_33_1048"
0,,,,,,,,,,"",,,,1,,0,,,,,"uuid:eaf79afb-b751-4618-aa74-7e9fd53aa479",,-1,"","01_33_1049"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:dbaea6bd-8ab6-48a9-a72a-9b220f313f36",,-1,"","01_33_1050"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:58a43528-9edf-42b6-a2f7-640ed8d0234c",,-1,"","01_33_1051"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:7e6f7d9c-c5f1-4156-bb8d-44b4abe24f2b",,-1,"","01_33_1052"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:133d6929-310a-4881-a81a-5832029e004b",,-1,"","01_33_1053"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:816a7d8b-205c-47e4-953c-ffb94a51aed1",,-1,"","01_33_1054"
