"col_f_type","col_p_wash","col_odw_type","col_odw_container","col_odw_container_lid","col_odw_id","col_odw_cl_free","col_odw_cl_total","col_l_toilet_pubshare","col_l_toilet_hhs","meta.instanceID","X_tags","X_notes","col_UID"
1,,,,,,,,,,"uuid:0c170261-993b-44fc-a9fc-e4d4711204d8",,,"04_06_1063"
2,,,,,,,,,,"uuid:ca8802c6-cbb7-4e21-80bb-d99fb947c0a9",,,"04_06_1074"
1,,,,,,,,,,"uuid:aecd3585-311a-4606-b03f-f7b6cbb367a7",,,"04_06_1073"
,,,,,,,,,,"uuid:f0373069-63ad-4629-a764-0dc126a3ddf2",,,"04_01_1070"
,,,,,,,,,,"uuid:ec1e4237-791a-48c2-839d-9763594c14c9",,,"04_10_1071"
,,,,,,,,,,"uuid:b090d304-b80f-4b1c-bbf8-58fecfb09dfc",,,"04_08_1069"
,0,,,,,,,,,"uuid:6dae4d26-7c7f-45d0-ac4c-f4a5db0e629c",,,"04_02_1072"
1,,,,,,,,,,"uuid:661254b5-d5fc-42d7-812a-8a49e7fe8fd1",,,"04_06_1084"
2,,,,,,,,,,"uuid:b3bdffaa-01bd-477e-a643-61be8fa2c2ce",,,"04_06_1085"
,,,,,,,,,,"uuid:1cb230a5-ea26-48ee-a396-effccecaff83",,,"04_03_1088"
,,,,,,,,,,"uuid:d3b0a114-de63-4e08-a9e1-f5fa2d61fc31",,,"04_08_1080"
,,,,,,,,,,"uuid:f7b68fe0-77e6-424f-955e-0c180d1a42e0",,,"04_01_1081"
,,,,,,,,,,"uuid:623f4df3-6fbb-470d-856e-c20ffb461467",,,"04_10_1082"
,,2,0,,1,,,,,"uuid:e8185e6c-d6e7-40ba-b8ad-20b0151d7abe",,,"04_33_1086"
,1,,,,,,,,,"uuid:f1485c0a-6331-4f85-a801-3e61469b6d58",,,"04_02_1083"
,,1,0,,1,,,,,"uuid:13215062-5a06-4802-9a7c-ea1007914c64",,,"04_33_1087"
,,,,,,,,,,"uuid:f3f05f64-4817-4031-b9e8-6df2d1ce4bc4",,,"04_03_1118"
,,2,0,,1,0,,,,"uuid:e81f596a-1a5c-49a6-863d-30b5fb646754",,,"04_33_1095"
,,2,0,,1,0,,,,"uuid:49a1dca1-72d2-4b82-92ca-c258393e92b7",,,"04_33_1116"
,,,,,,,,1,,"uuid:972e5897-53d8-4476-b975-d36635fe0744",,,"04_07_1098"
,,1,1,,1,0,,,,"uuid:57aa0a0d-6a80-4a42-83fb-106b1e37bc44",,,"04_33_1117"
,,,,,,,,,,"uuid:8eebff2d-f746-49c7-b06f-4d9355d06148",,,"04_08_1089"
,,,,,,,,,,"uuid:fee74500-4ddb-4f1e-be8b-ee92c082ebc1",,,"04_10_1091"
1,,,,,,,,,,"uuid:ebdaac4c-4e5e-40d8-824d-e3f76f821771",,,"04_06_1093"
,,,,,,,,,,"uuid:b3a885ad-c1ee-47fc-ab45-8a0e129a0afd",,,"04_03_1099"
,,1,1,,1,0,,,,"uuid:e381ae34-8a13-4c98-a31b-f8dcb3c09410",,,"04_33_1110"
,,2,0,,1,0,,,,"uuid:8fbaa05e-5393-4ca1-bfba-03095cec2811",,,"04_33_1109"
,,,,,,,,,,"uuid:fe1b9cf3-5560-431f-a211-c2eea94fa937",,,"04_03_1113"
,,2,0,,1,0,,,,"uuid:c0921ef0-7b79-4073-bf34-2ec1f58c32f4",,,"04_33_1111"
,,1,1,,0,0,,,,"uuid:ae56f736-7813-4bf4-adfe-0dd412292c09",,,"04_33_1112"
,,2,0,,1,0,,,,"uuid:8246358a-3963-4241-850b-9d47acc8fa96",,,"04_33_1114"
,,1,1,,1,0,,,,"uuid:0b159c6f-216a-43e2-891a-8523cba75bec",,,"04_33_1120"
,,1,1,,1,0,,,,"uuid:e9e7ace6-eecc-44f0-bec8-4ccc9355f768",,,"04_33_1115"
,,,,,,,,,,"uuid:7aecdb6f-a275-468b-8abb-cba1f74b7a7c",,,"04_03_1123"
,,1,1,,1,0,,,,"uuid:af05323f-3a0a-4862-9c89-fbe2d45e2d7f",,,"04_33_1122"
,,1,0,,1,0,,,,"uuid:b1423715-56f5-4c9d-8581-da01d5727471",,,"04_33_1125"
,,2,1,,,,,,,"uuid:69393824-e4ff-4908-aa97-407b97d1db75",,,"04_33_1124"
,,,,,,,,2,3,"uuid:93214ba3-4911-427d-8616-1366b67bfbb5",,,"04_07_1077"
,,,,,,,,1,,"uuid:3b53ad57-5ef6-4280-a069-92b5de439f94",,,"04_07_1078"
,,,,,,,,,,"uuid:48d1903b-a771-41a0-833a-860371528764",,,"04_03_1079"
,,1,1,,0,0,,,,"uuid:2941151e-f88e-409a-8428-5b2ea6276dd6",,,"04_33_1076"
,,1,0,,1,0,,,,"uuid:30fa5e57-e818-422f-a73d-b8a3180ba717",,,"04_33_1096"
,,,,,,,,2,5,"uuid:bb63034e-d726-4a85-b0b6-f9f280a0a61d",,,"04_07_1097"
,,1,0,,1,0,,,,"uuid:eefe6e6a-f9bc-442a-a226-2e846539789a",,,"04_33_1127"
,,2,0,,1,0,,,,"uuid:05915eb6-3484-4667-ba0b-392efcd47488",,,"04_33_1126"
,,2,0,,1,0,,,,"uuid:6ce6c104-c1d5-41a8-8fbc-b19c4139043e",,,"04_33_1129"
,,,,,,,,,,"uuid:2787e635-d96c-4115-bb77-71f2d9f40c30",,,"04_03_1128"
2,,,,,,,,,,"uuid:1bc25fe0-65bc-4763-9de5-352c371abd97",,,"04_06_1048"
2,,,,,,,,,,"uuid:5e44539a-84e8-463b-b960-54e8931f77ca",,,"04_06_1094"
,,1,1,,1,0,,,,"uuid:65f034cc-301e-496d-88c6-8968fea3a4b7",,,"04_33_1108"
,,2,1,,0,,,,,"uuid:5d432fa8-e136-4709-be77-0b8ccc6e79f3",,,"04_33_1107"
1,,,,,,,,,,"uuid:59479eaa-1d67-4364-9a86-c7429b378164",,,"04_06_1105"
,0,,,,,,,,,"uuid:2d6af95e-b568-43ae-afe7-17707c4a8519",,,"04_02_1104"
,,,,,,,,,,"uuid:6701dd17-9f3b-47d8-aa70-6d969bf78ac4",,,"04_08_1101"
,,,,,,,,,,"uuid:9958a278-161b-4870-861f-983378ae77bb",,,"04_01_1102"
,,,,,,,,,,"uuid:2ec12757-ae75-458c-bef7-de4879032dc0",,,"04_10_1103"
,0,,,,,,,,,"uuid:04072253-5873-40ed-9e3f-102e1405ade4",,,"04_02_1092"
,,,,,,,,,,"uuid:d12104e2-0282-4e89-a97e-29bd420fffcb",,,"04_10_1131"
,,,,,,,,1,,"uuid:99d7e997-02aa-41a4-bb5f-430768a557ca",,,"04_07_1031"
,,,,,,,,2,5,"uuid:30cd4e05-adff-4fc4-a7d0-d1a32a32e775",,,"04_07_1142"
,,,,,,,,1,,"uuid:e174e896-a53a-46c1-bb9f-deec355d5601",,,"04_07_1143"
1,,,,,,,,,,"uuid:0de04239-ce70-4f1f-9148-aa7b73c0f58c",,,"04_06_1141"
,,,,,,,,,,"uuid:643666af-246d-4afa-9c36-56d50ca86fbf",,,"04_01_1138"
,,,,,,,,,,"uuid:a7cea822-16bd-40fd-9ce6-f7d1fa8e86f6",,,"04_08_1137"
,0,,,,,,,,,"uuid:9b7ba2d4-ba20-4cd5-ae65-00b6f61909c4",,,"04_02_1140"
,,,,,,,,,,"uuid:694e96a8-3d13-419a-a688-6ca9b1273f65",,,"04_10_1139"
,,,,,,,,,,"uuid:0e6f2fa1-bf87-4fc7-b3e7-210067299d5b",,,"04_01_1133"
,,,,,,,,,,"uuid:ff1a569e-b536-40d7-9eff-96b90dcf4580",,,"04_08_1132"
2,,,,,,,,,,"uuid:c701f401-ec0a-47de-b712-93fb121333c6",,,"04_06_1136"
,,,,,,,,,,"uuid:fbcac85b-c030-4779-a7c8-d234a8271904",,,"04_10_1134"
,1,,,,,,,,,"uuid:076989be-2918-4f0b-9458-d83891206859",,,"04_02_1135"
,,,,,,,,,,"uuid:280b9dcf-26c3-4331-a91b-ad9f63bebf41",,,"04_01_1145"
2,,,,,,,,,,"uuid:1839c242-b8ed-4d1c-8c76-ede1cab711cb",,,"04_06_1148"
,,,,,,,,,,"uuid:76e700c2-794e-485b-b4eb-c41b65120a90",,,"04_01_1149"
,,,,,,,,,,"uuid:d65d8b65-a977-4e4b-b97e-161ee5345eff",,,"04_10_1146"
,0,,,,,,,,,"uuid:a593c0fa-611f-4581-9e7d-fbac8e292450",,,"04_02_1147"
,,,,,,,,,,"uuid:30abd7d1-9b2d-414a-ab5a-d94e8a16cd17",,,"04_08_1144"
1,,,,,,,,,,"uuid:a952524b-41ec-43bf-b5b9-b6fe1b19d71c",,,"04_06_1154"
,,,,,,,,2,5,"uuid:ba97a500-8c0e-4dae-9c50-01a92dd678e3",,,"04_07_1155"
,,,,,,,,,,"uuid:47c17d3f-4201-4c28-99cf-0ac03eeebaa7",,,"04_08_1150"
,,,,,,,,,,"uuid:8aa14cd5-39a6-44c6-be8c-8c5bd4a7c7c3",,,"04_10_1152"
,,,,,,,,1,,"uuid:1753821b-4ea2-4222-a70c-575bed72101e",,,"04_07_1156"
,,,,,,,,,,"uuid:0d1be3c0-2d2d-45f9-aede-6feab2ca65ad",,,"04_01_1151"
,0,,,,,,,,,"uuid:a131c134-162e-4bf2-81b1-8393fb4ab21e",,,"04_02_1153"
,,,,,,,,,,"uuid:d4eb5fef-b1e7-4449-a2dd-49e165f6617d",,,"04_01_1163"
