"meta.instanceID","X_tags","X_notes","lab_UID"
"uuid:d3d86720-7cb5-4563-862d-a2d1966492da",,,"06_04_9004"
"uuid:7e9a265d-70d8-4b98-a981-3aae572f8d63",,,"06_04_9003"
"uuid:f8e7886f-5590-46dd-99f7-9adee622e506",,,"06_04_9002"
"uuid:76510ed6-1a99-426f-bc15-e948300b0805",,,"06_04_9001"
"uuid:1b1205cf-c70e-4671-bd35-a6786f528fd1",,,"06_04_9010"
"uuid:e13bd2c6-27b0-4069-a55a-a276f926035a",,,"06_08_6004"
"uuid:f58f4629-456b-4415-a2c1-ef5d52fb4895",,,"06_10_5002"
"uuid:ce50f744-8912-4bf3-aca4-e0f6e25cb282",,,"06_08_6003"
"uuid:be42349b-d120-4076-ba87-9c2051ce8dd9",,,"06_08_6002"
"uuid:c90fa57c-4464-4261-b5df-6ede306fbbd8",,,"06_08_6001"
"uuid:c7b3c98b-60ef-4d85-b95a-b8480a27df8a",,,"06_10_5005"
"uuid:95f73092-9c0f-410b-95ab-3d7ec40a16b0",,,"06_10_5004"
"uuid:b66ec23d-e43a-4b3a-a551-45d553935f6b",,,"06_10_5001"
"uuid:8b31cecf-e0d5-4b0f-8803-e77bd5f8b920",,,"06_10_5003"
"uuid:181fc936-c634-4503-9eb8-9e2e19d74fbc",,,"06_06_7003"
"uuid:6030dde3-1fbe-4ab6-b999-b51bc237f6f2",,,"06_06_7002"
"uuid:631a706d-5fba-4066-8f26-69c785e336dc",,,"06_06_7001"
"uuid:35f1c1c9-4322-4acb-a926-1e8e46049e54",,,"06_08_6005"
"uuid:7d498e01-e519-4ad1-8fbb-7d96002b7615",,,"06_01_4002"
"uuid:2edd1b9f-dd82-44fc-ad35-eb4186b53d7c",,,"06_01_4004"
"uuid:bd09e533-63f3-4d8a-8730-5973969753c7",,,"06_01_4003"
"uuid:b2ae56ef-ace9-4f66-95f6-69f55893a988",,,"06_01_4008"
"uuid:f426938e-d2c4-48a0-b455-c2eb31dc958a",,,"06_01_4009"
"uuid:6924e203-bbbf-43d9-9f93-3a5b39a75eff",,,"06_01_4010"
"uuid:7630dcf4-0fde-44c9-84c0-9e48bcfd98e4",,,"06_01_4007"
"uuid:eb684db1-70bc-49f2-9659-75c4e5250331",,,"06_01_4006"
"uuid:18c9ab94-3bdd-4a39-a182-f310866f7df3",,,"06_08_6010"
"uuid:56d3c4a8-457c-4514-92f6-d9e83ea4eb40",,,"06_08_6009"
"uuid:f944e5e0-a59a-46b4-878b-95b9e7e96a8a",,,"06_08_6008"
"uuid:f2eed210-1af0-4056-a04e-ddbc69b25ab3",,,"06_08_6007"
"uuid:2630957d-7c9e-4f04-a32d-ec53c48df2f5",,,"06_08_6006"
"uuid:a2c67b4f-1386-44b4-bbdb-743e90fb4f9b",,,"06_06_7004"
"uuid:97eb4c5f-b53d-4bf6-b2ea-1159e522b49a",,,"06_09_8004"
"uuid:457856a5-ce78-4730-8676-52a8eeb969d2",,,"06_09_8003"
"uuid:c65bc63d-8bb6-4f35-a432-5f1cdb8b9a85",,,"06_09_8002"
"uuid:5781ea93-9074-4258-87eb-58e69180f35b",,,"06_09_8001"
"uuid:dde3123b-7240-44a9-8073-6c6a5cc4c306",,,"06_10_5006"
"uuid:195593ac-f886-4179-b9db-5c6190f43001",,,"06_10_5007"
"uuid:9c007600-b5cc-487f-883d-b8a74741bc39",,,"06_10_5008"
"uuid:364614b4-41d7-459a-8d0c-455b71560bce",,,"06_10_5009"
"uuid:4dd06ae2-bc38-4af1-92f6-0a76b7d9f54f",,,"06_10_5010"
"uuid:dde51767-79c5-45ef-a1b1-cceb471122af",,,"06_01_4001"
"uuid:28d8dce7-da3e-4a2f-8ee8-b6817b4162f9",,,"06_01_4005"
"uuid:8f1ec7a6-487b-49d0-af63-269467022fc0",,,"06_02_2007"
"uuid:b641feb6-d390-4e71-805c-83d9b455b5c3",,,"06_02_2010"
"uuid:d59d4c3e-e722-4159-bb11-155247b1cb12",,,"06_02_2008"
"uuid:15400ee8-c4c5-4396-a5f3-0c7692899dbf",,,"06_02_2009"
"uuid:396f09cd-7f22-4d43-b287-aec3defa0b51",,,"06_02_2006"
"uuid:a3edeaa9-2165-4818-8bfb-13b9a37f5ccc",,,"06_07_3006"
"uuid:80e3366c-5b07-4377-9dac-88476b4491cb",,,"06_07_3007"
"uuid:60030da1-f2cc-41a6-84d0-94f47b485fc2",,,"06_07_3008"
"uuid:f5228e6b-c953-44d9-ae03-c2b7129f2cfa",,,"06_07_3009"
"uuid:34c34ca7-71c0-4086-a37f-b96cfd05fbaf",,,"06_07_3010"
"uuid:b5cbcdb7-1976-4abd-92df-3e766b636558",,,"06_03_1006"
"uuid:991159bc-1ef0-4415-bc2d-79839d9aede1",,,"06_03_1007"
"uuid:aaf9df0c-1971-4801-813d-9a3e636ae926",,,"06_03_1008"
"uuid:42565858-a03b-494b-b0b4-dc462a91a3ad",,,"06_03_1009"
"uuid:c66e85ba-cee0-4cf2-a280-08cc41fbd809",,,"06_03_1010"
"uuid:ac1230e3-2426-4633-a576-40ec49034feb",,,"06_07_3002"
"uuid:62e0ffb0-01a4-4724-8572-c6cb3053adca",,,"06_07_3001"
"uuid:e4228a75-f594-4324-95d2-9277b6663206",,,"06_07_3003"
"uuid:9c9aaeea-ba78-4992-9f69-a9826d7b418d",,,"06_07_3004"
"uuid:593a4178-3a92-46d3-a237-fa20eeb4f4f9",,,"06_07_3005"
"uuid:0efcf482-afb4-4bb8-ae09-b0fe3ac92e70",,,"06_03_1001"
"uuid:6d93ea94-0ba2-4e9b-8e9b-2022371e5613",,,"06_03_1002"
"uuid:d04e25f9-b8e9-4bcf-bc13-c4fee21c955b",,,"06_03_1003"
"uuid:f6b6355a-7ef7-4386-84bc-148c6cbf1c78",,,"06_03_1004"
"uuid:ada897ee-3657-431d-a053-c3cc4db34fd7",,,"06_03_1005"
"uuid:94d4a13f-5e3a-4950-b1ee-9cc54bf09574",,,"06_02_2001"
"uuid:f30534a0-1847-444c-93e8-6c7a6d704abf",,,"06_02_2002"
"uuid:8dfc66a9-040c-4598-ab62-de491bd511d7",,,"06_02_2003"
"uuid:545f4d27-9933-4ddf-af57-aff87840d131",,,"06_02_2004"
"uuid:b81c3972-891e-4276-88d0-c55d0a772298",,,"06_02_2005"
"uuid:38a07ea1-dfa4-4058-b792-188900e6de64",,,"06_02_2107"
"uuid:04768222-7d0c-4b3f-8a12-d4314735269d",,,"06_03_1104"
"uuid:22d69635-6380-4af9-8426-559047682c42",,,"06_01_4107"
