"h_dwwell_a","h_dwwell_a_other","h_dwwell_c","h_dwwell_c_other","h_bw_source","h_bw_source_other","h_bw_source_na","h_ls_a","h_ls_a_other","h_ls_c","h_ls_c_other","meta.instanceID","X_tags","X_notes","h_f_weekly","h_UID"
4,,4,,1,,,2,,2,,"uuid:bd199d15-afe3-47d6-8dcc-91868968bcf3",,,1,"04_1085"
4,,4,,1,,,2,,1,,"uuid:4420b31c-4d1a-4e17-9e55-0481c146e361",,,1,"04_1086"
4,,4,,1,,,1,,1,,"uuid:f3f7826b-19ac-4000-b15e-5a3f4c1bd529",,,1,"04_1087"
4,,4,,2,,,1,,1,,"uuid:a8d84802-ee56-4058-99da-98108259fa55",,,1,"04_1088"
4,,4,,1,,,4,,4,,"uuid:7ea23871-b008-4f24-9a79-34763afb7173",,,1,"04_1089"
4,,4,,1,,,2,,2,,"uuid:62d0de48-0e93-4e08-a68e-ca4bc8c43806",,,1,"04_1090"
4,,4,,1,,,4,,4,,"uuid:febfbac2-8a1f-4eaa-8523-3f5c29ddb51e",,,1,"04_1091"
4,,4,,1,,,4,,4,,"uuid:a8ffc394-b48f-4142-b26c-368c2dafc6cd",,,1,"04_1092"
4,,4,,1,,,4,,4,,"uuid:abb7f2fa-55e9-436b-804c-6dcf40c90f8e",,,1,"04_1093"
4,,4,,2,,,1,,1,,"uuid:ed077d5f-acee-4251-b985-b83e4ca3955c",,,1,"04_1094"
4,,4,,1,,,4,,4,,"uuid:bb5a383a-c7f4-4329-882c-faff1c2df7ab",,,1,"04_1095"
4,,4,,1,,,4,,4,,"uuid:e6cd691b-f3b7-45dc-86f9-10c06b49b814",,,1,"04_1096"
4,,4,,1,,,1,,4,,"uuid:ac324928-53e5-47be-ba61-5c42fbcae87f",,,1,"04_1097"
4,,4,,1,,,1,,1,,"uuid:8a353361-e11e-4ed7-82f1-629fdf28cfdd",,,1,"04_1098"
4,,4,,2,,,4,,4,,"uuid:8237f0ac-ac2b-47c1-9c54-dbce8063fc3a",,,1,"04_1099"
