"h_dwwell_a","h_dwwell_a_other","h_dwwell_c","h_dwwell_c_other","h_bw_source","h_bw_source_other","h_bw_source_na","h_ls_a","h_ls_a_other","h_ls_c","h_ls_c_other","meta.instanceID","X_tags","X_notes","h_f_weekly","h_UID"
4,,4,,1,,,4,,4,,"uuid:a22eb30d-d4fb-4ea8-b612-27b39e004f12",,,1,"04_1000"
4,,4,,2,,,4,,5,,"uuid:e885a0ba-a827-479e-90ce-bc4e03296f10",,,1,"04_1001"
4,,4,,1,,,4,,5,,"uuid:74d9ea7f-d720-4495-9b40-3440a25828b8",,,1,"04_1002"
4,,4,,1,,,3,,5,,"uuid:9221941f-d854-45cb-9e5f-d5995cb9bd0e",,,1,"04_1003"
4,,4,,1,,,1,,1,,"uuid:2f3c68b9-28c1-456d-92cf-53b135c5c95b",,,1,"04_1004"
4,,4,,2,,,1,,1,,"uuid:05122c67-26af-43fc-b064-154d9496123c",,,1,"04_1005"
4,,4,,1,,,1,,1,,"uuid:9bc7ac5a-2e3a-4ad0-bf11-6171e1e18cf2",,,1,"04_1006"
4,,4,,1,,,1,,1,,"uuid:e6b0ad7a-7648-49e0-8625-7630b84b6670",,,1,"04_1007"
4,,4,,1,,,1,,1,,"uuid:c50180c2-877d-4d6e-829b-95f2a08d6f72",,,1,"04_1008"
4,,4,,1,,,1,,1,,"uuid:fc27cdc1-0e32-48dc-b638-44b194042d78",,,1,"04_1009"
4,,4,,1,,,1,,1,,"uuid:471abf6b-d2ea-4b84-b674-ad483103c500",,,1,"04_1010"
4,,4,,1,,,1,,1,,"uuid:15aba9b0-d5e8-4e35-a9a7-dfd56820a91a",,,1,"04_1011"
4,,4,,1,,,1,,1,,"uuid:5ddeb184-4cfd-4741-8200-38adcc861184",,,1,"04_1012"
4,,4,,1,,,1,,2,,"uuid:038512ef-e46c-4f68-ac74-0339ea3d3695",,,1,"04_1013"
4,,4,,1,,,6,"Single family home",6,"Single family home","uuid:2a9f9d2e-b852-442b-ae54-d1d3a600c199",,,1,"04_1014"
4,,4,,1,,,2,,2,,"uuid:d779268d-ac7c-43f1-bb9f-30173d9273d5",,,1,"04_1015"
4,,4,,1,,,2,,2,,"uuid:cebb5608-dc91-425c-804a-32416ac6c55f",,,1,"04_1016"
4,,4,,1,,,1,,1,,"uuid:cddf0765-949a-4624-80ac-ae585d10c03d",,,1,"04_1017"
4,,4,,1,,,4,,1,,"uuid:e2c421f0-b5b5-4ea7-8ddd-50ab679457d3",,,1,"04_1018"
4,,4,,1,,,1,,1,,"uuid:183752b8-3cbd-4950-9905-6d5cc665c175",,,1,"04_1019"
4,,4,,1,,,3,,5,,"uuid:def1ffa2-a101-4908-bc74-4aa8ae5566a3",,,1,"04_1020"
4,,4,,1,,,4,,5,,"uuid:bd63ec6b-5214-443c-8d9b-ba678cadfdbd",,,1,"04_1021"
4,,4,,1,,,4,,4,,"uuid:18aafaed-e89f-4733-b500-9f4496f5dbe4",,,1,"04_1022"
4,,4,,1,,,1,,1,,"uuid:b0c53489-fed4-45b1-97d9-6aac9d52a29e",,,1,"04_1023"
4,,4,,1,,,1,,1,,"uuid:266f1f6e-1895-4b14-9abc-f500a1108541",,,1,"04_1024"
4,,4,,1,,,1,,1,,"uuid:cc3d838e-db01-42f9-b57e-568db27d8889",,,1,"04_1025"
4,,4,,1,,,1,,2,,"uuid:3fc54b43-6c57-4a55-9887-c26ba9653577",,,1,"04_1026"
4,,4,,1,,,1,,1,,"uuid:80df8ca3-5e63-4d72-9c32-21299d979f5f",,,1,"04_1027"
4,,4,,1,,,1,,1,,"uuid:5d645ce2-d770-4164-8c4f-24c2b193b238",,,1,"04_1028"
4,,4,,1,,,1,,1,,"uuid:e66e6a2f-d6bb-4345-a5c2-2229b2912668",,,1,"04_1029"
4,,4,,1,,,1,,1,,"uuid:c0279fb3-3070-4042-a82a-865a53bc5277",,,1,"04_1030"
4,,4,,3,,,1,,1,,"uuid:e7651b8c-d8a7-4135-806c-d9c3f940e339",,,1,"04_1031"
4,,4,,1,,,1,,2,,"uuid:23e72370-4162-4c4d-9322-ed8bc3bdbd4f",,,1,"04_1032"
4,,4,,1,,,1,,1,,"uuid:a0bdfdae-1570-41e5-840e-01037f622d32",,,1,"04_1033"
