"h_bw_source","h_bw_source_other","h_bw_source_na","meta.instanceID","X_tags","X_notes","h_UID"
1,,,"uuid:a3a0ff1b-145b-42c0-b7fc-3cfd5eb62c21",,,"13_1070"
1,,,"uuid:44099bbd-2054-4195-aa26-c336687d2ca0",,,"13_1071"
1,,,"uuid:b84ac741-e5ac-45ea-9e91-a09088f79a53",,,"13_1072"
2,,,"uuid:38aac163-da32-4cb7-9143-e8dde53181a7",,,"13_1073"
1,,,"uuid:01d8fd6d-18c9-416a-8372-1e661f2817e7",,,"13_1074"
1,,,"uuid:d8a45666-665d-419d-b55b-228fa02a9c69",,,"13_1075"
1,,,"uuid:b138a7e1-91e1-47fb-b0fb-60cf14b56457",,,"13_1076"
1,,,"uuid:08b2a056-b7d6-48f9-9a83-332fbc907c98",,,"13_1077"
1,,,"uuid:9a820306-6a69-4fb6-982c-e970c3703e70",,,"13_1078"
1,,,"uuid:640048ea-e55e-4095-be38-5e7600f44f1d",,,"13_1079"
1,,,"uuid:60d29287-deb8-42db-a232-8f351ebd6c43",,,"13_1080"
1,,,"uuid:e62bc061-d9ee-458d-a2da-901506198f05",,,"13_1081"
1,,,"uuid:b44fcf5d-71a8-4875-bf2e-5fc3bfeeaa3d",,,"13_1082"
1,,,"uuid:9563b251-1ab3-48b6-a2bf-a84c5f8c146d",,,"13_1083"
1,,,"uuid:33d3ae92-d19b-41e3-aab5-500decfddc23",,,"13_1084"
1,,,"uuid:4495cf9f-53d9-4bce-a942-2013fb609df4",,,"13_1085"
1,,,"uuid:24ed46c2-9083-4cae-af39-a2e8b23709a0",,,"13_1086"
1,,,"uuid:ddf13a01-22a7-4c39-bca7-9291efd0d25e",,,"13_1087"
1,,,"uuid:6600b13e-a710-4fa4-a272-31d993f01fa7",,,"13_1088"
1,,,"uuid:bbd9ad78-018b-4bd3-b257-a3441ceb6b44",,,"13_1089"
1,,,"uuid:780e66bb-c65f-4b6a-a58b-78ac927dd8b4",,,"13_1090"
1,,,"uuid:fd7eb9f5-fc31-403b-b9c2-a50d94114917",,,"13_1091"
1,,,"uuid:9064d12d-50bd-46b9-a94c-5c9034ca04a9",,,"13_1092"
1,,,"uuid:8632aeb2-18e6-4859-9391-7e566c7db846",,,"13_1093"
1,,,"uuid:f2cb8e25-31e3-4ac0-b05b-1017898d1c1d",,,"13_1094"
1,,,"uuid:f0d810a7-2c0c-49c3-8fc0-5b042f90db35",,,"13_1095"
1,,,"uuid:ed0c2030-81e9-42c3-af35-6e5982827a30",,,"13_1096"
1,,,"uuid:651a53bb-d5db-4f0f-8361-288878c34622",,,"13_1097"
1,,,"uuid:0748a6c4-18fa-41bd-b0df-6d75d6bc1997",,,"13_1098"
1,,,"uuid:d954241b-7298-4f5d-8704-6449c19dba94",,,"13_1099"
2,,,"uuid:df3c66a5-fa1b-44e9-b4e7-1f5acf85cec5",,,"13_1100"
2,,,"uuid:5c3601c8-588c-429b-9fab-bf7def1584c3",,,"13_1101"
2,,,"uuid:4488e080-0116-4f75-89a7-1c8f61a4c18d",,,"13_1102"
2,,,"uuid:f22d8e1e-22dd-4964-afa3-650f77ccd699",,,"13_1103"
2,,,"uuid:8fb52bfa-4d71-4406-a1e3-56aa8c462152",,,"13_1104"
2,,,"uuid:e9808167-3fb5-4cb8-b9a9-c5bb07937fcd",,,"13_1105"
1,,,"uuid:b92f4b13-0f52-4c61-a103-68ecacd62254",,,"13_1106"
2,,,"uuid:846d9cf1-9498-430d-bb2a-c7effe8eb98d",,,"13_1107"
2,,,"uuid:74dbfb80-6fba-40a8-9bab-eb358a7a5326",,,"13_1108"
1,,,"uuid:2eb656ab-8370-42fb-9a4b-38bc01ab3c8a",,,"13_1109"
1,,,"uuid:779d3e9f-7bdb-4c57-8a42-ec19c4417903",,,"13_1110"
2,,,"uuid:af3bd110-b45f-416d-a4a0-3c3223425761",,,"13_1111"
1,,,"uuid:1ac9b7b4-9178-4176-8e57-f61fb5fdd2b4",,,"13_1112"
1,,,"uuid:5db173d0-1637-4af3-b9f6-b861b3958b71",,,"13_1113"
2,,,"uuid:1b874dc0-bc10-4c75-9489-daca47c0aeaa",,,"13_1114"
2,,,"uuid:911ec00f-738b-4771-b3b6-46513dfe970f",,,"13_1115"
2,,,"uuid:3e0acb02-14bb-4014-a787-b8c20e30b403",,,"13_1116"
2,,,"uuid:b203b124-ad1b-43af-8df5-d8822b83ffe2",,,"13_1117"
2,,,"uuid:adba17b3-cce7-44fe-9044-792c415a7df2",,,"13_1118"
