"meta.instanceID","X_tags","X_notes","lab_UID"
"uuid:d9a5a678-beee-4318-ad55-8cfc45b3d1f6",,,"13_10_1800"
"uuid:581af354-8cf4-4f14-b93c-8f53e0b10308",,,"13_10_1801"
"uuid:323e8adf-dc0d-4207-924a-e9754d95aad9",,,"13_08_1601"
"uuid:aff92baa-701d-405b-a088-c207313c13a9",,,"13_08_1600"
"uuid:4a998835-cbd2-406a-8df1-b3b45f34e773",,,"13_07_1500"
"uuid:a351ea99-c992-4292-842f-468fc11dfb08",,,"13_07_1501"
"uuid:2a7db688-13af-45c2-8bdd-7233394e031e",,,"13_02_1701"
"uuid:8afd746c-5000-4887-bad2-0f722add2e6d",,,"13_02_1700"
"uuid:6b058dde-7886-4e7d-aa99-a4e4ed7fd1a0",,,"13_01_1401"
"uuid:7e828fae-d0d1-4643-bc54-030f1368f0da",,,"13_01_1400"
"uuid:3d43f615-3ea5-47a6-9e74-20b6368b48be",,,"13_03_1101"
"uuid:fff5ae56-7341-44c6-8304-c01f7703e7ce",,,"13_03_1100"
"uuid:6bf44e78-86c4-4a32-acae-7e5d0e4486c1",,,"13_33_1300"
"uuid:2ff72939-6c87-466e-b6b6-4c9ff9b5d318",,,"13_05_1901"
"uuid:eb48e1e9-b73c-4c54-bdc2-2b50b7e7f16f",,,"13_05_1900"
"uuid:a76fe8a4-0d9c-45f8-8a69-6d9de8a48975",,,"13_10_1802"
"uuid:f087b0d5-4d73-4d3a-8a35-09d4fd14bba5",,,"13_10_1803"
"uuid:2175aa3f-977e-4acf-b8d4-16013f5501a9",,,"13_08_1602"
"uuid:5ca7f5d6-0e1f-4688-9554-bc623c692441",,,"13_08_1603"
"uuid:20c78a15-7489-4724-8e2f-35f424e16dac",,,"13_07_1503"
"uuid:3acd4be5-f472-4ff9-b317-103e7dd4dfbf",,,"13_07_1502"
"uuid:b2e6bc1b-925a-4545-82aa-dfcf95bd7a0d",,,"13_02_1703"
"uuid:f0be9210-10a3-42ca-b9f3-c008194798ba",,,"13_02_1702"
"uuid:552cf2ce-93a2-42ba-948a-d2e4d457895d",,,"13_01_1402"
"uuid:de817085-4954-42af-a7ae-5ab37e810bbb",,,"13_01_1403"
"uuid:223e1e11-2e63-4658-8b32-c3d9dc694f13",,,"13_03_1103"
"uuid:653d1e37-2cae-4be8-b8e8-56471a0bf096",,,"13_03_1102"
"uuid:8fb4ad47-421f-4601-bc4c-c4874caf3267",,,"13_33_1301"
"uuid:ad3aff1e-adbf-4034-bd0f-f150b5d81417",,,"13_33_1303"
"uuid:596c18fd-2aab-4fd0-b150-7651c72b3ec9",,,"13_05_1902"
"uuid:884cf5c0-a2ed-4d00-b835-bde391108793",,,"13_05_1903"
"uuid:60968108-bbb2-45a7-a0c2-7d1a50e456b0",,,"13_01_1404"
"uuid:c6af8e48-7d3f-4daf-8697-31e16a4c8dbb",,,"13_01_1405"
"uuid:8f02addd-0f7e-433a-8702-487f0b6e09e9",,,"13_02_1704"
"uuid:6bfbe71b-4c83-4511-90b9-2f2ef8550cff",,,"13_02_1705"
"uuid:a51dc31f-7eb9-46d6-aa71-7063b2c43bee",,,"13_03_1104"
"uuid:3d98e25d-cba5-4160-88dd-0ce684611e5c",,,"13_03_1105"
"uuid:674cbb8f-ee84-4bae-9456-260f61b0b7c4",,,"13_05_1905"
"uuid:0237d17b-32dd-4216-92ae-cbd00bda7004",,,"13_05_1904"
"uuid:6e2d5863-4131-4350-a9a6-ca74ef5f1db5",,,"13_07_1504"
"uuid:7c46c26b-ba55-4e33-9ee6-d10fe96ea5cb",,,"13_07_1505"
"uuid:cd64ea83-765f-44f1-80f5-ea252f9e8230",,,"13_08_1604"
"uuid:cf5534c8-eda3-4ccb-bd07-c68a44d365bc",,,"13_08_1605"
"uuid:09a0b874-e9ef-4d2a-aad7-5e3127cba038",,,"13_10_1805"
"uuid:bff9823c-cf90-4683-ad17-d615c1a12a83",,,"13_10_1804"
"uuid:e89314eb-8560-4edf-afa6-dbdd0ca17a8a",,,"13_33_1305"
"uuid:93f6334f-040c-4517-b964-a32bcf0c9fef",,,"13_33_1304"
"uuid:eabff613-7b82-4bc1-ac4f-f7df0625bd69",,,"13_33_1205"
"uuid:c6c04182-da8f-4a74-b919-629a28ca0beb",,,"13_33_1204"
"uuid:1aa34a48-3b5f-43f0-b68c-7f907070bbfc",,,"13_33_1309"
"uuid:470f5de2-0ca0-4ef0-86af-f29666fb680e",,,"13_33_1306"
"uuid:fa360228-6d0f-4b60-923c-586eb8e2fae1",,,"13_33_1206"
"uuid:fe36a43f-d3f5-44f3-8288-0415223251ab",,,"13_33_1209"
"uuid:66bd81cc-3932-44b9-b64f-beeeb029790c",,,"13_33_1203"
"uuid:fb20385a-63cb-4589-8839-742c9cbe9c3c",,,"13_33_1202"
"uuid:41b60c5e-1387-4a1d-8a04-74a0fefafe56",,,"13_10_1806"
"uuid:632fe7f8-9d7e-4d00-835b-56bd20715550",,,"13_10_1809"
"uuid:954fc5be-c03b-4cd2-945a-90323001469a",,,"13_08_1606"
"uuid:64eceb01-46e8-49e0-b8bf-66b09a1e85a2",,,"13_08_1609"
"uuid:9f194ff0-14a4-4a02-adc9-91c0cc597c5b",,,"13_07_1506"
"uuid:f6a80626-3c91-4e6d-a04f-e5fa6cde3f3d",,,"13_07_1509"
"uuid:5b3d1b12-b26a-4856-9242-a924b5feaf18",,,"13_05_1909"
"uuid:3cbfd038-1735-47cf-ac44-be7aceae56fa",,,"13_05_1906"
"uuid:bfd5909d-240e-46d1-b118-e32c13504b64",,,"13_03_1106"
"uuid:e8e8da56-bd40-43e1-97ec-9f98ebe8e535",,,"13_03_1109"
"uuid:199ea716-4e71-4fbd-a71f-3bba3cff66eb",,,"13_02_1709"
"uuid:1206f7fd-a952-48f4-a3f2-b315eb407a35",,,"13_02_1706"
"uuid:492c442c-7b9b-4620-af17-0ab02eac0e7f",,,"13_01_1406"
"uuid:d9bd9bb1-7487-417a-a537-a304da4d6893",,,"13_01_1409"
"uuid:3a3a2eac-0992-4ecb-923c-a3310d51aaac",,,"13_33_1302"
"uuid:69c2346e-0881-474f-8e0e-7f7726befc5b",,,"13_10_1808"
