SampleID,CompoundID,ec_dd,ec_th,ev_lat,ev_long,ev_way,neighbor,dis_lat,ev_notes,source_bw,source_other,stored,covered,ec_sd,ec_st,ec_isd,ec_ist,ec_ied,ec_iet,ec_dil1,ec_dil2,ec_dil3,ec_ecnt1,ec_ecnt2,ec_ecnt3,tc_ecnt1,tc_ecnt2,tc_ecnt3,ec_blank,tc_blank,collectr,sp_type,sp_area,dis_com,weight,feces_3m,lat_type,lat_other,n_stall,Vis_fec,HW_stat,ev_way,operator
ACO3031,3031,3/11/2015,9:04:00 AM,25.9434,32.57974,007-30,2,12.4,,3,,1,1,3/11/2015,1:30:00 PM,3/11/2015,4:00:00 PM,3/12/2015,4:00:00 PM,3,4,,0,0,,0,0,,0,0,ELOISA-GISELA,1,0,,,,,,,,,007.30,LAURINDA MACUVULE
ACO3032,3032,3/18/2015,10:39:00 AM,25.9448,32.5834,008-32,2,27,,3,,1,1,3/18/2015,1:03:00 PM,3/18/2015,4:20:00 PM,3/19/2015,4:20:00 PM,2,1,,6,40,,10,53,,0,0,ELOISA,1,0,,,,,,,,,008.32,SALMA XAVIER
ACO3033,3033,3/24/2015,9:12:00 AM,25.94152,32.58831,169-31,2,8.3,,3,,1,0,3/24/2015,12:02:00 PM,3/24/2015,3:50:00 PM,3/25/2015,3:50:00 PM,2,1,,999,999,,999,999,,0,0,ELOISA-GISELA,1,0,,,,,,,,,169.31,MARIO AMOS
ACO3034,3034,3/13/2015,9:31:00 AM,25.94316,32.58126,012-30,2,13.7,,3,,1,1,3/13/2015,1:20:00 PM,3/13/2015,3:40:00 PM,3/14/2015,3:40:00 PM,1,2,,46,15,,170,23,,0,0,GIZELA/ELOISA,1,0,,,,,,,,,012.30,SALMA XAVIER
ACO3036,3036,3/18/2015,11:01:00 AM,25.94175,32.58841,166-31,2,6.9,,3,,1,0,3/18/2015,1:03:00 PM,3/18/2015,4:20:00 PM,3/19/2015,4:20:00 PM,1,2,,34,6,,999,999,,0,0,BACELAR/ANABELA,1,0,,,,,,,,,166.31,SALMA XAVIER
ACO3037,3037,3/12/2015,8:30:00 AM,25.94513,32.57913,011-29,2,4.1,,3,,1,1,3/12/2015,11:50:00 AM,3/12/2015,3:25:00 PM,3/13/2015,3:35:00 PM,3,4,,0,0,,55,21,,0,0,ANABELA/BACELAR,1,0,,,,,,,,,011.29,MARCIO AMOS
ACO3039,3039,3/24/2015,8:59:00 AM,25.9415,32.58816,167-31,2,9.2,,3,,1,1,3/24/2015,12:02:00 PM,3/24/2015,3:50:00 PM,3/25/2015,3:50:00 PM,1,2,,27,14,,0,0,,0,0,AMADEU-ANABELA,1,0,,,,,,,,,167-31,MARIO AMOS
CCO2029,2029,5/12/2015,10:28:00 AM,25.94407,32.56058,026-29,1,5.45,,,,,,5/12/2015,12:10:00 PM,5/12/2015,3:40:00 PM,5/13/2015,3:40:00 PM,2,3,4,999,999,999,999,999,999,0,0,AMADEU/GIZELA,3,0,,,,,,,,,026-29,MARCIO AMOS
CCO2034,2034,3/5/2015,9:31:00 AM,25.94376,32.55799,166-31,1,12.9,Sample taken from breaking water pipes.,,,,,3/5/2015,11:45:00 AM,3/5/2015,4:20:00 PM,3/6/2015,4:20:00 PM,2,3,4,0,0,0,998,999,999,0,0,ANABELA/BACELAR,3,0,,,,,,,,,163.31,LAURINDA MACUCULE
CCO2040,2040,3/10/2015,9:11:00 AM,25.93496,32.56271,003-29,1,8.2,Sample collected from the laundry washing and dish,,,,,3/10/2015,12:00:00 PM,3/10/2015,4:20:00 PM,3/11/2015,4:20:00 PM,2,3,4,0,0,0,999,999,999,0,0,ANABELA/BACELAR,3,0,,,,,,,,,003.29,MARIA ISABEL
CCO3006,3006,3/12/2015,9:18:00 AM,25.9439,32.58358,010-30,2,15,"In dilutions 1.1000, the colonies of coliforms were extremely pallids.",,,,,3/12/2015,11:50:00 AM,3/12/2015,3:25:00 PM,3/13/2015,3:35:00 PM,3,4,5,999,0,0,999,999,0,0,0,ELOISA MULA,3,0,,,,,,,,,010.30,MARCIO AMOS
CCO3034,3034,3/13/2015,9:28:00 AM,25.94316,32.58126,012-30,2,20.1,,,,,,3/13/2015,1:20:00 PM,3/13/2015,3:40:00 PM,3/14/2015,3:40:00 PM,2,3,4,999,0,0,999,999,113,0,0,GIZELA/ELOISA,3,0,,,,,,,,,012-30,SALMA XAVIER
