HouseholdID,CompoundID,MapSanHHID,dd,th,neighbor,lat,long,hh_q1,A_od,C_od,A_cf_rs,C_cf_rs,has_l,A_use_l,C_use_l,hh_q9,no_la_a,no_la_b,no_la_c,no_la_d,no_la_e,collectr,group
44,3032,8,3/16/2015,9:10:00 AM,2,25.9448,32.58339,1,4,4,1,1,1,2,2,3,0,1,1,0,0,Eloisa Mula,0
45,3036,4,3/16/2015,10:09:00 AM,2,25.94153,32.58839,1,3,4,4,4,1,2,2,3,0,0,1,0,0,Anabela,0
46,3036,1,3/16/2015,9:56:00 AM,2,25.94153,32.58839,0,1,,4,,1,1,,3,0,1,0,0,0,Anabela,0
47,3033,5,3/17/2015,9:43:00 AM,2,25.94152,32.58834,0,4,,3,,1,2,,5,0,1,0,0,0,Gizela Brito,0
48,3033,3,3/17/2015,9:51:00 AM,2,25.94152,32.58834,0,4,,2,,1,3,,5,0,0,1,0,0,Gizela Brito,0
49,3033,1,3/17/2015,9:49:00 AM,2,25.94152,32.58834,1,3,4,1,1,1,1,2,5,0,1,1,0,0,Eloisa Mula,0
50,3033,4,3/17/2015,9:31:00 AM,2,25.94152,32.58834,1,4,4,1,4,1,2,3,5,0,1,0,0,0,Eloisa Mula,0
51,3033,6,3/17/2015,9:34:00 AM,2,25.94152,32.58834,1,3,4,1,1,1,3,2,5,0,0,1,0,0,Eloisa Mula,0
52,3039,4,3/17/2015,9:46:00 AM,2,25.94153,32.5881,0,4,,4,,1,1,,3,0,0,1,0,0,Anabela,0
53,3039,1,3/17/2015,9:40:00 AM,2,25.94153,32.5881,0,4,,4,,1,3,,3,1,0,0,0,0,Anabela,0
54,2042,1,3/19/2015,10:00:00 AM,1,25.94632,32.55551,0,1,,2,,,2,,3,1,0,0,0,0,Anabela,0
55,2042,4,3/19/2015,10:23:00 AM,1,25.94632,32.55551,0,2,,1,,,2,,,1,0,0,0,0,Anabela,0
56,2042,1,3/19/2015,10:12:00 AM,1,25.94632,32.55551,1,2,1,1,1,,2,2,3,0,0,0,0,0,Anabela,0
57,2043,1,3/19/2015,9:17:00 AM,1,25.94527,32.55677,1,3,4,1,3,,2,2,4,0,0,1,0,0,Gizela Brito,0
58,2043,2,3/19/2015,9:41:00 AM,1,25.94527,32.55677,1,4,4,1,1,,3,5,4,1,0,0,0,0,Gizela Brito,0
59,2043,3,3/19/2015,9:07:00 AM,1,25.94527,32.55677,1,1,4,1,1,,2,2,4,0,0,1,0,0,Gizela Brito,0
60,2043,5,3/19/2015,9:25:00 AM,1,25.94527,32.55677,1,4,4,1,1,,2,2,4,0,0,1,0,0,Gizela Brito,0
61,3001,16,3/21/2015,9:52:00 AM,2,25.94457,32.57943,0,4,,3,,1,2,,20,0,1,0,0,0,Gizela Brito,0
62,3001,17,3/21/2015,8:55:00 AM,2,25.94457,32.57943,1,1,1,1,1,1,3,2,20,0,0,1,0,0,Anabela,0
63,3006,6,3/21/2015,11:22:00 AM,2,25.9439,32.58358,1,4,4,2,1,1,2,5,6,0,0,1,0,0,Gizela Brito,0
64,3006,4,3/21/2015,11:13:00 AM,2,25.9439,32.58358,0,4,,3,,1,2,,6,1,0,0,0,0,Gizela Brito,0
