col_neighborhood,col_sample_type,col_id,col_id_val,col_start,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_weather,col_rainyest,col_rainweek,col_rainmon,col_pa_prox,col_pa_type,col_pa_type_other,col_pa_latrine_distance,col_bw_type,col_bw_type_other,col_bw_container,col_bw_container_lid,col_bw_cl_id,col_bw_cl_free,col_bw_cl_total,col_f_latrine_distance,col_p_type,col_p_type_other,col_p_num,col_dw_type,col_dw_type_other,col_dw_container,col_dw_container_lid,col_dw_id,col_dw_cl_free,col_dw_cl_total,col_odw_type,col_odw_container,col_odw_container_lid,col_odw_id,col_odw_cl_free,col_odw_cl_total,col_l_toilet_type,col_l_toilet_type_other,col_l_toilet_stalls,col_l_toilet_feces,col_l_toilet_users,col_l_toilet_hw,col_s_type,col_s_type_other,col_d_water_level,col_d_water_flow,col_d_size,col_d_lining,col_d_lining_oth,col_d_feces,col_d_animals,col_d_schools,col_d_urban_ag,col_d_public_latrines,col_d_hh_latrines,col_d_shops,col_d_hh,col_d_hh_num,col_sf_type,col_sf_type_other,col_notes,col_enum,col_photo,meta/instanceID,_uuid,_submission_time,_tags,_notes
380,10,3805,3805,2019-10-23T08:13:00.000+02:00,-15.383386666666668 28.241083333333336 1268.7 2.8,-15.38338667,28.24108333,1268.7,2.8,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Fritter,n/a,Chilufya,0,uuid:ed5b6ce1-0752-4c4b-a4d1-92a88a8853b8,ed5b6ce1-0752-4c4b-a4d1-92a88a8853b8,2019-10-23T13:21:42,,
380,10,3807,3807,2019-10-23T08:43:00.000+02:00,-15.385963333333333 28.237328333333334 1263.3 1.0,-15.38596333,28.23732833,1263.3,1,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Fritter,n/a,Nchimunya,0,uuid:d039a8d4-00ba-47af-a89b-c79b73f4684e,d039a8d4-00ba-47af-a89b-c79b73f4684e,2019-10-23T13:21:44,,
380,10,3808,3808,2019-10-28T08:34:00.000+02:00,-15.384514999999999 28.241818333333338 1256.1 2.1,-15.384515,28.24181833,1256.1,2.1,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Fritter,n/a,Chilufya,0,uuid:b9056b3a-7bf8-4f3a-bee0-14dfe63e05cf,b9056b3a-7bf8-4f3a-bee0-14dfe63e05cf,2019-10-30T07:41:25,,
381,10,1800,1800,2019-10-07T07:28:00.000+02:00,-15.43779255 28.28164555 1284.0 4.5509996,-15.43779255,28.28164555,1284,4.5509996,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Fritters,n/a,Nchimunya,1,uuid:7ac74bf9-1d2e-4410-b238-bfd5e5ab7017,7ac74bf9-1d2e-4410-b238-bfd5e5ab7017,2019-10-08T03:01:01,,
381,10,1803,1803,2019-10-08T07:51:00.000+02:00,-15.44493617 28.28544766 1290.0 4.5509996,-15.44493617,28.28544766,1290,4.5509996,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Fritters,n/a,Chilufya,1,uuid:2ead160e-873d-41b7-90c4-e2f719c44de8,2ead160e-873d-41b7-90c4-e2f719c44de8,2019-10-09T03:42:59,,
381,10,1804,1804,2019-10-09T07:07:00.000+02:00,-15.45125009 28.27850079 1285.0 4.5509996,-15.45125009,28.27850079,1285,4.5509996,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Fritters,n/a,Chilufya,1,uuid:53d6e99d-0ab3-4125-8d88-076761878e29,53d6e99d-0ab3-4125-8d88-076761878e29,2019-10-10T04:03:03,,
381,10,1806,1806,2019-10-10T07:29:00.000+02:00,-15.44935729 28.28465393 1284.0 4.5509996,-15.44935729,28.28465393,1284,4.5509996,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Fritters,n/a,Chilufya,1,uuid:0ae26a82-2db3-48c9-bf29-9decdbeb6a8f,0ae26a82-2db3-48c9-bf29-9decdbeb6a8f,2019-10-11T05:58:12,,
381,10,1807,1807,2019-10-11T07:55:00.000+02:00,-15.46215755 28.28550517 1282.0 4.5509996,-15.46215755,28.28550517,1282,4.5509996,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Fritters,n/a,Nchimunya,1,uuid:6f6ffe56-bce5-4936-9761-7112f7caab94,6f6ffe56-bce5-4936-9761-7112f7caab94,2019-10-11T05:58:24,,
382,10,2803,2803,2019-10-15T08:44:00.000+02:00,-15.3327991 28.29819056 1244.0 4.5509996,-15.3327991,28.29819056,1244,4.5509996,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Fritters,n/a,Chilufya,0,uuid:2ae0741d-d926-400e-81b6-d0ee810fe872,2ae0741d-d926-400e-81b6-d0ee810fe872,2019-10-15T06:52:29,,
382,10,2807,2807,2019-10-17T09:26:00.000+02:00,-15.34308332 28.29150845 1236.0 4.5509996,-15.34308332,28.29150845,1236,4.5509996,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Fritters,n/a,Chilufya,1,uuid:1f76e858-7c38-42a5-921b-7a8120aa9e18,1f76e858-7c38-42a5-921b-7a8120aa9e18,2019-10-17T15:08:39,,
