h_id,h_start,h_coordinates,_h_coordinates_latitude,_h_coordinates_longitude,_h_coordinates_altitude,_h_coordinates_precision,h_neighborhood,h_home_type,h_rainweek,h_population,h_c,h_s_a,h_s_a_other,h_s_c,h_s_c_other,h_d_a,h_d_a_other,h_d_c,h_d_c_other,h_f_a,h_f_a_other,h_f_c,h_f_c_other,h_dw_a,h_dw_a_other,h_dw_c,h_dw_c_other,h_dwbore_a,h_dwbore_a_other,h_dwbore_c,h_dwbore_c_other,h_dwwell_a,h_dwwell_a_other,h_dwwell_c,h_dwwell_c_other,h_dw_e_wt,h_dw_e_wt_other,h_bw_a,h_bw_a_other,h_bw_c,h_bw_c_other,h_bw_source,h_bw_source_other,h_bw_source_na,h_p_a,h_p_a_other,h_p_c,h_p_c_other,h_p_e,h_p_e_other,h_sf_a,h_sf_a_other,h_sf_c,h_sf_c_other,h_l_a,h_l_a_other,h_l_c,h_l_c_other,h_pl_a_th,h_pl_a_th_other,h_pl_a_tu,h_pl_a_tu_other,h_pl_a_tw,h_pl_a_tw_other,h_pl_a_tf,h_pl_a_tf_other,h_pl_a_ts,h_pl_a_ts_other,h_pl_a_od/1,h_pl_a_od/2,h_pl_a_od/3,h_pl_a_od/4,h_pl_a_od/5,h_pl_a_od/6,h_pl_a_od/7,h_pl_a_od_other,h_notes,h_enum,meta/instanceID,_uuid,_submission_time,_tags,_notes
3004,2019-10-21T08:15:00.000+02:00,-15.374353333333334 28.242456666666666 1241.3 4.8,-15.374353333333334,28.242456666666666,1241.3,4.8,380,2,0,5,1,4,n/a,4,n/a,4,n/a,4,n/a,4,n/a,5,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,3,n/a,3,n/a,1,n/a,3,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Chipo,uuid:fc0f9f1c-44cd-4a9b-91c5-0c3258e1390c,fc0f9f1c-44cd-4a9b-91c5-0c3258e1390c,2019-10-21T07:42:33,,
3005,2019-10-21T08:36:00.000+02:00,-15.374833333333333 28.24138833333333 1220.9 3.6,-15.374833333333333,28.24138833333333,1220.9,3.6,380,2,0,5,1,4,n/a,3,n/a,3,n/a,3,n/a,1,n/a,3,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,3,n/a,3,n/a,1,n/a,2,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Chipo,uuid:8c448ff5-ddfc-461a-812b-dc921d850988,8c448ff5-ddfc-461a-812b-dc921d850988,2019-10-21T07:42:34,,
3006,2019-10-21T08:53:00.000+02:00,-15.375341666666667 28.241030000000002 1244.6 4.3,-15.375341666666667,28.241030000000002,1244.6,4.3,380,2,0,3,1,4,n/a,4,n/a,4,n/a,5,n/a,4,n/a,3,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,1,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Chipo,uuid:d4f1c9f7-62a7-4066-924f-e40dd6ff2212,d4f1c9f7-62a7-4066-924f-e40dd6ff2212,2019-10-21T07:42:34,,
3007,2019-10-21T08:11:00.000+02:00,-15.374356666666666 28.240505 1236.9 4.0,-15.374356666666666,28.240505,1236.9,4.0,380,2,0,6,1,4,n/a,4,n/a,3,n/a,4,n/a,3,n/a,3,n/a,1,n/a,1,n/a,4,n/a,4,n/a,3,n/a,3,n/a,1,n/a,3,n/a,3,n/a,1,n/a,n/a,3,n/a,3,n/a,1,n/a,4,n/a,5,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,True,False,False,False,n/a,n/a,Mulemwa Mukelabai,uuid:48d74f98-3a8d-4225-8852-4193db4e39e0,48d74f98-3a8d-4225-8852-4193db4e39e0,2019-10-21T07:51:27,,
3008,2019-10-21T08:30:00.000+02:00,-15.373878333333334 28.24051833333333 1232.8 5.0,-15.373878333333334,28.24051833333333,1232.8,5.0,380,1,0,7,1,4,n/a,4,n/a,4,n/a,3,n/a,5,n/a,2,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,4,n/a,4,n/a,1,n/a,n/a,3,n/a,3,n/a,1,n/a,2,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,Neighbouring church uses the same toilet on selected days,Mulemwa Mukelabai,uuid:b2b0d798-690e-4aaf-a107-a03ebc2b0a97,b2b0d798-690e-4aaf-a107-a03ebc2b0a97,2019-10-21T07:51:28,,
3011,2019-10-21T09:19:00.000+02:00,-15.377183333333335 28.240544999999997 1226.5 5.0,-15.377183333333335,28.240544999999997,1226.5,5.0,380,2,0,4,1,4,n/a,4,n/a,4,n/a,4,n/a,3,n/a,3,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,4,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,True,False,False,False,False,False,n/a,n/a,Mulemwa Mukelabai,uuid:1248f4c4-3667-4e21-9c86-aa5230dc7f34,1248f4c4-3667-4e21-9c86-aa5230dc7f34,2019-10-21T07:51:29,,
3019,2019-10-21T08:50:00.000+02:00,-15.38081 28.23530333333333 1257.7 5.0,-15.38081,28.23530333333333,1257.7,5.0,380,2,0,7,1,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,5,n/a,3,n/a,1,n/a,4,n/a,4,n/a,2,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Joackim choko,uuid:3e4da478-3175-46cf-86ca-4c8a8e453ceb,3e4da478-3175-46cf-86ca-4c8a8e453ceb,2019-10-21T07:58:27,,
3021,2019-10-21T09:22:00.000+02:00,-15.375121666666667 28.241183333333332 1251.7 5.0,-15.375121666666667,28.241183333333332,1251.7,5.0,380,2,0,3,1,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,3,n/a,2,n/a,2,n/a,4,n/a,4,n/a,2,n/a,2,n/a,2,n/a,3,n/a,n/a,4,n/a,5,n/a,1,n/a,4,n/a,4,n/a,2,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Joackim choko,uuid:1ecec02e-86c0-40d7-830f-774882c4b067,1ecec02e-86c0-40d7-830f-774882c4b067,2019-10-21T07:58:28,,
3022,2019-10-21T09:30:00.000+02:00,-15.375139999999998 28.242651666666667 1240.0 4.6,-15.375139999999998,28.242651666666667,1240.0,4.6,380,2,0,10,1,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,2,n/a,2,n/a,1,n/a,4,n/a,5,n/a,2,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Joackim choko,uuid:39c58bd5-81b9-4c89-90ca-3b70603ff2a0,39c58bd5-81b9-4c89-90ca-3b70603ff2a0,2019-10-21T07:58:28,,
3028,2019-10-21T08:21:00.000+02:00,-15.380441666666664 28.239193333333333 1258.0 1.6,-15.380441666666664,28.239193333333333,1258.0,1.6,380,2,0,5,1,4,n/a,4,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,2,n/a,3,n/a,3,n/a,4,n/a,4,n/a,2,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,5,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Zacharia,uuid:942fd16a-b0bf-4b8c-9d2b-9511cdbe1807,942fd16a-b0bf-4b8c-9d2b-9511cdbe1807,2019-10-21T08:54:53,,
3029,2019-10-21T08:36:00.000+02:00,-15.380153333333332 28.240201666666668 1256.5 2.9,-15.380153333333332,28.240201666666668,1256.5,2.9,380,1,0,8,1,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,2,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,4,n/a,5,n/a,1,n/a,1,n/a,1,n/a,2,n/a,3,n/a,False,True,False,False,False,False,False,n/a,n/a,Zacharia,uuid:ae005bb5-ee95-4ff1-98a6-f9543174de4b,ae005bb5-ee95-4ff1-98a6-f9543174de4b,2019-10-21T08:54:53,,
3030,2019-10-21T08:58:00.000+02:00,-15.379906666666667 28.240986666666664 1254.4 3.4,-15.379906666666667,28.240986666666664,1254.4,3.4,380,2,0,4,1,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,2,n/a,4,n/a,4,n/a,2,n/a,2,n/a,3,n/a,3,n/a,1,n/a,2,n/a,2,n/a,3,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Zacharia,uuid:b148ee3b-76d0-487a-99f4-5a2b0cb7b98f,b148ee3b-76d0-487a-99f4-5a2b0cb7b98f,2019-10-21T08:54:54,,
3020,2019-10-21T08:14:00.000+02:00,-15.380345 28.23757333333333 1250.7 1.3,-15.380345,28.23757333333333,1250.7,1.3,380,2,0,3,1,4,n/a,4,n/a,4,n/a,4,n/a,3,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,2,n/a,2,n/a,1,n/a,n/a,3,n/a,3,n/a,1,n/a,3,n/a,2,n/a,2,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Annie Mumba,uuid:7f984498-dd79-4d88-8312-e02ae5a4cf38,7f984498-dd79-4d88-8312-e02ae5a4cf38,2019-10-21T09:26:11,,
3023,2019-10-21T08:25:00.000+02:00,-15.381133333333333 28.236881666666665 1252.9 3.8,-15.381133333333333,28.236881666666665,1252.9,3.8,380,2,0,3,1,4,n/a,4,n/a,3,n/a,3,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,5,n/a,5,n/a,2,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Annie Mumba,uuid:9aca841d-f93c-4c6d-944f-a27d3b3e77a7,9aca841d-f93c-4c6d-944f-a27d3b3e77a7,2019-10-21T09:26:12,,
3024,2019-10-21T08:35:00.000+02:00,-15.380533333333336 28.23599166666667 1247.8 4.6,-15.380533333333336,28.23599166666667,1247.8,4.6,380,2,0,4,1,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,2,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,2,n/a,2,n/a,1,n/a,n/a,3,n/a,3,n/a,1,n/a,3,n/a,3,n/a,2,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Annie Mumba,uuid:072afea8-4d96-4b74-97e8-a89fe7f58282,072afea8-4d96-4b74-97e8-a89fe7f58282,2019-10-21T09:26:12,,
3025,2019-10-21T08:21:00.000+02:00,-15.380396666666664 28.23879 1255.4 4.7,-15.380396666666664,28.23879,1255.4,4.7,380,2,0,3,1,4,n/a,4,n/a,4,n/a,5,n/a,3,n/a,3,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,1,n/a,1,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,5,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Jennifer,uuid:9648b843-ed62-4714-bd8a-4fbf95971b07,9648b843-ed62-4714-bd8a-4fbf95971b07,2019-10-21T09:40:52,,
3026,2019-10-21T08:32:00.000+02:00,-15.380721666666666 28.239708333333336 1241.7 4.1,-15.380721666666666,28.239708333333336,1241.7,4.1,380,2,0,6,1,4,n/a,4,n/a,4,n/a,5,n/a,3,n/a,3,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,1,n/a,1,n/a,1,n/a,n/a,3,n/a,3,n/a,1,n/a,4,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Jennifer,uuid:6fbc91a3-a431-4f25-ad22-102622e0315d,6fbc91a3-a431-4f25-ad22-102622e0315d,2019-10-21T09:40:53,,
3027,2019-10-21T08:45:00.000+02:00,-15.381068333333333 28.23847 1241.7 4.7,-15.381068333333333,28.23847,1241.7,4.7,380,2,0,8,1,4,n/a,4,n/a,4,n/a,3,n/a,3,n/a,3,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,1,n/a,1,n/a,1,n/a,n/a,4,n/a,5,n/a,1,n/a,3,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Jennifer,uuid:d52b7baa-cd74-4aac-91e5-2540acc747aa,d52b7baa-cd74-4aac-91e5-2540acc747aa,2019-10-21T09:40:54,,
3016,2019-10-21T08:28:00.000+02:00,-15.377381666666668 28.241075000000002 1237.5 3.9,-15.377381666666668,28.241075000000002,1237.5,3.9,380,2,0,3,1,4,n/a,4,n/a,4,n/a,5,n/a,2,n/a,3,n/a,1,n/a,1,n/a,3,n/a,3,n/a,4,n/a,4,n/a,2,n/a,1,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Champo chola,uuid:788e5828-7dd7-4cb0-889d-106429916369,788e5828-7dd7-4cb0-889d-106429916369,2019-10-22T07:03:56,,
3014,2019-10-21T08:46:00.000+02:00,-15.377455000000001 28.240618333333334 1248.4 4.8,-15.377455000000001,28.240618333333334,1248.4,4.8,380,2,0,3,1,4,n/a,4,n/a,4,n/a,1,n/a,3,n/a,3,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,4,n/a,4,n/a,1,n/a,3,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Kalumba keron,uuid:00ac3dcc-5a2f-4b5e-99a0-649ec59147cc,00ac3dcc-5a2f-4b5e-99a0-649ec59147cc,2019-10-22T07:03:57,,
3017,2019-10-21T09:05:00.000+02:00,-15.376603333333332 28.240465000000004 1242.3 0.8,-15.376603333333332,28.240465000000004,1242.3,0.8,380,1,0,11,1,4,n/a,4,n/a,4,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,2,n/a,3,n/a,False,True,False,False,False,False,False,n/a,n/a,Champo chola,uuid:61aec076-4942-484a-972d-da5982e416f0,61aec076-4942-484a-972d-da5982e416f0,2019-10-22T07:03:58,,
3015,2019-10-21T09:28:00.000+02:00,-15.376344999999999 28.241375 1246.6 1.6,-15.376344999999999,28.241375,1246.6,1.6,380,1,0,10,1,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,5,n/a,3,n/a,1,n/a,1,n/a,1,n/a,1,n/a,2,n/a,3,n/a,False,True,False,False,False,False,False,n/a,n/a,Kalumba keron,uuid:9c5a1f40-62a3-464f-a3fd-a5e3f1747be4,9c5a1f40-62a3-464f-a3fd-a5e3f1747be4,2019-10-22T07:03:58,,
3018,2019-10-21T09:46:00.000+02:00,-15.375585000000001 28.24081833333333 1243.1 1.0,-15.375585000000001,28.24081833333333,1243.1,1.0,380,2,0,7,1,4,n/a,4,n/a,4,n/a,2,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,1,n/a,2,n/a,3,n/a,n/a,2,n/a,2,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Champo chola,uuid:66d3afb0-dc4f-486a-8870-7f783fc83f12,66d3afb0-dc4f-486a-8870-7f783fc83f12,2019-10-22T07:03:59,,
3063,2019-10-22T08:30:00.000+02:00,-15.382536666666665 28.245520000000003 1247.6 4.3,-15.382536666666665,28.245520000000003,1247.6,4.3,380,2,0,6,1,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,5,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,4,n/a,2,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Joackim choko,uuid:8689b215-6e44-4e2a-9158-db4688d4cf7d,8689b215-6e44-4e2a-9158-db4688d4cf7d,2019-10-22T08:02:51,,
3064,2019-10-22T08:38:00.000+02:00,-15.383256666666666 28.244635000000002 1260.4 4.2,-15.383256666666666,28.244635000000002,1260.4,4.2,380,2,0,4,1,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,2,n/a,3,n/a,3,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,3,n/a,1,n/a,4,n/a,4,n/a,2,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Joackim choko,uuid:12a6239d-e728-4bec-af5d-743ed0c5be07,12a6239d-e728-4bec-af5d-743ed0c5be07,2019-10-22T08:02:52,,
3065,2019-10-22T08:48:00.000+02:00,-15.384526666666666 28.244328333333335 1273.2 4.8,-15.384526666666666,28.244328333333335,1273.2,4.8,380,2,0,7,1,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,3,n/a,4,n/a,1,n/a,4,n/a,4,n/a,2,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Joackim choko,uuid:b096695c-ad5b-4839-8ff0-1be1fbff825f,b096695c-ad5b-4839-8ff0-1be1fbff825f,2019-10-22T08:02:53,,
3066,2019-10-22T09:00:00.000+02:00,-15.385346666666665 28.244146666666666 1267.7 4.9,-15.385346666666665,28.244146666666666,1267.7,4.9,380,2,0,10,1,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,2,n/a,4,n/a,4,n/a,3,n/a,3,n/a,2,n/a,2,n/a,2,n/a,3,n/a,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Joackim choko,uuid:b02b4088-712e-427e-b084-aca3a6555a66,b02b4088-712e-427e-b084-aca3a6555a66,2019-10-22T08:02:53,,
3061,2019-10-22T08:32:00.000+02:00,-15.382621666666667 28.246119999999998 1257.8 1.0,-15.382621666666667,28.246119999999998,1257.8,1.0,380,1,0,12,1,4,n/a,4,n/a,4,n/a,5,n/a,4,n/a,5,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,1,n/a,1,n/a,1,n/a,n/a,3,n/a,3,n/a,1,n/a,3,n/a,5,n/a,3,n/a,3,n/a,1,n/a,1,n/a,2,n/a,2,n/a,3,n/a,False,True,False,False,False,False,False,n/a,n/a,Jennifer,uuid:7e2e2071-7b99-4e94-b665-0ed7d4fc592e,7e2e2071-7b99-4e94-b665-0ed7d4fc592e,2019-10-22T08:37:14,,
3055,2019-10-22T09:00:00.000+02:00,-15.383016666666666 28.240471666666668 1257.2 2.1,-15.383016666666666,28.240471666666668,1257.2,2.1,380,1,0,6,1,4,n/a,4,n/a,4,n/a,5,n/a,4,n/a,5,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,n/a,3,n/a,3,n/a,1,n/a,4,n/a,3,n/a,4,n/a,3,n/a,1,n/a,1,n/a,2,n/a,1,n/a,3,n/a,False,True,False,False,False,False,False,n/a,n/a,Jennifer,uuid:3bc04b8d-0545-484f-b952-6a1ab49fb177,3bc04b8d-0545-484f-b952-6a1ab49fb177,2019-10-22T08:37:15,,
3056,2019-10-22T09:12:00.000+02:00,-15.383973333333332 28.240613333333332 1258.0 4.6,-15.383973333333332,28.240613333333332,1258.0,4.6,380,2,0,4,1,4,n/a,4,n/a,4,n/a,5,n/a,3,n/a,3,n/a,3,n/a,3,n/a,2,n/a,2,n/a,4,n/a,4,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,Household does not have a toilet,Jennifer,uuid:67156763-ba9c-4570-ba26-e5896ce2d525,67156763-ba9c-4570-ba26-e5896ce2d525,2019-10-22T08:37:15,,
3057,2019-10-22T09:23:00.000+02:00,-15.383426666666667 28.239899999999995 1261.1 4.4,-15.383426666666667,28.239899999999995,1261.1,4.4,380,2,0,6,1,4,n/a,4,n/a,4,n/a,5,n/a,3,n/a,3,n/a,2,n/a,2,n/a,3,n/a,3,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,n/a,4,n/a,2,n/a,1,n/a,4,n/a,5,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Jennifer,uuid:b0e8bf1f-fd20-492f-bbe0-a9ef996aad89,b0e8bf1f-fd20-492f-bbe0-a9ef996aad89,2019-10-22T08:37:16,,
3044,2019-10-22T08:42:00.000+02:00,-15.383028333333334 28.23489833333333 1262.8 4.5,-15.383028333333334,28.23489833333333,1262.8,4.5,380,2,0,3,1,4,n/a,4,n/a,1,n/a,5,n/a,4,n/a,3,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,2,n/a,5,n/a,1,n/a,n/a,4,n/a,5,n/a,1,n/a,3,n/a,5,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Chipo,uuid:9f865753-ba72-4704-a343-285989e6b9b5,9f865753-ba72-4704-a343-285989e6b9b5,2019-10-22T08:43:40,,
3045,2019-10-22T09:02:00.000+02:00,-15.382588333333334 28.23635 1252.7 4.8,-15.382588333333334,28.23635,1252.7,4.8,380,2,0,7,1,4,n/a,4,n/a,4,n/a,4,n/a,4,n/a,5,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,5,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,Solid water is dumped next to the toilet.,Chipo,uuid:a394a385-523c-4f6e-b953-37965975528c,a394a385-523c-4f6e-b953-37965975528c,2019-10-22T08:43:41,,
3046,2019-10-22T09:34:00.000+02:00,-15.382015 28.235813333333333 1246.9 4.7,-15.382015,28.235813333333333,1246.9,4.7,380,2,0,4,1,4,n/a,4,n/a,4,n/a,5,n/a,1,n/a,1,n/a,3,n/a,3,n/a,3,n/a,3,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,3,n/a,4,n/a,1,n/a,4,n/a,5,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,Respondent prepares and sells street foods and there are flies in the preparation environment.,Chipo,uuid:a16fbbf5-64e9-4a0b-ab13-d480505af315,a16fbbf5-64e9-4a0b-ab13-d480505af315,2019-10-22T08:43:42,,
3040,2019-10-22T10:03:00.000+02:00,-15.380636666666666 28.244680000000002 1248.6 4.9,-15.380636666666666,28.244680000000002,1248.6,4.9,380,2,0,6,1,4,n/a,4,n/a,4,n/a,4,n/a,3,n/a,3,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,3,n/a,5,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,False,False,False,False,n/a,n/a,Chipo,uuid:b2e9c838-4a76-4f99-b446-81fd346b1be0,b2e9c838-4a76-4f99-b446-81fd346b1be0,2019-10-22T08:43:42,,
3041,2019-10-22T08:43:00.000+02:00,-15.383493333333336 28.235828333333334 1277.8 4.6,-15.383493333333336,28.235828333333334,1277.8,4.6,380,1,0,7,1,4,n/a,4,n/a,4,n/a,2,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,2,n/a,2,n/a,3,n/a,2,n/a,n/a,3,n/a,3,n/a,1,n/a,3,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Muleya,uuid:35de958f-102f-4f56-8a94-93639f891249,35de958f-102f-4f56-8a94-93639f891249,2019-10-22T08:47:00,,
