h_id,h_start,h_coordinates,_h_coordinates_latitude,_h_coordinates_longitude,_h_coordinates_altitude,_h_coordinates_precision,h_neighborhood,h_home_type,h_rainweek,h_population,h_c,h_s_a,h_s_a_other,h_s_c,h_s_c_other,h_d_a,h_d_a_other,h_d_c,h_d_c_other,h_f_a,h_f_a_other,h_f_c,h_f_c_other,h_dw_a,h_dw_a_other,h_dw_c,h_dw_c_other,h_dwbore_a,h_dwbore_a_other,h_dwbore_c,h_dwbore_c_other,h_dwwell_a,h_dwwell_a_other,h_dwwell_c,h_dwwell_c_other,h_dw_e_wt,h_dw_e_wt_other,h_bw_a,h_bw_a_other,h_bw_c,h_bw_c_other,h_bw_source,h_bw_source_other,h_bw_source_na,h_p_a,h_p_a_other,h_p_c,h_p_c_other,h_p_e,h_p_e_other,h_sf_a,h_sf_a_other,h_sf_c,h_sf_c_other,h_l_a,h_l_a_other,h_l_c,h_l_c_other,h_pl_a_th,h_pl_a_th_other,h_pl_a_tu,h_pl_a_tu_other,h_pl_a_tw,h_pl_a_tw_other,h_pl_a_tf,h_pl_a_tf_other,h_pl_a_ts,h_pl_a_ts_other,h_pl_a_od/1,h_pl_a_od/2,h_pl_a_od/3,h_pl_a_od/4,h_pl_a_od/5,h_pl_a_od/6,h_pl_a_od/7,h_pl_a_od_other,h_notes,h_enum,meta/instanceID,_uuid,_submission_time,_tags,_notes
2091,2019-10-16T08:52:00.000+02:00,-15.352644999999999 28.279788333333332 1237.3 5.0,-15.352644999999999,28.279788333333332,1237.3,5.0,382,1,0,7,1,4,n/a,4,n/a,4,n/a,3,n/a,2,n/a,2,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,1,n/a,1,n/a,1,n/a,n/a,4,n/a,5,n/a,1,n/a,2,n/a,2,n/a,3,n/a,2,n/a,1,n/a,1,n/a,2,n/a,2,n/a,3,n/a,False,True,False,False,False,False,False,n/a,n/a,Jennifer,uuid:0de0da1b-58f9-472a-b97e-5b2d064ea6ff,0de0da1b-58f9-472a-b97e-5b2d064ea6ff,2019-10-16T08:59:07,,
2092,2019-10-16T10:23:00.000+02:00,-15.343409999999999 28.304393333333337 1215.8 4.7,-15.343409999999999,28.304393333333337,1215.8,4.7,382,2,0,4,1,4,n/a,4,n/a,4,n/a,5,n/a,5,n/a,5,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,4,n/a,5,n/a,1,n/a,3,n/a,5,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Jennifer,uuid:962ff257-358c-487a-bf94-47f26c81cb32,962ff257-358c-487a-bf94-47f26c81cb32,2019-10-16T08:59:08,,
2095,2019-10-16T09:13:00.000+02:00,-15.34949719 28.27775018 1231.0 4.5509996,-15.34949719,28.27775018,1231.0,4.5509996,382,2,0,5,1,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,2,n/a,2,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,2,n/a,3,n/a,True,False,False,False,False,False,False,n/a,n/a,Joackim choko,uuid:263ce94d-4f86-4b32-8dc6-c8ff2af9cdb8,263ce94d-4f86-4b32-8dc6-c8ff2af9cdb8,2019-10-16T09:14:42,,
2096,2019-10-16T09:25:00.000+02:00,-15.34814953 28.27814757 1221.0 4.5509996,-15.34814953,28.27814757,1221.0,4.5509996,382,2,0,8,1,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,2,n/a,2,n/a,2,n/a,2,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,4,n/a,2,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Joackim choko,uuid:9da1fedb-2bcb-4c0f-bb6d-09d7fbbe2705,9da1fedb-2bcb-4c0f-bb6d-09d7fbbe2705,2019-10-16T09:14:42,,
2097,2019-10-16T09:40:00.000+02:00,-15.34850639 28.27874624 1231.0 4.5509996,-15.34850639,28.27874624,1231.0,4.5509996,382,2,0,6,1,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,3,n/a,3,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,2,n/a,3,n/a,False,True,False,False,False,False,False,n/a,n/a,Joackim choko,uuid:48dceddb-4009-4e2e-b01a-f3b7e7fa960c,48dceddb-4009-4e2e-b01a-f3b7e7fa960c,2019-10-16T09:14:43,,
2083,2019-10-16T08:52:00.000+02:00,-15.343408333333333 28.305873333333338 1215.3 4.5,-15.343408333333333,28.305873333333338,1215.3,4.5,382,2,0,6,1,4,n/a,4,n/a,5,n/a,2,n/a,2,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,3,n/a,3,n/a,2,n/a,n/a,2,n/a,2,n/a,1,n/a,4,n/a,5,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Kalumba keron,uuid:a74b5a35-6c30-489a-9dbe-d97f041ac77c,a74b5a35-6c30-489a-9dbe-d97f041ac77c,2019-10-16T09:19:20,,
2084,2019-10-16T09:26:00.000+02:00,-15.34114 28.306733333333334 1209.7 4.4,-15.34114,28.306733333333334,1209.7,4.4,382,2,0,5,1,4,n/a,4,n/a,4,n/a,4,n/a,4,n/a,3,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,2,n/a,3,n/a,1,n/a,3,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Kalumba keron,uuid:5b1d96d3-51d1-4b4b-ba92-d5c9846fc1fa,5b1d96d3-51d1-4b4b-ba92-d5c9846fc1fa,2019-10-16T09:19:22,,
2085,2019-10-16T09:58:00.000+02:00,-15.342881666666665 28.30626333333333 1182.9 4.8,-15.342881666666665,28.30626333333333,1182.9,4.8,382,1,0,10,1,4,n/a,4,n/a,4,n/a,5,n/a,1,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,2,n/a,3,n/a,3,n/a,2,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,2,n/a,3,n/a,False,True,False,False,False,False,False,n/a,n/a,Kalumba keron,uuid:fc8b5998-dbc4-4f48-998c-0e75e0e69ce1,fc8b5998-dbc4-4f48-998c-0e75e0e69ce1,2019-10-16T09:19:24,,
2086,2019-10-16T09:10:00.000+02:00,-15.34203718 28.30511745 1220.0 4.5509996,-15.34203718,28.30511745,1220.0,4.5509996,382,2,0,3,1,4,n/a,5,n/a,4,n/a,3,n/a,3,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,2,n/a,3,n/a,3,n/a,2,n/a,n/a,3,n/a,3,n/a,1,n/a,2,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Champo,uuid:2ca5d366-f6eb-4c0c-92da-206d1147b5bd,2ca5d366-f6eb-4c0c-92da-206d1147b5bd,2019-10-16T09:29:48,,
2087,2019-10-16T09:44:00.000+02:00,-15.34245775 28.3071534 1224.0 4.5509996,-15.34245775,28.3071534,1224.0,4.5509996,382,2,0,3,1,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,1,n/a,3,n/a,3,n/a,2,n/a,3,n/a,3,n/a,2,n/a,n/a,2,n/a,2,n/a,1,n/a,3,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,True,False,False,False,False,False,n/a,n/a,Champo,uuid:238a7fff-1802-43e0-80da-a3b144739d2f,238a7fff-1802-43e0-80da-a3b144739d2f,2019-10-16T09:29:49,,
