lab_start_dt,lab_sample_type,lab_id,lab_id_val,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_p_weight,lab_sf_weight,lab_pa_weight,lab_1_group/lab_1_dil_tested,lab_1_group/lab_1_volume,lab_1_ecoli_reading_idexx,lab_1_ecoli_big_idexx,lab_1_ecoli_small_idexx,lab_2_group/lab_2_dil_tested,lab_2_group/lab_2_volume,lab_2_ecoli_reading_idexx,lab_2_ecoli_big_idexx,lab_2_ecoli_small_idexx,lab_3_dilution_performed,lab_3_group/lab_3_dil_tested,lab_3_group/lab_3_volume,lab_3_ecoli_reading_idexx,lab_3_ecoli_big_idexx,lab_3_ecoli_small_idexx,lab_notes,lab_enum,lab_photo,lab_end_dt,col_start_dt,col_end_dt,meta/instanceID,_uuid,_submission_time,_tags,_notes
2019-10-10T14:31:28.000+02:00,3,1101,1101,2019-10-07T11:53:00.000+02:00,2019-10-07T13:13:00.000+02:00,2019-10-08T14:00:00.000+02:00,n/a,n/a,n/a,7,100,2,0,0,7,10,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,annet,0,2019-10-10T14:32:44.000+02:00,2019-10-10T14:31:28.000+02:00,2019-10-10T14:32:44.000+02:00,uuid:3d43f615-3ea5-47a6-9e74-20b6368b48be,3d43f615-3ea5-47a6-9e74-20b6368b48be,2019-10-10T12:31:22,,
2019-10-10T14:32:44.000+02:00,3,1100,1100,2019-10-07T11:53:00.000+02:00,2019-10-07T13:13:00.000+02:00,2019-10-08T14:00:00.000+02:00,n/a,n/a,n/a,7,100,2,0,0,7,10,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,annet,0,2019-10-10T14:33:52.000+02:00,2019-10-10T14:32:44.000+02:00,2019-10-10T14:33:52.000+02:00,uuid:fff5ae56-7341-44c6-8304-c01f7703e7ce,fff5ae56-7341-44c6-8304-c01f7703e7ce,2019-10-10T12:32:30,,
2019-10-10T14:33:52.000+02:00,11,1300,1300,2019-10-07T11:53:00.000+02:00,2019-10-07T12:22:00.000+02:00,2019-10-08T14:00:00.000+02:00,n/a,n/a,n/a,7,100,2,2,0,7,10,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,annet,0,2019-10-10T14:35:08.000+02:00,2019-10-10T14:33:52.000+02:00,2019-10-10T14:35:08.000+02:00,uuid:6bf44e78-86c4-4a32-acae-7e5d0e4486c1,6bf44e78-86c4-4a32-acae-7e5d0e4486c1,2019-10-10T12:33:46,,
2019-10-10T14:35:08.000+02:00,5,1901,1901,2019-10-07T11:53:00.000+02:00,2019-10-07T12:49:00.000+02:00,2019-10-07T14:00:00.000+02:00,n/a,n/a,n/a,7,10,2,47,17,7,1,2,17,4,0,n/a,n/a,n/a,n/a,n/a,n/a,annet,0,2019-10-10T14:36:48.000+02:00,2019-10-10T14:35:08.000+02:00,2019-10-10T14:36:48.000+02:00,uuid:2ff72939-6c87-466e-b6b6-4c9ff9b5d318,2ff72939-6c87-466e-b6b6-4c9ff9b5d318,2019-10-10T12:35:25,,
2019-10-10T14:36:48.000+02:00,5,1900,1900,2019-10-07T11:53:00.000+02:00,2019-10-07T12:49:00.000+02:00,2019-10-08T14:00:00.000+02:00,n/a,n/a,n/a,7,10,2,49,46,7,1,2,48,9,0,n/a,n/a,n/a,n/a,n/a,n/a,annet,0,2019-10-10T14:38:13.000+02:00,2019-10-10T14:36:48.000+02:00,2019-10-10T14:38:13.000+02:00,uuid:eb48e1e9-b73c-4c54-bdc2-2b50b7e7f16f,eb48e1e9-b73c-4c54-bdc2-2b50b7e7f16f,2019-10-10T12:36:51,,
2019-10-10T14:38:13.000+02:00,10,1802,1802,2019-10-08T10:59:00.000+02:00,2019-10-08T12:49:00.000+02:00,2019-10-09T13:09:00.000+02:00,n/a,97.21,n/a,7,10,2,0,0,7,1,2,0,0,1,6,1,2,0,0,n/a,dorcas,0,2019-10-10T14:44:31.000+02:00,2019-10-10T14:38:13.000+02:00,2019-10-10T14:44:31.000+02:00,uuid:a76fe8a4-0d9c-45f8-8a69-6d9de8a48975,a76fe8a4-0d9c-45f8-8a69-6d9de8a48975,2019-10-10T12:43:09,,
2019-10-10T14:44:31.000+02:00,10,1803,1803,2019-10-08T10:59:00.000+02:00,2019-10-08T12:49:00.000+02:00,2019-10-09T13:09:00.000+02:00,n/a,76.34,n/a,7,10,2,0,0,7,1,2,0,0,1,6,1,2,0,0,n/a,dorcas,0,2019-10-10T14:46:00.000+02:00,2019-10-10T14:44:31.000+02:00,2019-10-10T14:46:00.000+02:00,uuid:f087b0d5-4d73-4d3a-8a35-09d4fd14bba5,f087b0d5-4d73-4d3a-8a35-09d4fd14bba5,2019-10-10T12:44:38,,
2019-10-10T14:46:00.000+02:00,8,1602,1602,2019-10-08T10:59:00.000+02:00,2019-10-08T12:49:00.000+02:00,2019-10-09T13:09:00.000+02:00,n/a,n/a,260.03,7,1,2,12,2,6,1,2,0,0,1,5,1,2,0,0,n/a,dorcas,0,2019-10-10T14:47:40.000+02:00,2019-10-10T14:46:00.000+02:00,2019-10-10T14:47:40.000+02:00,uuid:2175aa3f-977e-4acf-b8d4-16013f5501a9,2175aa3f-977e-4acf-b8d4-16013f5501a9,2019-10-10T12:46:17,,
2019-10-10T14:47:40.000+02:00,8,1603,1603,2019-10-08T10:59:00.000+02:00,2019-10-08T12:49:00.000+02:00,2019-10-09T13:09:00.000+02:00,n/a,n/a,250.5,7,1,2,0,0,6,1,2,0,0,1,5,1,2,0,0,n/a,dorcas,0,2019-10-10T14:49:17.000+02:00,2019-10-10T14:47:40.000+02:00,2019-10-10T14:49:17.000+02:00,uuid:5ca7f5d6-0e1f-4688-9554-bc623c692441,5ca7f5d6-0e1f-4688-9554-bc623c692441,2019-10-10T12:47:54,,
2019-10-10T14:49:17.000+02:00,7,1503,1503,2019-10-08T10:59:00.000+02:00,2019-10-08T12:49:00.000+02:00,2019-10-09T13:09:00.000+02:00,n/a,n/a,n/a,7,10,2,1,0,6,1,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,wilson,0,2019-10-10T14:51:32.000+02:00,2019-10-10T14:49:17.000+02:00,2019-10-10T14:51:32.000+02:00,uuid:20c78a15-7489-4724-8e2f-35f424e16dac,20c78a15-7489-4724-8e2f-35f424e16dac,2019-10-10T12:50:09,,
2019-10-10T14:51:32.000+02:00,7,1502,1502,2019-10-08T10:59:00.000+02:00,2019-10-08T12:49:00.000+02:00,2019-10-09T13:09:00.000+02:00,n/a,n/a,n/a,7,10,2,0,0,6,1,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,wilson,0,2019-10-10T14:52:43.000+02:00,2019-10-10T14:51:32.000+02:00,2019-10-10T14:52:43.000+02:00,uuid:3acd4be5-f472-4ff9-b317-103e7dd4dfbf,3acd4be5-f472-4ff9-b317-103e7dd4dfbf,2019-10-10T12:51:21,,
2019-10-10T14:52:43.000+02:00,2,1703,1703,2019-10-08T10:59:00.000+02:00,2019-10-08T12:49:00.000+02:00,2019-10-09T13:09:00.000+02:00,126.88,n/a,n/a,7,10,2,0,0,7,1,2,0,0,1,6,1,2,0,0,n/a,annet,0,2019-10-10T14:54:17.000+02:00,2019-10-10T14:52:43.000+02:00,2019-10-10T14:54:17.000+02:00,uuid:b2e6bc1b-925a-4545-82aa-dfcf95bd7a0d,b2e6bc1b-925a-4545-82aa-dfcf95bd7a0d,2019-10-10T12:52:55,,
2019-10-10T14:54:17.000+02:00,2,1702,1702,2019-10-08T10:58:00.000+02:00,2019-10-08T12:49:00.000+02:00,2019-10-09T13:09:00.000+02:00,152.08,n/a,n/a,7,10,2,0,0,7,1,2,0,0,1,6,1,2,0,0,n/a,wilson,0,2019-10-10T14:55:52.000+02:00,2019-10-10T14:54:17.000+02:00,2019-10-10T14:55:52.000+02:00,uuid:f0be9210-10a3-42ca-b9f3-c008194798ba,f0be9210-10a3-42ca-b9f3-c008194798ba,2019-10-10T12:54:30,,
2019-10-10T14:55:52.000+02:00,1,1402,1402,2019-10-08T10:59:00.000+02:00,2019-10-08T12:49:00.000+02:00,2019-10-09T13:09:00.000+02:00,n/a,n/a,n/a,4,1,2,0,0,3,1,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,wilson,0,2019-10-10T14:57:16.000+02:00,2019-10-10T14:55:52.000+02:00,2019-10-10T14:57:16.000+02:00,uuid:552cf2ce-93a2-42ba-948a-d2e4d457895d,552cf2ce-93a2-42ba-948a-d2e4d457895d,2019-10-10T12:55:54,,
2019-10-10T14:57:16.000+02:00,1,1403,1403,2019-10-08T10:58:00.000+02:00,2019-10-08T12:49:00.000+02:00,2019-10-09T13:09:00.000+02:00,n/a,n/a,n/a,4,1,2,23,12,3,1,2,4,2,0,n/a,n/a,n/a,n/a,n/a,n/a,wilson,0,2019-10-10T15:02:28.000+02:00,2019-10-10T14:57:16.000+02:00,2019-10-10T15:02:28.000+02:00,uuid:de817085-4954-42af-a7ae-5ab37e810bbb,de817085-4954-42af-a7ae-5ab37e810bbb,2019-10-10T13:01:06,,
2019-10-10T15:02:28.000+02:00,3,1103,1103,2019-10-08T10:58:00.000+02:00,2019-10-08T12:49:00.000+02:00,2019-10-09T13:09:00.000+02:00,n/a,n/a,n/a,7,100,2,0,0,7,10,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,annet,0,2019-10-10T15:03:59.000+02:00,2019-10-10T15:02:28.000+02:00,2019-10-10T15:03:59.000+02:00,uuid:223e1e11-2e63-4658-8b32-c3d9dc694f13,223e1e11-2e63-4658-8b32-c3d9dc694f13,2019-10-10T13:02:38,,
2019-10-10T15:03:59.000+02:00,3,1102,1102,2019-10-08T10:59:00.000+02:00,2019-10-08T12:49:00.000+02:00,2019-10-09T13:09:00.000+02:00,n/a,n/a,n/a,7,100,2,0,0,7,10,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,annet,0,2019-10-10T15:05:26.000+02:00,2019-10-10T15:03:59.000+02:00,2019-10-10T15:05:26.000+02:00,uuid:653d1e37-2cae-4be8-b8e8-56471a0bf096,653d1e37-2cae-4be8-b8e8-56471a0bf096,2019-10-10T13:04:04,,
2019-10-10T15:05:26.000+02:00,11,1301,1301,2019-10-08T10:59:00.000+02:00,2019-10-08T12:49:00.000+02:00,2019-10-09T13:09:00.000+02:00,n/a,n/a,n/a,7,100,2,0,0,7,10,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,annet,0,2019-11-01T08:12:22.000-04:00,2019-10-10T15:05:26.000+02:00,2019-11-01T08:12:22.000-04:00,uuid:8fb4ad47-421f-4601-bc4c-c4874caf3267,8fb4ad47-421f-4601-bc4c-c4874caf3267,2019-10-10T13:05:23,,
2019-10-10T15:06:46.000+02:00,11,1303,1303,2019-10-08T10:59:00.000+02:00,2019-10-08T12:49:00.000+02:00,2019-10-09T13:09:00.000+02:00,n/a,n/a,n/a,7,100,2,0,0,7,10,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,annet,0,2019-10-10T15:08:10.000+02:00,2019-10-10T15:06:46.000+02:00,2019-10-10T15:08:10.000+02:00,uuid:ad3aff1e-adbf-4034-bd0f-f150b5d81417,ad3aff1e-adbf-4034-bd0f-f150b5d81417,2019-10-10T13:06:48,,
2019-10-10T15:08:11.000+02:00,5,1902,1902,2019-10-08T10:58:00.000+02:00,2019-10-08T12:49:00.000+02:00,2019-10-09T13:09:00.000+02:00,n/a,n/a,n/a,7,10,2,49,47,7,1,2,48,18,0,n/a,n/a,n/a,n/a,n/a,n/a,annet,0,2019-10-10T15:21:56.000+02:00,2019-10-10T15:08:11.000+02:00,2019-10-10T15:21:56.000+02:00,uuid:596c18fd-2aab-4fd0-b150-7651c72b3ec9,596c18fd-2aab-4fd0-b150-7651c72b3ec9,2019-10-10T13:20:34,,
2019-10-10T15:21:56.000+02:00,5,1903,1903,2019-10-08T10:58:00.000+02:00,2019-10-08T12:49:00.000+02:00,2019-10-09T13:09:00.000+02:00,n/a,n/a,n/a,7,10,2,49,48,7,1,2,49,47,0,n/a,n/a,n/a,n/a,n/a,n/a,annet,0,2019-10-10T15:23:49.000+02:00,2019-10-10T15:21:56.000+02:00,2019-10-10T15:23:49.000+02:00,uuid:884cf5c0-a2ed-4d00-b835-bde391108793,884cf5c0-a2ed-4d00-b835-bde391108793,2019-10-10T13:22:27,,
