col_neighborhood,col_sample_type,col_id,col_id_val,col_start,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_weather,col_rainyest,col_rainweek,col_rainmon,col_pa_prox,col_pa_type,col_pa_type_other,col_pa_latrine_distance,col_bw_type,col_bw_type_other,col_bw_container,col_bw_container_lid,col_bw_cl_id,col_bw_cl_free,col_bw_cl_total,col_f_latrine_distance,col_p_type,col_p_type_other,col_p_num,col_dw_type,col_dw_type_other,col_dw_container,col_dw_container_lid,col_dw_id,col_dw_cl_free,col_dw_cl_total,col_l_toilet_type,col_l_toilet_type_other,col_l_toilet_stalls,col_l_toilet_feces,col_l_toilet_users,col_l_toilet_hw,col_s_type,col_s_type_other,col_d_water_level,col_d_water_flow,col_d_size,col_d_lining,col_d_lining_oth,col_d_feces,col_d_animals,col_d_schools,col_d_urban_ag,col_d_public_latrines,col_d_hh_latrines,col_d_shops,col_d_hh,col_d_hh_num,col_sf_type,col_sf_type_other,col_o_type,col_o_type_other,col_notes,col_enum,col_photo,meta/instanceID,_uuid,_submission_time,_tags,_notes
269,8,6001,6001,2018-10-10T06:38:00.000Z,5.549382560594054 -0.18375897423649018 27.33153164098426 4.0,5.549382560594054,-0.18375897423649018,27.33153164098426,4.0,1,0,1,n/a,2,3,n/a,30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Within 1m of open drain ,Emmanuel ,1,uuid:366f7936-5aaf-4318-82c4-18441e866bb1,366f7936-5aaf-4318-82c4-18441e866bb1,2018-10-11T13:46:58,,
269,1,4001,4001,2018-10-10T07:03:00.000Z,5.549246289343317 -0.18338560892641556 26.628622238993533 4.0,5.549246289343317,-0.18338560892641556,26.628622238993533,4.0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,1,4,1,n/a,1,1,0,0,1,0,1,1,50,n/a,n/a,n/a,n/a,Within 1m of football park,Francis ,1,uuid:f91a0224-e411-4191-9e45-21eccdf2014a,f91a0224-e411-4191-9e45-21eccdf2014a,2018-10-11T13:46:58,,
269,1,4002,4002,2018-10-10T07:12:00.000Z,5.54912797266693 -0.18195117601740246 29.606139384019126 4.0,5.54912797266693,-0.18195117601740246,29.606139384019126,4.0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,1,3,1,n/a,1,1,0,0,1,1,0,1,6,n/a,n/a,n/a,n/a,Within 5m of public bath,Vitus,1,uuid:6eb7cd3e-560a-42fd-87e5-ac9c787c727f,6eb7cd3e-560a-42fd-87e5-ac9c787c727f,2018-10-11T13:46:58,,
269,9,8001,8001,2018-10-10T07:23:00.000Z,5.549342789069941 -0.18188152505862462 24.56341003132346 4.0,5.549342789069941,-0.18188152505862462,24.56341003132346,4.0,1,0,1,n/a,n/a,n/a,n/a,n/a,3,n/a,0,n/a,1200,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Free CL 0. 66
Total CL 0.83
Within 3m of open drain and public toilet ",Emmanuel ,1,uuid:d2d8eb9c-9ca3-4d39-8707-fa5694045da8,d2d8eb9c-9ca3-4d39-8707-fa5694045da8,2018-10-11T13:46:59,,
269,1,4003,4003,2018-10-10T07:37:00.000Z,5.549426830984995 -0.1808777860411354 24.22438711458886 4.0,5.549426830984995,-0.1808777860411354,24.22438711458886,4.0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1,1,88,Earth drain ,0,1,0,0,0,0,0,1,5,n/a,n/a,n/a,n/a,Within 3m of lagoon ,Francis ,1,uuid:f743a3e3-6b8b-49dc-8a2c-ae75ae1a7807,f743a3e3-6b8b-49dc-8a2c-ae75ae1a7807,2018-10-11T13:47:00,,
269,8,6002,6002,2018-10-10T07:49:00.000Z,5.5501576654942335 -0.18058170791839298 24.857390935955614 4.0,5.5501576654942335,-0.18058170791839298,24.857390935955614,4.0,1,0,1,n/a,4,3,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,School premise ,Vitus,1,uuid:bf1da346-1117-45ae-a5ed-96fabc5cffd1,bf1da346-1117-45ae-a5ed-96fabc5cffd1,2018-10-11T13:47:00,,
269,8,6003,6003,2018-10-10T08:04:00.000Z,5.54942625350058 -0.18016168796711513 16.4415214535742 4.0,5.54942625350058,-0.18016168796711513,16.4415214535742,4.0,1,0,1,n/a,4,3,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Vitus,1,uuid:f2fc183c-6c68-46c6-a7d9-6182d113efda,f2fc183c-6c68-46c6-a7d9-6182d113efda,2018-10-11T13:47:00,,
269,10,5001,5001,2018-10-10T08:11:00.000Z,5.549518620141803 -0.17990535478954017 24.827962119952787 4.0,5.549518620141803,-0.17990535478954017,24.827962119952787,4.0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,Selling on the propose road and 10m of lagoon ,Francis ,1,uuid:79528c82-428b-4642-8761-6c4db3f757a7,79528c82-428b-4642-8761-6c4db3f757a7,2018-10-11T13:47:01,,
269,1,4004,4004,2018-10-10T08:29:00.000Z,5.551195864483748 -0.18086783155729994 23.919498523748615 4.0,5.551195864483748,-0.18086783155729994,23.919498523748615,4.0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,1,2,1,n/a,0,0,0,0,0,1,1,1,3,n/a,n/a,n/a,n/a,n/a,Emma ,1,uuid:9e8334ad-bd11-42b5-ac13-006dbd59fd8e,9e8334ad-bd11-42b5-ac13-006dbd59fd8e,2018-10-11T13:47:01,,
269,1,4005,4005,2018-10-10T08:36:00.000Z,5.553390413898421 -0.17994892787931274 36.645160697578 4.0,5.553390413898421,-0.17994892787931274,36.645160697578,4.0,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1,1,1,n/a,0,0,1,0,0,1,1,1,7,n/a,n/a,n/a,n/a,Opp zylofon media,Francis ,1,uuid:bee17bd6-76b8-447e-a158-f018b98e20e4,bee17bd6-76b8-447e-a158-f018b98e20e4,2018-10-11T13:47:15,,
