sampleid,sample_type,col_start_dt,lab_sf_weight,ec_denom,count1,count2,dil1,dil2,count3,dil3,ec_conc,renuka_ec,log_ec,log_renuka_ec
RP1002,2,2019/05/21 03:41:08,NA,500,6,2,10,1,0,0.1,650,1000,2.8129133566428557,3
RP1003,2,2019/05/27 04:04:20,NA,500,998,998,10,1,41,0.1,205000,205000,5.311753861055754,5.311753861055754
RP1004,2,2019/05/27 04:13:17,NA,500,0,0,10,1,0,0.1,25,0,1.3979400086720377,NA
RP1005,2,2019/06/03 05:40:16,NA,500,998,998,10,1,8,0.1,40000,40000,4.6020599913279625,4.6020599913279625
RP1006,2,2019/06/03 05:45:53,NA,500,998,0,10,1,0,0.1,NA,0,NA,NA
RP1007,2,2019/07/29 06:19:46,NA,500,998,4,10,1,3,0.1,15000,15000,4.176091259055681,4.176091259055681
RP1008,2,2019/07/29 06:23:23,NA,500,998,998,10,1,8,0.1,40000,40000,4.6020599913279625,4.6020599913279625
RP1009,2,2019/07/29 06:28:29,NA,500,998,998,10,1,4,0.1,20000,20000,4.301029995663981,4.301029995663981
RP1010,2,2019/08/26 03:52:43,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RP1011,2,2019/09/04 07:48:05,NA,500,0,0,0.1,0.01,NA,NA,2500,NA,3.3979400086720375,NA
RP1012,2,2019/09/04 07:52:29,NA,500,999,30,0.1,0.01,NA,NA,1500000,NA,6.176091259055681,NA
RP2001,2,2020/01/15 06:35:15,NA,500,0,0,10,0.1,0,0.01,25,0,1.3979400086720377,NA
RP2001OLD,2,2019/05/06 04:22:36,NA,500,0,0,10,1,0,0.1,25,NA,1.3979400086720377,NA
RP2002,2,2020/02/11 05:32:36,NA,500,999,0,10,0.1,0,0.01,10000,NA,4,NA
RP2002OLD,2,2019/05/06 04:29:50,NA,500,1,0,10,1,0,1,50,NA,1.6989700043360187,NA
RP2003,2,2020/03/03 04:53:28,NA,500,998,9,10,0.1,0,0.01,45000,45000,4.653212513775344,4.653212513775344
RP2003OLD,2,2019/05/13 04:17:27,NA,500,0,0,10,1,0,0.1,25,NA,1.3979400086720377,NA
RP2004,2,2020/03/11 05:28:54,NA,500,998,5,10,1,0,0.1,2500,2500,3.3979400086720375,3.3979400086720375
RP2004OLD,2,2019/05/13 04:25:28,NA,500,998,998,10,1,998,0.1,1000000,NA,6,NA
RP2005,2,2020/03/16 04:22:05,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RP2006,2,2020/03/16 04:25:19,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF1001,10,2019/05/14 04:08:29,150,1350,998,999,10,1,999,0.1,2700000,NA,6.431363764158987,NA
SF1002,10,2019/05/14 04:12:05,200,1800,3,0,10,1,0,0.1,540,540,2.7323937598229686,2.7323937598229686
SF1003,10,2019/05/21 03:59:43,300,2700,23,6,10,1,2,0.1,6209.999999999999,54000,3.79309160017658,4.732393759822968
SF1004,10,2019/05/21 08:23:06,300,2700,1,0,10,1,0,0.1,270,0,2.4313637641589874,NA
SF1005,10,2019/05/28 07:05:41,135,1215,998,999,10,1,9,0.1,109350,109350,5.038818787373656,5.038818787373656
SF1006,10,2019/05/28 09:58:53,250,2250,998,998,10,1,32,0.1,720000,720000,5.857332496431268,5.857332496431268
SF1007,10,2019/06/04 07:28:55,150,1350,2,0,10,1,0,0.1,270,270,2.4313637641589874,2.4313637641589874
SF1008,10,2019/06/04 10:16:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF1009,10,2019/07/24 08:11:55,255,2295,2,0,10,1,0,0.1,459,459,2.661812685537261,2.661812685537261
