"","id","ward","neighborhood"
"467","FB1101",59,NA
"468","FB1101",59,NA
"469","FB1102",59,NA
"470","FB1102",59,NA
"471","FB1103",59,NA
"472","FB1103",59,NA
"473","FB1104",59,NA
"474","FB1104",59,NA
"475","FB1106",59,NA
"476","FB1106",59,NA
"477","FB1108",NA,NA
"478","FB1108",NA,NA
"479","FB1113",59,NA
"480","FB1113",59,NA
"481","FB1114",59,NA
"482","FB1114",59,NA
"483","FB1118",NA,NA
"484","FB1118",NA,NA
"485","FB1119",59,NA
"486","FB1119",59,NA
"487","FB1120",59,NA
"488","FB1120",59,NA
"489","FB1126",NA,NA
"490","FB1126",NA,NA
"491","FB1129",58,NA
"492","FB1129",58,NA
"493","FB1130",66,NA
"494","FB1130",66,NA
"495","FB1131",59,NA
"496","FB1131",59,NA
"497","FB1138",59,NA
"498","FB1138",59,NA
"499","FB1145",55,NA
"500","FB1145",55,NA
"501","FB1147",NA,NA
"502","FB1147",NA,NA
"503","FB1149",59,NA
"504","FB1149",59,NA
"505","FB1150",59,NA
"506","FB1150",59,NA
"507","FB1151",59,NA
"508","FB1151",59,NA
"509","FB1156",59,NA
"510","FB1156",59,NA
"511","FB1158",59,NA
"512","FB1158",59,NA
"513","FB1163",55,NA
"514","FB1163",55,NA
"515","FB1170",59,NA
"516","FB1170",59,NA
"517","FB1178",59,NA
"518","FB1178",59,NA
"519","FB1180",59,NA
"520","FB1180",59,NA
"521","FB1185",59,NA
"522","FB1185",59,NA
"523","FB1189",58,NA
"524","FB1189",58,NA
"525","FB1195",59,NA
"526","FB1195",59,NA
"527","FB1220",59,NA
"528","FB1220",59,NA
"529","FB1221",66,NA
"530","FB1221",66,NA
"531","FB1236",59,NA
"532","FB1236",59,NA
"533","FB1239",59,NA
"534","FB1239",59,NA
"535","FB1242",59,NA
"536","FB1242",59,NA
"537","FB1245",55,NA
"538","FB1245",55,NA
"539","FB1248",59,3
"540","FB1248",59,3
"541","FB1258",59,NA
"542","FB1258",59,NA
"543","FB1261",57,NA
"544","FB1261",57,NA
"545","FB1262",57,NA
"546","FB1262",57,NA
"547","FB1264",59,3
"548","FB1264",59,3
"549","FB1267",59,NA
"550","FB1267",59,NA
"551","FB1277",58,2
"552","FB1277",58,2
"553","FB1280",59,NA
"554","FB1280",59,NA
"555","FB1282",66,NA
"556","FB1282",66,NA
"557","FB1287",55,NA
"558","FB1287",55,NA
"559","FB1296",58,2
"560","FB1296",58,2
"561","FB1298",59,NA
"562","FB1298",59,NA
"563","FB1301",57,NA
"564","FB1301",57,NA
"565","FB1302",59,NA
"566","FB1302",59,NA
"567","FB1308",55,NA
"568","FB1308",55,NA
"569","FB1309",NA,NA
"570","FB1309",NA,NA
"571","FB1312",66,NA
"572","FB1312",66,NA
"573","FB1318",59,NA
"574","FB1318",59,NA
"575","FB1322",59,NA
"576","FB1322",59,NA
"577","FB1326",57,NA
"578","FB1326",57,NA
"579","FB1332",3,NA
"580","FB1332",3,NA
"581","FB1340",65,NA
"582","FB1340",65,NA
"583","FB1348",59,NA
"584","FB1348",59,NA
"585","FB1354",57,NA
"586","FB1354",57,NA
"587","FB1361",10,NA
"588","FB1361",10,NA
"589","FB1373",59,NA
"590","FB1373",59,NA
"591","FB1374",57,NA
"592","FB1374",57,NA
"593","FB1384",29,NA
"594","FB1384",29,NA
"595","FB1392",59,NA
"596","FB1392",59,NA
"597","FB1394",59,NA
"598","FB1394",59,NA
"599","FB1397",58,2
"600","FB1397",58,2
"601","FB1398",58,2
"602","FB1398",58,2
"603","FB1401",57,NA
"604","FB1401",57,NA
"605","FB1404",3,NA
"606","FB1404",3,NA
"607","FB1406",58,NA
"608","FB1406",58,NA
"609","FB1409",10,NA
"610","FB1409",10,NA
"611","FB1413",59,NA
"612","FB1413",59,NA
"613","FB1415",58,2
"614","FB1415",58,2
"615","FB1416",58,NA
"616","FB1416",58,NA
"617","FB1417",65,NA
"618","FB1417",65,NA
"619","FB1418",59,NA
"620","FB1418",59,NA
"621",NA,NA,NA
"622",NA,NA,NA
