"","lab_start_dt","subscriberid","simserial","deviceid","lab_end_dt","lab_ward","lab_neighborhood","lab_sample_type","lab_sample_type_fp","lab_sample_type_co","lab_id","lab_id_val","lab_processing","lab_incubator_placed","lab_incubator_removed","lab_sw_type","lab_wg5_note","lab_1_wg5_note","lab_1_wg5_dil_tested","lab_1_wg5_volume","lab_1_wg5_plaque_reading_mst","lab_1_wg5_plaque_mst","lab_2_wg5_dil_tested","lab_2_wg5_volume","lab_2_wg5_plaque_reading_mst","lab_2_wg5_plaque_mst","lab_3_wg5_dilution_performed","lab_3_wg5_dil_tested","lab_3_wg5_volume","lab_3_wg5_plaque_reading_mst","lab_3_wg5_plaque_mst","lab_gb124_note","lab_1_gb124_note","lab_1_gb124_dil_tested","lab_1_gb124_volume","lab_1_gb124_plaque_reading_mst","lab_1_gb124_plaque_mst","lab_2_gb124_dil_tested","lab_2_gb124_volume","lab_2_gb124_plaque_reading_mst","lab_2_gb124_plaque_mst","lab_3_gb124_dilution_performed","lab_3_gb124_dil_tested","lab_3_gb124_volume","lab_3_gb124_plaque_reading_mst","lab_3_gb124_plaque_mst","lab_enrichment","lab_enr_inc_placed","lab_enr_inc_removed","lab_wg5_enr_note","lab_1_wg5_enr_enr_note","lab_1_wg5_enr_dil_tested","lab_1_wg5_enr_volume","lab_1_wg5_enr_plaque_reading_mst","lab_1_wg5_enr_plaque_mst","lab_2_wg5_enr_dil_tested","lab_2_wg5_enr_volume","lab_2_wg5_enr_plaque_reading_mst","lab_2_wg5_enr_plaque_mst","lab_3_wg5_enr_dilution_performed","lab_3_wg5_enr_dil_tested","lab_3_wg5_enr_volume","lab_3_wg5_enr_plaque_reading_mst","lab_3_wg5_enr_plaque_mst","lab_gb124_enr_enr_note","lab_1_gb124_enr_note","lab_1_gb124_enr_dil_tested","lab_1_gb124_enr_volume","lab_1_gb124_enr_plaque_reading_mst","lab_1_gb124_enr_plaque_mst","lab_2_gb124_enr_dil_tested","lab_2_gb124_enr_volume","lab_2_gb124_enr_plaque_reading_mst","lab_2_gb124_enr_plaque_mst","lab_3_gb124_enr_dilution_performed","lab_3_gb124_enr_dil_tested","lab_3_gb124_enr_volume","lab_3_gb124_enr_plaque_reading_mst","lab_3_gb124_enr_plaque_mst","lab_closing","lab_notes","lab_enum","lab_photo","__version__","_id","_uuid","_submission_time","_index","calc_1_wg5","calc_2_wg5","calc_3_wg5","calc_1_wg5_dil","calc_2_wg5_dil","calc_3_wg5_dil","calc_1_wg5_conc","calc_2_wg5_conc","calc_3_wg5_conc","calc_wg5_conc"
"1",2019-11-15 18:45:01,"subscriberid not found","simserial not found","enketo.sanipath.org:hSyuNcpgwTIMP2tW",2019-11-15 18:47:53,59,1,11,NA,NA,"PLC1062","PLc1062",2019-11-05 22:00:00,2019-11-05 23:00:00,2019-11-06 23:00:00,4,NA,NA,7,1000,4,NA,7,100,1,NA,1,4,1000,3,0,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MSA 1:10^4 - 0 vol. 1ml, WG5 1ml plaque count - CL","2,7",1,"vEoStdkkxjbTLCeg9T5L4r",5183,"712f95af-8169-4742-a4bf-8a3f3cd72f5d",2019-11-15 06:15:16,205,300,300,0.5,1000,100,1,0.3,3,0.5,NA
"2",2019-12-02 18:57:55,"subscriberid not found","simserial not found","enketo.sanipath.org:hSyuNcpgwTIMP2tW",2019-12-02 19:00:34,59,1,11,NA,NA,"PLC1098","PLc1098",2019-11-27 22:00:00,2019-11-27 23:30:00,2019-11-28 23:30:00,4,NA,NA,7,1000,4,NA,7,100,1,NA,1,4,1000,3,0,NA,NA,7,5000,3,0,7,1000,3,0,1,7,100,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WG5 1ml plaque count - CL, MSA 1:10^4 - 0 vol. 1ml.","1549497600",1,"vEoStdkkxjbTLCeg9T5L4r",5809,"d8f1ad4d-798b-4042-ba31-8cd6b66e849c",2019-12-02 06:27:45,291,300,300,0.5,1000,100,1,0.3,3,0.5,NA
"3",2020-01-13 05:46:31,"subscriberid not found","simserial not found","enketo.sanipath.org:HXEPOfgufaBx6rX4",2020-01-13 05:48:31,59,1,11,NA,NA,"PLC1166","PLc1166",2020-01-02 08:00:00,2020-01-02 09:00:00,2020-01-03 09:00:00,4,NA,NA,7,1000,1,NA,7,100,1,NA,1,4,1000,3,0,NA,NA,7,1000,3,6,7,100,3,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MSA 1:10^4 - 0 vol. 1ml.","1581033600",1,"vEoStdkkxjbTLCeg9T5L4r",7152,"c4151ae8-030a-45ac-910d-c692efec0333",2020-01-13 06:45:06,389,300,300,0.5,1000,100,1,0.3,3,0.5,NA
"4",2020-02-17 05:13:04,"subscriberid not found","simserial not found","enketo.sanipath.org:HXEPOfgufaBx6rX4",2020-02-17 05:16:58,65,1,16,NA,NA,"UF1020","UF1020",2020-02-07 05:30:00,2020-02-07 07:30:00,2020-02-08 08:00:00,NA,NA,NA,7,1000,3,45,7,100,1,NA,1,4,1000,3,15,NA,NA,7,1000,3,172,7,100,3,8,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The counts for 1ml and 100µl do not seem to follow the expected trend of dilution. (More count from 100ml as compared to 1ml)","1581033600",1,"vqJswxn8sZtNwLiJnWEQEL",7977,"6592b859-6011-4b39-8938-8b4259f46daf",2020-02-17 06:13:00,464,45,300,15,1000,100,1,0.045,3,15,NA
