id,id_fix,date,_index,form
LS1001,LS1001old,2019-05-10,2,3.4
MO1001,MO1001old,2019-05-10,3,3.4
MO1002,MO1002old,2019-05-10,4,3.4
LS2001,LS2001old,2019-05-10,13,3.4
FB1195,FB1195a,2019-12-19,367,3.4
UF1012,UF1012F,2019-12-19,399,3.4
FPb9902,FPb9902a,2019-09-13,433,3.4
PLc1023,PLc1023a,2019-12-18,477,3.4
RP2001,RP2001olda,2019-05-10,737,3.4
RP2002,RP2002olda,2019-05-10,738,3.4
SL2001,SL2001olda,2019-07-16,739,3.4
SL2002,SL2002olda,2019-05-10,740,3.4
PL2001,PL2001a,2019-05-10,741,3.4
FPd2002,FPd2002a,2020-02-18,865,3.4
PLc1024,PLc1024a,2020-02-28,900,3.4
UPNC34,UPNC35,2019-10-22,302,3.5
UPNC48,UPNC48a,2019-11-15,421,3.5
UPNC67,UPNC67a,2019-12-23,626,3.5
UPNC68,UPNC68a,2019-12-26,635,3.5
UPNC75,UPNC75a,2020-01-08,696,3.5
FB1303UP,FB1303UPa,2020-02-04,780,3.5
FB1301UP,FB1310UP,2020-02-04,788,3.5
FB1131UP,FB1311UP,2020-02-05,791,3.5
FB1215UP,FB1315UP,2020-02-06,801,3.5
UPNC88,UPNC88a,2020-02-06,802,3.5
