id,question,response,answer_text,count_yes,count_missing
265,297,60,None,2,0
266,296,60,None,11,0
267,259,60,None,1,0
268,258,60,None,0,0
269,298,60,None,12,0
270,294,60,None,11,0
271,295,60,None,2,0
272,246,60,None,1,0
273,288,60,None,7,0
274,289,60,None,1,0
275,284,60,None,9,0
276,285,60,None,9,0
277,286,60,None,0,0
278,280,60,None,1,0
279,281,60,None,0,0
280,282,60,None,2,0
281,283,60,None,9,0
282,249,60,None,11,0
283,200,60,None,0,0
284,201,60,None,0,0
285,202,60,None,0,0
286,203,60,None,5,0
287,240,60,None,2,1
288,241,60,None,4,1
289,243,60,None,0,0
290,244,60,None,1,0
291,245,60,None,0,0
292,247,60,None,3,0
293,271,60,None,2,0
294,270,60,None,2,0
295,273,60,None,4,0
296,275,60,None,3,0
297,274,60,None,3,0
298,276,60,None,6,0
299,279,60,None,0,0
300,278,60,None,2,0
301,239,60,None,0,1
302,238,60,None,10,0
303,235,60,None,3,0
304,234,60,None,0,0
305,236,60,None,1,0
306,230,60,None,8,0
307,233,60,None,0,0
308,232,60,None,1,0
309,299,60,None,0,0
310,268,60,None,0,0
311,262,60,None,1,0
312,263,60,None,2,0
313,260,60,None,6,0
314,264,60,None,2,0
315,265,60,None,11,0
316,267,60,None,1,0
317,269,60,None,0,0
318,228,60,None,1,0
319,229,60,None,2,0
320,227,60,None,5,0
321,29,61,None,9,0
322,28,61,None,1,0
323,27,61,None,1,0
324,69,61,None,1,0
325,68,61,None,4,0
326,63,61,None,2,0
327,62,61,None,6,0
328,60,61,None,0,0
329,67,61,None,7,0
330,65,61,None,10,0
331,64,61,None,4,0
332,92,61,None,10,0
333,34,61,None,2,0
334,90,61,None,0,0
335,96,61,None,0,0
336,97,61,None,9,0
337,94,61,None,12,0
338,95,61,None,0,0
339,98,61,None,0,0
340,99,61,None,0,0
341,1,61,None,9,0
342,2,61,None,13,0
343,3,61,None,22,0
344,58,61,None,2,0
345,59,61,None,0,0
346,56,61,None,0,0
347,57,61,None,1,0
348,55,61,None,19,0
349,52,61,None,3,0
350,53,61,None,0,0
351,50,61,None,0,0
352,51,61,None,0,0
353,93,61,None,0,0
354,85,61,None,13,0
355,84,61,None,13,0
356,86,61,None,1,0
357,81,61,None,5,0
358,80,61,None,12,0
359,83,61,None,13,0
360,82,61,None,5,0
361,38,61,None,4,0
362,89,61,None,3,0
363,88,61,None,10,0
364,39,61,None,3,0
365,35,61,None,10,0
366,41,61,None,6,0
367,40,61,None,9,0
368,43,61,None,1,0
369,45,61,None,9,0
370,44,61,None,4,0
371,47,61,None,1,0
372,46,61,None,6,0
373,49,61,None,19,0
374,78,61,None,0,0
375,79,61,None,0,0
376,36,61,None,9,0
377,30,61,None,11,0
378,32,61,None,1,0
379,33,61,None,0,0
380,70,61,None,4,0
381,71,61,None,6,0
382,73,61,None,5,0
383,74,61,None,1,0
384,76,61,None,9,0
385,75,61,None,7,0
386,420,62,1,None,None
387,420,63,0,None,None
388,420,64,0,None,None
389,420,65,0,None,None
390,420,66,1,None,None
391,420,67,1,None,None
392,420,68,1,None,None
393,420,69,1,None,None
394,420,70,1,None,None
395,420,71,0,None,None
396,420,72,1,None,None
397,420,73,0,None,None
398,420,74,0,None,None
399,420,75,0,None,None
400,420,76,0,None,None
401,420,77,0,None,None
402,420,78,0,None,None
403,420,79,0,None,None
404,420,80,1,None,None
405,420,81,1,None,None
406,420,82,0,None,None
407,420,83,0,None,None
408,420,84,1,None,None
409,420,85,0,None,None
410,420,86,0,None,None
411,420,87,0,None,None
412,420,88,0,None,None
413,420,89,1,None,None
414,420,90,0,None,None
415,420,91,0,None,None
416,420,92,0,None,None
417,420,93,0,None,None
418,420,94,2,None,None
419,420,95,1,None,None
420,420,96,0,None,None
421,420,97,0,None,None
422,420,98,0,None,None
423,420,99,0,None,None
424,420,100,0,None,None
425,420,101,0,None,None
426,420,102,0,None,None
427,420,103,0,None,None
428,420,104,0,None,None
429,420,105,0,None,None
430,99,106,None,0,0
431,98,106,None,0,0
432,90,106,None,0,0
433,93,106,None,3,0
434,92,106,None,17,0
435,95,106,None,0,0
436,94,106,None,2,0
437,97,106,None,0,0
438,96,106,None,0,0
439,3,106,None,0,0
440,2,106,None,0,0
441,1,106,None,0,0
442,59,106,None,2,0
443,58,106,None,2,0
444,55,106,None,14,0
445,57,106,None,1,0
446,56,106,None,1,0
447,51,106,None,2,0
448,50,106,None,4,0
449,53,106,None,0,0
450,52,106,None,4,0
451,28,106,None,4,0
452,29,106,None,9,0
453,27,106,None,1,0
454,64,106,None,1,0
455,65,106,None,15,0
456,67,106,None,0,0
457,60,106,None,12,0
458,62,106,None,3,0
459,63,106,None,1,0
460,68,106,None,0,0
461,69,106,None,0,0
462,39,106,None,1,0
463,38,106,None,13,0
464,36,106,None,1,0
465,34,106,None,7,0
466,33,106,None,1,0
467,32,106,None,0,0
468,30,106,None,6,0
469,79,106,None,0,0
470,78,106,None,0,0
471,73,106,None,0,0
472,71,106,None,2,0
473,70,106,None,18,0
474,76,106,None,17,0
475,75,106,None,3,0
476,74,106,None,0,0
477,88,106,None,18,0
478,89,106,None,2,0
479,82,106,None,6,0
480,83,106,None,20,0
481,80,106,None,1,0
482,81,106,None,13,0
483,86,106,None,0,0
484,84,106,None,20,0
485,85,106,None,20,0
486,35,106,None,11,0
487,49,106,None,10,0
488,46,106,None,4,0
489,47,106,None,4,0
490,44,106,None,1,0
491,45,106,None,6,0
492,43,106,None,5,0
493,40,106,None,5,0
494,41,106,None,1,0
495,99,107,None,0,0
496,98,107,None,0,0
497,90,107,None,0,0
498,93,107,None,8,0
499,92,107,None,16,0
500,95,107,None,0,0
501,94,107,None,4,0
502,97,107,None,0,0
503,96,107,None,0,0
504,3,107,None,0,0
505,2,107,None,10,0
506,1,107,None,9,0
507,59,107,None,6,0
508,58,107,None,3,0
509,55,107,None,8,0
510,57,107,None,1,0
511,56,107,None,1,0
512,51,107,None,1,0
513,50,107,None,2,0
514,53,107,None,0,0
515,52,107,None,4,0
516,28,107,None,6,6
517,29,107,None,7,0
518,27,107,None,6,6
519,64,107,None,10,0
520,65,107,None,2,0
521,67,107,None,4,0
522,60,107,None,13,0
523,62,107,None,4,0
524,63,107,None,3,0
525,68,107,None,6,0
526,69,107,None,0,0
527,39,107,None,1,0
528,38,107,None,2,0
529,36,107,None,12,0
530,34,107,None,2,0
531,33,107,None,3,0
532,32,107,None,0,0
533,30,107,None,6,0
534,79,107,None,3,0
535,78,107,None,0,0
536,73,107,None,1,0
537,71,107,None,8,0
538,70,107,None,1,0
539,76,107,None,8,0
540,75,107,None,8,0
541,74,107,None,2,0
542,88,107,None,10,0
543,89,107,None,3,0
544,82,107,None,7,0
545,83,107,None,13,0
546,80,107,None,6,0
547,81,107,None,3,0
548,86,107,None,1,0
549,84,107,None,13,0
550,85,107,None,13,0
551,35,107,None,2,0
552,49,107,None,12,0
553,46,107,None,1,0
554,47,107,None,11,0
555,44,107,None,0,0
556,45,107,None,3,0
557,43,107,None,4,0
558,40,107,None,15,0
559,41,107,None,1,0
560,99,108,None,0,0
561,98,108,None,0,0
562,90,108,None,0,0
563,93,108,None,9,0
564,92,108,None,6,0
565,95,108,None,0,0
566,94,108,None,2,2
567,97,108,None,0,0
568,96,108,None,1,0
569,3,108,None,0,0
570,2,108,None,6,0
571,1,108,None,10,0
572,59,108,None,6,0
573,58,108,None,2,2
574,55,108,None,5,0
575,57,108,None,3,0
576,56,108,None,0,0
577,51,108,None,2,0
578,50,108,None,3,0
579,53,108,None,4,0
580,52,108,None,2,0
581,28,108,None,4,0
582,29,108,None,6,0
583,27,108,None,3,0
584,64,108,None,5,0
585,65,108,None,5,0
586,67,108,None,1,0
587,60,108,None,11,0
588,62,108,None,3,0
589,63,108,None,3,0
590,68,108,None,2,0
591,69,108,None,4,0
592,39,108,None,7,0
593,38,108,None,2,0
594,36,108,None,1,0
595,34,108,None,3,0
596,33,108,None,6,0
597,32,108,None,1,0
598,30,108,None,3,0
599,79,108,None,5,0
600,78,108,None,2,0
601,73,108,None,2,0
602,71,108,None,6,0
603,70,108,None,3,0
604,76,108,None,4,0
605,75,108,None,6,0
606,74,108,None,4,0
607,88,108,None,12,0
608,89,108,None,0,0
609,82,108,None,2,0
610,83,108,None,12,0
611,80,108,None,4,0
612,81,108,None,3,0
613,86,108,None,1,0
614,84,108,None,12,0
615,85,108,None,12,0
616,35,108,None,5,0
617,49,108,None,5,0
618,46,108,None,2,0
619,47,108,None,6,0
620,44,108,None,2,0
621,45,108,None,5,0
622,43,108,None,1,0
623,40,108,None,6,0
624,41,108,None,1,0
625,99,109,None,0,0
626,98,109,None,0,0
