lab_start_dt,subscriberid,simserial,deviceid,lab_end_dt,lab_ward,lab_neighborhood,lab_sample_type,lab_sample_type_fp,lab_sample_type_co,lab_id,lab_id_val,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_sw_type,lab_wg5_note,lab_1_wg5_note,lab_1_wg5_dil_tested,lab_1_wg5_volume,lab_1_wg5_plaque_reading_mst,lab_1_wg5_plaque_mst,lab_2_wg5_dil_tested,lab_2_wg5_volume,lab_2_wg5_plaque_reading_mst,lab_2_wg5_plaque_mst,lab_3_wg5_dilution_performed,lab_3_wg5_dil_tested,lab_3_wg5_volume,lab_3_wg5_plaque_reading_mst,lab_3_wg5_plaque_mst,lab_gb124_note,lab_1_gb124_note,lab_1_gb124_dil_tested,lab_1_gb124_volume,lab_1_gb124_plaque_reading_mst,lab_1_gb124_plaque_mst,lab_2_gb124_dil_tested,lab_2_gb124_volume,lab_2_gb124_plaque_reading_mst,lab_2_gb124_plaque_mst,lab_3_gb124_dilution_performed,lab_3_gb124_dil_tested,lab_3_gb124_volume,lab_3_gb124_plaque_reading_mst,lab_3_gb124_plaque_mst,lab_enrichment,lab_enr_inc_placed,lab_enr_inc_removed,lab_wg5_enr_note,lab_1_wg5_enr_enr_note,lab_1_wg5_enr_dil_tested,lab_1_wg5_enr_volume,lab_1_wg5_enr_plaque_reading_mst,lab_1_wg5_enr_plaque_mst,lab_2_wg5_enr_dil_tested,lab_2_wg5_enr_volume,lab_2_wg5_enr_plaque_reading_mst,lab_2_wg5_enr_plaque_mst,lab_3_wg5_enr_dilution_performed,lab_3_wg5_enr_dil_tested,lab_3_wg5_enr_volume,lab_3_wg5_enr_plaque_reading_mst,lab_3_wg5_enr_plaque_mst,lab_gb124_enr_enr_note,lab_1_gb124_enr_note,lab_1_gb124_enr_dil_tested,lab_1_gb124_enr_volume,lab_1_gb124_enr_plaque_reading_mst,lab_1_gb124_enr_plaque_mst,lab_2_gb124_enr_dil_tested,lab_2_gb124_enr_volume,lab_2_gb124_enr_plaque_reading_mst,lab_2_gb124_enr_plaque_mst,lab_3_gb124_enr_dilution_performed,lab_3_gb124_enr_dil_tested,lab_3_gb124_enr_volume,lab_3_gb124_enr_plaque_reading_mst,lab_3_gb124_enr_plaque_mst,lab_closing,lab_notes,lab_enum,lab_photo,__version__,_id,_uuid,_submission_time,_index
2019/09/13 20:06:43,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2019/09/13 20:08:45,58,1,15,NA,152,COB1004,COb1004,2019/08/23 10:00:00,2019/08/23 12:15:00,2019/08/24 12:15:00,NA,NA,NA,7,1,3,0,7,100,3,0,0,NA,NA,NA,NA,NA,NA,7,1,3,0,7,100,3,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,3",0,vzLptgfwYgZks8EPQLoK9p,4169,d2ca08fc-9439-4618-9ac2-c5bdb48c3b63,2019/09/14 09:06:22,108
2019/09/13 20:08:45,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2019/09/13 20:10:36,58,1,15,NA,152,COB1005,COb1005,2019/08/23 10:00:00,2019/08/23 12:15:00,2019/08/24 12:15:00,NA,NA,NA,7,1,3,0,7,100,3,0,0,NA,NA,NA,NA,NA,NA,7,1,3,0,7,100,3,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,3",0,vzLptgfwYgZks8EPQLoK9p,4170,a8dea0e0-22cf-486a-b8de-ff6df40722a0,2019/09/14 09:08:14,109
2019/09/13 20:10:37,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2019/09/13 20:12:31,58,1,15,NA,152,COB1006,COb1006,2019/08/23 10:00:00,2019/08/23 12:15:00,2019/08/24 12:15:00,NA,NA,NA,7,1,3,0,7,100,3,0,0,NA,NA,NA,NA,NA,NA,7,1,3,0,7,100,3,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,3",0,vzLptgfwYgZks8EPQLoK9p,4171,3976d1b7-d2fb-4c65-a915-9bc94eb5d0b1,2019/09/14 09:10:08,110
2019/09/15 22:14:11,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2019/09/15 22:20:33,58,1,2,NA,NA,RP1010,RP1010,2019/07/27 09:30:00,2019/07/27 10:30:00,2019/08/28 10:30:00,NA,NA,NA,7,1000,3,0,7,100,3,0,0,NA,NA,NA,NA,NA,NA,7,1000,3,0,7,100,3,0,1,7,5000,3,0,1,2019/08/27 10:30:00,2019/08/28 10:30:00,NA,NA,7,1000,3,0,7,100,3,0,0,NA,NA,NA,NA,NA,NA,7,1000,3,0,7,100,3,0,1,7,5000,3,0,NA,NA,"2,5",1,vzLptgfwYgZks8EPQLoK9p,4287,95dd1993-5331-402a-bcb8-42e15763c073,2019/09/16 11:18:08,111
2019/09/15 22:20:33,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2019/09/15 22:25:55,65,1,3,NA,NA,DWA1003OLD,DWa1003,2019/08/27 09:30:00,2019/08/27 10:30:00,2019/08/28 10:30:00,NA,NA,NA,7,1000,3,56,7,100,3,14,0,NA,NA,NA,NA,NA,NA,7,1000,3,0,7,100,3,0,1,7,5000,3,0,1,2019/08/27 10:30:00,2019/08/28 10:30:00,NA,NA,7,1000,3,266,7,100,3,84,0,NA,NA,NA,NA,NA,NA,7,1000,3,165,7,100,3,55,1,7,5000,1,NA,NA,NA,"2,5",1,vzLptgfwYgZks8EPQLoK9p,4288,9a59f35f-2d74-4a49-ab52-ef0e67e09068,2019/09/16 11:23:31,112
2019/09/15 22:25:55,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2019/09/15 22:33:00,58,1,1,NA,NA,OD1006,OD1006,2019/08/27 09:30:00,2019/08/27 10:30:00,2019/08/28 10:30:00,NA,NA,NA,7,1000,3,56,7,100,3,14,0,NA,NA,NA,NA,NA,NA,7,1000,3,0,7,100,3,0,1,7,5000,3,0,1,2019/08/27 10:30:00,2019/08/28 10:30:00,NA,NA,7,1000,3,266,7,100,3,84,0,NA,NA,NA,NA,NA,NA,7,1000,3,165,7,100,3,55,1,7,5000,1,NA,NA,NA,"2,5",1,vzLptgfwYgZks8EPQLoK9p,4289,3479c3ce-97c3-4006-bbe8-4602a43e42a8,2019/09/16 11:30:34,113
2019/09/16 16:18:03,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2019/09/16 16:27:01,58,1,8,NA,NA,SL1013,SL1013,2019/09/12 08:30:00,2019/09/12 10:30:00,2019/09/13 10:30:00,NA,NA,NA,7,1000,3,0,7,100,3,69,0,NA,NA,NA,NA,NA,NA,7,1000,3,0,7,100,1,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOR WG5(1ml=conta), GB124(1ml=CLEAR,100µl=385)","2,5",1,vzLptgfwYgZks8EPQLoK9p,4290,e3eaa2c2-3258-4796-9526-b91598a9fa98,2019/09/17 05:24:36,114
2019/09/16 16:27:01,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2019/09/16 16:30:05,58,1,5,NA,NA,SW1010,SW1010,2019/09/12 08:30:00,2019/09/12 10:30:00,2019/09/13 10:30:00,NA,NA,NA,7,1000,3,8,7,100,3,0,0,NA,NA,NA,NA,NA,NA,7,1000,3,0,7,100,3,27,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FOR GB124 (1ml=CLEAR),"2,5",1,vzLptgfwYgZks8EPQLoK9p,4291,d6e59ae9-8248-4ce1-aebb-6e57f012cf4c,2019/09/17 05:27:40,115
2019/09/16 16:30:05,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2019/09/16 16:34:34,58,1,14,141,NA,FPA1002,FPa1002,2019/09/12 08:30:00,2019/09/12 10:30:00,2019/09/13 10:30:00,NA,NA,NA,7,1000,3,0,7,100,3,0,0,NA,NA,NA,NA,NA,NA,7,1000,3,0,7,100,3,88,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOR WG5(1ml=conta,100µl=conta), GB124(1ml=CLEAR)","2,5",1,vzLptgfwYgZks8EPQLoK9p,4292,9b150235-4127-493d-8750-cef2fd60ee20,2019/09/17 05:32:09,116
2019/09/16 16:34:34,subscriberid not found,simserial not found,enketo.sanipath.org:HXEPOfgufaBx6rX4,2019/09/16 16:39:18,58,1,14,142,NA,FPB1002,FPb1002,2019/09/12 08:30:00,2019/09/12 10:30:00,2019/09/13 10:30:00,NA,NA,NA,7,1000,3,0,7,100,3,0,0,NA,NA,NA,NA,NA,NA,7,1000,3,98,7,100,3,37,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FOR WG5(100µl=contamination),"2,5",1,vzLptgfwYgZks8EPQLoK9p,4293,0f2edbc0-369a-4f60-ba9f-5bed02360886,2019/09/17 05:36:53,117
