"lab_start_dt","lab_sample_type","lab_id","lab_id_val","lab_processing","lab_incubator_placed","lab_incubator_removed","lab_p_weight","lab_sf_weight","lab_pa_weight","lab_1_group.lab_1_dil_tested","lab_1_group.lab_1_volume","lab_1_ecoli_reading_membrane","lab_1_ecoli_membrane","lab_2_group.lab_2_dil_tested","lab_2_group.lab_2_volume","lab_2_ecoli_reading_membrane","lab_2_ecoli_membrane","lab_3_dilution_performed","lab_3_group.lab_3_dil_tested","lab_3_group.lab_3_volume","lab_3_ecoli_reading_membrane","lab_3_ecoli_membrane","lab_notes","lab_enum","lab_photo","lab_end_dt","col_start_dt","col_end_dt","meta.instanceID","X_uuid","X_submission_time","X_tags","X_notes"
"2019-02-12T16:50:12.429+01",3,1064,1064,"2018-11-23T15:51:00.000+01","2018-11-23T15:55:00.000+01","2018-11-24T17:00:00.000+01",,,,7,10,3,1,7,100,3,0,0,,,,,"","Winnie",1,"2019-02-12T16:52:04.781+01","2019-02-12T16:50:12.429+01","2019-02-12T16:52:04.781+01","uuid:a8a3be3e-48a7-49b3-ab5d-99f986f63624","a8a3be3e-48a7-49b3-ab5d-99f986f63624","2019-02-12T14:06:06",,
"2019-02-04T16:28:43.962+01",3,1065,1065,"2018-11-23T16:02:00.000+01","2018-11-23T16:13:00.000+01","2018-11-24T17:00:00.000+01",,,,7,10,1,,7,1,3,25,0,,,,,"","Winnie",1,"2019-02-04T16:31:53.190+01","2019-02-04T16:28:43.964+01","2019-02-04T16:31:53.190+01","uuid:452d0322-4236-4fc3-ae22-6c25ba108821","452d0322-4236-4fc3-ae22-6c25ba108821","2019-02-07T09:52:41",,
"2019-02-21T17:12:44.777+01",3,1066,1066,"2018-11-23T16:09:00.000+01","2018-11-23T16:13:00.000+01","2018-11-24T17:00:00.000+01",,,,7,10,3,1,7,100,3,0,0,,,,,"","Winnie",1,"2019-02-21T17:14:17.169+01","2019-02-21T17:12:44.777+01","2019-02-21T17:14:17.169+01","uuid:4cc07f12-c8ef-43e3-89a7-e73f3209b67b","4cc07f12-c8ef-43e3-89a7-e73f3209b67b","2019-02-21T14:20:14",,
"2019-02-21T17:14:19.897+01",3,1067,1067,"2018-11-23T16:23:00.000+01","2018-11-23T16:35:00.000+01","2018-11-24T17:00:00.000+01",,,,7,10,3,1,7,100,3,14,0,,,,,"","Winnie",1,"2019-02-21T17:16:00.292+01","2019-02-21T17:14:19.898+01","2019-02-21T17:16:00.292+01","uuid:c4f00204-d6c2-42a3-a830-1bd331c06757","c4f00204-d6c2-42a3-a830-1bd331c06757","2019-02-21T14:20:19",,
"2019-02-04T16:32:07.597+01",3,1068,1068,"2018-11-23T16:30:00.000+01","2018-11-23T16:35:00.000+01","2018-11-24T17:00:00.000+01",,,,7,10,3,2,7,1,3,2,0,,,,,"","Winnie",1,"2019-02-04T16:33:38.546+01","2019-02-04T16:32:07.597+01","2019-02-04T16:33:38.547+01","uuid:ad4eb8e8-c96e-49d2-ad13-f94dc659779b","ad4eb8e8-c96e-49d2-ad13-f94dc659779b","2019-02-07T09:52:43",,
"2019-02-12T16:52:12.386+01",3,1069,1069,"2018-11-23T16:38:00.000+01","2018-11-23T16:49:00.000+01","2018-11-24T17:00:00.000+01",,,,7,10,3,8,7,100,3,65,0,,,,,"","Winnie",1,"2019-02-12T16:53:41.145+01","2019-02-12T16:52:12.388+01","2019-02-12T16:53:41.145+01","uuid:922a0db5-52d0-43a4-91f4-f6edce1ee91f","922a0db5-52d0-43a4-91f4-f6edce1ee91f","2019-02-12T14:06:08",,
"2019-02-12T16:54:05.193+01",3,1070,1070,"2018-11-23T16:46:00.000+01","2018-11-23T16:49:00.000+01","2018-11-24T17:00:00.000+01",,,,7,10,3,2,7,100,3,0,0,,,,,"","Winnie",1,"2019-02-12T16:55:37.773+01","2019-02-12T16:54:05.193+01","2019-02-12T16:55:37.773+01","uuid:bcadc134-dfe7-4e7b-845c-b12804175b27","bcadc134-dfe7-4e7b-845c-b12804175b27","2019-02-12T14:06:10",,
"2019-02-12T16:55:51.306+01",3,1071,1071,"2019-01-10T14:00:00.000+01","2019-01-10T19:11:00.000+01","2019-01-11T19:12:00.000+01",,,,7,10,3,0,7,100,3,15,0,,,,,"","Kaddu",1,"2019-02-12T16:57:09.036+01","2019-02-12T16:55:51.306+01","2019-02-12T16:57:09.036+01","uuid:1e02e3ad-77f1-44c9-98e3-c78885b0337a","1e02e3ad-77f1-44c9-98e3-c78885b0337a","2019-02-12T14:06:13",,
"2019-02-12T16:57:30.977+01",3,1072,1072,"2019-01-10T14:00:00.000+01","2019-01-10T19:11:00.000+01","2019-01-11T19:12:00.000+01",,,,7,10,3,16,7,100,3,142,0,,,,,"","Kaddu",1,"2019-02-12T16:59:19.044+01","2019-02-12T16:57:30.977+01","2019-02-12T16:59:19.044+01","uuid:90080b30-cdad-4da9-b2dd-30801e6e089c","90080b30-cdad-4da9-b2dd-30801e6e089c","2019-02-12T14:06:16",,
"2019-02-04T16:36:00.328+01",3,1073,1073,"2019-01-10T14:39:00.000+01","2019-01-10T19:39:00.000+01","2019-01-11T19:39:00.000+01",,,,6,1,3,0,5,1,3,0,0,,,,,"","Winnie",1,"2019-02-04T16:40:50.463+01","2019-02-04T16:36:00.328+01","2019-02-04T16:40:50.463+01","uuid:b8a0ffd1-14dd-400e-968f-5be381111976","b8a0ffd1-14dd-400e-968f-5be381111976","2019-02-07T09:52:46",,
"2019-02-12T16:59:23.922+01",3,1074,1074,"2019-01-10T15:00:00.000+01","2019-01-10T19:11:00.000+01","2019-01-11T19:12:00.000+01",,,,7,10,3,0,7,100,3,0,0,,,,,"","Kaddu",1,"2019-02-12T17:00:36.098+01","2019-02-12T16:59:23.922+01","2019-02-12T17:00:36.098+01","uuid:3c22b61b-ad92-461c-a3de-ab7816a8246a","3c22b61b-ad92-461c-a3de-ab7816a8246a","2019-02-12T14:06:21",,
"2019-02-12T17:00:39.475+01",3,1075,1075,"2019-01-10T14:00:00.000+01","2019-01-10T19:11:00.000+01","2019-01-11T19:12:00.000+01",,,,7,10,3,0,7,100,3,0,0,,,,,"","Kaddu",1,"2019-02-12T17:02:13.987+01","2019-02-12T17:00:39.475+01","2019-02-12T17:02:13.988+01","uuid:dc7c9e15-6a02-40f1-a9aa-227a1b878792","dc7c9e15-6a02-40f1-a9aa-227a1b878792","2019-02-12T14:06:32",,
"2019-02-04T16:40:58.674+01",3,1076,1076,"2019-01-10T14:00:00.000+01","2019-01-10T19:11:00.000+01","2019-01-11T19:12:00.000+01",,,,6,1,3,0,5,1,3,0,0,,,,,"","Winnie",1,"2019-02-04T16:44:07.811+01","2019-02-04T16:40:58.674+01","2019-02-04T16:44:07.811+01","uuid:3dbefe50-5081-40b2-a611-e28997f3da9f","3dbefe50-5081-40b2-a611-e28997f3da9f","2019-02-07T09:52:48",,
"2019-02-12T17:02:19.230+01",3,1077,1077,"2019-01-10T14:00:00.000+01","2019-01-10T19:11:00.000+01","2019-01-11T19:12:00.000+01",,,,7,10,3,54,7,100,1,,1,6,1,3,3,"","Kaddu",1,"2019-02-12T17:04:29.118+01","2019-02-12T17:02:19.230+01","2019-02-12T17:04:29.118+01","uuid:cafba264-db1b-43e1-9b76-4eec758de331","cafba264-db1b-43e1-9b76-4eec758de331","2019-02-12T14:06:35",,
"2019-02-12T18:22:28.331+01",3,1078,1078,"2019-01-10T14:00:00.000+01","2019-01-10T19:11:00.000+01","2019-01-11T19:12:00.000+01",,,,7,10,3,2,7,100,3,26,0,,,,,"","Kaddu",1,"2019-02-12T18:23:49.990+01","2019-02-12T18:22:28.331+01","2019-02-12T18:23:49.990+01","uuid:2ea0af3d-5e8e-4738-bd95-953c38aeb6ef","2ea0af3d-5e8e-4738-bd95-953c38aeb6ef","2019-02-12T15:54:35",,
"2019-02-12T18:23:53.614+01",3,1079,1079,"2019-01-10T14:00:00.000+01","2019-01-10T19:11:00.000+01","2019-01-11T19:12:00.000+01",,,,7,10,3,30,7,100,3,18,0,,,,,"","Kaddu",1,"2019-02-12T18:25:29.942+01","2019-02-12T18:23:53.615+01","2019-02-12T18:25:29.942+01","uuid:4543a5a0-aa01-4bcd-9068-50459d7a0035","4543a5a0-aa01-4bcd-9068-50459d7a0035","2019-02-12T15:54:39",,
"2019-02-12T18:25:44.912+01",3,1080,1080,"2019-01-10T14:00:00.000+01","2019-01-10T19:11:00.000+01","2019-01-11T19:12:00.000+01",,,,7,10,3,0,7,100,3,0,0,,,,,"","Kaddu",1,"2019-02-12T18:28:05.177+01","2019-02-12T18:25:44.912+01","2019-02-12T18:28:05.177+01","uuid:8590817d-dcac-4887-9eee-08cc2dbca4a6","8590817d-dcac-4887-9eee-08cc2dbca4a6","2019-02-12T15:54:41",,
"2019-02-12T18:28:08.857+01",3,1091,1091,"2019-01-14T14:00:00.000+01","2019-01-14T17:40:00.000+01","2019-01-15T17:40:00.000+01",,,,7,10,3,0,7,100,3,39,0,,,,,"","Winnie",1,"2019-02-12T18:30:02.928+01","2019-02-12T18:28:08.857+01","2019-02-12T18:30:02.928+01","uuid:38c70213-43e4-45d0-b20e-1c41d6fa69ac","38c70213-43e4-45d0-b20e-1c41d6fa69ac","2019-02-12T15:54:43",,
"2019-02-12T18:30:06.668+01",3,1092,1092,"2019-01-14T14:00:00.000+01","2019-01-14T17:40:00.000+01","2019-01-15T17:40:00.000+01",,,,7,10,3,0,7,100,3,0,0,,,,,"","Winnie",1,"2019-02-12T18:32:23.490+01","2019-02-12T18:30:06.668+01","2019-02-12T18:32:23.490+01","uuid:cb301c1f-e5ee-4979-97d5-f875bb0ef421","cb301c1f-e5ee-4979-97d5-f875bb0ef421","2019-02-12T15:54:45",,
"2019-02-21T17:16:03.133+01",3,1093,1093,"2019-01-14T14:00:00.000+01","2019-01-14T17:40:00.000+01","2019-01-15T17:40:00.000+01",,,,7,10,3,0,7,100,3,0,0,,,,,"","Winnie",1,"2019-02-21T17:17:03.994+01","2019-02-21T17:16:03.133+01","2019-02-21T17:17:03.994+01","uuid:37573b7b-c99d-42db-ab83-4c388c83d327","37573b7b-c99d-42db-ab83-4c388c83d327","2019-02-21T14:20:21",,
"2019-02-04T16:44:11.232+01",3,1094,1094,"2019-01-14T14:00:00.000+01","2019-01-14T17:40:00.000+01","2019-01-15T17:40:00.000+01",,,,7,10,3,0,7,1,3,0,0,,,,,"","Winnie",1,"2019-02-04T16:45:51.687+01","2019-02-04T16:44:11.232+01","2019-02-04T16:45:51.687+01","uuid:ea0a5ab2-aefe-4998-b5ff-21eb83efe23e","ea0a5ab2-aefe-4998-b5ff-21eb83efe23e","2019-02-07T09:52:51",,
"2019-02-21T17:17:12.408+01",3,1095,1095,"2019-01-14T14:00:00.000+01","2019-01-14T17:40:00.000+01","2019-01-15T17:40:00.000+01",,,,7,10,3,120,7,100,1,,0,,,,,"","Winnie",0,"2019-02-21T17:18:10.332+01","2019-02-21T17:17:12.408+01","2019-02-21T17:18:10.332+01","uuid:0fe8887b-2d02-42b8-8dd6-f271a8abbe3f","0fe8887b-2d02-42b8-8dd6-f271a8abbe3f","2019-02-21T14:20:23",,
"2019-02-04T16:45:57.305+01",3,1096,1096,"2019-01-14T14:00:00.000+01","2019-01-14T17:40:00.000+01","2019-01-15T17:40:00.000+01",,,,7,10,3,0,7,1,3,1,0,,,,,"","Winnie +Isaac",1,"2019-02-04T16:47:20.906+01","2019-02-04T16:45:57.305+01","2019-02-04T16:47:20.906+01","uuid:fec6bf03-b7d9-4bea-ad49-8d54450a89d9","fec6bf03-b7d9-4bea-ad49-8d54450a89d9","2019-02-07T09:52:52",,
"2019-02-12T17:05:05.467+01",3,1097,1097,"2019-01-14T14:00:00.000+01","2019-01-14T17:40:00.000+01","2019-01-15T17:40:00.000+01",,,,7,10,3,62,7,100,1,,0,,,,,"","Winnie",1,"2019-02-12T17:06:16.468+01","2019-02-12T17:05:05.467+01","2019-02-12T17:06:16.468+01","uuid:517ae541-2719-4aa4-84a2-113df0a9f3f9","517ae541-2719-4aa4-84a2-113df0a9f3f9","2019-02-12T14:06:39",,
"2019-02-04T16:47:37.110+01",3,1098,1098,"2019-01-14T14:00:00.000+01","2019-01-14T17:40:00.000+01","2019-01-15T17:40:00.000+01",,,,7,10,3,41,7,1,3,0,0,,,,,"","Winnie and Isaac",1,"2019-02-04T16:50:08.759+01","2019-02-04T16:47:37.110+01","2019-02-04T16:50:08.759+01","uuid:3d255a27-e70a-4520-807e-803f8cdc2d57","3d255a27-e70a-4520-807e-803f8cdc2d57","2019-02-07T09:52:54",,
"2019-02-12T17:06:20.682+01",3,1099,1099,"2019-01-14T14:00:00.000+01","2019-01-14T17:40:00.000+01","2019-01-15T17:40:00.000+01",,,,7,10,3,0,7,100,3,0,0,,,,,"","Winnie",1,"2019-02-12T17:07:35.947+01","2019-02-12T17:06:20.682+01","2019-02-12T17:07:35.947+01","uuid:383adb80-134d-4109-a782-73551c3bbcc9","383adb80-134d-4109-a782-73551c3bbcc9","2019-02-12T14:06:44",,
"2019-02-12T17:07:39.381+01",3,1100,1100,"2019-01-14T14:00:00.000+01","2019-01-14T17:40:00.000+01","2019-01-15T17:40:00.000+01",,,,7,10,3,0,7,100,3,0,0,,,,,"","Winnie",1,"2019-02-12T17:08:46.538+01","2019-02-12T17:07:39.381+01","2019-02-12T17:08:46.538+01","uuid:0e67a3ce-eb3e-4264-96e9-f666581952c1","0e67a3ce-eb3e-4264-96e9-f666581952c1","2019-02-12T14:06:48",,
