"deviceid","h_id","h_start","h_coordinates","X_h_coordinates_latitude","X_h_coordinates_longitude","X_h_coordinates_altitude","X_h_coordinates_precision","h_neighborhood","h_home_type","h_rainweek","h_population","h_c","h_s","h_s_a","h_s_a_other","h_s_c","h_s_c_other","h_d","h_d_a","h_d_a_other","h_d_c","h_d_c_other","h_f","h_f_a","h_f_a_other","h_f_c","h_f_c_other","h_dw","h_dw_a_other","h_dw_c_other","h_dw_e_wt_note","h_dw_e_wt","h_dw_e_wt_other","h_o","h_o_a","h_o_a_other","h_o_c","h_o_c_other","h_bw","h_bw_a","h_bw_a_other","h_bw_c","h_bw_c_other","h_p","h_p_a","h_p_a_other","h_p_c","h_p_c_other","h_p_e","h_p_e_other","h_sf","h_sf_a","h_sf_a_other","h_sf_c","h_sf_c_other","h_l","h_l_a","h_l_a_other","h_l_c","h_l_c_other","h_pl","h_pl_a_th","h_pl_a_th_other","h_pl_a_tu","h_pl_a_tu_other","h_pl_a_tw","h_pl_a_tw_other","h_pl_a_tf","h_pl_a_tf_other","h_pl_a_ts","h_pl_a_ts_other","h_pl_a_od","h_pl_a_od.1","h_pl_a_od.2","h_pl_a_od.3","h_pl_a_od.4","h_pl_a_od.5","h_pl_a_od.6","h_pl_a_od.7","h_pl_a_od_other","h_end","h_notes","h_enum","X_id","X_uuid","X_submission_time","X_index","h_extra_data","dply_num","h_UID","h_date","neighb_num","h_sex","h_dw_a","h_odw_a_other","h_dw_c","h_odw_c_other","h_bw_source","h_bw_source_other","meta.instanceID","X_tags","X_notes"
,1015,"2018-11-17T12:19:00.000+03","0.29999000000000003 32.62231 1143.7 5.0",0.29999,32.62231,1143.7,5,1,2,1,4,1,,4,"",4,"",,1,,2,,,4,,4,,,,,,1,,,,,,,,1,,1,,,3,"",3,"",2,"",,2,,2,,,4,"",4,"",,1,"",1,,2,"",2,,2,"",,0,1,0,0,0,0,0,,,"","Mugisha kwiringira",,"de83690c-da6d-4183-9ef3-150eb94ebae4","2018-11-26T17:46:06",,1,9,"09_1015","2018-11-17",901,1,1,,1,,2,,"uuid:de83690c-da6d-4183-9ef3-150eb94ebae4",,
,1016,"2018-11-17T12:27:00.000+03","0.29994000000000004 32.62231333333333 1143.7 4.8",0.29994,32.6223133333333,1143.7,4.8,1,2,1,3,1,,3,"",4,"",,2,,5,,,2,,2,,,,,,1,,,,,,,,1,,1,,,2,"",2,"",1,"",,1,,2,,,4,"",4,"",,1,"",1,,2,"",2,,2,"",,0,1,0,0,0,0,0,,,"","Mugisha kwiringira",,"ccda0007-5501-434e-bba1-9e72d58dd28b","2018-11-26T17:46:09",,1,9,"09_1016","2018-11-17",901,1,1,,1,,2,,"uuid:ccda0007-5501-434e-bba1-9e72d58dd28b",,
,1018,"2018-11-17T12:45:00.000+03","0.299875 32.62222333333333 1157.5 5.0",0.299875,32.6222233333333,1157.5,5,1,1,1,9,1,,3,"",3,"",,1,,1,,,3,,3,,,,,,1,,,,,,,,1,,1,,,3,"",3,"",1,"",,2,,2,,,4,"",4,"",,1,"",1,,2,"",2,,3,"",,1,0,0,0,0,0,0,,,"","Mugisha kwiringira",,"1f55eeeb-3aaa-408a-afff-f39de186f471","2018-11-26T17:46:14",,1,9,"09_1018","2018-11-17",901,1,1,,1,,2,,"uuid:1f55eeeb-3aaa-408a-afff-f39de186f471",,
,1019,"2018-11-17T13:15:00.000+03","0.300485 32.62256166666667 1124.8 5.0",0.300485,32.6225616666667,1124.8,5,1,2,1,6,1,,3,"",3,"",,1,,1,,,2,,2,,,,,,2,,,,,,,,2,,2,,,3,"",3,"",2,"",,3,,3,,,1,"",1,"",,2,"",,,,"",,,,"",,0,1,1,1,0,0,0,,,"Flooding of the area in the rainy season, which brings diarrhea and ajei mosquitoes that cause malaria.","Mugisha Dorothy",,"920324fb-a1e3-4edb-97d6-ac381c812450","2018-11-26T17:46:16",,1,9,"09_1019","2018-11-17",901,2,1,,1,,2,,"uuid:920324fb-a1e3-4edb-97d6-ac381c812450",,
,1037,"2018-11-22T11:53:00.000+03","0.283265 32.550891666666665 1162.8 3.7",0.283265,32.5508916666667,1162.8,3.7,4,2,1,5,1,,3,"",3,"",,1,,1,,,3,,3,,,,,,2,,,,,,,,1,,2,,,3,"",3,"",1,"",,3,,3,,,5,"",4,"",,1,"",1,,2,"",2,,2,"",,1,1,0,0,0,0,0,,,"","Mugisha kwiringira",,"7715799b-0a37-4412-86f6-09572c05d12c","2018-12-03T08:00:21",,1,9,"09_1037","2018-11-22",904,1,1,,1,,2,,"uuid:7715799b-0a37-4412-86f6-09572c05d12c",,
,1039,"2018-11-22T12:01:00.000+03","0.28341333333333335 32.550958333333334 1161.0 2.4",0.283413333333333,32.5509583333333,1161,2.4,4,1,1,4,1,,4,"",4,"",,3,,3,,,3,,3,,,,,,1,,,,,,,,1,,1,,,3,"",3,"",1,"",,2,,3,,,4,"",4,"",,1,"",1,,2,"",2,,2,"",,1,1,0,0,0,0,0,,,"","Mugisha kwiringira",,"8e6a52d3-2be1-4f08-9a81-a1113f08b9c0","2018-12-03T08:00:33",,1,9,"09_1039","2018-11-22",904,1,3,,3,,2,,"uuid:8e6a52d3-2be1-4f08-9a81-a1113f08b9c0",,
,1040,"2018-11-22T12:13:00.000+03","0.28347333333333335 32.55092166666667 1172.3 2.9",0.283473333333333,32.5509216666667,1172.3,2.9,4,2,1,5,1,,4,"",4,"",,3,,3,,,3,,3,,,,,,1,,,,,,,,1,,2,,,4,"",4,"",2,"",,2,,2,,,4,"",4,"",,1,"",1,,2,"",2,,2,"",,1,1,0,0,0,0,0,,,"","Mugisha kwiringira",,"af9409fe-cee8-42d7-9783-0edc379a8d57","2018-12-03T08:00:46",,1,9,"09_1040","2018-11-22",904,2,4,,4,,2,,"uuid:af9409fe-cee8-42d7-9783-0edc379a8d57",,
,1054,"2018-11-28T11:25:00.000+03","0.2885683333333333 32.553909999999995 1168.1 1.8",0.288568333333333,32.55391,1168.1,1.8,1,2,0,5,1,,4,"",4,"",,3,,3,,,4,,4,,,,,,1,,,,,,,,1,,1,,,4,"",4,"",1,"",,2,,2,,,4,"",4,"",,1,"",1,,2,"",2,,1,"",,1,0,0,0,0,0,0,,,"","Mugisha kwiringira",,"668bb88f-16ac-40f2-aaae-1491a03b811c","2018-12-03T08:10:37",,1,9,"09_1054","2018-11-28",901,1,3,,3,,2,,"uuid:668bb88f-16ac-40f2-aaae-1491a03b811c",,
,1055,"2018-11-28T11:29:00.000+03","0.28850166666666666 32.55390666666666 1169.2 1.8",0.288501666666667,32.5539066666667,1169.2,1.8,1,2,0,4,1,,4,"",4,"",,4,,4,,,4,,4,,,,,,1,,,,,,,,1,,1,,,3,"",3,"",1,"",,2,,2,,,4,"",4,"",,1,"",1,,2,"",2,,1,"",,1,0,0,0,0,0,0,,,"","Mugisha kwiringira",,"82fa155d-5b61-4c08-81ff-c908d23e61cf","2018-12-03T08:10:41",,1,9,"09_1055","2018-11-28",901,1,3,,2,,2,,"uuid:82fa155d-5b61-4c08-81ff-c908d23e61cf",,
,1056,"2018-11-28T11:32:00.000+03","0.288385 32.553845 1172.3 2.0",0.288385,32.553845,1172.3,2,1,2,0,4,1,,4,"",4,"",,4,,4,,,4,,4,,,,,,1,,,,,,,,2,,2,,,4,"",4,"",2,"",,2,,2,,,4,"",4,"",,1,"",1,,2,"",2,,1,"",,1,1,0,0,0,0,0,,,"","Mugisha kwiringira",,"1928db36-5089-48cd-bae4-22c97189d94e","2018-12-03T08:10:55",,1,9,"09_1056","2018-11-28",901,1,1,,1,,2,,"uuid:1928db36-5089-48cd-bae4-22c97189d94e",,
,1057,"2018-11-28T11:37:00.000+03","0.288395 32.553845 1174.6 1.3",0.288395,32.553845,1174.6,1.3,1,2,0,6,1,,4,"",4,"",,4,,4,,,3,,3,,,,,,1,,,,,,,,1,,2,,,4,"",4,"",3,"",,4,,4,,,4,"",4,"",,1,"",1,,2,"",2,,1,"",,1,0,0,0,0,0,0,,,"","Mugisha kwiringira",,"6ab7ff03-adac-4ab2-a0ac-38384ffe56d4","2018-12-03T08:11:02",,1,9,"09_1057","2018-11-28",901,1,1,,1,,2,,"uuid:6ab7ff03-adac-4ab2-a0ac-38384ffe56d4",,
,1058,"2018-11-28T11:46:00.000+03","0.288375 32.55376166666667 1173.9 2.0",0.288375,32.5537616666667,1173.9,2,1,2,0,7,1,,4,"",4,"",,4,,4,,,4,,4,,,,,,1,,,,,,,,1,,2,,,4,"",4,"",2,"",,2,,2,,,4,"",4,"",,1,"",1,,2,"",2,,1,"",,1,1,0,0,0,0,0,,,"","Mugisha kwiringira",,"17dbc544-2141-48e7-8048-e1b526109be1","2018-12-03T08:11:05",,1,9,"09_1058","2018-11-28",901,1,1,,1,,2,,"uuid:17dbc544-2141-48e7-8048-e1b526109be1",,
,1059,"2018-11-28T12:00:00.000+03","0.2886566666666667 32.553871666666666 1180.0 2.0",0.288656666666667,32.5538716666667,1180,2,1,2,0,6,1,,4,"",5,"",,4,,4,,,4,,4,,,,,,1,,,,,,,,1,,2,,,4,"",4,"",1,"",,2,,2,,,4,"",4,"",,1,"",1,,2,"",2,,1,"",,1,1,0,0,0,0,0,,,"","Mugisha kwiringira",,"5ef553e9-0907-462d-ac69-bcd1f44da131","2018-12-03T08:11:08",,1,9,"09_1059","2018-11-28",901,1,1,,1,,2,,"uuid:5ef553e9-0907-462d-ac69-bcd1f44da131",,
,1063,"2018-11-14T11:07:00.000+01","0.35365833333333335 32.56213 1173.1 5.0",0.353658333333333,32.56213,1173.1,5,3,2,1,5,1,,6,"The wetlands dry up immediately. No permanent ponds or swamp. May be the drainage.",6,"Same as above",,4,,4,,,3,,3,,,,,,1,,,,,,,,1,,1,,,2,"",2,"",1,"",,3,,3,,,1,"",1,"",,2,"",,,,"",,,,"",,0,1,0,0,0,0,0,,,"Latrines are enough. Those who prepare food near open drain should be stopped","Winnie",,"fe8b219a-6b78-4119-8e47-5f8d15e9d54a","2018-11-14T12:49:15",,1,9,"09_1063","2018-11-14",903,1,1,,1,,2,,"uuid:fe8b219a-6b78-4119-8e47-5f8d15e9d54a",,
,1080,"2018-11-15T10:46:00.000+03","0.355945 32.56191666666667 1139.5 5.0",0.355945,32.5619166666667,1139.5,5,3,2,1,7,1,,4,"",4,"",,1,,1,,,3,,3,,,,,,1,,,,,,,,1,,2,,,1,"",1,"",1,"",,3,,5,,,1,"",1,"",,2,"",,,,"",,,,"",,1,1,0,0,0,0,0,,,"","Mugisha kwiringira",,"49694422-cdc4-46df-af24-18bca802dfb9","2018-11-16T08:00:38",,1,9,"09_1080","2018-11-15",903,1,1,,1,,2,,"uuid:49694422-cdc4-46df-af24-18bca802dfb9",,
