col_neighborhood,col_sample_type,col_id,col_id_val,col_start,action,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_weather,col_rainyest,col_rainweek,col_rainmon,col_pa_prox,col_pa_type,col_pa_type_other,col_pa_latrine_distance,col_bw_type,col_bw_type_other,col_bw_container,col_bw_container_lid,col_bw_cl_id,col_bw_cl_free,col_bw_cl_total,col_f_latrine_distance,col_p_type,col_p_type_other,col_p_num,col_dw_type,col_dw_type_other,col_dw_container,col_dw_container_lid,col_dw_id,col_dw_cl_free,col_dw_cl_total,col_l_toilet_type,col_l_toilet_type_other,col_l_toilet_stalls,col_l_toilet_feces,col_l_toilet_users,col_l_toilet_gender,col_l_toilet_hw,col_s_type,col_s_type_other,col_d_water_level,col_d_water_flow,col_d_size,col_d_lining,col_d_lining_oth,col_d_feces,col_d_animals,col_d_schools,col_d_urban_ag,col_d_public_latrines,col_d_hh_latrines,col_d_shops,col_d_hh,col_d_hh_num,col_sf_type,col_sf_type_other,col_notes,col_enum,col_photo,meta/instanceID,_uuid,_submission_time,_tags,_notes
310,10,1221,1221,2019-01-07T12:14:00.000+03,,0.34506833333333337 32.587671666666665 1187.5 4.9,0.345068333,32.58767167,1187.5,4.9,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,Masaba Chris,1,uuid:ba118330-e723-4c4e-ad2c-e54028fa18ba,ba118330-e723-4c4e-ad2c-e54028fa18ba,2019-01-08T04:35:47,,
310,10,1222,1222,2019-01-07T11:36:00.000+03,,0.34432500000000005 32.58668333333333 1177.7 5.0,0.344325,32.58668333,1177.7,5,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,Masaba Chris,1,uuid:00747df2-7372-4ab2-9d6d-d8f88ddf5473,00747df2-7372-4ab2-9d6d-d8f88ddf5473,2019-01-08T04:35:34,,
310,10,1223,1223,2019-01-07T12:39:00.000+03,,0.34539000000000003 32.58753333333333 1191.3 4.6,0.34539,32.58753333,1191.3,4.6,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,Masaba Chris,1,uuid:f0340050-1107-415a-95ff-d5edc7cf4de1,f0340050-1107-415a-95ff-d5edc7cf4de1,2019-01-08T04:35:56,,
310,10,1224,1224,2019-01-07T12:47:00.000+03,,0.34564833333333334 32.58729 1192.2 4.6,0.345648333,32.58729,1192.2,4.6,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,Masaba Chris,1,uuid:2517ce55-9b17-460e-8e37-fbe32382b78d,2517ce55-9b17-460e-8e37-fbe32382b78d,2019-01-08T04:36:00,,
310,10,1225,1225,2019-01-07T12:42:00.000+03,,0.3454133333333333 32.587464999999995 1192.4 5.0,0.345413333,32.587465,1192.4,5,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Chapati with beans,n/a,Masaba Chris,1,uuid:75dd3af6-e33d-4212-9572-97a783eaec6f,75dd3af6-e33d-4212-9572-97a783eaec6f,2019-01-08T04:35:58,,
310,10,1226,1226,2019-01-07T12:58:00.000+03,,0.346165 32.58694166666667 1197.3 4.7,0.346165,32.58694167,1197.3,4.7,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Chapati with beans,n/a,Masaba Chris,1,uuid:06139af3-8412-41e2-b64f-4170c4349d04,06139af3-8412-41e2-b64f-4170c4349d04,2019-01-08T04:36:05,,
310,10,1227,1227,2019-01-07T12:50:00.000+03,,0.3456266666666667 32.587356666666665 1188.2 4.9,0.345626667,32.58735667,1188.2,4.9,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Chapati with beans,n/a,Masaba Chris,1,uuid:b20790a8-ea4d-46e0-a0aa-f28414081b44,b20790a8-ea4d-46e0-a0aa-f28414081b44,2019-01-08T04:36:02,,
310,10,1228,1228,2019-01-07T13:02:00.000+03,,0.34631666666666666 32.586848333333336 1194.1 5.0,0.346316667,32.58684833,1194.1,5,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,Masaba Chris,1,uuid:efee6ae3-22fb-41e3-846c-308eaae0ed02,efee6ae3-22fb-41e3-846c-308eaae0ed02,2019-01-08T04:36:07,,
310,10,1229,1229,2019-01-07T13:06:00.000+03,,0.3463116666666667 32.58669666666666 1194.0 4.8,0.346311667,32.58669667,1194,4.8,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,Masaba Chris,1,uuid:792bb8c3-4939-4551-9d15-fa9761cc071a,792bb8c3-4939-4551-9d15-fa9761cc071a,2019-01-08T04:36:09,,
310,10,1230,1230,2019-01-07T11:26:00.000+03,,0.3443583333333333 32.58665666666666 1180.5 4.3,0.344358333,32.58665667,1180.5,4.3,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Chapati & beans,n/a,Masaba Chris,1,uuid:7cded892-08c4-4de7-b868-de16bb822c8a,7cded892-08c4-4de7-b868-de16bb822c8a,2019-01-08T04:35:33,,
309,10,1231,1231,2019-01-08T11:36:00.000+03,,0.30054166666666665 32.62226166666667 1141.5 4.9,0.300541667,32.62226167,1141.5,4.9,2,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Chapati with beans,n/a,Masaba Chris,1,uuid:5c1275cd-5d14-4a8b-9514-3520a13b52cd,5c1275cd-5d14-4a8b-9514-3520a13b52cd,2019-01-17T13:36:08,,
