"col_start_dt","subscriberid","simserial","deviceid","col_end_dt","col_neighborhood","col_sample_type","col_id","col_id_val","col_start","col_location","X_col_location_latitude","X_col_location_longitude","X_col_location_altitude","X_col_location_precision","col_weather","col_rainyest","col_rainweek","col_rainmon","col_pa_group","col_pa_prox","col_pa_type","col_pa_type_other","col_pa_latrine_distance","col_bw_group","col_bw_type","col_bw_type_other","col_bw_container","col_bw_container_lid","col_bw_cl_id","col_bw_cl_free","col_bw_cl_total","col_f_group","col_f_latrine_distance","col_p_group","col_p_type","col_p_type_other","col_p_num_note","col_p_num","col_dw_group","col_dw_type","col_dw_type_other","col_dw_container","col_dw_container_lid","col_dw_id","col_dw_cl_free","col_dw_cl_total","col_l_group","col_l_toilet_type","col_l_toilet_type_other","col_l_toilet_stalls","col_l_toilet_feces","col_l_toilet_users","col_l_toilet_hw","col_s_group","col_s_type","col_s_type_other","col_d_group","col_d_water_level","col_d_water_flow","col_d_size","col_d_lining","col_d_lining_oth","col_d_prompt","col_d_feces","col_d_animals","col_d_schools","col_d_urban_ag","col_d_public_latrines","col_d_hh_latrines","col_d_shops","col_d_hh","col_d_hh_num","col_sf_type","col_sf_type_other","col_o_type","col_o_type_other","col_close","col_notes","col_enum","col_photo","X__version__","X_id","X_uuid","X_submission_time","X_index","col_extra_data","dply_num","col_UID","col_date","col_sample_type_alt","neighb_UID","city","citylabel"
"2018-11-16T11:30:00.000+03",,,,"",3,3,1001,1001,"","",,,,,1,1,,,,,,"",,,,"",,,,,,,,,,"",,,,3,"",0,,205,0,0,,,"",,,,,,,"",,,,,,"",,,,,,,,,,,,"",,,,"","Constance",1,,,"0e1db269-5014-4144-b962-51a960c47da5","2019-01-14T14:17:57",,1,9,"09_03_1001","2018-11-16","Drinking Water",903,"Kampala","Kampala 18"
"2018-11-16T12:14:00.000+03",,,,"",3,3,1003,1003,"","0.36046333333333336 32.56023166666667 1161.7 4.9",0.360463333,32.56023167,1161.7,4.9,1,1,,,,,,"",,,,"",,,,,,,,,,"",,,,3,"",0,,210,0,0,,,"",,,,,,,"",,,,,,"",,,,,,,,,,,,"",,,,"","Constance",1,,,"94bf2d4e-2b8a-4916-a5e2-78bafe48f9da","2018-11-26T17:45:34",,1,9,"09_03_1003","2018-11-16","Drinking Water",903,"Kampala","Kampala 18"
"2018-11-16T12:53:00.000+03",,,,"",3,3,1004,1004,"","0.3568216666666667 32.56162500000001 1173.3 5.0",0.356821667,32.561625,1173.3,5,2,1,,,,,,"",,,,"",,,,,,,,,,"",,,,3,"",0,,0,0,0,,,"",,,,,,,"",,,,,,"",,,,,,,,,,,,"",,,,"","Constance",1,,,"b5e90813-a16b-45bf-abf7-db0572db6615","2018-11-26T17:45:48",,1,9,"09_03_1004","2018-11-16","Drinking Water",903,"Kampala","Kampala 18"
"2018-11-16T13:22:00.000+03",,,,"",3,3,1005,1005,"","0.3548883333333333 32.56205 1182.8 5.0",0.354888333,32.56205,1182.8,5,1,1,,,,,,"",,,,"",,,,,,,,,,"",,,,3,"",0,,0,0,0,,,"",,,,,,,"",,,,,,"",,,,,,,,,,,,"",,,,"","Constance",1,,,"b8978c9d-a6bc-4562-bd25-fb0c5327dd32","2019-01-14T14:18:08",,1,9,"09_03_1005","2018-11-16","Drinking Water",903,"Kampala","Kampala 18"
"2018-11-16T13:23:00.000+03",,,,"",3,3,1006,1006,"","0.35489 32.561906666666665 1182.7 5.0",0.35489,32.56190667,1182.7,5,1,1,,,,,,"",,,,"",,,,,,,,,,"",,,,3,"",0,,0,0,0,,,"",,,,,,,"",,,,,,"",,,,,,,,,,,,"",,,,""," Constance",1,,,"f4679974-d77a-49ab-86ea-46434bc1e559","2019-01-14T14:18:10",,1,9,"09_03_1006","2018-11-16","Drinking Water",903,"Kampala","Kampala 18"
"2018-11-16T13:31:00.000+03",,,,"",3,3,1007,1007,"","0.354185 32.56224833333333 1195.1 5.0",0.354185,32.56224833,1195.1,5,1,1,,,,,,"",,,,"",,,,,,,,,,"",,,,3,"",0,,0,0,0,,,"",,,,,,,"",,,,,,"",,,,,,,,,,,,"",,,,"","Constance",1,,,"49b3018c-e5dc-44f5-ac5c-cc86c98f7588","2019-01-14T14:18:12",,1,9,"09_03_1007","2018-11-16","Drinking Water",903,"Kampala","Kampala 18"
"2018-11-16T13:33:00.000+03",,,,"",3,3,1008,1008,"","0.35422 32.562235 1195.0 4.8",0.35422,32.562235,1195,4.8,1,1,,,,,,"",,,,"",,,,,,,,,,"",,,,4,"",0,,0,0,0,,,"",,,,,,,"",,,,,,"",,,,,,,,,,,,"",,,,"","Constance",1,,,"f4832b6c-7c7e-4cec-970d-b220dca17a07","2019-01-14T14:18:14",,1,9,"09_03_1008","2018-11-16","Drinking Water",903,"Kampala","Kampala 18"
"2019-02-12T15:05:00.000+03",,,,"",3,3,1009,1009,"","0.35420666666666667 32.56223166666667 1167.8 4.8",0.354206667,32.56223167,1167.8,4.8,1,0,0,1,,,,"",,,,"",,,,,,,,,,"",,,,4,"",0,,,,,,,"",,,,,,,"",,,,,,"",,,,,,,,,,,,"",,,,"","Masaba Chris",1,,,"987ab414-2f27-4034-948e-26f0023f1397","2019-02-13T09:46:26",,1,9,"09_03_1009","2019-02-12","Drinking Water",903,"Kampala","Kampala 18"
"2019-02-12T15:11:00.000+03",,,,"",3,3,1010,1010,"","0.3538183333333333 32.562356666666666 1168.0 4.8",0.353818333,32.56235667,1168,4.8,1,0,0,1,,,,"",,,,"",,,,,,,,,,"",,,,4,"",0,,,,,,,"",,,,,,,"",,,,,,"",,,,,,,,,,,,"",,,,"","Masaba Chris",1,,,"7fadf339-23d2-4348-919b-b6330b5a6e01","2019-02-13T09:46:31",,1,9,"09_03_1010","2019-02-12","Drinking Water",903,"Kampala","Kampala 18"
"2018-11-22T11:47:00.000+03",,,,"",5,3,1011,1011,"","0.33393833333333334 32.628238333333336 1166.2 5.0",0.333938333,32.62823833,1166.2,5,1,0,1,,,,,"",,,,"",,,,,,,,,,"",,,,4,"",0,,,0.1,0.1,,,"",,,,,,,"",,,,,,"",,,,,,,,,,,,"",,,,"","Constance",1,,,"42624ef0-659d-45ce-8d6e-ab4600a81351","2018-11-26T17:47:37",,1,9,"09_03_1011","2018-11-22","Drinking Water",905,"Kampala","Kampala 18"
