"UID","dply_num","lab_date","sample_type","col_sample_type_alt","sampleid","mf","neighborhood","neighb_UID","lab_1_ecoli","lab_2_ecoli","lab_3_ecoli","ec_dil1","ec_dil2","ec_dil3","ec_ecnt1","ec_ecnt2","ec_ecnt3","count1","count2","dil1","dil2","ec_conc","sample_type_name","sample_type_var","country","city","citylabel"
"12_01_4035",12,"2019-12-06",1,"",4035,TRUE,4,1204,0,0,,1,0.1,,0,0,,0,0,1,0.1,50,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4036",12,"2019-12-10",1,"",4036,TRUE,4,1204,999,999,,1,0.1,,999,999,,999,999,1,0.1,2e+05,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4037",12,"2019-12-10",1,"",4037,TRUE,4,1204,999,0,,1,0.1,,999,0,,999,0,1,0.1,,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4038",12,"2019-12-10",1,"",4038,TRUE,4,1204,999,0,,1,0.1,,999,0,,999,0,1,0.1,,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4039",12,"2019-12-10",1,"",4039,TRUE,4,1204,999,0,,1,0.1,,999,0,,999,0,1,0.1,,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4040",12,"2019-12-10",1,"",4040,TRUE,4,1204,200,999,,1,0.1,,200,999,,200,999,1,0.1,,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4041",12,"2019-12-13",1,"",4041,TRUE,5,1205,999,999,,1,0.1,,999,999,,999,999,1,0.1,2e+05,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4042",12,"2019-12-13",1,"",4042,TRUE,5,1205,999,999,,1,0.1,,999,999,,999,999,1,0.1,2e+05,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4043",12,"2019-12-13",1,"",4043,TRUE,5,1205,999,999,,1,0.1,,999,999,,999,999,1,0.1,2e+05,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4044",12,"2019-12-13",1,"",4044,TRUE,5,1205,999,999,,1,0.1,,999,999,,999,999,1,0.1,2e+05,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4045",12,"2019-12-18",1,"",4045,TRUE,5,1205,999,999,,1,0.1,,999,999,,999,999,1,0.1,2e+05,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4046",12,"2020-01-10",1,"",4046,TRUE,5,1205,999,999,,1,0.1,,999,999,,999,999,1,0.1,2e+05,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4047",12,"2020-01-10",1,"",4047,TRUE,5,1205,999,56,,1,0.1,,999,56,,999,56,1,0.1,56000,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4048",12,"2020-01-10",1,"",4048,TRUE,5,1205,999,56,,1,0.1,,999,56,,999,56,1,0.1,56000,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4049",12,"2020-01-10",1,"",4049,TRUE,5,1205,999,999,,1,0.1,,999,999,,999,999,1,0.1,2e+05,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4050",12,"2020-01-10",1,"",4050,TRUE,5,1205,999,999,,1,0.1,,999,999,,999,999,1,0.1,2e+05,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_10_2001",12,"2019-11-14",10,"",2001,TRUE,1,1201,0,0,,1,0.1,,0,0,,0,0,1,0.1,506,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2002",12,"2019-11-14",10,"",2002,TRUE,1,1201,0,0,,1,0.1,,0,0,,0,0,1,0.1,679,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2003",12,"2019-11-14",10,"",2003,TRUE,1,1201,0,0,,1,0.1,,0,0,,0,0,1,0.1,468,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2004",12,"2019-11-14",10,"",2004,TRUE,1,1201,0,0,,1,0.1,,0,0,,0,0,1,0.1,490.5,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2005",12,"2019-11-14",10,"",2005,TRUE,1,1201,999,0,,1,0.1,,999,0,,999,0,1,0.1,,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2006",12,"2019-11-19",10,"",2006,TRUE,1,1201,0,0,,0.1,0.01,,0,0,,0,0,0.1,0.01,500,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2007",12,"2019-11-19",10,"",2007,TRUE,1,1201,0,0,,0.1,0.01,,0,0,,0,0,0.1,0.01,500,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2008",12,"2019-11-19",10,"",2008,TRUE,1,1201,0,0,,0.1,0.01,,0,0,,0,0,0.1,0.01,500,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2009",12,"2019-11-19",10,"",2009,TRUE,1,1201,1,0,,0.1,0.01,,1,0,,1,0,0.1,0.01,1000,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2010",12,"2019-11-19",10,"",2010,TRUE,1,1201,0,0,,0.1,0.01,,0,0,,0,0,0.1,0.01,500,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2011",12,"2019-11-22",10,"",2011,TRUE,2,1202,0,0,,1,0.1,,0,0,,0,0,1,0.1,629,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2012",12,"2019-11-22",10,"",2012,TRUE,2,1202,0,0,,1,0.1,,0,0,,0,0,1,0.1,468,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2013",12,"2019-11-22",10,"",2013,TRUE,2,1202,0,0,,1,1,,0,0,,0,0,1,1,506,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2014",12,"2019-11-22",10,"",2014,TRUE,2,1202,0,0,,1,0.01,,0,0,,0,0,1,0.01,679,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2015",12,"2019-11-22",10,"",2015,TRUE,2,1202,0,0,,1,0.1,,0,0,,0,0,1,0.1,490.5,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2016",12,"2019-11-26",10,"",2016,TRUE,2,1202,0,0,,1,0.1,,0,0,,0,0,1,0.1,468,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2017",12,"2019-11-26",10,"",2017,TRUE,2,1202,0,0,,1,0.1,,0,0,,0,0,1,0.1,490.5,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2018",12,"2019-11-26",10,"",2018,TRUE,2,1202,0,0,,1,0.1,,0,0,,0,0,1,0.1,629,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2019",12,"2019-11-26",10,"",2019,TRUE,2,1202,0,0,,1,0.1,,0,0,,0,0,1,0.1,506,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2020",12,"2019-11-26",10,"",2020,TRUE,2,1202,0,0,,1,0.1,,0,0,,0,0,1,0.1,679,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2021",12,"2019-11-29",10,"",2021,TRUE,3,1203,0,0,,1,0.1,,0,0,,0,0,1,0.1,629,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2022",12,"2019-11-29",10,"",2022,TRUE,3,1203,0,0,,1,0.1,,0,0,,0,0,1,0.1,468,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2023",12,"2019-11-29",10,"",2023,TRUE,3,1203,0,0,,1,0.1,,0,0,,0,0,1,0.1,490.5,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2024",12,"2019-11-29",10,"",2024,TRUE,3,1203,0,0,,1,0.1,,0,0,,0,0,1,0.1,506,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2025",12,"2019-11-29",10,"",2025,TRUE,3,1203,0,0,,1,0.1,,0,0,,0,0,1,0.1,679,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2026",12,"2019-12-03",10,"",2026,TRUE,3,1203,0,0,,1,0.1,,0,0,,0,0,1,0.1,679,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2027",12,"2019-12-03",10,"",2027,TRUE,3,1203,0,0,,1,0.1,,0,0,,0,0,1,0.1,468,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2028",12,"2019-12-03",10,"",2028,TRUE,3,1203,0,0,,1,0.1,,0,0,,0,0,1,0.1,490.5,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2029",12,"2019-12-03",10,"",2029,TRUE,3,1203,0,0,0,1,1,0.1,0,0,0,0,0,1,1,506,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2030",12,"2019-12-03",10,"",2030,TRUE,3,1203,0,0,,1,0.1,,0,0,,0,0,1,0.1,625,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2031",12,"2019-12-06",10,"",2031,TRUE,4,1204,0,0,,1,0.1,,0,0,,0,0,1,0.1,629,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2032",12,"2019-12-06",10,"",2032,TRUE,4,1204,0,0,,1,0.1,,0,0,,0,0,1,0.1,506,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2033",12,"2019-12-06",10,"",2033,TRUE,4,1204,0,0,,1,0.1,,0,0,,0,0,1,0.1,468,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2034",12,"2019-12-06",10,"",2034,TRUE,4,1204,0,0,,1,0.1,,0,0,,0,0,1,0.1,679,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2035",12,"2019-12-06",10,"",2035,TRUE,4,1204,1,0,,1,0.1,,1,0,,1,0,1,0.1,981,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2036",12,"2019-12-10",10,"",2036,TRUE,4,1204,0,0,,1,0.1,,0,0,,0,0,1,0.1,490.5,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2037",12,"2019-12-10",10,"",2037,TRUE,4,1204,0,0,,1,0.1,,0,0,,0,0,1,0.1,629,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2038",12,"2019-12-10",10,"",2038,TRUE,4,1204,0,0,,1,0.1,,0,0,,0,0,1,0.1,468,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2039",12,"2019-12-10",10,"",2039,TRUE,4,1204,4,0,,1,0.1,,4,0,,4,0,1,0.1,4048,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2040",12,"2019-12-10",10,"",2040,TRUE,4,1204,0,0,,1,0.1,,0,0,,0,0,1,0.1,679,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2041",12,"2019-12-13",10,"",2041,TRUE,5,1205,0,0,,1,0.1,,0,0,,0,0,1,0.1,490.5,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2042",12,"2019-12-13",10,"",2042,TRUE,5,1205,0,0,,1,0.1,,0,0,,0,0,1,0.1,629,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2043",12,"2019-12-13",10,"",2043,TRUE,5,1205,0,0,,1,0.1,,0,0,,0,0,1,0.1,506,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2044",12,"2019-12-13",10,"",2044,TRUE,5,1205,0,0,,1,0.1,,0,0,,0,0,1,0.1,468,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2045",12,"2019-12-13",10,"",2045,TRUE,5,1205,0,0,,1,0.1,,0,0,,0,0,1,0.1,679,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2046",12,"2019-12-24",10,"",2046,TRUE,5,1205,0,0,,1,0.1,,0,0,,0,0,1,0.1,490.5,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2047",12,"2019-12-24",10,"",2047,TRUE,5,1205,0,0,,1,0.1,,0,0,,0,0,1,0.1,629,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2048",12,"2019-12-24",10,"",2048,TRUE,5,1205,5,0,,1,0.1,,5,0,,5,0,1,0.1,6790,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2049",12,"2019-12-24",10,"",2049,TRUE,5,1205,0,0,,1,0.1,,0,0,,0,0,1,0.1,468,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_10_2050",12,"2019-12-24",10,"",2050,TRUE,5,1205,0,0,,1,0.1,,0,0,,0,0,1,0.1,506,"Street Food","sf","Senegal","Dakar","Dakar 19"
"12_02_1001",12,"2019-12-20",2,"",1001,TRUE,1,1201,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1002",12,"2019-12-20",2,"",1002,TRUE,1,1201,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1003",12,"2019-12-20",2,"",1003,TRUE,1,1201,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1004",12,"2019-12-20",2,"",1004,TRUE,1,1201,999,41,,1,0.1,,999,41,,999,41,1,0.1,205000,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1005",12,"2019-12-20",2,"",1005,TRUE,1,1201,73,12,,1,0.1,,73,12,,73,12,1,0.1,48250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1006",12,"2019-12-20",2,"",1006,TRUE,1,1201,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1007",12,"2019-12-20",2,"",1007,TRUE,1,1201,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1008",12,"2019-12-20",2,"",1008,TRUE,1,1201,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1009",12,"2019-12-20",2,"",1009,TRUE,1,1201,28,5,,1,0.1,,28,5,,28,5,1,0.1,14000,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1010",12,"2019-12-20",2,"",1010,TRUE,1,1201,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1011",12,"2019-12-24",2,"",1011,TRUE,2,1202,999,999,,1,0.1,,999,999,,999,999,1,0.1,1e+06,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1012",12,"2019-12-24",2,"",1012,TRUE,2,1202,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1013",12,"2019-12-24",2,"",1013,TRUE,2,1202,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1014",12,"2019-12-24",2,"",1014,TRUE,2,1202,999,50,,1,0.1,,999,50,,999,50,1,0.1,250000,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1015",12,"2019-12-24",2,"",1015,TRUE,2,1202,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1016",12,"2019-12-24",2,"",1016,TRUE,2,1202,2,0,,1,0.1,,2,0,,2,0,1,0.1,1000,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1017",12,"2019-12-24",2,"",1017,TRUE,2,1202,8,1,,1,0.1,,8,1,,8,1,1,0.1,4500,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1018",12,"2019-12-24",2,"",1018,TRUE,2,1202,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1019",12,"2019-12-24",2,"",1019,TRUE,2,1202,46,10,,1,0.1,,46,10,,46,10,1,0.1,36500,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1020",12,"2019-12-24",2,"",1020,TRUE,2,1202,84,13,,1,0.1,,84,13,,84,13,1,0.1,53500,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1021",12,"2019-11-26",2,"",1021,TRUE,3,1203,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1022",12,"2019-11-26",2,"",1022,TRUE,3,1203,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1023",12,"2019-11-26",2,"",1023,TRUE,3,1203,17,1,,1,0.1,,17,1,,17,1,1,0.1,8500,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1024",12,"2019-11-26",2,"",1024,TRUE,3,1203,1,0,,1,0.1,,1,0,,1,0,1,0.1,500,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1025",12,"2019-11-26",2,"",1025,TRUE,3,1203,24,0,,1,0.1,,24,0,,24,0,1,0.1,12000,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1026",12,"2019-12-26",2,"",1026,TRUE,3,1203,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1027",12,"2019-12-26",2,"",1027,TRUE,3,1203,25,1,,1,0.1,,25,1,,25,1,1,0.1,12500,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1028",12,"2019-12-26",2,"",1028,TRUE,3,1203,1,0,,1,0.1,,1,0,,1,0,1,0.1,500,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1029",12,"2019-12-26",2,"",1029,TRUE,3,1203,1,0,,1,0.1,,1,0,,1,0,1,0.1,500,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1030",12,"2019-12-26",2,"",1030,TRUE,3,1203,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1031",12,"2019-12-06",2,"",1031,TRUE,4,1204,999,121,,1,0.1,,999,121,,999,121,1,0.1,605000,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1032",12,"2019-12-06",2,"",1032,TRUE,4,1204,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1033",12,"2019-12-06",2,"",1033,TRUE,4,1204,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1034",12,"2019-12-06",2,"",1034,TRUE,4,1204,999,133,,1,0.1,,999,133,,999,133,1,0.1,665000,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1035",12,"2019-12-06",2,"",1035,TRUE,4,1204,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1036",12,"2019-12-10",2,"",1036,TRUE,4,1204,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1037",12,"2019-12-10",2,"",1037,TRUE,4,1204,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1038",12,"2019-12-10",2,"",1038,TRUE,4,1204,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1039",12,"2019-12-10",2,"",1039,TRUE,4,1204,28,2,,1,0.1,,28,2,,28,2,1,0.1,14000,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1040",12,"2019-12-10",2,"",1040,TRUE,4,1204,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1041",12,"2019-12-13",2,"",1041,TRUE,5,1205,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1042",12,"2019-12-13",2,"",1042,TRUE,5,1205,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1043",12,"2019-12-13",2,"",1043,TRUE,5,1205,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1044",12,"2019-12-13",2,"",1044,TRUE,5,1205,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1045",12,"2019-12-13",2,"",1045,TRUE,5,1205,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
"12_02_1046",12,"2019-12-17",2,"",1046,TRUE,5,1205,0,0,,1,0.1,,0,0,,0,0,1,0.1,250,"Raw Produce","p","Senegal","Dakar","Dakar 19"
