sample_type,sampleid,col_start_dt,ec_conc,dil1,dil2,dil3,r1,r2,r3,check1,check2,check3,any_diff
143,FPC1005,2019-11-15,400,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB1022,2019-11-20,4000,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB1021,2019-11-20,1200,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB1020,2019-11-20,800,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
151,COA1007,2019-11-20,400,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
141,FPA1006,2019-11-27,200,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
143,FPC1006,2019-11-27,200,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB2003,2020-01-15,200,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
151,COA2001,2020-01-15,2400,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB2001,2020-01-15,200,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB2002,2020-01-15,200,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB2006,2020-01-15,19200,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB2004,2020-01-15,6400,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB2005,2020-01-15,15600,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
151,COA2002,2020-01-15,31200,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
141,FPA2001,2020-01-22,2800,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
143,FPC2001,2020-01-22,400,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB2009,2020-02-05,400,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB2007,2020-02-05,200,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB2008,2020-02-05,200,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
151,COA2003,2020-02-05,3600,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB2010,2020-02-05,2400,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB2012,2020-02-05,200,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB2011,2020-02-05,2000,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
151,COA2004,2020-02-05,11200,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB2014,2020-02-06,400,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB2013,2020-02-06,800,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB2015,2020-02-06,200,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
151,COA2005,2020-02-06,4000,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
151,COA2006,2020-02-06,200,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB2018,2020-02-06,200,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB2017,2020-02-06,200,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
152,COB2016,2020-02-06,400,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
141,FPA2002,2020-02-13,4000,0.1,0.01,NA,1,0.1,0.01,Bad,Bad,NA,Bad
143,FPC2002,2020-02-13,2000,0.1,0.01,NA,1,0.1,0.01,Bad,Bad,NA,Bad
141,FPA2003,2020-02-13,400,0.1,0.01,NA,1,0.1,0.01,Bad,Bad,NA,Bad
143,FPC2003,2020-02-13,3000,0.1,0.01,NA,1,0.1,0.01,Bad,Bad,NA,Bad
152,COB2019,2020-02-13,200,0.1,0.01,NA,1,0.1,0.01,Bad,Bad,NA,Bad
151,COA2007,2020-02-13,12800,0.1,0.01,NA,1,0.1,0.01,Bad,Bad,NA,Bad
141,FPA2004,2020-02-20,16000,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
143,FPC2004,2020-02-20,2800,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
141,FPA2005,2020-02-27,3600,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
143,FPC2005,2020-02-27,28000,0.1,0.01,0.001,1,0.1,0.01,Bad,Bad,Bad,Bad
