col_neighborhood,col_sample_type,col_id,col_id_val,col_start,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_weather,col_rainyest,col_rainweek,col_rainmon,col_pa_prox,col_pa_type,col_pa_type_other,col_pa_latrine_distance,col_bw_type,col_bw_type_other,col_bw_container,col_bw_container_lid,col_bw_cl_id,col_bw_cl_free,col_bw_cl_total,col_f_type,col_f_latrine_distance,col_p_type,col_p_type_other,col_p_num,col_p_wash,col_dw_type,col_dw_type_other,col_dw_container,col_dw_container_lid,col_dw_id,col_dw_cl_free,col_dw_cl_total,col_odw_type,col_odw_container,col_odw_container_lid,col_odw_id,col_odw_cl_free,col_odw_cl_total,col_l_toilet_type,col_l_toilet_type_other,col_l_toilet_pubshare,col_l_toilet_stalls,col_l_toilet_feces,col_l_toilet_users,col_l_toilet_hhs,col_l_toilet_hw,col_d_water_level,col_d_water_flow,col_d_size,col_d_lining,col_d_lining_oth,col_d_feces,col_d_animals,col_d_schools,col_d_urban_ag,col_d_public_latrines,col_d_hh_latrines,col_d_shops,col_d_hh,col_d_hh_num,col_sf_type,col_sf_type_other,col_notes,col_enum,col_photo,meta/instanceID,_uuid,_submission_time,_tags,_notes
1,2,1054,1054,2018-03-22T09:06:00.000+02,-15.431738545886063 28.248143644828573 1278.757580620023 3.0,-15.43173855,28.24814364,1278.757581,3,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,2,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Kawide n Mpundu ,1,uuid:dbee66b5-71d0-4470-885d-3188dd5da10a,dbee66b5-71d0-4470-885d-3188dd5da10a,2018-03-22T15:00:38,,
1,1,1060,1060,2018-03-22T08:20:00.000+02,-15.429947879178805 28.239906871386523 1283.0259994945818 4.0,-15.42994788,28.23990687,1283.025999,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,1,2,2,n/a,0,0,0,1,0,1,1,1,1,n/a,n/a,People fetch water from the drains ,Wendy Kafumukache,1,uuid:62917969-d78e-4fbb-abb6-46b61f6d21d7,62917969-d78e-4fbb-abb6-46b61f6d21d7,2018-03-22T15:04:25,,
1,8,1059,1059,2018-03-22T08:37:00.000+02,-15.430475437852849 28.239725357068014 1283.1067878156036 4.0,-15.43047544,28.23972536,1283.106788,4,1,0,1,n/a,2,3,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Wendy and fermy,1,uuid:00938fb1-9d67-4969-96cc-18c51999e3de,00938fb1-9d67-4969-96cc-18c51999e3de,2018-03-22T15:04:26,,
1,6,1064,1064,2018-03-22T09:10:00.000+02,-15.429939842355939 28.238275815410915 1289.78664311128 4.0,-15.42993984,28.23827582,1289.786643,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Fermy and Wendy,1,uuid:dba7a5e5-eacf-4b43-b9ec-41ff6dc6bb3f,dba7a5e5-eacf-4b43-b9ec-41ff6dc6bb3f,2018-03-22T15:04:27,,
1,10,1061,1061,2018-03-22T08:23:00.000+06,-15.430279349588458 28.239689191489664 1267.4604669684802 4.0,-15.43027935,28.23968919,1267.460467,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,Chickens were not so near,Nancy,1,uuid:6b551233-769b-4f37-987b-afe600ed31f6,6b551233-769b-4f37-987b-afe600ed31f6,2018-03-22T15:05:51,,
1,2,1062,1062,2018-03-22T08:39:00.000+06,-15.429901843716923 28.23982713756768 1269.923419672443 4.0,-15.42990184,28.23982714,1269.92342,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Nancy ,1,uuid:77ec0c85-60bb-447c-97f6-e5775b92f2db,77ec0c85-60bb-447c-97f6-e5775b92f2db,2018-03-22T15:05:52,,
1,7,1067,1067,2018-03-22T08:48:00.000+06,-15.430090915254896 28.239485901015968 1269.0566883580468 4.0,-15.43009092,28.2394859,1269.056688,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a,2,2,2,30,15,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Throw Garbage near toilets,Nancy,1,uuid:61864165-2c89-43eb-aac6-b19df90fa638,61864165-2c89-43eb-aac6-b19df90fa638,2018-03-22T15:05:53,,
1,11,1065,1065,2018-03-22T09:06:00.000+06,-15.429992636049757 28.237825304858553 1272.7934775749507 4.0,-15.42999264,28.2378253,1272.793478,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,0,n/a,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,They said water had chlorine,Nancy,1,uuid:c349e75c-1295-47f0-8284-f024d264f2d1,c349e75c-1295-47f0-8284-f024d264f2d1,2018-03-22T15:05:53,,
1,7,1068,1068,2018-03-22T08:25:00.000+02,-15.43068234375388 28.23979412066569 1285.9499814421952 4.0,-15.43068234,28.23979412,1285.949981,4,1,0,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,1,3,2,35,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Fermy n canaan,1,uuid:d200fdf6-b7ed-441e-be6f-e09479ebb39e,d200fdf6-b7ed-441e-be6f-e09479ebb39e,2018-03-22T15:28:46,,
1,6,1063,1063,2018-03-22T08:54:00.000+02,-15.430437845146656 28.239846478595105 1282.2075560732674 4.0,-15.43043785,28.23984648,1282.207556,4,1,0,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Wendy and fermy,1,uuid:0c170261-993b-44fc-a9fc-e4d4711204d8,0c170261-993b-44fc-a9fc-e4d4711204d8,2018-03-22T15:28:47,,
