h_id,h_start,h_coordinates,_h_coordinates_latitude,_h_coordinates_longitude,_h_coordinates_altitude,_h_coordinates_precision,h_neighborhood,h_home_type,h_rainweek,h_population,h_c,h_d_a,h_d_a_other,h_d_c,h_d_c_other,h_f_a,h_f_a_other,h_f_c,h_f_c_other,h_dw_a,h_dw_a_other,h_dw_c,h_dw_c_other,h_dwbore_a,h_dwbore_a_other,h_dwbore_c,h_dwbore_c_other,h_dwwell_a,h_dwwell_a_other,h_dwwell_c,h_dwwell_c_other,h_dw_e_wt,h_dw_e_wt_other,h_bw_a,h_bw_a_other,h_bw_c,h_bw_c_other,h_bw_source,h_bw_source_other,h_bw_source_na,h_p_a,h_p_a_other,h_p_c,h_p_c_other,h_p_e,h_p_e_other,h_sf_a,h_sf_a_other,h_sf_c,h_sf_c_other,h_l_a,h_l_a_other,h_l_c,h_l_c_other,h_ls_a,h_ls_a_other,h_ls_c,h_ls_c_other,h_pl_a_th,h_pl_a_th_other,h_pl_a_tu,h_pl_a_tu_other,h_pl_a_tw,h_pl_a_tw_other,h_pl_a_tf,h_pl_a_tf_other,h_pl_a_ts,h_pl_a_ts_other,h_notes,h_enum,meta/instanceID,_uuid,_submission_time,_tags,_notes
5S11,2018-03-23T10:57:00.000+02,-15.42262731 28.21792506 1221.0 18.0,-15.42262731,28.21792506,1221.0,18.0,1,2,1,7,1,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,2,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,3,n/a,4,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,The toilet is shared by three households,Canaan,uuid:110b58ac-bb95-4bfd-b7ed-2331e0973709,110b58ac-bb95-4bfd-b7ed-2331e0973709,2018-03-23T18:27:01,,
3S12,2018-03-23T10:51:00.000+02,-15.43163547 28.21657176 1280.0 5.0,-15.43163547,28.21657176,1280.0,5.0,1,1,0,4,1,4,n/a,4,n/a,1,n/a,1,n/a,3,n/a,3,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,3,n/a,n/a,3,n/a,3,n/a,1,n/a,4,n/a,4,n/a,3,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,2,n/a,3,n/a,n/a,Kawide,uuid:6f678779-db83-437e-a09c-99ce0554f132,6f678779-db83-437e-a09c-99ce0554f132,2018-03-23T18:35:58,,
4S12,2018-03-23T11:18:00.000+02,-15.43224538 28.21695234 1271.0 5.0,-15.43224538,28.21695234,1271.0,5.0,1,1,0,5,1,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,3,n/a,3,n/a,3,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,4,n/a,3,n/a,3,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,2,n/a,3,n/a,n/a,Kawide,uuid:16d105ec-c226-414b-ba40-966fd61792e3,16d105ec-c226-414b-ba40-966fd61792e3,2018-03-23T18:35:59,,
5S12,2018-03-23T11:31:00.000+02,-15.43198032 28.21800822 1274.0 5.0,-15.43198032,28.21800822,1274.0,5.0,1,2,0,7,1,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,4,n/a,3,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Kawide,uuid:0a44ea6d-ea51-4044-b5b7-ae7475ae4e3d,0a44ea6d-ea51-4044-b5b7-ae7475ae4e3d,2018-03-23T18:36:00,,
1S12,2018-03-23T10:49:00.000+02,-15.431460242104627 28.21591211719023 1263.249566592495 4.0,-15.431460242104627,28.21591211719023,1263.249566592495,4.0,1,1,0,7,1,3,n/a,3,n/a,3,n/a,3,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,4,n/a,4,n/a,2,n/a,2,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mpundu,uuid:de4f506f-5b4e-4a6a-9ce5-9369a7e3b670,de4f506f-5b4e-4a6a-9ce5-9369a7e3b670,2018-03-25T18:45:52,,
2S12,2018-03-23T11:08:00.000+02,-15.431861057614745 28.216491339833496 1285.3684361556934 4.0,-15.431861057614745,28.216491339833496,1285.3684361556934,4.0,1,2,0,5,1,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,4,n/a,4,n/a,2,n/a,2,n/a,5,n/a,1,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No drainages in the area,Mpundu,uuid:59f1afa1-feb5-48ff-bf20-1ecf9cd88cf3,59f1afa1-feb5-48ff-bf20-1ecf9cd88cf3,2018-03-25T18:45:54,,
1S15,2018-03-26T10:27:00.000+02,-15.44057774 28.22570487 1284.0 3.0,-15.44057774,28.22570487,1284.0,3.0,1,1,1,6,1,4,n/a,2,n/a,1,n/a,1,n/a,4,n/a,5,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,4,n/a,5,n/a,1,n/a,4,n/a,5,n/a,4,n/a,3,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,2,n/a,3,n/a,n/a,Canaan,uuid:2e3143aa-c862-4c49-b27b-1f3b29da3fa2,2e3143aa-c862-4c49-b27b-1f3b29da3fa2,2018-03-26T17:46:35,,
3S15,2018-03-26T10:44:00.000+02,-15.44016104 28.22659783 1278.0 9.0,-15.44016104,28.22659783,1278.0,9.0,1,1,1,8,1,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,3,n/a,n/a,3,n/a,3,n/a,1,n/a,4,n/a,4,n/a,4,n/a,3,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,2,n/a,3,n/a,n/a,Canaan,uuid:6848e16e-512c-4cd8-b401-48b55348db61,6848e16e-512c-4cd8-b401-48b55348db61,2018-03-26T17:46:36,,
5S15,2018-03-26T11:08:00.000+02,-15.43910789 28.22619356 1288.0 5.0,-15.43910789,28.22619356,1288.0,5.0,1,2,1,4,1,4,n/a,5,n/a,3,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,4,n/a,5,n/a,1,n/a,4,n/a,5,n/a,4,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,The latrine is shared by four households,Canaan,uuid:4dd1d87f-760a-495a-b5e3-4333243e8ab0,4dd1d87f-760a-495a-b5e3-4333243e8ab0,2018-03-26T17:46:37,,
1513,2018-03-26T09:57:00.000+02,-15.429104508803599 28.22429730368948 1279.0199571011922 4.0,-15.429104508803599,28.22429730368948,1279.0199571011922,4.0,1,2,1,4,1,4,n/a,3,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mpundu,uuid:b152fa35-25f6-4e89-9ee6-2e131fbda54c,b152fa35-25f6-4e89-9ee6-2e131fbda54c,2018-03-26T17:58:25,,
