h_id,h_start,h_coordinates,_h_coordinates_latitude,_h_coordinates_longitude,_h_coordinates_altitude,_h_coordinates_precision,h_neighborhood,h_home_type,h_rainweek,h_population,h_c,h_d_a,h_d_a_other,h_d_c,h_d_c_other,h_f_a,h_f_a_other,h_f_c,h_f_c_other,h_dw_a,h_dw_a_other,h_dw_c,h_dw_c_other,h_dwbore_a,h_dwbore_a_other,h_dwbore_c,h_dwbore_c_other,h_dwwell_a,h_dwwell_a_other,h_dwwell_c,h_dwwell_c_other,h_dw_e_wt,h_dw_e_wt_other,h_bw_a,h_bw_a_other,h_bw_c,h_bw_c_other,h_bw_source,h_bw_source_other,h_bw_source_na,h_p_a,h_p_a_other,h_p_c,h_p_c_other,h_p_e,h_p_e_other,h_sf_a,h_sf_a_other,h_sf_c,h_sf_c_other,h_l_a,h_l_a_other,h_l_c,h_l_c_other,h_ls_a,h_ls_a_other,h_ls_c,h_ls_c_other,h_pl_a_th,h_pl_a_th_other,h_pl_a_tu,h_pl_a_tu_other,h_pl_a_tw,h_pl_a_tw_other,h_pl_a_tf,h_pl_a_tf_other,h_pl_a_ts,h_pl_a_ts_other,h_notes,h_enum,meta/instanceID,_uuid,_submission_time,_tags,_notes
5514,2018-03-26T10:57:00.000+06,-15.428393977893945 28.22434127125094 1259.9246141369847 4.0,-15.428393977893945,28.22434127125094,1259.9246141369847,4.0,1,2,1,5,1,2,n/a,3,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,3,n/a,3,n/a,1,n/a,3,n/a,3,n/a,4,n/a,5,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Nancy,uuid:c292602a-a8a7-4e82-94b1-4acece4f9454,c292602a-a8a7-4e82-94b1-4acece4f9454,2018-03-27T04:57:37,,
2516,2018-03-27T10:50:00.000+02,-15.438618713296412 28.23031579359456 1273.8474301368735 8.0,-15.438618713296412,28.23031579359456,1273.8474301368735,8.0,1,1,0,7,1,4,n/a,5,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,5,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,3,n/a,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,4,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Wendy Kafumukache,uuid:71852846-0479-415a-8364-76efa3626222,71852846-0479-415a-8364-76efa3626222,2018-03-27T16:00:14,,
3516,2018-03-27T11:00:00.000+02,-15.43851895005525 28.230041770723318 1270.9369016020119 4.0,-15.43851895005525,28.230041770723318,1270.9369016020119,4.0,1,1,1,6,1,4,n/a,5,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,3,n/a,n/a,4,n/a,3,n/a,1,n/a,3,n/a,4,n/a,3,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Wendy Kafumukache,uuid:c64b6fb3-dd86-4c6f-b1d7-fbcb44d17f64,c64b6fb3-dd86-4c6f-b1d7-fbcb44d17f64,2018-03-27T16:00:14,,
5516,2018-03-27T11:12:00.000+02,-15.437889935828686 28.23017793065798 1278.779250215969 4.0,-15.437889935828686,28.23017793065798,1278.779250215969,4.0,1,2,1,4,1,4,n/a,2,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,1,n/a,n/a,4,n/a,3,n/a,1,n/a,2,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Wendy Kafumukache,uuid:01a1b0ba-e5db-4f66-89b4-bb6182e55ca7,01a1b0ba-e5db-4f66-89b4-bb6182e55ca7,2018-03-27T16:00:15,,
1516,2018-03-27T10:50:00.000+06,-15.43893594155068 28.230098684197706 1282.2925221428015 4.0,-15.43893594155068,28.230098684197706,1282.2925221428015,4.0,1,1,1,6,1,2,n/a,1,n/a,4,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,5,n/a,1,n/a,3,n/a,3,n/a,4,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,1,n/a,3,n/a,n/a,Nancy,uuid:609317c8-440e-4792-a1d0-6597d6c73564,609317c8-440e-4792-a1d0-6597d6c73564,2018-03-27T16:05:39,,
4516,2018-03-27T11:15:00.000+06,-15.43798606624827 28.23011644126575 1281.1976441331028 4.0,-15.43798606624827,28.23011644126575,1281.1976441331028,4.0,1,2,1,8,1,2,n/a,2,n/a,4,n/a,1,n/a,1,n/a,1,n/a,3,n/a,3,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,4,n/a,3,n/a,1,n/a,2,n/a,2,n/a,4,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Nancy,uuid:fb5eb944-b41f-412f-9338-91b3229abbf2,fb5eb944-b41f-412f-9338-91b3229abbf2,2018-03-27T16:05:40,,
1517,2018-03-27T09:23:00.000+02,-15.44953802039891 28.23089619635671 1285.4446807059667 4.0,-15.44953802039891,28.23089619635671,1285.4446807059667,4.0,1,2,1,3,1,4,n/a,3,n/a,2,n/a,1,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,3,n/a,3,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mpundu ,uuid:45e2be2e-181a-400c-b6e1-9ba68f6a8ff7,45e2be2e-181a-400c-b6e1-9ba68f6a8ff7,2018-03-27T16:07:46,,
2517,2018-03-27T09:40:00.000+02,-15.450004015609503 28.229233638655042 1278.8501501295327 4.0,-15.450004015609503,28.229233638655042,1278.8501501295327,4.0,1,1,1,9,1,4,n/a,3,n/a,1,n/a,1,n/a,2,n/a,2,n/a,4,n/a,4,n/a,4,n/a,4,n/a,2,n/a,2,n/a,2,n/a,2,n/a,n/a,4,n/a,5,n/a,1,n/a,4,n/a,4,n/a,4,n/a,5,n/a,3,n/a,3,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mpundu,uuid:dac5126a-29b7-42f2-a8d0-5eb0c2cf1151,dac5126a-29b7-42f2-a8d0-5eb0c2cf1151,2018-03-27T16:07:48,,
3517,2018-03-27T10:01:00.000+02,-15.448565219174489 28.23011060612876 1276.4117600322093 4.0,-15.448565219174489,28.23011060612876,1276.4117600322093,4.0,1,2,1,7,1,4,n/a,4,n/a,3,n/a,2,n/a,1,n/a,1,n/a,3,n/a,3,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mpundu,uuid:1ca2fe43-4d67-43a2-9843-fc83d57ef585,1ca2fe43-4d67-43a2-9843-fc83d57ef585,2018-03-27T16:07:49,,
4S17,2018-03-27T09:33:00.000+02,-15.44987389 28.23014111 1282.0 3.0,-15.44987389,28.23014111,1282.0,3.0,1,2,1,8,1,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,4,n/a,5,n/a,1,n/a,4,n/a,4,n/a,2,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Kawide,uuid:16fba7e2-4507-4908-b08c-2e3242c912a1,16fba7e2-4507-4908-b08c-2e3242c912a1,2018-03-27T16:49:04,,
5S17,2018-03-27T09:59:00.000+02,-15.44807344 28.23094338 1287.0 4.0,-15.44807344,28.23094338,1287.0,4.0,1,1,1,3,1,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,4,n/a,4,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,2,n/a,3,n/a,n/a,Kawide,uuid:e26b5a3e-a911-4b93-82db-2045052b0ada,e26b5a3e-a911-4b93-82db-2045052b0ada,2018-03-27T16:49:05,,
4518,2018-03-28T09:00:00.000+02,-15.437803799547217 28.2488702371164 1283.1876325915725 4.0,-15.437803799547217,28.2488702371164,1283.1876325915725,4.0,1,2,1,7,1,2,n/a,3,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,4,n/a,4,n/a,5,n/a,2,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Signed on her behalf, doesn't know how to write",Mpundu,uuid:bd199d15-afe3-47d6-8dcc-91868968bcf3,bd199d15-afe3-47d6-8dcc-91868968bcf3,2018-03-28T16:51:06,,
5518,2018-03-28T09:15:00.000+02,-15.437871899019738 28.24990184928879 1277.6436507849749 4.0,-15.437871899019738,28.24990184928879,1277.6436507849749,4.0,1,2,1,7,1,3,n/a,1,n/a,3,n/a,1,n/a,1,n/a,1,n/a,3,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,3,n/a,4,n/a,1,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mpundu,uuid:4420b31c-4d1a-4e17-9e55-0481c146e361,4420b31c-4d1a-4e17-9e55-0481c146e361,2018-03-28T16:51:06,,
1520,2018-03-28T09:18:00.000+06,-15.442701998937295 28.24316123812634 1271.7827104202092 4.0,-15.442701998937295,28.24316123812634,1271.7827104202092,4.0,1,2,1,2,1,1,n/a,1,n/a,3,n/a,2,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,4,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Household near drain water,Nancy,uuid:f3f7826b-19ac-4000-b15e-5a3f4c1bd529,f3f7826b-19ac-4000-b15e-5a3f4c1bd529,2018-03-28T17:23:03,,
3520,2018-03-28T09:51:00.000+06,-15.446067774156173 28.242528756495187 1278.0281545632777 4.0,-15.446067774156173,28.242528756495187,1278.0281545632777,4.0,1,2,1,9,1,3,n/a,3,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Nancy,uuid:a8d84802-ee56-4058-99da-98108259fa55,a8d84802-ee56-4058-99da-98108259fa55,2018-03-28T17:23:04,,
2S19,2018-03-28T09:06:00.000+02,-15.440656923477187 28.239772234228703 1275.0459621182977 8.0,-15.440656923477187,28.239772234228703,1275.0459621182977,8.0,1,2,1,9,1,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,3,n/a,3,n/a,1,n/a,4,n/a,4,n/a,4,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,3,n/a,n/a,Fermi n Canaan,uuid:7ea23871-b008-4f24-9a79-34763afb7173,7ea23871-b008-4f24-9a79-34763afb7173,2018-03-28T17:29:34,,
3S19,2018-03-28T09:23:00.000+02,-15.440940380369785 28.240810927748463 1281.2283429959823 6.0,-15.440940380369785,28.240810927748463,1281.2283429959823,6.0,1,2,1,3,1,3,n/a,3,n/a,3,n/a,3,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,4,n/a,4,n/a,2,n/a,2,n/a,2,n/a,2,n/a,1,n/a,1,n/a,1,n/a,2,n/a,1,n/a,n/a,Fermi n Canaan,uuid:62d0de48-0e93-4e08-a68e-ca4bc8c43806,62d0de48-0e93-4e08-a68e-ca4bc8c43806,2018-03-28T17:29:35,,
4S19,2018-03-28T09:40:00.000+02,-15.440760188697078 28.241479273233093 1268.1044968308931 12.0,-15.440760188697078,28.241479273233093,1268.1044968308931,12.0,1,2,1,4,1,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,3,n/a,3,n/a,1,n/a,4,n/a,4,n/a,3,n/a,3,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,2,n/a,3,n/a,n/a,Fermi n Canaan,uuid:febfbac2-8a1f-4eaa-8523-3f5c29ddb51e,febfbac2-8a1f-4eaa-8523-3f5c29ddb51e,2018-03-28T17:29:36,,
5S19,2018-03-28T10:02:00.000+02,-15.440835514220833 28.2417962365916 1290.2366293492923 4.0,-15.440835514220833,28.2417962365916,1290.2366293492923,4.0,1,2,1,7,1,1,n/a,3,n/a,1,n/a,3,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,3,n/a,3,n/a,1,n/a,3,n/a,3,n/a,4,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,2,n/a,3,n/a,n/a,Fermi n Canaan,uuid:a8ffc394-b48f-4142-b26c-368c2dafc6cd,a8ffc394-b48f-4142-b26c-368c2dafc6cd,2018-03-28T17:29:38,,
2520,2018-03-28T09:19:00.000+02,-15.442770311912273 28.243071753285275 1272.2300719426053 4.0,-15.442770311912273,28.243071753285275,1272.2300719426053,4.0,1,2,1,6,1,4,n/a,5,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,2,n/a,3,n/a,The respondent lives in a compound but has their own private toilet ,Wendy kafumukache,uuid:abb7f2fa-55e9-436b-804c-6dcf40c90f8e,abb7f2fa-55e9-436b-804c-6dcf40c90f8e,2018-03-28T17:31:42,,
4520,2018-03-28T09:51:00.000+02,-15.44599904332513 28.24254539146497 1282.1671190891104 4.0,-15.44599904332513,28.24254539146497,1282.1671190891104,4.0,1,2,1,4,1,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,4,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Wendy Kafumukache,uuid:ed077d5f-acee-4251-b985-b83e4ca3955c,ed077d5f-acee-4251-b985-b83e4ca3955c,2018-03-28T17:31:42,,
5520,2018-03-28T10:04:00.000+02,-15.44556341872393 28.242558868641417 1276.7986732916504 4.0,-15.44556341872393,28.242558868641417,1276.7986732916504,4.0,1,1,1,7,1,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,2,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,1,n/a,n/a,3,n/a,3,n/a,1,n/a,4,n/a,5,n/a,4,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,2,n/a,3,n/a,The household uses municipal water for bathing and sometimes rain water,Wendy Kafumukache,uuid:bb5a383a-c7f4-4329-882c-faff1c2df7ab,bb5a383a-c7f4-4329-882c-faff1c2df7ab,2018-03-28T17:31:43,,
1S18,2018-03-28T08:55:00.000+02,-15.43827648 28.24858975 1259.0 5.0,-15.43827648,28.24858975,1259.0,5.0,1,1,1,6,1,4,n/a,4,n/a,1,n/a,3,n/a,1,n/a,1,n/a,3,n/a,3,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,3,n/a,4,n/a,4,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,2,n/a,3,n/a,n/a,Kawide,uuid:e6cd691b-f3b7-45dc-86f9-10c06b49b814,e6cd691b-f3b7-45dc-86f9-10c06b49b814,2018-03-28T17:33:39,,
2S18,2018-03-28T09:14:00.000+02,-15.43851869 28.24774437 1293.0 5.0,-15.43851869,28.24774437,1293.0,5.0,1,2,1,4,1,3,n/a,3,n/a,1,n/a,2,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,3,n/a,3,n/a,4,n/a,3,n/a,1,n/a,4,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Kawide,uuid:ac324928-53e5-47be-ba61-5c42fbcae87f,ac324928-53e5-47be-ba61-5c42fbcae87f,2018-03-28T17:33:40,,
3S18,2018-03-28T09:28:00.000+02,-15.43877394 28.24704367 1279.0 4.0,-15.43877394,28.24704367,1279.0,4.0,1,2,1,5,1,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,1,n/a,n/a,4,n/a,4,n/a,1,n/a,3,n/a,3,n/a,4,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Kawide,uuid:8a353361-e11e-4ed7-82f1-629fdf28cfdd,8a353361-e11e-4ed7-82f1-629fdf28cfdd,2018-03-28T17:33:41,,
1S19,2018-03-28T08:23:00.000+02,-15.44062227 28.23880183 1266.0 5.0,-15.44062227,28.23880183,1266.0,5.0,1,2,1,10,1,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,3,n/a,3,n/a,4,n/a,4,n/a,1,n/a,2,n/a,2,n/a,2,n/a,n/a,3,n/a,3,n/a,1,n/a,4,n/a,5,n/a,4,n/a,3,n/a,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,2,n/a,3,n/a,n/a,Canaan,uuid:8237f0ac-ac2b-47c1-9c54-dbce8063fc3a,8237f0ac-ac2b-47c1-9c54-dbce8063fc3a,2018-03-28T18:03:37,,
