"start_dt","subscriberid","simserial","deviceid","col_neighborhood","col_sample_type","col_id","col_id_val","col_start","col_location","X_col_location_latitude","X_col_location_longitude","X_col_location_altitude","X_col_location_precision","col_weather","col_rainyest","col_turbidity","col_pa_prox","col_pa_type","col_pa_type_other","col_pa_latrine_distance","col_bw_type","col_bw_type_other","col_bw_container","col_bw_container_lid","col_bw_cl_id","col_bw_cl_free","col_bw_cl_total","col_f_latrine_distance","col_p_type","col_p_type_other","col_p_num","col_dw_connection","col_dw_type","col_dw_type_other","col_dw_id","col_dw_cl_free","col_dw_cl_total","col_odw_type","col_odw_type_other","col_odw_container","col_odw_container_lid","col_odw_id","col_odw_cl_free","col_odw_cl_total","col_l_toilet_type","col_l_toilet_type_other","col_l_latrine_type","col_l_toilet_stalls","col_l_toilet_feces","col_l_toilet_users","col_l_toilet_hw","col_s_type","col_s_type_other","col_d_water_level","col_d_water_flow","col_d_size","col_d_lining","col_d_lining_oth","col_d_feces","col_d_animals","col_d_schools","col_d_urban_ag","col_d_public_latrines","col_d_hh_latrines","col_d_shops","col_d_hh","col_d_hh_num","col_sf_type","col_sf_type_other","col_notes","col_enum.1","col_enum.2","col_enum.3","col_enum.4","col_enum.5","col_enum.6","col_enum.7","col_enum.8","col_photo","end_dt","meta.instanceID","X_uuid","X_submission_time"
"2017-04-09T10:57:48.426+06",3.10411e+14,8.90141e+19,3.53118e+14,11,1,1011,1011,"2017-04-09T10:53:00.712+06","23.82343781090462 90.37856410390992 -33.14141471679138 4.0","23.82343781","90.3785641","-33.14141472","4",2,0,"110","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4","1","1","1","n/a","0","0","0","0","1","0","0","1","4","n/a","n/a","Near latrine",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-09T16:10:53.134+06","uuid:0cab68e4-7965-4142-a369-433aec473308","0cab68e4-7965-4142-a369-433aec473308","2017-04-09T10:16:46"
"2017-04-09T10:13:05.760+06",3.10411e+14,8.90141e+19,3.53118e+14,11,9,1012,1012,"2017-04-09T10:14:00.394+06","23.823361009892857 90.37883384823935 -36.03898856631515 6.0","23.82336101","90.37883385","-36.03898857","6",2,0,"1.74","n/a","n/a","n/a","n/a","4","n/a","0","n/a","2","0.08","0.19","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","WASA water into Dugewell",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-09T16:10:17.731+06","uuid:507e6eef-a464-4d3c-8e26-14de9527a5d5","507e6eef-a464-4d3c-8e26-14de9527a5d5","2017-04-09T10:16:38"
"2017-04-09T11:10:10.804+06",3.10411e+14,8.90141e+19,3.53118e+14,11,3,1013,1013,"2017-04-09T11:06:00.417+06","23.82347789706509 90.37855349225372 -38.318243097178566 4.0","23.8234779","90.37855349","-38.3182431","4",2,1,"0.01","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","3","n/a","2","0.06","0.13","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Trash present",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-09T16:11:07.568+06","uuid:1e3cfca1-59ba-49df-88bd-a0e0eb520b79","1e3cfca1-59ba-49df-88bd-a0e0eb520b79","2017-04-09T10:17:06"
"2017-04-09T10:43:37.444+06",3.10411e+14,8.90141e+19,3.53118e+14,11,1,1014,1014,"2017-04-09T10:30:00.462+06","23.82363375031608 90.37811533708542 -47.46715604345668 8.0","23.82363375","90.37811534","-47.46715604","8",1,0,"210","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","1","2","1","n/a","0","0","0","0","0","1","1","1","5","n/a","n/a","There are many people walking​ and kids playing here.",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-09T15:28:57.067+06","uuid:c602568d-5d51-4654-adc2-6477e07d75ec","c602568d-5d51-4654-adc2-6477e07d75ec","2017-04-09T10:14:41"
"2017-04-09T10:54:19.302+06",3.10411e+14,8.90141e+19,3.53118e+14,11,8,1015,1015,"2017-04-09T10:50:00.231+06","23.823719065130952 90.37811473895768 -49.43502905192702 6.0","23.82371907","90.37811474","-49.43502905","6",1,0,"n/a","2","1","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","There are many kids playing and people are walking.",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-09T15:30:48.168+06","uuid:ade4157d-85e8-4a0a-b215-8cbf5908c322","ade4157d-85e8-4a0a-b215-8cbf5908c322","2017-04-09T10:14:50"
"2017-04-10T11:19:40.735+06",3.10411e+14,8.90141e+19,3.53118e+14,11,1,1016,1016,"2017-04-10T11:20:00.155+06","23.824450551400965 90.37829747252368 -46.85911347655332 4.0","23.82445055","90.37829747","-46.85911348","4",1,0,"111","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4","1","3","2","n/a","1","0","0","0","0","1","0","1","4","n/a","n/a","Near by household & toilet",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-10T14:43:55.377+06","uuid:15fea3d0-9676-47a3-8e42-2595be8d39b8","15fea3d0-9676-47a3-8e42-2595be8d39b8","2017-04-10T08:44:46"
"2017-04-10T10:30:24.741+06",3.10411e+14,8.90141e+19,3.53118e+14,11,8,1017,1017,"2017-04-10T10:27:00.487+06","23.824211716258297 90.37761895916641 -43.68917387014791 6.0","23.82421172","90.37761896","-43.68917387","6",1,0,"n/a","1","1","n/a","4","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Near by household and children play",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,"2017-04-10T14:36:34.824+06","uuid:a15ae3f4-fbce-41ab-9a79-f1a756bb5ec3","a15ae3f4-fbce-41ab-9a79-f1a756bb5ec3","2017-04-10T08:44:40"
"2017-04-10T11:01:14.821+06",3.10411e+14,8.90141e+19,3.53118e+14,11,9,1018,1018,"2017-04-10T10:45:00.231+06","23.824190856516577 90.37766699248908 -42.752254952982994 4.0","23.82419086","90.37766699","-42.75225495","4",1,0,"0","n/a","n/a","n/a","n/a","4","n/a","1","1","2","0.04","0.13","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Near the bating & near the Toilet, and no drinking.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-10T14:36:20.695+06","uuid:2442ca3f-8446-4028-a6f0-eddfc6ad953b","2442ca3f-8446-4028-a6f0-eddfc6ad953b","2017-04-10T08:44:43"
"2017-04-09T15:39:42.843+06",3.10411e+14,8.90141e+19,3.53118e+14,11,7,1019,1019,"2017-04-10T10:16:00.982+06","23.824226233824874 90.37763447343816 -39.83392096280752 4.0","23.82422623","90.37763447","-39.83392096","4",1,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a","2","1","0","12","1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Latrine door is cloth",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,"2017-04-10T14:44:13.772+06","uuid:7d7c0899-20d5-48dc-8d2f-6763e3d8db58","7d7c0899-20d5-48dc-8d2f-6763e3d8db58","2017-04-10T08:44:36"
"2017-04-10T10:57:14.861+06",3.10411e+14,8.90141e+19,3.53118e+14,11,9,1020,1020,"2017-04-10T10:44:00.484+06","23.824184019899064 90.37856325364572 -62.76096143571481 8.0","23.82418402","90.37856325","-62.76096144","8",1,0,"0.66","n/a","n/a","n/a","n/a","4","n/a","1","0","2","0.04","0.11","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4 family use this water attached toilet",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-10T14:36:07.821+06","uuid:9930963b-1ae3-4614-b83c-7a2cc917c845","9930963b-1ae3-4614-b83c-7a2cc917c845","2017-04-10T08:43:20"
