"start_dt","subscriberid","simserial","deviceid","col_neighborhood","col_sample_type","col_id","col_id_val","col_start","col_location","X_col_location_latitude","X_col_location_longitude","X_col_location_altitude","X_col_location_precision","col_weather","col_rainyest","col_turbidity","col_pa_prox","col_pa_type","col_pa_type_other","col_pa_latrine_distance","col_bw_type","col_bw_type_other","col_bw_container","col_bw_container_lid","col_bw_cl_id","col_bw_cl_free","col_bw_cl_total","col_f_latrine_distance","col_p_type","col_p_type_other","col_p_num","col_dw_connection","col_dw_type","col_dw_type_other","col_dw_id","col_dw_cl_free","col_dw_cl_total","col_odw_type","col_odw_type_other","col_odw_container","col_odw_container_lid","col_odw_id","col_odw_cl_free","col_odw_cl_total","col_l_toilet_type","col_l_toilet_type_other","col_l_latrine_type","col_l_toilet_stalls","col_l_toilet_feces","col_l_toilet_users","col_l_toilet_hw","col_s_type","col_s_type_other","col_d_water_level","col_d_water_flow","col_d_size","col_d_lining","col_d_lining_oth","col_d_feces","col_d_animals","col_d_schools","col_d_urban_ag","col_d_public_latrines","col_d_hh_latrines","col_d_shops","col_d_hh","col_d_hh_num","col_sf_type","col_sf_type_other","col_notes","col_enum.1","col_enum.2","col_enum.3","col_enum.4","col_enum.5","col_enum.6","col_enum.7","col_enum.8","col_photo","end_dt","meta.instanceID","X_uuid","X_submission_time"
"2017-04-23T11:46:56.177+06",3.10411e+14,8.90141e+19,3.53118e+14,88,1,1185,1185,"2017-04-23T11:48:00.229+06","23.724205357902893 90.37400864246018 -47.15487613142825 6.0","23.72420536","90.37400864","-47.15487613","6",2,1,"235","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","2","2","2","n/a","1","0","0","1","0","0","0","0","n/a","n/a","n/a","Near by Household",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,"2017-04-23T13:57:58.050+06","uuid:b575ccfd-2727-4e94-9340-59fd209b4e87","b575ccfd-2727-4e94-9340-59fd209b4e87","2017-04-23T09:21:35"
"2017-04-23T12:01:16.462+06",3.10411e+14,8.90141e+19,3.53118e+14,88,1,1186,1186,"2017-04-23T12:00:00.147+06","23.724489330114555 90.37492105356493 -30.45013295283508 6.0","23.72448933","90.37492105","-30.45013295","6",2,1,"204","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4","2","1","1","n/a","1","0","0","0","0","1","1","1","4","n/a","n/a","Near by market",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,"2017-04-23T13:58:31.945+06","uuid:b15f7efb-49c6-40dd-837f-5ccab714752f","b15f7efb-49c6-40dd-837f-5ccab714752f","2017-04-23T09:21:37"
"2017-04-23T11:21:21.009+06",3.10411e+14,8.90141e+19,3.53118e+14,88,9,1187,1187,"2017-04-23T11:30:00.759+06","23.723276358764526 90.37407176813504 -32.81093612916306 12.0","23.72327636","90.37407177","-32.81093613","12",2,1,"0.67","n/a","n/a","n/a","n/a","5","Wasa water with  tubewell","0","n/a","1","0.07","0.07","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Dirt visible nearby",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-23T14:15:17.017+06","uuid:b166302e-d727-4cb0-aa09-3dddf30517a0","b166302e-d727-4cb0-aa09-3dddf30517a0","2017-04-23T08:57:52"
"2017-04-23T11:46:21.029+06",3.10411e+14,8.90141e+19,3.53118e+14,88,3,1188,1188,"2017-04-23T11:43:00.499+06","23.723898840852403 90.3742824422535 10.82325814962654 8.0","23.72389884","90.37428244","10.82325815","8",2,1,"0.56","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","3","n/a","1","0.06","0.07","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Many people use this water besides mondir",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-23T14:11:46.764+06","uuid:e4f150fe-41de-42ae-b32f-4072f030c7ea","e4f150fe-41de-42ae-b32f-4072f030c7ea","2017-04-23T09:13:59"
"2017-04-23T11:52:31.774+06",3.10411e+14,8.90141e+19,3.53118e+14,88,9,1189,1189,"2017-04-23T11:52:00.785+06","23.72415965941113 90.3739443086351 -28.820184349278712 8.0","23.72415966","90.37394431","-28.82018435","8",2,1,"8.13","n/a","n/a","n/a","n/a","5","Wasa water with tubewell","0","n/a","1","0.03","0.11","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Dirt visible nearby",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-23T14:15:53.981+06","uuid:81426ca8-eefa-4b87-938b-ccc75bfeb0a9","81426ca8-eefa-4b87-938b-ccc75bfeb0a9","2017-04-23T09:14:01"
"2017-04-23T12:06:48.508+06",3.10411e+14,8.90141e+19,3.53118e+14,88,3,1190,1190,"2017-04-23T12:05:00.758+06","23.72447924078444 90.37506672509096 -47.38030584069646 8.0","23.72447924","90.37506673","-47.38030584","8",2,1,"3.9","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","3","n/a","1","0.02","0.06","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Many people use this water",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-23T14:12:15.217+06","uuid:e11fdbac-d325-4426-b910-2caaef0aefaf","e11fdbac-d325-4426-b910-2caaef0aefaf","2017-04-23T09:14:08"
"2017-04-23T12:21:55.814+06",3.10411e+14,8.90141e+19,3.53118e+14,88,3,1191,1191,"2017-04-23T12:22:00.803+06","23.724454088360837 90.37503784915775 53.74197954069976 16.0","23.72445409","90.37503785","53.74197954","16",2,1,"1.5","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","3","n/a","1","0.06","0.1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Many people use this water.dirt visible nearby",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-23T14:12:53.426+06","uuid:e945c7ab-5cd2-4e6a-8bf1-3a872d3ca1a8","e945c7ab-5cd2-4e6a-8bf1-3a872d3ca1a8","2017-04-23T09:14:15"
"2017-04-23T12:45:24.015+06",3.10411e+14,8.90141e+19,3.53118e+14,88,11,1192,1192,"2017-04-23T12:46:00.320+06","23.725222221881626 90.37478352314355 -20.066513893190102 12.0","23.72522222","90.37478352","-20.06651389","12",2,1,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","n/a","Many people and children eat the puffed rice",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-23T14:11:02.822+06","uuid:d8f48604-da08-4f75-aa91-f793cfddf5f9","d8f48604-da08-4f75-aa91-f793cfddf5f9","2017-04-23T09:14:19"
"2017-04-23T12:17:33.262+06",3.10411e+14,8.90141e+19,3.53118e+14,88,11,1193,1193,"2017-04-23T12:15:00.431+06","23.72453942744256 90.37485987128271 -7.828278382952448 16.0","23.72453943","90.37485987","-7.828278383","16",2,1,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","n/a","Many kids eat the fuska nearby school",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-23T14:11:22.224+06","uuid:85a0e633-0e8c-41ae-8163-f2b3274bea99","85a0e633-0e8c-41ae-8163-f2b3274bea99","2017-04-23T09:14:12"
"2017-04-23T12:30:21.348+06",3.10411e+14,8.90141e+19,3.53118e+14,88,5,1194,1194,"2017-04-23T12:30:00.018+06","23.72606230257445 90.37062449447687 -43.97719660817548 4.0","23.7260623","90.37062449","-43.97719661","4",2,1,"120","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","2/3 months continuously reserved water on the way","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Many people​ can't walk on the way because dirty water",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-23T14:20:28.231+06","uuid:17c3ac83-626b-44d0-9437-6312d787a205","17c3ac83-626b-44d0-9437-6312d787a205","2017-04-23T09:22:37"
"2017-04-23T12:42:39.060+06",3.10411e+14,8.90141e+19,3.53118e+14,88,5,1195,1195,"2017-04-23T12:45:00.770+06","23.725901345274472 90.37056369848553 -51.93557354315354 4.0","23.72590135","90.3705637","-51.93557354","4",2,1,"104","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Many trash present and near toilet",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-23T14:21:03.364+06","uuid:497c65c5-9119-4711-8cbc-fb0f97cb1edf","497c65c5-9119-4711-8cbc-fb0f97cb1edf","2017-04-23T09:22:40"
"2017-04-23T12:56:36.392+06",3.10411e+14,8.90141e+19,3.53118e+14,88,5,1196,1196,"2017-04-23T12:56:00.201+06","23.72614883809539 90.37078026230455 -31.201089160128234 4.0","23.72614884","90.37078026","-31.20108916","4",2,1,"122","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","2/3 months continuously reserved water on the way","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Many people​ can't walk on the way because dirty water",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-23T14:21:31.006+06","uuid:0765962b-d432-49fc-9d0c-ebf3bbe98658","0765962b-d432-49fc-9d0c-ebf3bbe98658","2017-04-23T09:22:48"
"2017-04-23T11:34:40.105+06",3.10411e+14,8.90141e+19,3.53118e+14,88,8,1197,1197,"2017-04-23T11:34:00.602+06","23.72325542936629 90.37379858962638 -41.83478507726939 6.0","23.72325543","90.37379859","-41.83478508","6",2,1,"n/a","2","3","n/a","4","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Near main road and soil wet.",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-23T14:18:29.135+06","uuid:c81e0638-3a2e-4c84-a2f6-f34a6b25a412","c81e0638-3a2e-4c84-a2f6-f34a6b25a412","2017-04-23T09:22:26"
"2017-04-23T11:53:27.168+06",3.10411e+14,8.90141e+19,3.53118e+14,88,8,1198,1198,"2017-04-23T11:53:00.891+06","23.724172811839164 90.37401782658563 -30.730170646163703 4.0","23.72417281","90.37401783","-30.73017065","4",2,1,"n/a","2","3","n/a","10","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Many children playing, Near drain and soil wet.",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-23T14:19:36.165+06","uuid:bdd38dce-7616-4956-ba69-c7ce311e31ed","bdd38dce-7616-4956-ba69-c7ce311e31ed","2017-04-23T09:22:32"
"2017-04-23T11:41:28.340+06",3.10411e+14,8.90141e+19,3.53118e+14,88,2,1199,1199,"2017-04-23T11:42:00.481+06","23.723742468487906 90.37415763035708 -3.702343072083629 8.0","23.72374247","90.37415763","-3.702343072","8",2,1,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Near in mondir",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-23T14:14:44.509+06","uuid:7d535657-3ec4-4c34-82e5-7fbcfb92a909","7d535657-3ec4-4c34-82e5-7fbcfb92a909","2017-04-23T09:22:28"
"2017-04-23T12:05:09.507+06",3.10411e+14,8.90141e+19,3.53118e+14,88,2,1200,1200,"2017-04-23T12:05:00.890+06","23.724668311543994 90.37424711811582 -36.793720521624884 6.0","23.72466831","90.37424712","-36.79372052","6",2,1,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","n/a","1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Many consumer buying this shop",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-23T14:15:42.915+06","uuid:f0f8a3bd-b9f0-4647-b640-8f17a190b7e3","f0f8a3bd-b9f0-4647-b640-8f17a190b7e3","2017-04-23T09:22:34"
"2017-04-24T09:18:51.672+06",3.10411e+14,8.90141e+19,3.53118e+14,88,9,1201,1201,"2017-04-24T09:19:00.962+06","23.72390389076787 90.37433723690278 -52.4566304143022 16.0","23.72390389","90.37433724","-52.45663041","16",3,1,"1.58","n/a","n/a","n/a","n/a","4","n/a","1","1","1","0.09","0.18","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Dirt visible nearby",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-24T14:39:58.164+06","uuid:a0f257d4-d482-471c-897f-bedbaa3e6711","a0f257d4-d482-471c-897f-bedbaa3e6711","2017-04-24T08:52:23"
"2017-04-24T09:57:24.936+06",3.10411e+14,8.90141e+19,3.53118e+14,88,3,1202,1202,"2017-04-24T09:58:00.387+06","23.725159684914946 90.37351087996461 -12.278089462781287 8.0","23.72515968","90.37351088","-12.27808946","8",3,1,"0.42","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","6","Wasa water with tubewell","1","0.1","0.11","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Many people use this water and dirt visible nearby",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-24T14:42:40.780+06","uuid:c9a57ff3-0771-4e2a-afb6-1ddaf35aed26","c9a57ff3-0771-4e2a-afb6-1ddaf35aed26","2017-04-24T08:52:25"
"2017-04-24T10:07:10.852+06",3.10411e+14,8.90141e+19,3.53118e+14,88,9,1203,1203,"2017-04-24T10:07:00.657+06","23.72546078599286 90.37347683743882 -55.06274981169275 8.0","23.72546079","90.37347684","-55.06274981","8",2,1,"1.6","n/a","n/a","n/a","n/a","4","n/a","1","1","1","0.01","0.11","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","There are many people use this water and dirt visible nearby",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-24T14:40:34.635+06","uuid:207aa4cf-60ef-4b32-ba2f-151062693566","207aa4cf-60ef-4b32-ba2f-151062693566","2017-04-24T08:52:27"
"2017-04-24T10:31:21.598+06",3.10411e+14,8.90141e+19,3.53118e+14,88,3,1204,1204,"2017-04-24T10:31:00.329+06","23.72557101612677 90.37291462561618 -29.75051569666543 8.0","23.72557102","90.37291463","-29.7505157","8",2,1,"1.63","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","6","Wasa water with tubewell","1","0.04","0.11","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Dirt visible nearby",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-24T14:43:33.104+06","uuid:cb4f9229-8f28-4087-8949-d1b79a77468f","cb4f9229-8f28-4087-8949-d1b79a77468f","2017-04-24T08:52:33"
"2017-04-24T10:43:05.330+06",3.10411e+14,8.90141e+19,3.53118e+14,88,9,1205,1205,"2017-04-24T10:43:00.232+06","23.725729069614548 90.37240684422282 -48.38000280054712 8.0","23.72572907","90.37240684","-48.3800028","8",2,1,"1.18","n/a","n/a","n/a","n/a","5","Wasa water with tubewell","0","n/a","1","0.01","0.02","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Many people use this water and dirt visible nearby",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-24T14:41:10.143+06","uuid:25d81335-b065-4c1c-a97d-b0484447b7ba","25d81335-b065-4c1c-a97d-b0484447b7ba","2017-04-24T08:52:36"
"2017-04-24T10:19:49.084+06",3.10411e+14,8.90141e+19,3.53118e+14,88,11,1206,1206,"2017-04-24T10:20:00.330+06","23.72576808800844 90.37318073964802 -46.39775952217563 8.0","23.72576809","90.37318074","-46.39775952","8",2,1,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","n/a","Many people and children eat the puffed rice",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-24T14:41:48.733+06","uuid:69a58d99-a700-4ce1-9545-0c6f30a506e6","69a58d99-a700-4ce1-9545-0c6f30a506e6","2017-04-24T08:52:29"
"2017-04-24T11:04:53.107+06",3.10411e+14,8.90141e+19,3.53118e+14,88,11,1207,1207,"2017-04-24T11:05:00.597+06","23.726079981294188 90.37366838786564 -17.50399463311186 16.0","23.72607998","90.37366839","-17.50399463","16",3,1,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","n/a","Many people and children eat the fuska",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"2017-04-24T14:42:13.133+06","uuid:f6a08c4f-9865-498d-bb4c-daf4dabb71dc","f6a08c4f-9865-498d-bb4c-daf4dabb71dc","2017-04-24T08:52:38"
"2017-04-24T12:04:52.366+06",3.10411e+14,8.90141e+19,3.53118e+14,88,5,1208,1208,"2017-04-24T12:05:00.474+06","23.724970449542848 90.3705783585986 -42.12965999356114 4.0","23.72497045","90.37057836","-42.12965999","4",3,1,"175","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Many trash present",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-24T15:00:14.834+06","uuid:b0de57af-08e9-487a-86eb-416bce57863b","b0de57af-08e9-487a-86eb-416bce57863b","2017-04-24T09:02:17"
"2017-04-24T12:26:02.434+06",3.10411e+14,8.90141e+19,3.53118e+14,88,5,1209,1209,"2017-04-24T12:26:00.128+06","23.726969820734226 90.3667744657709 -52.75789104088024 4.0","23.72696982","90.36677447","-52.75789104","4",2,1,"93","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Many trash present",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-24T15:00:46.892+06","uuid:e365e013-b9d5-4413-b967-0e09fae27f67","e365e013-b9d5-4413-b967-0e09fae27f67","2017-04-24T09:02:19"
"2017-04-24T09:20:22.647+06",3.10411e+14,8.90141e+19,3.53118e+14,88,8,1210,1210,"2017-04-24T09:21:00.414+06","23.72411581876394 90.37475217460079 -29.62844865657874 8.0","23.72411582","90.37475217","-29.62844866","8",3,1,"n/a","2","3","n/a","7","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Wet soil",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-24T14:58:09.116+06","uuid:d1dbbc5a-017c-4c67-9498-9c5c3be7054d","d1dbbc5a-017c-4c67-9498-9c5c3be7054d","2017-04-24T09:02:04"
"2017-04-24T10:18:20.462+06",3.10411e+14,8.90141e+19,3.53118e+14,88,8,1211,1211,"2017-04-24T10:18:00.505+06","23.72480197379386 90.37339911931669 -35.4459505088395 4.0","23.72480197","90.37339912","-35.44595051","4",2,1,"n/a","2","3","n/a","22","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Wet soil",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"2017-04-24T14:59:35.214+06","uuid:fe3ed014-7666-48af-9be6-0825fa83fca8","fe3ed014-7666-48af-9be6-0825fa83fca8","2017-04-24T09:02:12"
