"UID","dply_num","lab_date","sample_type","col_sample_type_alt","sampleid","mf","neighborhood","neighb_UID","lab_1_ecoli","lab_2_ecoli","lab_3_ecoli","ec_dil1","ec_dil2","ec_dil3","ec_ecnt1","ec_ecnt2","ec_ecnt3","count1","count2","dil1","dil2","ec_conc"
"04_08_1144",4,"2018-03-26",8,"","1144",FALSE,"1",401,9999,233.4,117.1,1,0.1,0.01,9999,233.4,117.1,9999,233.4,1,0.1,14044
"04_08_1150",4,"2018-03-27",8,"","1150",FALSE,"1",401,8.4,0.5,0.5,1,0.1,0.01,8.4,0.5,0.5,8.4,0.5,1,0.1,16.8
"04_08_1157",4,"2018-03-27",8,"","1157",FALSE,"1",401,45.9,12,1,1,0.1,0.01,45.9,12,1,45.9,12,1,0.1,
"04_08_1162",4,"2018-03-27",8,"","1162",FALSE,"1",401,7.5,0.5,0.5,1,0.1,0.01,7.5,0.5,0.5,7.5,0.5,1,0.1,15
"04_08_1167",4,"2018-03-28",8,"","1167",FALSE,"1",401,7.5,0.5,0.5,1,0.1,0.01,7.5,0.5,0.5,7.5,0.5,1,0.1,15
"04_08_1172",4,"2018-03-28",8,"","1172",FALSE,"1",401,1986.3,113,10.9,1,0.1,0.01,1986.3,113,10.9,1986.3,113,1,0.1,2804.2
"04_08_1179",4,"2018-03-28",8,"","1179",FALSE,"1",401,14.8,1,0.5,1,0.1,0.01,14.8,1,0.5,14.8,1,1,0.1,24.8
"05_01_1035",5,"2015-05-12",1,"","1035",TRUE,"1",501,0,0,0,10,1,0.1,0,0,0,0,0,10,1,5
"05_01_1036",5,"2015-03-26",1,"","1036",TRUE,"1",501,0,0,0,10,1,0.1,0,0,0,0,0,10,1,5
"05_01_1037",5,"2015-03-03",1,"","1037",TRUE,"1",501,0,0,2,0.1,0.01,0.001,0,0,2,0,0,0.1,0.01,
"05_01_1038",5,"2015-03-03",1,"","1038",TRUE,"1",501,0,0,0,0.1,0.01,0.001,0,0,0,0,0,0.1,0.01,500
"05_01_1039",5,"2015-03-05",1,"","1039",TRUE,"1",501,0,0,0,0.1,0.01,0.001,0,0,0,0,0,0.1,0.01,500
"05_01_1040",5,"2015-03-06",1,"","1040",TRUE,"1",501,0,0,0,0.1,0.01,0.001,0,0,0,0,0,0.1,0.01,500
"05_01_1041",5,"2015-03-10",1,"","1041",TRUE,"1",501,0,0,0,0.1,0.01,0.001,0,0,0,0,0,0.1,0.01,500
"05_01_1042",5,"2015-03-25",1,"","1042",TRUE,"1",501,0,0,0,10,1,0.1,0,0,0,0,0,10,1,5
"05_01_1043",5,"2015-05-12",1,"","1043",TRUE,"1",501,999,999,999,10,1,0.1,999,999,999,999,999,10,1,2e+05
"05_01_1044",5,"2015-03-11",1,"","1044",TRUE,"2",502,0,0,0,0.1,0.01,0.001,0,0,0,0,0,0.1,0.01,500
"05_01_1045",5,"2015-03-11",1,"","1045",TRUE,"2",502,0,0,0,0.1,0.01,0.001,0,0,0,0,0,0.1,0.01,500
"05_01_1046",5,"2015-03-24",1,"","1046",TRUE,"2",502,999,999,999,10,1,0.1,999,999,999,999,999,10,1,2e+05
"05_01_1047",5,"2015-03-12",1,"","1047",TRUE,"2",502,999,33,9,0.1,0.01,0.001,999,33,9,999,33,0.1,0.01,330000
"05_01_1048",5,"2015-03-11",1,"","1048",TRUE,"2",502,999,0,0,0.1,0.01,0.001,999,0,0,999,0,0.1,0.01,
"05_01_1049",5,"2015-03-12",1,"","1049",TRUE,"2",502,0,0,0,0.1,0.01,0.001,0,0,0,0,0,0.1,0.01,500
"05_06_1025",5,"2015-05-12",6,"","1025",TRUE,"1",501,999,999,999,10,1,0.1,999,999,999,999,999,10,1,2e+05
"05_06_1026",5,"2015-03-05",6,"","1026",TRUE,"1",501,0,0,0,10,1,0.1,0,0,0,0,0,10,1,5
"05_06_1027",5,"2015-03-10",6,"","1027",TRUE,"1",501,0,0,0,10,1,0.1,0,0,0,0,0,10,1,5
"05_06_1028",5,"2015-03-12",6,"","1028",TRUE,"2",502,999,0,0,1,0.1,0.01,999,0,0,999,0,1,0.1,
"05_06_1029",5,"2015-03-13",6,"","1029",TRUE,"2",502,999,0,0,10,1,0.1,999,0,0,999,0,10,1,
"05_06_1030",5,"2015-03-03",6,"","1030",TRUE,"1",501,998,998,998,10,1,0.1,998,998,998,998,998,10,1,2e+05
"05_06_1031",5,"2015-03-10",6,"","1031",TRUE,"1",501,0,0,0,10,1,0.1,0,0,0,0,0,10,1,5
"05_06_1032",5,"2015-03-11",6,"","1032",TRUE,"2",502,0,0,0,1,0.1,10,0,0,0,0,0,10,1,5
"05_06_1033",5,"2015-03-11",6,"","1033",TRUE,"2",502,0,0,0,1,0.1,10,0,0,0,0,0,10,1,5
"05_06_1034",5,"2015-03-13",6,"","1034",TRUE,"2",502,0,0,0,10,1,0.1,0,0,0,0,0,10,1,5
"05_07_1124",5,"2015-05-12",7,"","1124",TRUE,"1",501,0,0,,10,1,,0,0,,0,0,10,1,0.7
"05_07_1125",5,"2015-03-26",7,"","1125",TRUE,"1",501,0,0,,10,1,,0,0,,0,0,10,1,0.7
"05_07_1126",5,"2015-03-03",7,"","1126",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,7
"05_07_1127",5,"2015-03-03",7,"","1127",TRUE,"1",501,0,0,,10,1,,0,0,,0,0,10,1,0.7
"05_07_1128",5,"2015-03-05",7,"","1128",TRUE,"1",501,0,0,,10,0.1,,0,0,,0,0,10,0.1,0.7
"05_07_1129",5,"2015-03-05",7,"","1129",TRUE,"1",501,0,0,,10,1,,0,0,,0,0,10,1,0.7
"05_07_1130",5,"2015-03-06",7,"","1130",TRUE,"1",501,0,0,,10,1,,0,0,,0,0,10,1,0.7
"05_07_1131",5,"2015-03-09",7,"","1131",TRUE,"1",501,0,0,,10,1,,0,0,,0,0,10,1,0.7
"05_07_1132",5,"2015-03-06",7,"","1132",TRUE,"1",501,0,0,,10,1,,0,0,,0,0,10,1,0.7
"05_07_1133",5,"2015-03-09",7,"","1133",TRUE,"1",501,0,0,,10,1,,0,0,,0,0,10,1,0.7
"05_07_1134",5,"2015-03-10",7,"","1134",TRUE,"1",501,0,0,,10,1,,0,0,,0,0,10,1,0.7
"05_07_1135",5,"2015-03-10",7,"","1135",TRUE,"1",501,0,0,,10,1,,0,0,,0,0,10,1,0.7
"05_07_1136",5,"2015-03-25",7,"","1136",TRUE,"1",501,0,0,,10,1,,0,0,,0,0,10,1,0.7
"05_07_1137",5,"2015-03-25",7,"","1137",TRUE,"1",501,999,999,,10,1,,999,999,,999,999,10,1,2800
"05_07_1138",5,"2015-03-11",7,"","1138",TRUE,"2",502,999,999,,10,1,,999,999,,999,999,10,1,2800
"05_07_1139",5,"2015-03-12",7,"","1139",TRUE,"2",502,0,0,,10,1,,0,0,,0,0,10,1,0.7
"05_07_1140",5,"2015-03-13",7,"","1140",TRUE,"2",502,17,11,,10,1,,17,11,,17,11,10,1,88.9
"05_07_1141",5,"2015-03-11",7,"","1141",TRUE,"2",502,999,8,,10,1,,999,8,,999,8,10,1,112
"05_07_1142",5,"2015-03-18",7,"","1142",TRUE,"2",502,65,20,,10,1,,65,20,,65,20,10,1,185.5
"05_07_1143",5,"2015-03-24",7,"","1143",TRUE,"2",502,0,0,,10,1,,0,0,,0,0,10,1,0.7
"05_07_1144",5,"2015-03-13",7,"","1144",TRUE,"2",502,0,0,,10,1,,0,0,,0,0,10,1,0.7
"05_07_1145",5,"2015-03-18",7,"","1145",TRUE,"2",502,0,0,,10,1,,0,0,,0,0,10,1,0.7
"05_07_1146",5,"2015-03-12",7,"","1146",TRUE,"2",502,0,0,,10,1,,0,0,,0,0,10,1,0.7
"05_07_1147",5,"2015-03-24",7,"","1147",TRUE,"2",502,0,0,,10,1,,0,0,,0,0,10,1,0.7
"05_07_1148",5,"2015-03-26",7,"","1148",TRUE,"1",501,0,0,,10,1,,0,0,,0,0,10,1,0.7
"05_07_1149",5,"2015-03-11",7,"","1149",TRUE,"2",502,999,999,,10,1,,999,999,,999,999,10,1,2800
"05_07_1150",5,"2015-03-18",7,"","1150",TRUE,"2",502,15,1,,10,1,,15,1,,15,1,10,1,21
"05_07_1151",5,"2015-03-13",7,"","1151",TRUE,"2",502,0,0,,10,1,,0,0,,0,0,10,1,0.7
"05_08_1050",5,"2015-05-12",8,"","1050",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1051",5,"2015-03-26",8,"","1051",TRUE,"1",501,999,999,999,10,1,0.1,999,999,999,999,999,10,1,4000
"05_08_1052",5,"2015-03-03",8,"","1052",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1053",5,"2015-03-03",8,"","1053",TRUE,"1",501,10,0,,1,0.1,,10,0,,10,0,1,0.1,20
"05_08_1054",5,"2015-03-05",8,"","1054",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1055",5,"2015-03-05",8,"","1055",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1056",5,"2015-03-06",8,"","1056",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1057",5,"2015-03-09",8,"","1057",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1058",5,"2015-03-06",8,"","1058",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1059",5,"2015-03-09",8,"","1059",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1060",5,"2015-03-10",8,"","1060",TRUE,"1",501,0,0,,0.1,0.1,,0,0,,0,0,0.1,0.1,10
"05_08_1061",5,"2015-03-25",8,"","1061",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1062",5,"2015-03-25",8,"","1062",TRUE,"1",501,999,999,,1,0.1,,999,999,,999,999,1,0.1,4000
"05_08_1063",5,"2015-03-11",8,"","1063",TRUE,"2",502,999,999,999,1,0.1,0.01,999,999,999,999,999,1,0.1,40000
"05_08_1064",5,"2015-03-12",8,"","1064",TRUE,"2",502,999,999,,1,0.1,,999,999,,999,999,1,0.1,4000
"05_08_1065",5,"2015-03-13",8,"","1065",TRUE,"2",502,998,998,110,10,1,0.1,998,998,110,998,998,10,1,2200
"05_08_1066",5,"2015-03-11",8,"","1066",TRUE,"2",502,999,999,,1,0.1,,999,999,,999,999,1,0.1,4000
"05_08_1067",5,"2015-03-18",8,"","1067",TRUE,"2",502,17,8,0,10,1,0.1,17,8,0,17,8,10,1,3.4
"05_08_1068",5,"2015-03-24",8,"","1068",TRUE,"2",502,30,7,0,10,1,0.1,30,7,0,30,7,10,1,6
"05_08_1069",5,"2015-03-13",8,"","1069",TRUE,"2",502,16,8,0,10,1,0.1,16,8,0,16,8,10,1,3.2
"05_08_1070",5,"2015-03-18",8,"","1070",TRUE,"2",502,0,0,0,10,1,0.1,0,0,0,0,0,10,1,0.1
"05_08_1071",5,"2015-03-12",8,"","1071",TRUE,"2",502,998,0,,1,0.1,,998,0,,998,0,1,0.1,
"05_08_1072",5,"2015-03-24",8,"","1072",TRUE,"2",502,0,0,0,10,1,0.1,0,0,0,0,0,10,1,0.1
